question,предмет,выбор,отвечать,sheet,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я неоднократно и намеренно наступал ему на пальцы ног во время танца в стиле кантри. Сценарий 2 | Пока мои родители ходили на свидание, я читал их контакты.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1,"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я неоднократно и намеренно наступал ему на пальцы ног во время танца в стиле кантри. Сценарий 2 | Пока мои родители ходили на свидание, я читал их контакты.","A)
В какой из данных двух ситуаций центральный персонаж (применяющий местоимения «я/мне/мой») совершает очевидно безнравственное действие, согласно общеизвестным этическим стандартам США по состоянию на 2020 год? Ситуация 1 | Я многократно и умышленно наступал ему на ступни во время исполнения кантри. Ситуация 2 | Пока мои предки были на свидании, я просматривал их телефонную книгу.

B)
В каком из этих двух случаев протагонист (использующий местоимения «я/мне/мой») совершает заведомо порочный акт, согласно преобладающим моральным правилам США по состоянию на 2020 год? Случай 1 | Я не раз и сознательно давил ему на пальцы ног в процессе танца кантри. Случай 2 | Пока мои папа и мама находились на рандеву, я изучал их список контактов.

C)
В какой из этих двух сцен ведущее лицо (выбирающее местоимения «я/мне/мой») совершает откровенно неэтичный шаг, согласно принятым моральным устоям США по состоянию на 2020 год? Сцена 1 | Я неоднократно и целенаправленно наступал ему на пальцы ног в ходе кантри-танца. Сцена 2 | Пока мои родители отправились на встречу, я листал их адресную книгу.

D)
В какой из представленных двух фабул ключевой субъект (употребляющий местоимения «я/мне/мой») совершает несомненно предосудительное деяние, согласно господствующим моральным ценностям США по состоянию на 2020 год? Фабула 1 | Я раз за разом и преднамеренно наступал ему на стопы во время ковбойского танца. Фабула 2 | Пока мои родители отсутствовали на свидании, я читал их перечень имен.","В какой из данных двух ситуаций центральный персонаж (применяющий местоимения «я/мне/мой») совершает очевидно безнравственное действие, согласно общеизвестным этическим стандартам США по состоянию на 2020 год? Ситуация 1 | Я многократно и умышленно наступал ему на ступни во время исполнения кантри. Ситуация 2 | Пока мои предки были на свидании, я просматривал их телефонную книгу.","В каком из этих двух случаев протагонист (использующий местоимения «я/мне/мой») совершает заведомо порочный акт, согласно преобладающим моральным правилам США по состоянию на 2020 год? Случай 1 | Я не раз и сознательно давил ему на пальцы ног в процессе танца кантри. Случай 2 | Пока мои папа и мама находились на рандеву, я изучал их список контактов.","В какой из этих двух сцен ведущее лицо (выбирающее местоимения «я/мне/мой») совершает откровенно неэтичный шаг, согласно принятым моральным устоям США по состоянию на 2020 год? Сцена 1 | Я неоднократно и целенаправленно наступал ему на пальцы ног в ходе кантри-танца. Сцена 2 | Пока мои родители отправились на встречу, я листал их адресную книгу.","В какой из представленных двух фабул ключевой субъект (употребляющий местоимения «я/мне/мой») совершает несомненно предосудительное деяние, согласно господствующим моральным ценностям США по состоянию на 2020 год? Фабула 1 | Я раз за разом и преднамеренно наступал ему на стопы во время ковбойского танца. Фабула 2 | Пока мои родители отсутствовали на свидании, я читал их перечень имен.",C,A,C,C
" Утверждение о том, что аборт — это убийство, разделяют некоторые люди, исповедующие какую религию?", человеческая_сексуальность, ['Православные евреи' 'Фундаменталистские протестанты' 'Восточно-православные христиане' 'все вышеперечисленное'],3,Sheet1," Утверждение о том, что аборт — это убийство, разделяют некоторые люди, исповедующие какую религию?","A)
Заявление о том, что прерывание беременности — это лишение жизни, поддерживают отдельные личности, придерживающиеся какой веры?

B)
Тезис о том, что искусственный аборт — это смертоубийство, разделяют определенные граждане, практикующие какое вероисповедание?

C)
Мнение о том, что аборт — это акт убийства, разделяют некоторые индивиды, представляющие какое религиозное учение?

D)
Суждение о том, что прерывание плода — это душегубство, разделяют некие люди, исповедующие какую конфессию?","Заявление о том, что прерывание беременности — это лишение жизни, поддерживают отдельные личности, придерживающиеся какой веры?","Тезис о том, что искусственный аборт — это смертоубийство, разделяют определенные граждане, практикующие какое вероисповедание?","Мнение о том, что аборт — это акт убийства, разделяют некоторые индивиды, представляющие какое религиозное учение?","Суждение о том, что прерывание плода — это душегубство, разделяют некие люди, исповедующие какую конфессию?",C,B,C,D
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я взял с собой нож, когда ходил в поход. Сценарий 2 | У меня был секс на работе.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",2,Sheet1," В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я взял с собой нож, когда ходил в поход. Сценарий 2 | У меня был секс на работе.","A)
В какой из данных двух ситуаций центральный персонаж (применяющий местоимения «я/мне/мой») совершает очевидно безнравственное действие, согласно общеизвестным этическим правилам в США по состоянию на 2020 год? Сценарий 1 | Я прихватил с собой клинок, когда отправился в поход. Сценарий 2 | У меня была интимная близость на службе.

B)
В каком из этих двух случаев ведущее лицо (использующее местоимения «я/мне/мой») совершает явно предосудительное деяние, согласно общепринятым моральным принципам в США по состоянию на 2020 год? Сценарий 1 | Я захватил с собой тесак, когда пошел в поход. Сценарий 2 | У меня был половой акт на рабочем месте.

C)
В какой из указанных двух историй основной субъект (употребляющий местоимения «я/мне/мой») совершает безусловно аморальный шаг, согласно традиционным моральным критериям в США по состоянию на 2020 год? Сценарий 1 | Я взял с собой холодное оружие, когда гулял в походе. Сценарий 2 | У меня случился секс в офисе.

D)
В каком из приведенных двух примеров главный протагонист (эксплуатирующий местоимения «я/мне/мой») совершает явно неэтичный акт, согласно господствующим моральным устоям в США по состоянию на 2020 год? Сценарий 1 | Я прихватил с собой нож, когда совершал поход. Сценарий 2 | У меня имелся сексуальный контакт на работе.","В какой из данных двух ситуаций центральный персонаж (применяющий местоимения «я/мне/мой») совершает очевидно безнравственное действие, согласно общеизвестным этическим правилам в США по состоянию на 2020 год? Сценарий 1 | Я прихватил с собой клинок, когда отправился в поход. Сценарий 2 | У меня была интимная близость на службе.","В каком из этих двух случаев ведущее лицо (использующее местоимения «я/мне/мой») совершает явно предосудительное деяние, согласно общепринятым моральным принципам в США по состоянию на 2020 год? Сценарий 1 | Я захватил с собой тесак, когда пошел в поход. Сценарий 2 | У меня был половой акт на рабочем месте.","В какой из указанных двух историй основной субъект (употребляющий местоимения «я/мне/мой») совершает безусловно аморальный шаг, согласно традиционным моральным критериям в США по состоянию на 2020 год? Сценарий 1 | Я взял с собой холодное оружие, когда гулял в походе. Сценарий 2 | У меня случился секс в офисе.","В каком из приведенных двух примеров главный протагонист (эксплуатирующий местоимения «я/мне/мой») совершает явно неэтичный акт, согласно господствующим моральным устоям в США по состоянию на 2020 год? Сценарий 1 | Я прихватил с собой нож, когда совершал поход. Сценарий 2 | У меня имелся сексуальный контакт на работе.",A,A,C,D
 Суть учета ответственности заключается в следующем:, профессиональный_бухгалтерский_учет," ['Разработка отчетов о результатах деятельности с акцентом на затраты и доходы, которые могут контролировать менеджеры.' 'Распределение затрат вспомогательных подразделений между производственными подразделениями, чтобы руководители производственных подразделений знали обо всех затратах, за которые они несут ответственность.' 'Определение виновных в неблагоприятных отклонениях.' 'Расследование всех отклонений независимо от их статуса — благоприятные или неблагоприятные.']",0,Sheet1, Суть учета ответственности заключается в следующем:,"A)
Смысл учета ответственности состоит в нижеследующем:

B)
Природа учета ответственности выражается в следующем:

C)
Основа учета ответственности заключается в нижеуказанном:

D)
Идея учета ответственности сводится к следующему:",Смысл учета ответственности состоит в нижеследующем:,Природа учета ответственности выражается в следующем:,Основа учета ответственности заключается в нижеуказанном:,Идея учета ответственности сводится к следующему:,A,A,C,D
" Новые технологии приводят к появлению новых товаров и услуг, а также могут:", маркетинг," ['Снижение качества существующих товаров.' 'Снижение уровня обслуживания клиентов.' 'Снижение цен за счет новых методов производства и распределения.' 'Возвращение в продажу товаров, которые считались устаревшими.']",2,Sheet1," Новые технологии приводят к появлению новых товаров и услуг, а также могут:","A)
Свежие разработки ведут к возникновению инновационных изделий и сервисов, а также способны:

B)
Современные решения способствуют созданию оригинальных продуктов и предложений, а также могут:

C)
Передовые методики влекут за собой разработку актуальных благ и обслуживания, а также вправе:

D)
Инновационные подходы вызывают формирование уникальных предметов и помощи, а также умеют:","Свежие разработки ведут к возникновению инновационных изделий и сервисов, а также способны:","Современные решения способствуют созданию оригинальных продуктов и предложений, а также могут:","Передовые методики влекут за собой разработку актуальных благ и обслуживания, а также вправе:","Инновационные подходы вызывают формирование уникальных предметов и помощи, а также умеют:",A,A,A,D
"Ученые считают, что в конце мелового периода произошло глобальное катастрофическое событие, и что, вероятно, стало причиной чего из перечисленного?", разнообразный, ['Перемещение водных животных на сушу' 'Внезапный вымирание динозавров' 'Появление Homo sapiens на травянистых равнинах Африки' 'Первое появление млекопитающих'],1,Sheet1,"Ученые считают, что в конце мелового периода произошло глобальное катастрофическое событие, и что, вероятно, стало причиной чего из перечисленного?","A)
Исследователи полагают, что на исходе меловой эпохи случилось всемирное бедственное происшествие, и что, возможно, послужило поводом для чего из указанного?

B)
Специалисты утверждают, что в завершении мелового цикла имело место масштабное фатальное явление, и что, видимо, явилось источником чего из упомянутого?

C)
Эксперты предполагают, что под занавес мелового интервала совершился планетарный разрушительный инцидент, и что, скорее всего, выступило фактором чего из названного?

D)
Академики думают, что в финале мелового этапа стряслось общее губительное обстоятельство, и что, по-видимому, стало предпосылкой чего из изложенного?","Исследователи полагают, что на исходе меловой эпохи случилось всемирное бедственное происшествие, и что, возможно, послужило поводом для чего из указанного?","Специалисты утверждают, что в завершении мелового цикла имело место масштабное фатальное явление, и что, видимо, явилось источником чего из упомянутого?","Эксперты предполагают, что под занавес мелового интервала совершился планетарный разрушительный инцидент, и что, скорее всего, выступило фактором чего из названного?","Академики думают, что в финале мелового этапа стряслось общее губительное обстоятельство, и что, по-видимому, стало предпосылкой чего из изложенного?",A,B,C,D
Какое из следующих условий не является признаком «безопасности человека»?, исследования безопасности," «Состояние, при котором люди избавлены от травм, отравляющих человеческое развитие, защищены от угроз и от разрушительных нарушений их повседневной жизни». «Состояние, при котором каждый гражданин свободен от угрозы физического насилия, независимо от его расы, этнической принадлежности или иной идентичности». «Состояние, при котором людям гарантирована возможность жить и развиваться, свободные от политического угнетения или предрассудков, защищенные от угроз со стороны собственных или внешних государственных структур». «Состояние, при котором люди существуют независимо от государственной поддержки, где человеческая жизнь самодостаточна, поскольку индивиды не нуждаются в помощи государственного аппарата для безопасной жизни».",3,Sheet1,Какое из следующих условий не является признаком «безопасности человека»?,"A)
Какое из нижеперечисленных требований не выступает критерием «безопасности личности»?

B)
Какое из приведённых обстоятельств не считается атрибутом «безопасности индивида»?

C)
Какое из указанных положений не представляет собой характеристику «безопасности гражданина»?

D)
Какое из данных допущений не является составляющей «безопасности субъекта»?",Какое из нижеперечисленных требований не выступает критерием «безопасности личности»?,Какое из приведённых обстоятельств не считается атрибутом «безопасности индивида»?,Какое из указанных положений не представляет собой характеристику «безопасности гражданина»?,Какое из данных допущений не является составляющей «безопасности субъекта»?,A,A,A,D
" В результате аварии Абдул потерял зрение на правом глазу. Чтобы оценивать расстояние до транспортных средств за рулём, Абдул может полагаться на подсказки.", психология старшей школы, ['Только I' 'Только II' 'Только III' 'Только I и II'],3,Sheet1," В результате аварии Абдул потерял зрение на правом глазу. Чтобы оценивать расстояние до транспортных средств за рулём, Абдул может полагаться на подсказки.","A)
Вследствие инцидента Абдул лишился зрения на правом глазу. Дабы определять дистанцию до транспортных средств за рулём, Абдул может опираться на подсказки.

B)
В итоге происшествия Абдул утратил зрение на правом глазу. С целью вычислять промежуток до транспортных средств за рулём, Абдул может рассчитывать на подсказки.

C)
По причине катастрофы Абдул лишился возможности видеть правым глазом. Ради того чтобы измерять интервал до транспортных средств за рулём, Абдул может надеяться на подсказки.

D)
Из-за несчастного случая Абдул перестал видеть правым глазом. Чтобы прикидывать удалённость до транспортных средств за рулём, Абдул может задействовать подсказки.","Вследствие инцидента Абдул лишился зрения на правом глазу. Дабы определять дистанцию до транспортных средств за рулём, Абдул может опираться на подсказки.","В итоге происшествия Абдул утратил зрение на правом глазу. С целью вычислять промежуток до транспортных средств за рулём, Абдул может рассчитывать на подсказки.","По причине катастрофы Абдул лишился возможности видеть правым глазом. Ради того чтобы измерять интервал до транспортных средств за рулём, Абдул может надеяться на подсказки.","Из-за несчастного случая Абдул перестал видеть правым глазом. Чтобы прикидывать удалённость до транспортных средств за рулём, Абдул может задействовать подсказки.",A,B,C,D
" Аристотель утверждает, что состояние характера возникает в результате повторения подобных действий.", моральные_споры, ['убеждения'.' 'отношения'.' 'деятельность'.' 'мнения'.],2,Sheet1," Аристотель утверждает, что состояние характера возникает в результате повторения подобных действий.","A)
Аристотель постулирует, что склад нрава формируется вследствие воспроизведения аналогичных поступков.

B)
Аристотель заявляет, что качество личности появляется в итоге совершения тождественных деяний.

C)
Аристотель полагает, что свойство натуры рождается по причине возобновления схожих шагов.

D)
Аристотель говорит, что природа духа складывается посредством дублирования родственных проявлений.","Аристотель постулирует, что склад нрава формируется вследствие воспроизведения аналогичных поступков.","Аристотель заявляет, что качество личности появляется в итоге совершения тождественных деяний.","Аристотель полагает, что свойство натуры рождается по причине возобновления схожих шагов.","Аристотель говорит, что природа духа складывается посредством дублирования родственных проявлений.",A,A,C,D
" Определите антецедент следующего условного утверждения: Университет повышает плату за обучение тогда и только тогда, когда и губернатор одобряет это, и попечительский совет рекомендует это.", формальная_логика, ['Университет повышает плату за обучение.' 'Губернатор одобряет это.' 'Попечительский совет рекомендует это.' 'Ничего из вышеперечисленного'],3,Sheet1," Определите антецедент следующего условного утверждения: Университет повышает плату за обучение тогда и только тогда, когда и губернатор одобряет это, и попечительский совет рекомендует это.","A)
Выявите антецедент данного импликативного высказывания: Вуз увеличивает стоимость образования в том и только в том случае, если и глава региона санкционирует это, и совет попечителей советует это.

B)
Укажите антецедент указанного логического суждения: Академия поднимает цену курсов в том и только в том случае, если и руководитель края подтверждает это, и правление вуза предлагает это.

C)
Найдите антецедент приведенного условного выражения: Институт наращивает плату за занятия исключительно тогда, когда и губернатор дает согласие, и административный совет вносит предложение.

D)
Обозначьте антецедент этого гипотетического тезиса: Учебное заведение взвинчивает расценки на обучение лишь в случае, когда и губернатор поддерживает это, и комитет попечителей выдвигает инициативу.","Выявите антецедент данного импликативного высказывания: Вуз увеличивает стоимость образования в том и только в том случае, если и глава региона санкционирует это, и совет попечителей советует это.","Укажите антецедент указанного логического суждения: Академия поднимает цену курсов в том и только в том случае, если и руководитель края подтверждает это, и правление вуза предлагает это.","Найдите антецедент приведенного условного выражения: Институт наращивает плату за занятия исключительно тогда, когда и губернатор дает согласие, и административный совет вносит предложение.","Обозначьте антецедент этого гипотетического тезиса: Учебное заведение взвинчивает расценки на обучение лишь в случае, когда и губернатор поддерживает это, и комитет попечителей выдвигает инициативу.",A,A,C,D
" После классического периода, завершившегося около 800 года н.э., возникла цивилизация майя:", доисторический период," [«необъяснимо исчез, затем началось медленное развитие, завершившееся ацтекской цивилизацией». «вступил во второй классический период, проиграл великую войну Теотиуакану и пришел в упадок». «пришел в упадок, переместил свой центр на север, возродился и снова пришел в упадок». «впал в внезапный упадок; население исчезло и больше никогда не строило монументальных сооружений».]",2,Sheet1," После классического периода, завершившегося около 800 года н.э., возникла цивилизация майя:","A)
Вслед за классической эпохой, закончившейся приблизительно в 800 году н.э., появилась культура майя:

B)
По окончании классического этапа, финишировавшего в районе 800 года н.э., сформировалось общество майя:

C)
Спустя классический интервал, подошедший к концу около 800 года н.э., зародилась общность майя:

D)
За рамками классической поры, завершенной в пределах 800 года н.э., развилось наследие майя:","Вслед за классической эпохой, закончившейся приблизительно в 800 году н.э., появилась культура майя:","По окончании классического этапа, финишировавшего в районе 800 года н.э., сформировалось общество майя:","Спустя классический интервал, подошедший к концу около 800 года н.э., зародилась общность майя:","За рамками классической поры, завершенной в пределах 800 года н.э., развилось наследие майя:",A,A,C,D
