question,тақырып,таңдаулар,жауап,sheet,instance,generated_options,option_a,option_b,option_c,option_d
 Қысқа мерзімді дағдарысқа бағытталған терапияға тән, кәсіби_психология,"['мәселеге қатысты ерте балалық шақтағы тәжірибелерді зерттеу'' 'клиенттің тыныш және босаңсыған болуын қамтамасыз етуге тырысу' 'нақты мақсаттарға келісу және сессияларды осы мақсаттарға бағыттау' 'ашық және бағытталмаған болу, клиентке дағдарыс жағдайының барлық аспектілерін зерттеуде ең үлкен еркіндік беру']",2,Sheet1,question:  Қысқа мерзімді дағдарысқа бағытталған терапияға тән,"A)
question:  Ұзақ емес мерзімді дағдарысқа бағытталған терапияға тән

B)
question:  Қысқа уақытша дағдарысқа бағытталған терапияға тән

C)
question:  Қысқа мерзімді күйреуге бағытталған терапияға тән

D)
question:  Қысқа мерзімді дағдарысқа бағытталған емдеуге тән",question:  Ұзақ емес мерзімді дағдарысқа бағытталған терапияға тән,question:  Қысқа уақытша дағдарысқа бағытталған терапияға тән,question:  Қысқа мерзімді күйреуге бағытталған терапияға тән,question:  Қысқа мерзімді дағдарысқа бағытталған емдеуге тән
" Өлшеу өзі өлшейтін нәрсені сандық түрде көрсеткенде, біз оның жақсы екенін айтамыз", адам_қартаюы, ['Дәлдік' 'Жарамдылық' 'Сенімділік' 'Ассоциативті мән'],1,Sheet1,"question:  Өлшеу өзі өлшейтін нәрсені сандық түрде көрсеткенде, біз оның жақсы екенін айтамыз","A)
question:  Өлшем өзінің өлшейтін затты санмен көрсеткенде, біз оның дұрыс екенін айтамыз

B)
question:  Өлшеу өзі өлшейтін бұйымды сан түрінде көрсеткенде, біз оның дұрыс екенін айтамыз

C)
question:  Өлшеу өзінің өлшейтін нәрсені сандық пішінде көрсеткенде, біз оның жақсы екенін айтамыз

D)
question:  Өлшем өзі өлшейтін затты саны бойынша көрсеткенде, біз оның сенімді екенін айтамыз","question:  Өлшем өзінің өлшейтін затты санмен көрсеткенде, біз оның дұрыс екенін айтамыз","question:  Өлшеу өзі өлшейтін бұйымды сан түрінде көрсеткенде, біз оның дұрыс екенін айтамыз","question:  Өлшеу өзінің өлшейтін нәрсені сандық пішінде көрсеткенде, біз оның жақсы екенін айтамыз","question:  Өлшем өзі өлшейтін затты саны бойынша көрсеткенде, біз оның сенімді екенін айтамыз"
 Жер планетасының күшті магнит өрісі болуы үшін қандай жағдайлар қажет?, астрономия," ['тек жылдам айналу' 'тек тасты мантия' 'тек балқытылған металл өзегі' 'балқытылған металл өзегі де, салыстырмалы түрде жылдам айналуы да']",3,Sheet1,question:  Жер планетасының күшті магнит өрісі болуы үшін қандай жағдайлар қажет?,"A)
question:  Жер ғаламшарының мықты магниттік өрісі болуы үшін қандай жағдайлар қажет?

B)
question:  Жер планетасының қатты магниттік өрісі болуы үшін қандай жағдайлар қажет?

C)
question:  Жердің мықты магнит өрісі болуы үшін қандай жағдайлар қажет?

D)
question:  Жер ғаламшарының күшті магнит өрісі болуы үшін қандай жағдайлар қажет?",question:  Жер ғаламшарының мықты магниттік өрісі болуы үшін қандай жағдайлар қажет?,question:  Жер планетасының қатты магниттік өрісі болуы үшін қандай жағдайлар қажет?,question:  Жердің мықты магнит өрісі болуы үшін қандай жағдайлар қажет?,question:  Жер ғаламшарының күшті магнит өрісі болуы үшін қандай жағдайлар қажет?
Бала тәртіп бұзғаннан кейін оны екі аптаға қамауға алу мынаған мысал бола алады:, орта мектеп психологиясы, ['байланыстың алдын алу' 'теріс жаза' 'бағыныштылықты үйрену' 'теріс күшейту'],1,Sheet1,question: Бала тәртіп бұзғаннан кейін оны екі аптаға қамауға алу мынаған мысал бола алады:,"A)
question: Бала тәртіп бұзғаннан кейін оны 14 күнге қамауға алу бұған үлгі бола алады:

B)
question: Бала тәртіпсіздік көрсеткеннен кейін оны екі аптаға қамауға алу мынаған мысал бола алады:

C)
question: Бала ережені бұзғаннан кейін оны екі аптаға ұстауға алу мынаған мысал бола алады:

D)
question: Бала тәртіп бұзғаннан кейін сол баланы екі апта бойы қамауға алу осыған үлгі бола алады:",question: Бала тәртіп бұзғаннан кейін оны 14 күнге қамауға алу бұған үлгі бола алады:,question: Бала тәртіпсіздік көрсеткеннен кейін оны екі аптаға қамауға алу мынаған мысал бола алады:,question: Бала ережені бұзғаннан кейін оны екі аптаға ұстауға алу мынаған мысал бола алады:,question: Бала тәртіп бұзғаннан кейін сол баланы екі апта бойы қамауға алу осыған үлгі бола алады:
" 1-мәлімдеме | 45-ші ретті абел тобының 10-шы ретті кіші тобы бар. 2-мәлімдеме | G тобының H кіші тобы, егер және тек H сол жақ косеттерінің саны H оң жақ косеттерінің санына тең болса ғана, қалыпты кіші топ болып табылады.", абстрактілі_алгебра," ['Шын, Рас' 'Жалған, Жалған' 'Шын, Жалған' 'Жалған, Рас']",1,Sheet1,"question:  1-мәлімдеме | 45-ші ретті абел тобының 10-шы ретті кіші тобы бар. 2-мәлімдеме | G тобының H кіші тобы, егер және тек H сол жақ косеттерінің саны H оң жақ косеттерінің санына тең болса ғана, қалыпты кіші топ болып табылады.","A)
question:  1-дәлел | 45-ші тәртіпті коммутативтік тобының 10-шы тәртіпті кіші тобы бар. 2-дәлел | G тобының H кіші тобы, егер және тек H сол жақ косеттерінің саны H оң жақ косеттерінің санына тең болса ғана, қалыпты кіші топ болып табылады.

B)
question:  1-аяндама | 45-ші тәртіпті коммутативті тобының 10-шы ретті кіші тобы бар. 2-аяндама | G тобының H кіші тобы, тек егер H сол жақ косеттерінің саны H оң жақ косеттерінің санына тең болса ғана, қалыпты кіші топ болып табылады.

C)
question:  1-ұсыныс | 45-ші ретті абел тобының 10-шы ретті ішкі тобы бар. 2-ұсыныс | G тобының H ішкі тобы, егер және тек H сол жақ косеттерінің саны H оң жақ косеттерінің санына тең болса ғана, қалыпты ішкі топ болып табылады.

D)
question:  1-декларация | 45-ші тәртіпті Абель тобының 10-шы тәртіпті кіші тобы бар. 2-декларация | G тобының H кіші тобы, егер және тек H сол жақ косеттерінің саны H оң жақ косеттерінің санына тең болса ғана, қалыпты кіші топ болып табылады.","question:  1-дәлел | 45-ші тәртіпті коммутативтік тобының 10-шы тәртіпті кіші тобы бар. 2-дәлел | G тобының H кіші тобы, егер және тек H сол жақ косеттерінің саны H оң жақ косеттерінің санына тең болса ғана, қалыпты кіші топ болып табылады.","question:  1-аяндама | 45-ші тәртіпті коммутативті тобының 10-шы ретті кіші тобы бар. 2-аяндама | G тобының H кіші тобы, тек егер H сол жақ косеттерінің саны H оң жақ косеттерінің санына тең болса ғана, қалыпты кіші топ болып табылады.","question:  1-ұсыныс | 45-ші ретті абел тобының 10-шы ретті ішкі тобы бар. 2-ұсыныс | G тобының H ішкі тобы, егер және тек H сол жақ косеттерінің саны H оң жақ косеттерінің санына тең болса ғана, қалыпты ішкі топ болып табылады.","question:  1-декларация | 45-ші тәртіпті Абель тобының 10-шы тәртіпті кіші тобы бар. 2-декларация | G тобының H кіші тобы, егер және тек H сол жақ косеттерінің саны H оң жақ косеттерінің санына тең болса ғана, қалыпты кіші топ болып табылады."
 Ace Co. өзінің номиналды құны 10 доллар болатын қарапайым акцияларының 1000 данасын бір акциясы үшін 15 доллардан қолма-қол ақшамен шығарды. Бұл транзакция Ace компаниясының шығарылған жылдағы ақша қозғалысы туралы есебінде қалай көрсетілуі керек?, кәсіби_бухгалтерлік_есеп, ['Қаржыландыру қызметінен түскен $15000 ақша ағыны.' 'Қаржыландыру қызметінен түскен $10000 ақша ағыны және операциялық қызметтен түскен ақша ағындарын есептеу үшін $5000 түзету.' 'Инвестициялық қызметтен түскен $15000 ақша ағыны.' 'Инвестициялық қызметтен түскен $10000 ақша ағыны және операциялық қызметтен түскен ақша ағындарын есептеу үшін $5000 түзету.'],0,Sheet1,question:  Ace Co. өзінің номиналды құны 10 доллар болатын қарапайым акцияларының 1000 данасын бір акциясы үшін 15 доллардан қолма-қол ақшамен шығарды. Бұл транзакция Ace компаниясының шығарылған жылдағы ақша қозғалысы туралы есебінде қалай көрсетілуі керек?,"A)
question:  Ace Co. өзінің номиналды құны 10 доллар болатын қарапайым акцияларының 1000 данасын бір акциясы үшін 15 доллардан қолма-қол ақшамен шығарып жіберді. Бұл транзакция Ace компаниясының шығарылған жылдағы ақша қозғалысы туралы есебінде қалай көрсетілуі тиіс?

B)
question:  Ace Co. өз номиналды құны 10 доллар болатын қарапайым акцияларының 1000 данасын бір акциясы үшін 15 доллардан қолма-қол төлеммен шығарды. Бұл мәміле Ace компаниясының шығарылған жылдағы ақша қозғалысы туралы есебінде қалай көрсетілуі керек?

C)
question:  Ace компаниясы өзінің номиналды құны 10 доллар болатын қарапайым акцияларының 1000 данасын бір акциясы үшін 15 доллардан қолма-қол ақшамен шығарды. Бұл транзакция Ace компаниясының шығарылған жылдағы ақша ағымы туралы есебінде қалай көрсетілуі керек?

D)
question:  Ace Corporation өзінің номиналды құны 10 доллар болатын қарапайым акцияларының 1000 данасын бір акциясы үшін 15 доллардан қолма-қол ақшамен шығарды. Бұл операция Ace компаниясының шығарылған жылдағы ақша қозғалысы туралы есебінде қалай көрсетілуі керек?",question:  Ace Co. өзінің номиналды құны 10 доллар болатын қарапайым акцияларының 1000 данасын бір акциясы үшін 15 доллардан қолма-қол ақшамен шығарып жіберді. Бұл транзакция Ace компаниясының шығарылған жылдағы ақша қозғалысы туралы есебінде қалай көрсетілуі тиіс?,question:  Ace Co. өз номиналды құны 10 доллар болатын қарапайым акцияларының 1000 данасын бір акциясы үшін 15 доллардан қолма-қол төлеммен шығарды. Бұл мәміле Ace компаниясының шығарылған жылдағы ақша қозғалысы туралы есебінде қалай көрсетілуі керек?,question:  Ace компаниясы өзінің номиналды құны 10 доллар болатын қарапайым акцияларының 1000 данасын бір акциясы үшін 15 доллардан қолма-қол ақшамен шығарды. Бұл транзакция Ace компаниясының шығарылған жылдағы ақша ағымы туралы есебінде қалай көрсетілуі керек?,question:  Ace Corporation өзінің номиналды құны 10 доллар болатын қарапайым акцияларының 1000 данасын бір акциясы үшін 15 доллардан қолма-қол ақшамен шығарды. Бұл операция Ace компаниясының шығарылған жылдағы ақша қозғалысы туралы есебінде қалай көрсетілуі керек?
 Метаболизм келесі факторлармен анықталады:, колледж_медицина, ['жасушадағы ақуыздардың мөлшері.' 'аминқышқылдарының болуы.' 'генетикалық материалмен анықталған ақуыздар.' 'рибонуклеин қышқылдарының аминқышқылдық құрамы.'],2,Sheet1,question:  Метаболизм келесі факторлармен анықталады:,"A)
question:  Зат алмасу төмендегі факторлар арқылы белгіленеді:

B)
question:  Метаболизм төмендегі себептермен анықталады:

C)
question:  Зат алмасу келесі факторлардың әсерімен анықталады:

D)
question:  Метаболизм төмендегі факторлардың ықпалымен белгіленеді:",question:  Зат алмасу төмендегі факторлар арқылы белгіленеді:,question:  Метаболизм төмендегі себептермен анықталады:,question:  Зат алмасу келесі факторлардың әсерімен анықталады:,question:  Метаболизм төмендегі факторлардың ықпалымен белгіленеді:
 Төмендегілердің қайсысы қоғам қауіпсіздігі үшін маңызды?, қауіпсіздікті зерттеу, ['Егемендік.' 'Бірегейлік.' 'Осы нұсқалардың барлығы.' 'Гегемониялық этникалық топ.'],1,Sheet1,question:  Төмендегілердің қайсысы қоғам қауіпсіздігі үшін маңызды?,"A)
Келесілердің қайсысы қоғам қауіпсіздігі үшін маңызды?

B)
Төмендегілердің қайсысы қоғамдық қауіпсіздік үшін маңызды?

C)
Келесілердің қайсысы қоғамдық қауіпсіздік үшін маңызды?

D)
Төмендегілердің қайсысы қоғамның қауіпсіздігі үшін маңызды?",Келесілердің қайсысы қоғам қауіпсіздігі үшін маңызды?,Төмендегілердің қайсысы қоғамдық қауіпсіздік үшін маңызды?,Келесілердің қайсысы қоғамдық қауіпсіздік үшін маңызды?,Төмендегілердің қайсысы қоғамның қауіпсіздігі үшін маңызды?
"72 жастағы ер адам 7 ай бойы аяқтарының әлсіздігі, көз бен ауыздың құрғауы сияқты белгілермен дәрігерге қаралды. Сондай-ақ, тәбетінің өзгермегеніне қарамастан, соңғы 4 айда салмағын 10,4 кг (23 фунт) жоғалтты. Ол 50 жыл бойы күн сайын бір жарым қорап темекі шегеді. Күн сайын 4 унция алкоголь ішеді. Оның асқазан жарасы және эмфиземасы бар. Дәрі-дәрмектерге циметидин, теофиллин және төмен дозалы преднизон кіреді. Тексеру кезінде жеңіл птоз байқалады. Оның кеудесі бөшке тәрізді. Тыныс алу дыбыстары алыс. Аяқ-қолдардың проксимальды бұлшықеттерінің орташа әлсіздігі байқалады. Рефлекстер жоқ. Орындықтан тұру қиындайды. Сенсорлық тексеруде ауытқулар жоқ. Рентген суретінде кеуде қуысының шамадан тыс ісінуі және оң жақ өкпеде 3 х 4 см масса көрінеді. Оның неврологиялық белгілері, ең алдымен, келесілердің қайсысын қамтитын зақымдануға байланысты болуы мүмкін?", кәсіби_медицина,['Бұлшықет қабығы' 'Парасимпатикалық жүйке жүйесі' 'Перффериялық жүйке' 'Пресинаптикалық жүйке-бұлшықет түйіні'],3,Sheet1,"question: 72 жастағы ер адам 7 ай бойы аяқтарының әлсіздігі, көз бен ауыздың құрғауы сияқты белгілермен дәрігерге қаралды. Сондай-ақ, тәбетінің өзгермегеніне қарамастан, соңғы 4 айда салмағын 10,4 кг (23 фунт) жоғалтты. Ол 50 жыл бойы күн сайын бір жарым қорап темекі шегеді. Күн сайын 4 унция алкоголь ішеді. Оның асқазан жарасы және эмфиземасы бар. Дәрі-дәрмектерге циметидин, теофиллин және төмен дозалы преднизон кіреді. Тексеру кезінде жеңіл птоз байқалады. Оның кеудесі бөшке тәрізді. Тыныс алу дыбыстары алыс. Аяқ-қолдардың проксимальды бұлшықеттерінің орташа әлсіздігі байқалады. Рефлекстер жоқ. Орындықтан тұру қиындайды. Сенсорлық тексеруде ауытқулар жоқ. Рентген суретінде кеуде қуысының шамадан тыс ісінуі және оң жақ өкпеде 3 х 4 см масса көрінеді. Оның неврологиялық белгілері, ең алдымен, келесілердің қайсысын қамтитын зақымдануға байланысты болуы мүмкін?","A)
question: 72 жастағы ер кісі 7 ай ішінде аяқтарындағы әлсіздік, көз және ауыз құрғауы тәрізді симптомдармен дәрігерге қаралды. Сондай-ақ, тәбеті өзгермегеніне қарамастан, соңғы 4 айда салмағын 10,4 кг (23 фунт) жоғалтты. Ол 50 жыл бойы күнделікті бір жарым қорап темекі тартады. Күн сайын 4 унция алкоголь тұтынады. Оның асқазан ойық жарасы және эмфиземасы бар. Ол қолданатын дәрілерге циметидин, теофиллин және төмен дозалы преднизон кіреді. Тексеру кезінде жеңіл птоз анықталды. Оның кеудесі бөшке тәрізді. Тыныс алу дыбыстары алыста естіледі. Аяқ-қол проксимальды бұлшықеттерінде орташа әлсіздік байқалады. Рефлекстер жоқ. Орындықтан тұруы қиындау. Сенсорлық тексеруде өзгерістер байқалмады. Рентген суретінде кеуде қуысының шамадан тыс кеңеюі және оң жақ өкпеде 3 х 4 см көлемді масса көрінеді. Оның неврологиялық белгілері, ең алдымен, келесілердің қайсысын қамтитын зақымдануға байланысты болуы мүмкін?

B)
question: 72 жастағы науқас 7 ай бойы аяқтарының әлсіздігі, көз бен ауыздың кебуі сияқты белгілермен дәрігерге көрсетілді. Сонымен қатар, тәбетінің өзгермегеніне қарамастан, соңғы 4 айда оның салмағы 10,4 кг (23 фунт) төмендеді. Ол 50 жыл бойы күн сайын бір жарым қорап темекі шегіп келеді. Күн сайын 4 унция алкоголь ішу әдеті бар. Оның асқазан жарасы және эмфиземасы бар. Қолданатын дәрілеріне циметидин, теофиллин және төмен дозалы преднизон жатады. Шолу кезінде жеңіл птоз байқалды. Кеудесі бөшке тәрізді. Тыныс алу дыбыстары алыс. Аяқ-қолтардың проксимальды бұлшықеттерінің орташа әлсіздігі анықталды. Рефлекстер анықталмады. Орындықтан тұру қиындады. Сенсорлық тексеруде ауытқулар жоқ. Рентген суретінде кеуде қуысының шамадан тыс ісінуі және оң жақ өкпеде 3 х 4 см масса көрінді. Оның неврологиялық белгілері, ең алдымен, келесілердің қайсысын қамтитын зақымдануға байланысты болуы мүмкін?

C)
question: 72 жастағы пациент 7 ай бойы аяқтардың әлсіздігі, көз мен ауыздың құрғауы тәрізді симптомдармен медициналық көмек іздеді. Сол сияқты, тәбеті өзгермегеніне қарамастан, соңғы 4 айда салмағын 10,4 кг (23 фунт) жоғалтып алды. Ол 50 жыл бойы күнбе-күн бір жарым қорап темекі тартады. Күн сайын 4 унция алкоголь ішеді. Оның асқазан жарасы және эмфиземасы бар. Препараттарына циметидин, теофиллин және төмен дозалы преднизон кіреді. Тексеру барысында жеңіл птоз байқалды. Оның кеудесі бөшке тәрізді. Дем алу дыбыстары алыс. Аяқ-қолтардың проксимальды бұлшықеттерінде орташа әлсіздік байқалады. Рефлекстер жоқ. Орындықтан тұру оған қиын. Сенсорлық тексеруде өзгерістер байқалмады. Рентгенде кеуде қуысының шамадан тыс ісінуі және оң жақ өкпеде 3 х 4 см масса көрінеді. Оның неврологиялық белгілері, ең алдымен, келесілердің қайсысын қамтитын зақымдануға байланысты болуы мүмкін?

D)
question: 72 жастағы еркек 7 ай бойы аяқтарының әлсіздігі, көз мен ауызның кебуі секілді белгілермен дәрігерге қаралды. Сондай-ақ, тәбетінің өзгермегеніне қарамастан, соңғы 4 айда ол салмағын 10,4 кг (23 фунт) жоғалтты. Ол 50 жыл бойы күн сайын бір жарым қорап темекі тартады. Күніне 4 унция алкоголь ішеді. Оның асқазан жарасы және эмфиземасы бар. Дәрі ретінде циметидин, теофиллин және төмен дозалы преднизон қолданады. Тексеру кезінде жеңіл птоз байқалды. Оның кеудесі бөшке тәрізді. Тыныс алу дыбыстары алыс. Аяқ-қолтардың проксимальды бұлшықеттерінің орташа әлсіздігі байқалады. Рефлекстер жоқ. Орындықтан тұруы қиындап кетті. Сенсорлық тексеруде ауытқулар анықталмады. Рентген суретінде кеуде қуысының шамадан тыс ісінуі және оң жақ өкпеде 3 х 4 см масса байқалады. Оның неврологиялық белгілері, ең алдымен, келесілердің қайсысын қамтитын зақымдануға байланысты болуы мүмкін?","question: 72 жастағы ер кісі 7 ай ішінде аяқтарындағы әлсіздік, көз және ауыз құрғауы тәрізді симптомдармен дәрігерге қаралды. Сондай-ақ, тәбеті өзгермегеніне қарамастан, соңғы 4 айда салмағын 10,4 кг (23 фунт) жоғалтты. Ол 50 жыл бойы күнделікті бір жарым қорап темекі тартады. Күн сайын 4 унция алкоголь тұтынады. Оның асқазан ойық жарасы және эмфиземасы бар. Ол қолданатын дәрілерге циметидин, теофиллин және төмен дозалы преднизон кіреді. Тексеру кезінде жеңіл птоз анықталды. Оның кеудесі бөшке тәрізді. Тыныс алу дыбыстары алыста естіледі. Аяқ-қол проксимальды бұлшықеттерінде орташа әлсіздік байқалады. Рефлекстер жоқ. Орындықтан тұруы қиындау. Сенсорлық тексеруде өзгерістер байқалмады. Рентген суретінде кеуде қуысының шамадан тыс кеңеюі және оң жақ өкпеде 3 х 4 см көлемді масса көрінеді. Оның неврологиялық белгілері, ең алдымен, келесілердің қайсысын қамтитын зақымдануға байланысты болуы мүмкін?","question: 72 жастағы науқас 7 ай бойы аяқтарының әлсіздігі, көз бен ауыздың кебуі сияқты белгілермен дәрігерге көрсетілді. Сонымен қатар, тәбетінің өзгермегеніне қарамастан, соңғы 4 айда оның салмағы 10,4 кг (23 фунт) төмендеді. Ол 50 жыл бойы күн сайын бір жарым қорап темекі шегіп келеді. Күн сайын 4 унция алкоголь ішу әдеті бар. Оның асқазан жарасы және эмфиземасы бар. Қолданатын дәрілеріне циметидин, теофиллин және төмен дозалы преднизон жатады. Шолу кезінде жеңіл птоз байқалды. Кеудесі бөшке тәрізді. Тыныс алу дыбыстары алыс. Аяқ-қолтардың проксимальды бұлшықеттерінің орташа әлсіздігі анықталды. Рефлекстер анықталмады. Орындықтан тұру қиындады. Сенсорлық тексеруде ауытқулар жоқ. Рентген суретінде кеуде қуысының шамадан тыс ісінуі және оң жақ өкпеде 3 х 4 см масса көрінді. Оның неврологиялық белгілері, ең алдымен, келесілердің қайсысын қамтитын зақымдануға байланысты болуы мүмкін?","question: 72 жастағы пациент 7 ай бойы аяқтардың әлсіздігі, көз мен ауыздың құрғауы тәрізді симптомдармен медициналық көмек іздеді. Сол сияқты, тәбеті өзгермегеніне қарамастан, соңғы 4 айда салмағын 10,4 кг (23 фунт) жоғалтып алды. Ол 50 жыл бойы күнбе-күн бір жарым қорап темекі тартады. Күн сайын 4 унция алкоголь ішеді. Оның асқазан жарасы және эмфиземасы бар. Препараттарына циметидин, теофиллин және төмен дозалы преднизон кіреді. Тексеру барысында жеңіл птоз байқалды. Оның кеудесі бөшке тәрізді. Дем алу дыбыстары алыс. Аяқ-қолтардың проксимальды бұлшықеттерінде орташа әлсіздік байқалады. Рефлекстер жоқ. Орындықтан тұру оған қиын. Сенсорлық тексеруде өзгерістер байқалмады. Рентгенде кеуде қуысының шамадан тыс ісінуі және оң жақ өкпеде 3 х 4 см масса көрінеді. Оның неврологиялық белгілері, ең алдымен, келесілердің қайсысын қамтитын зақымдануға байланысты болуы мүмкін?","question: 72 жастағы еркек 7 ай бойы аяқтарының әлсіздігі, көз мен ауызның кебуі секілді белгілермен дәрігерге қаралды. Сондай-ақ, тәбетінің өзгермегеніне қарамастан, соңғы 4 айда ол салмағын 10,4 кг (23 фунт) жоғалтты. Ол 50 жыл бойы күн сайын бір жарым қорап темекі тартады. Күніне 4 унция алкоголь ішеді. Оның асқазан жарасы және эмфиземасы бар. Дәрі ретінде циметидин, теофиллин және төмен дозалы преднизон қолданады. Тексеру кезінде жеңіл птоз байқалды. Оның кеудесі бөшке тәрізді. Тыныс алу дыбыстары алыс. Аяқ-қолтардың проксимальды бұлшықеттерінің орташа әлсіздігі байқалады. Рефлекстер жоқ. Орындықтан тұруы қиындап кетті. Сенсорлық тексеруде ауытқулар анықталмады. Рентген суретінде кеуде қуысының шамадан тыс ісінуі және оң жақ өкпеде 3 х 4 см масса байқалады. Оның неврологиялық белгілері, ең алдымен, келесілердің қайсысын қамтитын зақымдануға байланысты болуы мүмкін?"
 ФАКТОРИЯЛЫҚ АНОВА зерттеуге 1-ден астам көктамыр ішіне енгізуді қамтыған кезде қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ӘСЕРІ қандай?, кәсіби_психология, ['басқа көктамырлардың әртүрлі деңгейлеріндегі көктамыр ішіне енгізудің әсері' '1 көктамыр ішіне енгізудің өзіндік әсері' 'көбірек көктамыр ішіне енгізудің өзіндік әсері' 'басқа көктамырлардың сол деңгейлеріндегі көктамыр ішіне енгізудің әсері'],0,Sheet1,question:  ФАКТОРИЯЛЫҚ АНОВА зерттеуге 1-ден астам көктамыр ішіне енгізуді қамтыған кезде қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ӘСЕРІ қандай?,"A)
question:  ФАКТОРИЯЛЫҚ АНОВА зерттеу үшін 1-ден көп көктамыр ішіне енгізуді қамтыған кезде қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ӘСЕРІ қандай?

B)
question:  ФАКТОРИЯЛЫҚ АНОВА зерттеу мақсатында 1-ден артық көктамырға енгізуді қамтыған кезде қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ЫҚПАЛЫ қандай?

C)
question:  ФАКТОРИЯЛЫҚ АНОВА зерттеуге арналған 1-ден астам веноздық енгізуді қамтыған кезде қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ТӘСІРІ қандай?

D)
question:  ФАКТОРИЯЛЫҚ АНОВА зерттеуге 1-ден астам веналық енгізуді қамтитын жағдайда қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ӘСЕРІ не?",question:  ФАКТОРИЯЛЫҚ АНОВА зерттеу үшін 1-ден көп көктамыр ішіне енгізуді қамтыған кезде қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ӘСЕРІ қандай?,question:  ФАКТОРИЯЛЫҚ АНОВА зерттеу мақсатында 1-ден артық көктамырға енгізуді қамтыған кезде қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ЫҚПАЛЫ қандай?,question:  ФАКТОРИЯЛЫҚ АНОВА зерттеуге арналған 1-ден астам веноздық енгізуді қамтыған кезде қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ТӘСІРІ қандай?,question:  ФАКТОРИЯЛЫҚ АНОВА зерттеуге 1-ден астам веналық енгізуді қамтитын жағдайда қолданылады. ФАКТОРИЯЛЫҚ АНОВАНЫҢ ӨЗАРА ӘСЕРІ не?
