мәтін,жапсырма,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
Футбол: Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген айқай-шуларға байланысты кешірім сұрады. Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген айқай-шуларға байланысты ағылшын әріптестерінен кешірім сұрады.,0,"мәтін: Футбол: Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген айқай-шуларға байланысты кешірім сұрады. Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген айқай-шуларға байланысты ағылшын әріптестерінен кешірім сұрады.
жапсырма: 0","A) Футбол: Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген шу-шуларға байланысты кешірім сұрады. Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген шуды-сарсаңдарға байланысты ағылшын әріптестерінен кешірім сұрады.

B) Футбол: Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген наразылықтарға байланысты кешірім сұрады. Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген наразылықтарға байланысты ағылшын әріптестерінен кешірім сұрады.

C) Футбол: Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген дау-дамайларға байланысты кешірім сұрады. Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген дау-дамайларға байланысты ағылшын әріптестерінен кешірім сұрады.

D) Футбол: Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген алалаушылықтарға байланысты кешірім сұрады. Испания Футбол Ассоциациясы (ФА) нәсілшілдікке негізделген алалаушылықтарға байланысты ағылшын әріптестерінен кешірім сұрады.",,,,,E,B,C,D
"Apple iPod Жапонияда басымдыққа ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының сандық музыка ойнатқышын тексеріп көрмеген. «Мен Sony және басқа компаниялардың MP3 ойнатқыштары бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл мұғалімі Сасаки.",3,"мәтін: Apple iPod Жапонияда басымдыққа ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының сандық музыка ойнатқышын тексеріп көрмеген. «Мен Sony және басқа компаниялардың MP3 ойнатқыштары бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл мұғалімі Сасаки.
жапсырма: 3","A)
мәтін: Apple iPod Жапонияда басымдыққа ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының цифрлық музыка ойнатқышын тексеріп көрмеген. «Мен Sony және басқа компаниялардың MP3 ойнатқыштары бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл оқытушысы Сасаки.  
жапсырма: 3  

B)
мәтін: Apple iPod Жапонияда артықшылыққа ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының сандық музыка плеерін тексеріп көрмеген. «Мен Sony және басқа компаниялардың MP3 плеерлері бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл маманы Сасаки.  
жапсырма: 3  

C)
мәтін: Apple iPod Жапонияда жетекшілікке ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының цифрлы музыка ойнатқышын тексеріп көрмеген. «Мен Sony және басқа фирмалардың MP3 ойнатқыштары бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл білгірі Сасаки.  
жапсырма: 3  

D)
мәтін: Apple iPod Жапонияда үстемдікке ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының сандық музыка құралын тексеріп көрмеген. «Мен Sony және басқа брендтердің MP3 құралдары бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл жетекшісі Сасаки.  
жапсырма: 3  ","мәтін: Apple iPod Жапонияда басымдыққа ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының цифрлық музыка ойнатқышын тексеріп көрмеген. «Мен Sony және басқа компаниялардың MP3 ойнатқыштары бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл оқытушысы Сасаки.  
жапсырма: 3","мәтін: Apple iPod Жапонияда артықшылыққа ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының сандық музыка плеерін тексеріп көрмеген. «Мен Sony және басқа компаниялардың MP3 плеерлері бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл маманы Сасаки.  
жапсырма: 3","мәтін: Apple iPod Жапонияда жетекшілікке ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының цифрлы музыка ойнатқышын тексеріп көрмеген. «Мен Sony және басқа фирмалардың MP3 ойнатқыштары бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл білгірі Сасаки.  
жапсырма: 3","мәтін: Apple iPod Жапонияда үстемдікке ие Джулиана Сасаки iPod mini сатып алмас бұрын Токиода Sony компаниясының сандық музыка құралын тексеріп көрмеген. «Мен Sony және басқа брендтердің MP3 құралдары бар екенін білетінмін, бірақ олар mini-ді жеңе алмайды», - дейді 23 жастағы тіл жетекшісі Сасаки.  
жапсырма: 3",A,A,A,A
" Есеп: EADS Thales компаниясымен байланыс орнатуы мүмкін Франция үкіметі аэроғарыштық алып компания құру үшін European Aeronautic Defence & Space Co. компанияларын Thales SA компаниясымен біріктіруді қарастырып жатыр, деп хабарлады жұма күні Les Echos қаржылық басылымы.",2,"мәтін:  Есеп: EADS Thales компаниясымен байланыс орнатуы мүмкін Франция үкіметі аэроғарыштық алып компания құру үшін European Aeronautic Defence & Space Co. компанияларын Thales SA компаниясымен біріктіруді қарастырып жатыр, деп хабарлады жұма күні Les Echos қаржылық басылымы.
жапсырма: 2","A)  Есеп: EADS Thales компаниясымен байланыс орнатуы ықтимал Франция үкіметі аэроғарыштық алып кәсіпорын құру үшін European Aeronautic Defence & Space Co. компанияларын Thales SA компаниясымен біріктіруді зерделеп жатыр, деп мәлімдеді жұма күні Les Echos қаржы басылымы.

B)  Есеп: EADS Thales компаниясымен байланыс орнатуы мүмкін Франция үкіметі аэроғарыштық ірі ұйым құру үшін European Aeronautic Defence & Space Co. компанияларын Thales SA компаниясымен біріктіруді зерттеп жатыр, деп хабарлады жұма күні Les Echos экономикалық басылымы.

C)  Есеп: EADS Thales компаниясымен байланыс орнатуы күтілуде Франция үкіметі аэроғарыштық алып кәсіпорын құру үшін European Aeronautic Defence & Space Co. компанияларын Thales SA компаниясымен біріктіруді тексеріп жатыр, деп хабарлады жұма күні Les Echos ақша басылымы.

D)  Есеп: EADS Thales компаниясымен байланыс орнатуы ықтимал Франция үкіметі аэроғарыштық үлкен компания құру үшін European Aeronautic Defence & Space Co. компанияларын Thales SA компаниясымен біріктіруді қарастырып жатыр, деп айтты жұма күні Les Echos қаржылық басылымы.",,,,,E,B,C,D
Microsoft бәсекелестері қызметінен кеткеннен кейін тыңдау белгіленді Microsoft корпорациясының Еуропалық Одақ санкцияларына қарсы апелляциясын қарастырып жатқан судья бейсенбі күні тағы екі ірі оқиғадан кейін қандай шара қолдану керектігін шешу үшін жабық отырыс өткізді.,2,"мәтін: Microsoft бәсекелестері қызметінен кеткеннен кейін тыңдау белгіленді Microsoft корпорациясының Еуропалық Одақ санкцияларына қарсы апелляциясын қарастырып жатқан судья бейсенбі күні тағы екі ірі оқиғадан кейін қандай шара қолдану керектігін шешу үшін жабық отырыс өткізді.
жапсырма: 2","A) мәтін: Microsoft бәсекелестері қызметінен кеткеннен кейін тыңдау белгіленді Microsoft корпорациясының Еуропалық Одақ санкцияларына қарсы шағымын қарастырып жатқан судья бейсенбі күні тағы екі ірі оқиғадан кейін қандай әрекет қолдану керектігін шешу үшін жабық отырыс өткізді. жапсырма: 2

B) мәтін: Microsoft бәсекелестері қызметінен кеткеннен кейін тыңдау белгіленді Microsoft корпорациясының Еуропалық Одақ санкцияларына қарсы аппеляциясын қарастырып жатқан сотья бейсенбі күні тағы екі ірі оқиғадан кейін қандай іс-әрекет қолдану керектігін шешу үшін жабық отырыс өткізді. жапсырма: 2

C) мәтін: Microsoft бәсекелестері қызметінен кеткеннен кейін тыңдау белгіленді Microsoft корпорациясының Еуропалық Одақ санкцияларына қарсы шағымын қарап жатқан судья бейсенбі күні тағы екі ірі оқиғадан кейін қандай шаралар қолдану керектігін шешу үшін жабық отырыс өткізді. жапсырма: 2

D) мәтін: Microsoft бәсекелестері қызметінен кеткеннен кейін тыңдау белгіленді Microsoft корпорациясының Еуропалық Одақ санкцияларына қарсы апелляциясын қарастырып жатқан сотья бейсенбі күні тағы екі ірі оқиғадан кейін қандай әрекет жасау керектігін шешу үшін жабық отырыс өткізді. жапсырма: 2",,,,,E,B,C,D
«РЕЙВЕНС» ҮШІН КҮТІМДЕР Балтимор «Рейвенс» командасы бір айға дейін негізгі шабуыл қаруларының бірінен айырылуы мүмкін. «Рейвенс» командасының бапкері Брайан Биллик дүйсенбіде екі дүркін Pro Bowl тайт-энді Тодд Хип оң тобығының қатты созылуына байланысты екі-төрт апта бойы ойыннан тыс қалуы мүмкін екенін айтты.,1,"мәтін: «РЕЙВЕНС» ҮШІН КҮТІМДЕР Балтимор «Рейвенс» командасы бір айға дейін негізгі шабуыл қаруларының бірінен айырылуы мүмкін. «Рейвенс» командасының бапкері Брайан Биллик дүйсенбіде екі дүркін Pro Bowl тайт-энді Тодд Хип оң тобығының қатты созылуына байланысты екі-төрт апта бойы ойыннан тыс қалуы мүмкін екенін айтты.
жапсырма: 1","A) мәтін: «РЕЙВЕНС» ҮШІН КҮТІМДЕР Балтимор «Рейвенс» командасы бір айға дейін негізгі шабуыл қаруларының бірінен айырылуы мүмкін. «Рейвенс» командасының бапкері Брайан Биллик дүйсенбіде екі дүркін Pro Bowl тайт-энді Тодд Хип оң тобығының қатты тартылуына байланысты екі-төрт апта бойы ойыннан тыс қалуы мүмкін екенін айтты. жапсырма: 1

B) мәтін: «РЕЙВЕНС» ҮШІН КҮТІМДЕР Балтимор «Рейвенс» командасы бір айға дейін маңызды шабуыл қаруларының бірінен айырылуы мүмкін. «Рейвенс» командасының бапкері Брайан Биллик дүйсенбіде екі дүркін Pro Bowl тайт-энді Тодд Хип оң тобығының қатты созылуына байланысты екі-төрт апта бойы ойыннан тыс қалуы мүмкін екенін хабарлады. жапсырма: 1

C) мәтін: «РЕЙВЕНС» ҮШІН КҮТІМДЕР Балтимор «Рейвенс» командасы бір айға дейін басты шабуыл қаруларының бірінен айырылуы мүмкін. «Рейвенс» командасының бапкері Брайан Биллик дүйсенбіде екі дүркін Pro Bowl тайт-энді Тодд Хип оң тобығының қатты тартылуына байланысты екі-төрт апта бойы ойыннан тыс қалуы мүмкін екенін белгіледі. жапсырма: 1

D) мәтін: «РЕЙВЕНС» ҮШІН КҮТІМДЕР Балтимор «Рейвенс» командасы бір айға дейін негізгі шабуыл қаруларының бірінен айырылуы мүмкін. «Рейвенс» командасының бапкері Брайан Биллик дүйсенбіде екі дүркін Pro Bowl тайт-энді Тодд Хип оң тобығының қатты созылуына байланысты екі-төрт апта бойы ойыннан тыс қалуы мүмкін екенін мәлімдеді. жапсырма: 1",,,,,E,B,C,D
"Футбол жаттықтырушысы Раймонд Гетальс 83 жасында қайтыс болды (AP) AP - 1993 жылы «Олимпик Марсель» командасын Еуропа чемпиондары кубогының титулына жеткізген бельгиялық футбол жаттықтырушысы Раймонд Гетальс дүйсенбі күні 83 жасында қайтыс болды, деп хабарлайды жаңалықтар.",1,"мәтін: Футбол жаттықтырушысы Раймонд Гетальс 83 жасында қайтыс болды (AP) AP - 1993 жылы «Олимпик Марсель» командасын Еуропа чемпиондары кубогының титулына жеткізген бельгиялық футбол жаттықтырушысы Раймонд Гетальс дүйсенбі күні 83 жасында қайтыс болды, деп хабарлайды жаңалықтар.
жапсырма: 1","A) Мәтін: Футбол жаттықтырушысы Раймонд Гетальс 83 жасында өмір сүруін тоқтатты (AP) AP - 1993 жылы «Олимпик Марсель» командасын Еуропа чемпиондары кубогының атағына жеткізген бельгиялық футбол жаттықтырушысы Раймонд Гетальс дүйсенбі күні 83 жасында өмір сүруін тоқтатты, деп хабарлайды жаңалықтар. Жапсырма: 1

B) Мәтін: Футбол жаттықтырушысы Раймонд Гетальс 83 жасында дүниеден озды (AP) AP - 1993 жылы «Олимпик Марсель» командасын Еуропа чемпиондары кубогының номинациясына жеткізген бельгиялық футбол жаттықтырушысы Раймонд Гетальс дүйсенбі күні 83 жасында дүниеден озды, деп хабарлайды жаңалықтар. Жапсырма: 1

C) Мәтін: Футбол жаттықтырушысы Раймонд Гетальс 83 жасында шетінеп кетті (AP) AP - 1993 жылы «Олимпик Марсель» командасын Еуропа чемпиондары кубогының сыйлығына жеткізген бельгиялық футбол жаттықтырушысы Раймонд Гетальс дүйсенбі күні 83 жасында шетінеп кетті, деп хабарлайды жаңалықтар. Жапсырма: 1

D) Мәтін: Футбол жаттықтырушысы Раймонд Гетальс 83 жасында қайтыс болып кетті (AP) AP - 1993 жылы «Олимпик Марсель» командасын Еуропа чемпиондары кубогының марапатына жеткізген бельгиялық футбол жаттықтырушысы Раймонд Гетальс дүйсенбі күні 83 жасында қайтыс болып кетті, деп хабарлайды жаңалықтар. Жапсырма: 1",,,,,E,B,C,D
Хостингтелген электрондық пошта қызметі Windows жүйесін Linux үшін қалдырады. Компания электрондық поштаны шағын және орта бизнес үшін аутсорсингке береді.,3,"мәтін: Хостингтелген электрондық пошта қызметі Windows жүйесін Linux үшін қалдырады. Компания электрондық поштаны шағын және орта бизнес үшін аутсорсингке береді.
жапсырма: 3","A)
Хостингтелген электрондық хат қызметі Windows жүйесін Linux үшін қалдырады. Компания электрондық хатты шағын және орта бизнес үшін аутсорсингке береді.

B)
Хостингтелген электрондық пошта қызметі Windows жүйесін Linux үшін қалдырады. Компания электрондық поштаны кіші және орта бизнес үшін аутсорсингке береді.

C)
Хостингтелген электрондық пошта қызметі Windows жүйесін Linux үшін жалға береді. Компания электрондық поштаны шағын және орта кәсіпорын үшін аутсорсингке береді.

D)
Хостингтелген электрондық хат қызметі Windows жүйесін Linux үшін ұстап қалады. Компания электрондық хатты шағын және орта бизнестер үшін аутсорсингке береді.",Хостингтелген электрондық хат қызметі Windows жүйесін Linux үшін қалдырады. Компания электрондық хатты шағын және орта бизнес үшін аутсорсингке береді.,Хостингтелген электрондық пошта қызметі Windows жүйесін Linux үшін қалдырады. Компания электрондық поштаны кіші және орта бизнес үшін аутсорсингке береді.,Хостингтелген электрондық пошта қызметі Windows жүйесін Linux үшін жалға береді. Компания электрондық поштаны шағын және орта кәсіпорын үшін аутсорсингке береді.,Хостингтелген электрондық хат қызметі Windows жүйесін Linux үшін ұстап қалады. Компания электрондық хатты шағын және орта бизнестер үшін аутсорсингке береді.,E,B,B,D
" Пауэлл Солтүстік Кореяға қару-жарақ келіссөздері бойынша қысым көрсетті АҚШ Мемлекеттік хатшысы Колин Пауэлл (сол жақта) Жапония премьер-министрі Дзюнитиро Коидзумимен жексенбі, 2004 жылғы 24 қазанда Токиодағы Сыртқы істер министрлігінің қосымша ғимаратында кездесу алдында қол алысып тұр.",0,"мәтін:  Пауэлл Солтүстік Кореяға қару-жарақ келіссөздері бойынша қысым көрсетті АҚШ Мемлекеттік хатшысы Колин Пауэлл (сол жақта) Жапония премьер-министрі Дзюнитиро Коидзумимен жексенбі, 2004 жылғы 24 қазанда Токиодағы Сыртқы істер министрлігінің қосымша ғимаратында кездесу алдында қол алысып тұр.
жапсырма: 0","A)  Пауэлл Солтүстік Кореяға қару-жарақ келіссөздері бойынша қысым жасауды АҚШ Мемлекеттік хатшысы Колин Пауэлл (сол жақта) Жапония премьер-министрі Дзюнитиро Коидзумимен жексенбі, 2004 жылғы 24 қазанда Токиодағы Сыртқы істер министрлігінің қосымша ғимаратында кездесу алдында қол беріп тұр.

B)  Пауэлл Солтүстік Кореяға қару-жарақ келіссөздері бойынша қысым көрсетуді АҚШ Мемлекеттік хатшысы Колин Пауэлл (сол жақта) Жапония премьер-министрі Дзюнитиро Коидзумимен жексенбі, 2004 жылғы 24 қазанда Токиодағы Сыртқы істер министрлігінің қосымша ғимаратында кездесу алдында қол ұстауда тұр.

C)  Пауэлл Солтүстік Кореяға қару-жарақ келіссөздері бойынша қысым көрсетуге АҚШ Мемлекеттік хатшысы Колин Пауэлл (сол жақта) Жапония премьер-министрі Дзюнитиро Коидзумимен жексенбі, 2004 жылғы 24 қазанда Токиодағы Сыртқы істер министрлігінің қосымша ғимаратында кездесу алдында қол ұсынып тұр.

D)  Пауэлл Солтүстік Кореяға қару-жарақ келіссөздері бойынша қысымға АҚШ Мемлекеттік хатшысы Колин Пауэлл (сол жақта) Жапония премьер-министрі Дзюнитиро Коидзумимен жексенбі, 2004 жылғы 24 қазанда Токиодағы Сыртқы істер министрлігінің қосымша ғимаратында кездесу алдында қол жиып тұр.",,,,,E,B,C,D
" Падж мен Гильен жарақаттармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе жарақаттарынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке ойындарда жоғалтты.",1,"мәтін:  Падж мен Гильен жарақаттармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе жарақаттарынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке ойындарда жоғалтты.
жапсырма: 1","A)
мәтін:  Падж мен Гильен зақымдармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе зақымдарынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке кездесулерде жоғалтты.
жапсырма: 1

B)
мәтін:  Падж мен Гильен жарақаттармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе жарақаттарынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке ойындарда жоғалтып алды.
жапсырма: 1

C)
мәтін:  Падж мен Гильен соққылармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе соққыларынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке матчтарда жоғалтты.
жапсырма: 1

D)
мәтін:  Падж мен Гильен жарақаттармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе жарақаттарынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке додаларда жоғалтты.
жапсырма: 1","мәтін:  Падж мен Гильен зақымдармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе зақымдарынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке кездесулерде жоғалтты.
жапсырма: 1","мәтін:  Падж мен Гильен жарақаттармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе жарақаттарынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке ойындарда жоғалтып алды.
жапсырма: 1","мәтін:  Падж мен Гильен соққылармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе соққыларынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке матчтарда жоғалтты.
жапсырма: 1","мәтін:  Падж мен Гильен жарақаттармен кетті. «Жолбарыстар» сенбі күні «Егіздерге» қарсы ойында тізе жарақаттарынан кейін екі жұлдызды ойыншысын, шортстоп Карлос Гильен мен қақпашы Иван Родригесті жеке додаларда жоғалтты.
жапсырма: 1",A,A,A,A
" IBM компаниясының дербес компьютерлер бизнесінен шығуы оның алғашқы қадамы болып, төңкеріс жасаған саламен ұзақ қоштасу болып табылатын соңғы қадам болар еді.",2,"мәтін:  IBM компаниясының дербес компьютерлер бизнесінен шығуы оның алғашқы қадамы болып, төңкеріс жасаған саламен ұзақ қоштасу болып табылатын соңғы қадам болар еді.
жапсырма: 2","A)
мәтін:  IBM компаниясының жеке компьютерлер бизнестерінен кетуі оның алғашқы қадамы болып, төңкеріс жасаған салада ұзақ қоштасу болып табылатын соңғы қадам болар еді.
жапсырма:  2

B)
мәтін:  IBM компаниясының дербес компьютерлер саласынан шығуы оның алғашқы қадамы болып, төңкеріс жасаған сектормен ұзақ қоштасу болып табылатын соңғы қадам болар еді.
жапсырма:  2

C)
мәтін:  IBM компаниясының жеке компьютерлер бизнесінен кетуі оның алғашқы қадамы болып, төңкеріс жасаған бағытпен ұзақ қоштасу болып табылатын соңғы қадам болар еді.
жапсырма:  2

D)
мәтін:  IBM компаниясының дербес компьютерлер іскерлігінен шығуы оның алғашқы қадамы болып, төңкеріс жасаған қызметпен ұзақ қоштасу болып табылатын соңғы қадам болар еді.
жапсырма:  2","мәтін:  IBM компаниясының жеке компьютерлер бизнестерінен кетуі оның алғашқы қадамы болып, төңкеріс жасаған салада ұзақ қоштасу болып табылатын соңғы қадам болар еді.
жапсырма:  2","мәтін:  IBM компаниясының дербес компьютерлер саласынан шығуы оның алғашқы қадамы болып, төңкеріс жасаған сектормен ұзақ қоштасу болып табылатын соңғы қадам болар еді.
жапсырма:  2","мәтін:  IBM компаниясының жеке компьютерлер бизнесінен кетуі оның алғашқы қадамы болып, төңкеріс жасаған бағытпен ұзақ қоштасу болып табылатын соңғы қадам болар еді.
жапсырма:  2","мәтін:  IBM компаниясының дербес компьютерлер іскерлігінен шығуы оның алғашқы қадамы болып, төңкеріс жасаған қызметпен ұзақ қоштасу болып табылатын соңғы қадам болар еді.
жапсырма:  2",A,A,A,A
" Epiphany байланыс орталығының CRM бағдарламалық жасақтамасын жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы пакеттерді қоса алғанда, жаңа аналитикалық бағдарламалық жасақтаманы шығаруда.",3,"мәтін:  Epiphany байланыс орталығының CRM бағдарламалық жасақтамасын жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы пакеттерді қоса алғанда, жаңа аналитикалық бағдарламалық жасақтаманы шығаруда.
жапсырма: 3","A)  
мәтін:  Epiphany байланыс орталығының CRM бағдарламалық жүйесін жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы топтамаларды қоса алғанда, жаңа аналитикалық бағдарламалық жүйені шығаруда.  
жапсырма: 3  

B)  
мәтін:  Epiphany байланыс орталығының CRM бағдарламалық кешенін жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы комплекттерді қоса алғанда, жаңа аналитикалық бағдарламалық кешенді шығаруда.  
жапсырма: 3  

C)  
мәтін:  Epiphany байланыс орталығының CRM бағдарламалық құрылымын жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы жинақтарды қоса алғанда, жаңа аналитикалық бағдарламалық құрылымды шығаруда.  
жапсырма: 3  

D)  
мәтін:  Epiphany байланыс орталығының CRM бағдарламалық шешімін жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы пакетдерді қоса алғанда, жаңа аналитикалық бағдарламалық шешімді шығаруда.  
жапсырма: 3  ","мәтін:  Epiphany байланыс орталығының CRM бағдарламалық жүйесін жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы топтамаларды қоса алғанда, жаңа аналитикалық бағдарламалық жүйені шығаруда.  
жапсырма: 3","мәтін:  Epiphany байланыс орталығының CRM бағдарламалық кешенін жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы комплекттерді қоса алғанда, жаңа аналитикалық бағдарламалық кешенді шығаруда.  
жапсырма: 3","мәтін:  Epiphany байланыс орталығының CRM бағдарламалық құрылымын жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы жинақтарды қоса алғанда, жаңа аналитикалық бағдарламалық құрылымды шығаруда.  
жапсырма: 3","мәтін:  Epiphany байланыс орталығының CRM бағдарламалық шешімін жасаушы Epiphany Inc. компаниясы осы аптада коммуникация және бөлшек сауда қаржы салаларына бағытталған екі жаңа өнім мен тік арнайы пакетдерді қоса алғанда, жаңа аналитикалық бағдарламалық шешімді шығаруда.  
жапсырма: 3",A,A,A,A
" «Блэкберн» командасының нәсілшіл жанкүйері бес жылға дисквалификацияланды Кеше футбол жанкүйері «Бирмингем Сити» шабуылшысы Дуайт Йоркті нәсілшілдікке балағаттап қорлағаны үшін кінәсін мойындағаны үшін 2400 доллар айыппұл төлеп, бес жылға дейін футбол алаңына кіруге тыйым салынды.",1,"мәтін:  «Блэкберн» командасының нәсілшіл жанкүйері бес жылға дисквалификацияланды Кеше футбол жанкүйері «Бирмингем Сити» шабуылшысы Дуайт Йоркті нәсілшілдікке балағаттап қорлағаны үшін кінәсін мойындағаны үшін 2400 доллар айыппұл төлеп, бес жылға дейін футбол алаңына кіруге тыйым салынды.
жапсырма: 1","A) мәтін:  «Блэкберн» командасының расист жанкүйері бес жылға дисквалификацияланды Кеше футбол жанкүйері «Бирмингем Сити» шабуылшысы Дуайт Йоркті расистікке балағаттап қорлағаны үшін кінәсін мойындағаны үшін 2400 доллар айыппұл төлеп, бес жылға дейін футбол алаңына кіруге тыйым салынды. жапсырма: 1

B) мәтін:  «Блэкберн» командасының нәсілдік жанкүйері бес жылға дисквалификацияланды Кеше футбол жанкүйері «Бирмингем Сити» шабуылшысы Дуайт Йоркті нәсілдікке балағаттап қорлағаны үшін кінәсін мойындағаны үшін 2400 доллар айыппұл төлеп, бес жылға дейін футбол алаңына кіруге тыйым салынды. жапсырма: 1

C) мәтін:  «Блэкберн» командасының нәсілшілдік жанкүйері бес жылға дисквалификацияланды Кеше футбол жанкүйері «Бирмингем Сити» шабуылшысы Дуайт Йоркті нәсілшілдікке балағаттап қорлағаны үшін кінәсін мойындағаны үшін 2400 доллар айыппұл төлеп, бес жылға дейін футбол алаңына кіруге тыйым салынды. жапсырма: 1

D) мәтін:  «Блэкберн» командасының нәсілшіл жанкүйері бес жылға дисквалификацияланды Кеше футбол жанкүйері «Бирмингем Сити» шабуылшысы Дуайт Йоркті нәсілшіл ретінде балағаттап қорлағаны үшін кінәсін мойындағаны үшін 2400 доллар айыппұл төлеп, бес жылға дейін футбол алаңына кіруге тыйым салынды. жапсырма: 1",,,,,E,B,C,D
