subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split
professional_law,"A state has enacted a party affiliation statute prohibiting a person from being an independent candidate in a general election if she had either (1) registered with a political party during the year prior to the immediately preceding primary, or (2) voted in that primary. The state adopted the so-called ""disaffiliation"" statute in order to have intraparty feuds resolved in primary elections rather than in the general election. Moreover, the state's elections director strongly supported the law and argued that it was necessary to avoid voter confusion and to ensure that the general election winner received a majority. A man, who was a registered Democrat in 2008, now wishes to run as an independent candidate in the November, 2009, general election. However, the elections director ruled that his candidacy violated the state's ""disaffiliation"" statute and barred him from appearing on the ballot. If the man files suit in federal district court challenging the constitutionality of the state's election statute, which of the following best states the burden of persuasion?",The state must demonstrate that the law is necessary to further an important state interest under equal protection analysis.,The state must demonstrate that the law is necessary to further a compelling state interest under fundamental rights analysis.,The man must demonstrate that the law is not rationally related to any legitimate state interest under fundamental rights analysis.,The man must demonstrate under fundamental rights analysis that the state has less restrictive alternative means available for independent candidates to get a ballot position.,1,B,test
high_school_psychology,Which of the following best exemplifies sensory adaptation?,enjoying a song the more you hear it,responding immediately every time the fire alarm is sounded,not realizing how cold the pool is after you are under the water for a few minutes,relying heavily on your hearing when you are walking down a dark corridor,2,C,test
college_biology,"In cloning experiments on the frog Xenopus laevis, nuclei were removed from intestinal cells of tadpoles and transplanted into zygotes whose nuclei had been removed. A small percent of these zygotes developed into normal frogs, suggesting that",intestinal cells can be transformed into all cell types,frogs do not have the same developmental constraints as other species,intestinal cell nuclei are highly specialized,the genomes of all somatic cells are equivalent,3,D,validation
high_school_us_history,"This question refers to the following information.
""I am in Birmingham because injustice is here. . . . Moreover, I am cognizant of the interrelatedness of all communities and states. I cannot sit idly by in Atlanta and not be concerned about what happens in Birmingham. Injustice anywhere is a threat to justice everywhere. We are caught in an inescapable network of mutuality, tied in a single garment of destiny. Whatever affects one directly affects all indirectly. Never again can we afford to live with the narrow, provincial 'outside agitator' idea. Anyone who lives inside the United States can never be considered an outsider anywhere in this country. . . .""
—Martin Luther King, Jr., ""Letter from a Birmingham Jail,"" April 16, 1963
Susan B. Anthony and others in the women's rights movement had a major influence on the ratification of which of the following?",The Nineteenth Amendment.,The Equal Rights Amendment.,The Fifteenth Amendment.,The Twenty-sixth Amendment.,0,A,test
conceptual_physics,A wave transfers,amplitude,wavelength,frequency,energy,3,D,test
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I knew my overweight teacher was dieting, so I offered her a big sundae. Scenario 2 | I found a wallet in the park and became its new owner.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,test
computer_security,What does EXE do when the STP solver times out on a constraint query for a particular path?,Assume that the query is satisfiable and continue executing the path.,Assume that the query is not satisfiable and stop executing the path,"Restart STP and retry the query, up to a limited number of retries.",Remove a subset of the constraints and retry the query.,1,B,test
moral_disputes, Huemer argues that there is no reason to think that the harms of drug use are in an important sense,more harmful on average than legally permitted harmful activities.,differing from the harms of other legally permitted harmful activities.,more detrimental to a person's character than otherslegally permitted harmful activities.,All of the above.,3,D,test
college_medicine,"The son of a bricklayer goes to college and i) becomes a teacher at a medical school, ii) gets promoted to tenured professor, and iii) moves across the country for a new tenured professor position at a different school. Sequentially, this man has experienced:","intergenerational mobility with respect to the father, horizontal mobility, horizontal mobility","intragenerational mobility with respect to the son, upward mobility, upward mobility","intergenerational mobility with respect to the father, upward mobility, horizontal mobility","intragenerational mobility with respect to the son, horizontal mobility, upward mobility",2,C,test
logical_fallacies,The complex proposition fallacy involves,including more than one claim in the proposition and treating proof for one claim as proof for all the claims.,"asking a question that includes either an unproven assumption or more than one question, thus making a straightforward yes or no answer meaningless.",arguing that a claim must be true because there is no evidence that it is false.,arguing something is inferior just because it doesn't do something it was never intended to do.,0,A,test
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I carefully avoided the birds in the air with my drone. Scenario 2 | I made my stepmom a strawberry shake because berries give her hives","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",2,C,test
high_school_world_history,"This question refers to the following information.
At the peak of their power, the domains of the Mongol khans, or rulers, made up a vast realm in which once-hostile peoples lived together in peace and virtually all religions were tolerated. . . . The law code first promulgated by Chinggis Khan ordered human interaction. The result was an important new stage in international contact. From eastern Europe to southern China, merchants and travelers could move across the well-policed Mongol domains without fear for their lives or property. The great swath of Mongol territory that covered or connected most of Europe, Asia, and the Middle East served as a bridge between the civilizations of the Eastern Hemisphere. The caravans and embassies that crossed the Mongol lands transmitted new food, inventions, and ideas from one civilized pool to others and from civilized pools to the nomadic peoples who served as intermediaries. Secure trade routes made for prosperous merchants and wealthy, cosmopolitan cities. They also facilitated the spread of foods [and] inventions . . . a major force for economic and social development and the enhancement of civilized life.
—Robert Guisepi, 1992
The Mongol empire used which of the following to integrate its vast, geographically diverse area?",Emphasis on trade networks,Expansion of bureaucracy to reinforce dominance,The use of state-sponsored religion to legitimize the government,Expansion of an interregional canal system,0,A,test
