question,предмет,выбор,отвечать,sheet
"Этот вопрос относится к следующей информации. Источник 1: «Вы вполне можете спросить: «Почему прямые действия? Почему сидячие забастовки, марши и так далее?» «Разве переговоры не лучший путь?» Вы совершенно правы, призывая к переговорам. Действительно, в этом и заключается цель прямых действий. Ненасильственные прямые действия стремятся создать такой кризис и усилить такое напряжение, чтобы сообщество, постоянно отказывавшееся от переговоров, было вынуждено столкнуться с проблемой. Они стремятся настолько драматизировать проблему, чтобы ее больше нельзя было игнорировать. Мое упоминание создания напряжения как части работы ненасильственного сопротивления может показаться довольно шокирующим. Но я должен признаться, что не боюсь слова «напряжение». Я искренне выступал против насильственного напряжения, но существует тип конструктивного, ненасильственного напряжения, необходимого для роста. Так же, как Сократ считал необходимым создавать напряжение в уме, чтобы люди могли подняться из рабства мифов и полуправды в свободную сферу творческого анализа и объективной оценки, мы должны видеть необходимость в ненасильственных «возмутителях спокойствия», чтобы создать в обществе такое напряжение, которое поможет людям подняться из тьмы. «От глубин предрассудков и расизма к величественным высотам взаимопонимания и братства». Мартин Лютер Кинг-младший, Письмо из Бирмингемской тюрьмы, 1966 г. Источник 2: «Мы, мужчины и женщины, настоящим учреждающие себя как Национальная организация женщин, считаем, что настало время для нового движения к подлинному равенству всех женщин в Америке и к полностью равноправному партнерству полов в рамках всемирной революции в области прав человека, происходящей сейчас внутри и за пределами наших национальных границ. Цель NOW — предпринять действия для обеспечения полного участия женщин в основной жизни американского общества, осуществляя все привилегии и обязанности в подлинно равноправном партнерстве с мужчинами. Мы считаем, что настало время выйти за рамки абстрактных споров, дискуссий и симпозиумов о статусе и особой природе женщин, которые бушевали в Америке в последние годы; настало время противостоять конкретными действиями условиям, которые сейчас мешают женщинам пользоваться равными возможностями и свободой, на которые они имеют право как отдельные американки и как люди». Национальная организация женщин, Заявление о целях, 1966 г. Источник 3: «Долгосрочная цель движения за освобождение геев, которая неизбежно приводит нас к конфликту с институционализированным сексизмом этого общества, состоит в том, чтобы избавить общество от системы гендерных ролей, лежащей в основе нашего угнетения. Этого можно достичь только путем устранения социального давления на мужчин и женщин, заставляющего их соответствовать узко определенным гендерным ролям. Особенно важно, чтобы детей и молодежь поощряли развивать свои собственные таланты и интересы и выражать свою индивидуальность, а не играть стереотипные роли, чуждые их природе. Поскольку мы не можем осуществить эти революционные изменения в одиночку, и поскольку отмена гендерных стереотипов также является необходимым условием освобождения женщин, мы будем работать над формированием стратегического союза с движением за освобождение женщин, стремясь развивать наши идеи и нашу практику в тесной взаимосвязи. Для построения этого союза братьям в движении за освобождение геев придется быть готовыми пожертвовать той степенью мужского шовинизма и мужских привилегий, которыми они все еще обладают». Манифест Фронта освобождения геев, 1971 г. Какую из следующих тактик автор Источника 1 одобряет в качестве средства достижения своих целей?",история мира в старшей школе, ['Насильственное свержение правительства' 'Ненасильственное сопротивление' 'Умиротворение' 'Судебные действия'],1,Sheet1
" Ценовая эластичность спроса на продукт выше, если", микроэкономика для старшей школы, [«Доля товара в бюджете потребителя высока.» «Период времени для реагирования на изменение цены короткий.» «Количество товаров-заменителей ограничено.» «Продукт является предметом первой необходимости.»],0,Sheet1
 Какое из следующих утверждений описывает свойства чисто сегментированной системы памяти? I. Она делит память на единицы равного размера. II. Она позволяет реализовать виртуальную память. III. Она страдает от внутренней фрагментации.,колледж_информатики, ['Только I' 'Только II' 'Только III' 'I и III'],1,Sheet1
 Какое из следующих утверждений лучше всего описывает сухожильный орган Гольджи?, клинические_знания," ['Проприоцептивный двигательный рецептор, расположенный внутри основного тела мышцы.' 'Проприоцептивный сенсорный рецептор, расположенный в месте соединения мышцы и сухожилия.' 'Проприоцептивный сенсорный рецептор, расположенный внутри основного тела мышцы.' 'Проприоцептивный двигательный рецептор, расположенный в месте соединения мышцы и сухожилия.']",1,Sheet1
 Пожилые работники чаще склонны к, старение человека, ['Отсутствовать на работе' 'Быть недовольным своей работой' 'Стать менее продуктивным' 'Быть уволен'],3,Sheet1
"Веб-дизайнер решила приобрести и загрузить онлайн программное обеспечение для решения технических задач своего бизнеса по веб-дизайну. На странице программы она нажала кнопку «скачать» и успешно загрузила продукт. Она сделала это, не ознакомившись с условиями лицензирования программного обеспечения. Если бы она сначала прокрутила страницу вниз до следующего видимого экрана, она бы увидела следующее приглашение: «Пожалуйста, ознакомьтесь с условиями лицензирования данного программного обеспечения и согласитесь с ними». Она использовала программу в течение нескольких месяцев, пока не обнаружила, что она использует технологию отслеживания для скрытой рассылки десятков рекламных предложений от третьих лиц ее клиентам. Компания проигнорировала ее просьбы прекратить это. Она подала в суд на компанию, чтобы остановить несанкционированное отслеживание, но компания ответила, сославшись на свои условия лицензирования, которые требуют передачи всех споров на частный арбитраж. Вероятно ли, что федеральный окружной суд отклонит иск веб-дизайнера и назначит арбитраж, как того требуют условия лицензирования программного обеспечения?",профессиональное_право," ['Да, потому что дизайнер получила выгоду от программы, и она требовала соблюдения условий лицензирования.' 'Нет, потому что дизайнер не получила достаточно четкого уведомления о том, что она должна принять условия лицензирования до загрузки и использования продукта.' 'Да, потому что условия были достаточно очевидны, чтобы любой мог их найти, и она бы увидела это примечание, если бы посмотрела внимательно.' 'Нет, потому что договоры, заключенные онлайн, должны быть подписаны и исполнены с той же формальностью, что и бумажные договоры.']",1,Sheet1
" 45-летняя женщина обратилась в клинику для обследования по поводу необъяснимого повышения артериального давления. Часто возникают приступы головной боли, потливости, тревоги, тошноты и рвоты. Компьютерная томография выявила образование в левом надпочечнике. Какой из следующих анализов мочи будет наиболее полезен для установления диагноза этой пациентки?", профессиональная_медицина, ['кортизол' 'глюкоза' 'натрий' 'ванилилминдальная кислота'],3,Sheet1
" Какая из перечисленных единиц является наименьшей единицей, на которую непосредственно действует естественный отбор?", биология для старшей школы,"[""частота генов вида"" ""частота генов популяции"" ""геном индивида"" ""фенотип индивида""]",3,Sheet1
" Любой набор логических операторов, достаточный для представления всех логических выражений, называется полным. Какой из следующих наборов НЕ является полным?", колледж_информатики," ['{AND, NOT}' '{NOT, OR}' '{AND, OR}' '{NAND}']",2,Sheet1
"Женщина с ожирением записалась на программу по снижению веса, которая обещала ей похудение до рекомендованного врачом диапазона. В рекламных материалах утверждалось, что запатентованные методы и пищевые добавки являются «чудесным открытием», которое сработает для любого человека в течение 24 месяцев. Стоимость программы составляла 1000 долларов в месяц; женщина заплатила в общей сложности 24 000 долларов за два года, но похудела всего на 6 фунтов и осталась с избыточным весом. Бывший сотрудник программы сказал ей, что никакого патента, никакого чудесного открытия нет, а добавки ничем не отличаются от обычных витаминов. Она подала в суд на программу за введение в заблуждение. Вероятно ли, что она выиграет дело?", профессиональное_право,"['Нет, потому что заявления, являющиеся всего лишь «напыщенными» или субъективными мнениями, не могут служить основанием для искажения фактов.' 'Да, потому что программа была обязана в полном объеме раскрыть ей все факты.' 'Нет, потому что она не имела оснований полагаться на невероятные заявления, которые были сделаны.' 'Да, потому что программа сознательно делала ложные фактические заявления, на которые полагалась клиентка.']",3,Sheet1
 Какие из перечисленных ниже критических замечаний в адрес HM встречаются чаще всего?, исследования безопасности,"[«Господь Мейсон уделяет недостаточно внимания роли рабочего, вместо этого сосредотачиваясь на капиталисте как источнике власти и важнейшем действующем лице. Он также может намекать на капиталистические властные структуры, в ущерб обеспечению безопасности трудящихся». «Господь Мейсон слишком часто обвиняет капитализм в том, что он действует исключительно в своих собственных интересах, и объясняет все с точки зрения классовой борьбы, в ущерб более широкому анализу. Некоторые версии Господа Мейсона утверждают, что обнаружили объективные законы истории, точность которых широко оспаривается». «Господь Мейсон неизбежно редукционист и чрезмерно упрощает сложности капитализма, признавая только его негативные аспекты и пагубные последствия». «Все эти варианты».]",1,Sheet1
 Эозинофильный эзофагит, питание, ['Приводит к дивертикулу пищевода' 'Может вызвать обструкцию пищевода' 'Не связано с аллергией' 'Помогает при применении антацидов'],1,Sheet1
" Компания Star Co. — розничный магазин, специализирующийся на современной мебели. Следующая информация взята из бюджета Star за июнь: Продажи 540 000 долл. США; Себестоимость проданных товаров 300 000 долл. США; Товарные запасы на 1 июня 150 000 долл. США; Товарные запасы на 30 июня 180 000 долл. США; Кредиторская задолженность за покупки на 1 июня 85 000 долл. США; Кредиторская задолженность за покупки на 30 июня 75 000 долл. США. Какую сумму Star должна заложить в бюджет на денежные выплаты по покупкам в июне?", профессиональный_бухгалтерский_учет," ['$260,000' '$280,000' '$320,000' '340000']",3,Sheet1
" Житель штата объявил о своей кандидатуре на пост представителя штата. Закон штата требует от новых политических деятелей, независимо от партийной принадлежности, собрать в пять раз больше подписей, чем другие кандидаты, ранее баллотировавшиеся на выборные должности. Однако житель не смог собрать необходимое количество подписей, подтверждающих подлинность его имени, чтобы его имя было включено в избирательный бюллетень. По существу конституционного вопроса о действительности требования о подтверждении подлинности подписей, наиболее вероятным судебным решением будет следующее:", профессиональное_право,"['Признать требование об аутентификации неконституционным как нарушающее положение о надлежащей правовой процедуре Четырнадцатой поправки.' 'Признать требование об аутентификации неконституционным как нарушающее положение о равной защите Четырнадцатой поправки.' 'Отклонить иск, поскольку государственные процедуры проведения выборов являются функцией суверенного государства.' 'Возложить бремя доказывания действительности требования об аутентификации на государство.']",3,Sheet1
" Энергия диссоциации водородно-бромной связи определяется как изменение энтальпии, ΔH, для какой из следующих реакций?", колледж_химия, ['2 HBr(g) → H2(g) + Br2(l)' 'HBr(g) → H+(g) + Br−(g)' 'H(g) + Br(g) → HBr(g)' 'HBr(g) → H(g) + Br(g)'],3,Sheet1
" Пациенту назначен ропинирол 1,5 мг, разделенный на три приема. Какова доза в микрограммах? Выберите один из следующих ответов:",клинические_знания, ['5' '50' '0.5' '500'],3,Sheet1
" Какой из перечисленных пунктов не входит в число общепризнанных проблем, стоящих перед современными менеджерами?", управление, ['Микроуправление персоналом' 'Управление коммуникациями' 'Управление изменениями' 'Управление обучающейся организацией'],0,Sheet1
 «Закон природы основан на природе человека и на его внутренней потребности жить в обществе». Кто это сказал?, юриспруденция, ['Гуго Гроций' 'Гоббс' 'Локк' 'Руссо'],1,Sheet1
 Чему равно частное от деления 1224/9?, элементарная_математика," ['135' '136' '1,215' '1,360']",1,Sheet1
"Во время весенних каникул частная школа-интернат опустела, так как ученики и учителя были в отпуске. Школьный психолог остался на территории кампуса, поскольку работал над исследовательским проектом. Однажды поздно вечером психолог решил войти в комнату ученика из очень богатой семьи. Он рылся в комнате ученика в поисках чего-нибудь ценного, чтобы украсть. Под кроватью он заметил дорогой чемодан. Открыв чемодан, психолог обнаружил конверт для экспресс-почты. Психолог знал, что отец ученика часто отправлял сыну деньги в таких конвертах. Открыв конверт, психолог увидел, что в нем находится большое количество белого порошка, который, как он заподозрил, был героином. Психолог позвонил в полицию, и в школу был направлен полицейский. Психолог передал полицейскому конверт, который тот отвез в полицейский участок. В участке полицейский открыл конверт и отправил образец вещества в полицейскую лабораторию. Анализы подтвердили, что это героин. Полиция не получила ордер на обыск, прежде чем конфисковать и открыть конверт. Впоследствии студент был арестован и обвинен в незаконном хранении контролируемого опасного вещества. Адвокат студента подал ходатайство об исключении героина из доказательств. Вероятно, ходатайство будет удовлетворено.",профессиональное_право," ['Разрешено, поскольку полиция должна была получить ордер до изъятия конверта.' 'Разрешено, поскольку полиция должна была получить ордер до вскрытия конверта.' 'Отказано, поскольку обыск проводился частным лицом.' 'Отказано, поскольку консультант, как сотрудник школы, действовал в качестве родителя.']",2,Sheet1
"Теотиуакан получил известность в бассейне Мехико после своего соперника, Куикуилько.", доисторический период, ['был разрушен извержением вулкана.' 'погиб в гражданской войне между правящими семьями.' 'пострадал от неурожая.' 'был затоплен ураганом на побережье Мексиканского залива.'],0,Sheet1
Какое из следующих утверждений описывает ошибочность апелляции к злобе?, логические_ошибки," ['Ответ на аргумент выражением насмешки вместо контраргумента', 'Опровержение позиции, основанное исключительно на негативных личных чувствах к этой позиции', 'Утверждение, что кто-то должен что-то сделать только потому, что этот человек не любит кого-то другого', 'Утверждение, что кто-то не должен что-то делать, потому что, если он или она это сделает, люди его или ее не полюбят']",2,Sheet1
 Взаимная индукция электрических и магнитных полей может привести к возникновению, концептуальная_физика, ['свет' 'энергия' 'Оба варианта' 'Ни один из вариантов'],0,Sheet1
 Кто из этих мировых лидеров был убит?, разнообразный, ['Индира Ганди' 'Фердинанд Маркос' 'Голда Меир' 'Невилл Чемберлен'],0,Sheet1
" Декарт заявляет, что злой демон _____.", философия," ['несомненно существует' 'не может существовать' 'возможно, обманывает его' 'должен существовать, если существует Бог']",2,Sheet1
" Преломление происходит, когда волна пересекает границу и изменяется.", концептуальная_физика, ['скорость и направление' 'интенсивность' 'частота' 'амплитуда'],0,Sheet1
" В эпоху плейстоцена острова Ява, Суматра, Бали и Борнео образовали ___________. Суша, соединяющая Австралию, Новую Гвинею и Тасманию, называлась ___________.", доисторический период, ['Сунда; Уоллеса '' Уоллеса; Берингия' 'Берингия; Сахул''Сунда; Сахуль],3,Sheet1
" Телесный угол, образованный площадью 2400 см² на поверхности сферы диаметром 1,2 м, равен", электротехника, ['3 / 2.' '1 / 3.' '2 / 3.' '2 / 5.'],2,Sheet1
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я быстро рассмеялся над горящим ребёнком. Сценарий 2 | Я связал женщине лодыжку, чтобы она не смогла убежать.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1
" Как, по-вашему, образовались «горячие Юпитеры» вокруг других звёзд?", астрономия," «Они образовались, когда их звёзды выбросили вещество в систему в процессе, подобном делению планет». «Они образовались как газовые гиганты за линией замерзания, а затем мигрировали внутрь». «Они образовались как плотные каменистые планеты вблизи звезды на тех же орбитах, по которым их можно наблюдать сегодня». «Они образовались как газовые гиганты вблизи звезды на тех же орбитах, по которым их можно наблюдать сегодня».",1,Sheet1
