question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split
1130,"A woman duly executed a will under which she devised her farm to her nephew and bequeathed the residue of her estate to her niece. For 12 years after executing her will, the woman lived on her farm. Then she sold it and used the sales proceeds to purchase a home in the city, in which she lived until she died, never having changed her will. Following the admission of the will to probate, both the nephew and the niece claimed ownership of the home. There is no applicable statute. Who is the owner of the home?","The nephew, because of the doctrine of ademption.","The nephew, because of the doctrine of equitable estoppel.","The niece, because of the doctrine of lapse.","The niece, because she is the residuary legatee.",,,,,,,A,0,law,ori_mmlu-professional_law,,test
2194,What sex and race differences have been found on the Internal-External Control Scale? Discuss.,"Women are more internal than men, but there is no significant difference between blacks and whites",There are no sex and race differences on the Internal-External Control Scale,Women are more external than men and blacks are more external than whites,Women are more internal than men and blacks are more internal than whites,"There is no significant difference between men and women, but blacks are more external than whites","Women are more internal than men, and whites are more internal than blacks","Women and men are equally internal, but whites are more internal than blacks",Men are more external than women and whites are more external than blacks,Men are more internal than women and blacks are more internal than whites,"Men and women are equally external, but blacks are more internal than whites",C,2,psychology,stemez-Psychology,,test
4687,"This question refers to the following information.
""In one view the slaveholders have a decided advantage over all opposition. It is well to notice this advantage—the advantage of complete organization. They are organized; and yet were not at the pains of creating their organizations. The State governments, where the system of slavery exists, are complete slavery organizations. The church organizations in those States are equally at the service of slavery; while the Federal Government, with its army and navy, from the chief magistracy in Washington, to the Supreme Court, and thence to the chief marshalship at New York, is pledged to support, defend, and propagate the crying curse of human bondage. The pen, the purse, and the sword, are united against the simple truth, preached by humble men in obscure places.""
Frederick Douglass, 1857
Frederick Douglass was most influenced by which of the following social movements?",Second Great Awakening,The Enlightenment,The Temperance Movement,The Abolitionist Movement,Manifest Destiny,The Civil Rights Movement,First Great Awakening,The Women's Suffrage Movement,Popular Sovereignty,The Industrial Revolution,A,0,history,ori_mmlu-high_school_us_history,,test
5023,"This question refers to the following information.
""But you, my dear Pangloss,"" said Candide, ""how can it be that I behold you again?""
""It is true,"" said Pangloss, ""that you saw me hanged&….A surgeon purchased my body, carried home, and dissected me. He began with making a crucial incision on me from the navel to the clavicula. One could not have been worse hanged than I was. The executioner of the Holy Inquisition was a sub-deacon, and knew how to burn people marvellously well, but he was not accustomed to hanging. The cord was wet and did not slip properly, and besides it was badly tied; in short, I still drew my breath, when the crucial incision made me give such a frightful scream that my surgeon fell flat upon his back&…[At length he] sewed up my wounds; his wife even nursed me. I was upon my legs at the end of fifteen days&….
One day I took it into my head to step into a mosque, where I saw an old Iman and a very pretty young devotee who was saying her paternosters&….She dropped her bouquet; I picked it up, and presented it to her with a profound reverence. I was so long in delivering it that the Iman began to get angry, and seeing that I was a Christian he called out for help. They carried me before the cadi, who ordered me a hundred lashes on the soles of the feet and sent me to the galleys. I was chained to the very same galley and the same bench as the young Baron. On board this galley there were four young men from Marseilles, five Neapolitan priests, and two monks from Corfu, who told us similar adventures happened daily. The Baron maintained that he had suffered greater injustice than I&….We were continually disputing, and received twenty lashes with a bull's pizzle when the concatenation of universal events brought you to our galley, and you were good enough to ransom us.""
""Well, my dear Pangloss,"" said Candide to him, ""when you had been hanged, dissected, whipped, and were tugging at the oar, did you always think that everything happens for the best?""
""I am still of my first opinion,"" answered Pangloss, ""for I am a philosopher and I cannot retract, especially as Leibnitz could never be wrong; and besides, the pre-established harmony is the finest thing in the world, and so is his plenum and materia subtilis.""
Voltaire, French Enlightenment writer, Candide, 1759
The critiques offered by Voltaire through Candide are most closely shared by what other philosopher?",David Hume,Cesare Baccaria,Karl Marx,Adam Smith,Jean-Jacques Rousseau,Friedrich Nietzsche,John Locke,Søren Kierkegaard,Immanuel Kant,Thomas Hobbes,A,0,history,ori_mmlu-high_school_european_history,,test
3597,What will be the final concentration of I^- in a solution made by mixing 35.0 ml of 0.100 M NaHSO_3 with 10.0 ml of 0.100 M KIO_3? Assume volumes are additive.,6.0 × 10^-4 moles,1.0 ×10^-3 moles,1.5 ×10^-3 moles,3.0 × 10^-3 moles,7.0 × 10^-4 moles,2.5 × 10^-3 moles,8.0 × 10^-4 moles,2.0 ×10^-3 moles,5.0 ×10^-4 moles,1.2 × 10^-3 moles,B,1,chemistry,stemez-Chemistry,,test
8235,"A farmer wants to know whether a new fertilizer has increased the mean weight of his apples. With the old fertilizer, the mean weight was 4.0 ounces per apple. The farmer decides to test H0: μ = 4.0 ounces versus Ha : μ > 4.0 ounces, at a 5 percent level of significance, where μ = the mean weight of apples using the new fertilizer. The weights of apples are approximately normally distributed. The farmer takes a random sample of 16 apples and computes a mean of 4.3 ounces and a standard deviation of 0.6 ounces. Which of the following gives the p-value for this test?",P(Z > 2),P(Z < 2),P(Z > 2) with 16 degrees of freedom,P(t > 2) with 15 degrees of freedom,P(t < 2) with 15 degrees of freedom,P(Z < 1.5),P(Z > 1.5),P(t > 1.5) with 15 degrees of freedom,P(t < 2) with 16 degrees of freedom,P(t < 1.5) with 15 degrees of freedom,D,3,math,ori_mmlu-high_school_statistics,,test
8584,What is the inverse of $f(x)=4-5x$?,\frac{x-4}{5},5(x-4),-5(x-4),\frac{x-4}{5},5x-4,-\frac{x-4}{5},\frac{x+4}{5},\frac{5}{x-4},-\frac{5}{x-4},\frac{4-x}{-5},F,5,math,ori_mmlu-high_school_mathematics,,test
7081,"Adam Smith relied on the workings of the profit motive in his theory of the 'invisible hand'. Yet, at the same time, he attacked businessmen for their attempts at 'conspiracy against the public'. How did Smith reconcile hiseconomic system with the greed of some businessmen? Would hecall for government intervention in order to break up these conspiracies ?",Smith thought that the fear of public backlash and loss of reputation would keep businesses from engaging in conspiracies.,Smith believed in the unchecked profit motive.,Smith called for government intervention in business.,"Smith believed that competition could regulate and control the profit motive, preventing price-fixing conspiracies. He would not call for government intervention.",Smith felt that moral sentiments would naturally discourage businessmen from conspiracies without requiring government intervention.,Smith advocated for strict regulations on business practices to prevent any form of conspiracy against the public.,Smith supported legal monopolies.,Smith trusted in a self-regulating economy where market forces would dissolve monopolies without any external interference.,Smith argued that consumers' choices would be enough to disrupt any attempts at a conspiracy against the public.,Smith suggested that the natural cycle of economic booms and busts would prevent long-term conspiracies and monopolistic practices.,D,3,economics,stemez-Economics,,test
10440,Obtain the 15's and 16's complement of the following hexadecimalnumbers: a) FFOb) 1234c) ABCDd) 0000,"a) 000, b) EDCD, c) 5434, d) 0001","a) FFO, b) 1234, c) ABCD, d) 0000","a) 00F, b) EDDD, c) 5432, d) FFF0","a) 010, b) EECB, c) 6543, d) 000F","a) 00F, b) EDCB, c) 5432, d) FFFF","a) 010, b) EDCC, c) 5433, d) 10000","a) FFF, b) 1234, c) ABCD, d) 0000","a) FFF, b) 1235, c) ABCD, d) 0001","a) 010, b) EDBA, c) 5430, d) FFF1","a) 001, b) EDBB, c) 5431, d) FFFE",F,5,computer science,stemez-ComputerScience,,test
9692,A 4.0-gm bullet is fired from a 5.0-kg gun with a speed of 600 m/sec. What is the speed of recoil of the gun?,- 0.50 m/sec,- 0.52 m/sec,- 0.45 m/sec,- 0.38 m/sec,- 0.60 m/sec,- 0.48 m/sec,- 0.40 m/sec,- 0.35 m/sec,- 0.42 m/sec,- 0.55 m/sec,F,5,physics,stemez-Physics,,test
10082,A parallel beam of light of radiant energy density 6.4 × 10^4 J/m^3 is incident on a plane mirror. What is a) the momentum acting upon the mirror and b) the force exerted upon it during 5 seconds illumination?,"4.28 × 10^-5 kgm/s, 8.58 × 10^-6 N/m^2","6.28 × 10^-4 kgm/s, 1.258 × 10^-4 N/m^2","3.28 × 10^-4kgm/s, 7.58 × 10^-5 N/m^2","5.28 × 10^-3 kgm/s, 1.058 × 10^-4 N/m^2","2.28 × 10^-4 kgm/s, 4.58 × 10^-5 N/m^2","4.28 × 10^-4kgm/s, 8.58 × 10^-5 N/m^2","3.28 × 10^-3 kgm/s, 6.58 × 10^-4 N/m^2","4.28 × 10^-4 kgm/s, 7.58 × 10^-5 N/m^2","5.28 × 10^-4kgm/s, 9.58 × 10^-5 N/m^2","4.28 × 10^-3kgm/s, 8.58 × 10^-4 N/m^2",F,5,physics,stemez-Optics,,test
10739,"The following signal $x_1(t)=\cos (3 \pi t)-4 \cos (5 \pi t-0.5 \pi)$ can be expressed as $x_1(t)=\operatorname{Real}\left(A e^{j \pi B t}\right)+\operatorname{Real}\left(D e^{j \pi E t}\right)$. What are B,E?","[2, 5]","[5, 3]","[7, 4]","[1, 6]","[5, 2]","[3, 5]","[2, 4]","[6, 1]","[3, 7]","[4, 7]",F,5,computer science,theoremQA-EECS,,test
8550,"Suppose you did 10 independent tests of the form H0: μ = 25 versus Ha: μ < 25, each at the α = 0.05 significance level. What is the probability of committing a Type I error and incorrectly rejecting a true H0 with at least one of the 10 tests?",0.60,0.50,0.30,0.05,1.00,0.70,0.10,0.20,0.80,0.40,J,9,math,ori_mmlu-high_school_statistics,,test
8450,"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",9,4,7,3,6,10,5,12,8,11,G,6,math,ori_mmlu-elementary_mathematics,,test
2495,Discuss the segmentation problem in speech recognition as itcontributes to the pattern recognition theory of human perception.,"The segmentation problem arises when the speech recognition system cannot cope with homophones, words that sound the same but have different meanings.",The segmentation problem is the result of a lack of sufficient training data for the speech recognition system to learn from.,The segmentation problem is due to the speed of speech.,"The segmentation problem in speech recognition is that there is no apparent break in the spoken waveform at the beginnings and endings of words, the distinction we hear is a result of neural analysis done by a pattern recognition system.",The segmentation problem occurs because the speech recognition system cannot handle the variations in pitch and tone of the speaker's voice.,The segmentation problem is the result of the speaker's accent.,The segmentation problem is the inability of the speech recognition system to differentiate between different languages.,The segmentation problem is caused by the volume of speech.,The segmentation problem is attributed to the speech recognition system's inability to process multiple speakers simultaneously.,The segmentation problem is due to background noise interfering with the speech recognition system's ability to accurately process spoken words.,D,3,psychology,stemez-Psychology,,test
10423,"Say the incidence of a disease D is about 5 cases per 100 people (i.e., P(D) = 0.05). Let Boolean random variable D mean a patient “has disease D” and let Boolean random variable TP stand for ""tests positive."" Tests for disease D are known to be very accurate in the sense that the probability of testing positive when you have the disease is 0.99, and the probability of testing negative when you do not have the disease is 0.97. What is P(D | TP), the posterior probability that you have disease D when the test is positive?",0.0495,0.02,0.05,0.1,0.99,0.635,0.078,0.25,0.97,,F,5,computer science,ori_mmlu-machine_learning,,test
5631,"A company exchanged land with an appraised value of $50,000 and an original cost of $20,000 for machinery with a fair value of $55,000. Assuming that the transaction has commercial substance, what is the gain on the exchange?","$45,000","$5,000","$30,000","$25,000",$0,"$20,000","$15,000","$35,000","$50,000","$10,000",C,2,other,ori_mmlu-professional_accounting,,test
261," _______, where actors are convinced that their actions harms nobody, _______ where actors argue that their norm violation is an attempt to realize higher-order values and ________ , where actors argue they are owed something, are all strategies for justifying or denying unethical behaviour.","Appeal to higher loyalties, Metaphor of the ledger, Denial of injury","Denial of injury, Metaphor of the ledger, Appeal to higher loyalties,","Denial of injury, Metaphor of the balance, Appeal to higher loyalties","Metaphor of the ledger, Denial of injury, Appeal to higher loyalties","Denial of responsibility, Metaphor of the ledger, Appeal to higher loyalties","Appeal to higher loyalties, Denial of injury, Metaphor of the ledger","Denial of victim, Appeal to higher loyalties, Metaphor of the ledger","Appeal to higher loyalties, Denial of responsibility, Metaphor of the ledger","Metaphor of the ledger, Denial of victim, Appeal to higher loyalties","Denial of injury, Appeal to higher loyalties, Metaphor of the ledger",J,9,business,ori_mmlu-business_ethics,,test
9251,"If one holds a lens 50 cm from a flash lamp and finds that an image of the lamp is sharply focused at a distance of 16.6 cm from the lens, what is the power of the lens?",3 diopters,4 diopters,16 diopters,6 diopters,2 diopters,10 diopters,20 diopters,12 diopters,8 diopters,14 diopters,I,8,physics,stemez-Optics,,test
6515,"How much dietary protein should athletes consume daily?
",>2.0 g protein per kg bodyweight per day,1.2-1.7 g protein per kg bodyweight per day,<0.8 g protein per kg bodyweight per day,1.5-2.0 g protein per kg bodyweight per day,1.0-1.5 g protein per kg bodyweight per day,1.7-2.2 g protein per kg bodyweight per day,0.5-0.8 g protein per kg bodyweight per day,1.8-2.0 g protein per kg bodyweight per day,0.8-1.4 g protein per kg bodyweight per day,0.8-1.2 g protein per kg bodyweight per day,B,1,health,ori_mmlu-nutrition,,test
7404,GNP attempts to measure the annual production of the econ-omy. Non-productive transactions should not be included in its computation. What are 'non-productive transactions'?,Transactions exclusively involving agricultural products,Exports and imports of goods and services,Consumer spending on durable goods,Government spending on infrastructure projects,Investments in education and healthcare,public and private transfer payments,Sales of new manufactured goods and services,transactions involving current production,wage payments and stock market transactions,purely financial transactions and second-hand sales,J,9,economics,stemez-Economics,,test
5097,On a set of jumper cables what color designates the negative connector?,green,red,black,brown,purple,white,yellow,grey,blue,orange,C,2,other,ori_mmlu-miscellaneous,,test
9364,Find the best approximation for the surface temperature of the Sun:,9000 K,5000 K,6000 K,14000 K,8000 K,12000 K,7000 K,11000 K,13000 K,10000 K,C,2,physics,ori_mmlu-astronomy,,test
3867,How much electricity will be required to decompose 454g of water by electrolysis? The overall reaction is 2H_2O \rightarrow 2H_2 + O_2.,100.8 faradays,35.7 faradays,125.6 faradays,150.4 faradays,12.6 faradays,200.8 faradays,50.4 faradays,25.2 faradays,67.2 faradays,75.6 faradays,G,6,chemistry,stemez-Chemistry,,test
7446,"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",It would rise more quickly for negative disturbances than for positive ones of the same magnitude,It would be symmetrical about zero,It would rise less quickly for negative disturbances than for positive ones of the same magnitude,It would be zero for all positive disturbances,,,,,,,A,0,economics,ori_mmlu-econometrics,,test
121,"Assume the following model (from the preceding problem). Y = C + I + G C = 100 + 0.6Y I = 0.2Y - 50i M_D = 0.25Y - 30i M_s = 65 G = 100 whose equilibrium level was found to be 500. Suppose that full employment level of income is 600, so that the desired change is 100. If the money supply is held constant, what change in govern-ment spending will be required to close the deflationary gap?",80,75,55,90,50,61.5,70,85,100,65,F,5,business,stemez-Business,,test
12170,"From economy considerations, suggest the use of either aluminium alloy or copper alloy fins. The following data is given: Density of the aluminium alloy = 2400 kg/m^3 Density of the copper allow = 8400 kg/m^3 Conductivity of the aluminium alloy = 78 kCal/m-hr°C Conductivity of the copper alloy = 190 kCal/m-hr°C The cost of aluminium alloy is twice the cost of copper alloy.","copper alloy for the core structure, with aluminium alloy as a decorative finish","aluminium alloy for low-temperature applications, copper alloy for high-temperature applications",copper alloy,"aluminium alloy, but with increased thickness to match copper alloy performance",a composite material that blends both aluminium and copper alloys,equal amount of both alloys,copper alloy with a coating of aluminium for enhanced conductivity,alternating layers of aluminium and copper alloys,neither alloy,aluminium alloy,C,2,engineering,stemez-HeatTransfer,,test
2857,During which phase of the cell cycle does the quantity of DNA in a eukaryotic cell typically double?,Telophase,G_2,Prophase,Interphase,Metaphase,Cytokinesis,G_1,Anaphase,S,M,I,8,biology,ori_mmlu-high_school_biology,,test
5934,"Among the following groups that have traditionally supposed the Democratic Party, which has the least liberal constituency?",African Americans,Urban residents,Labor union members,Hispanic and Latino Americans,White Southerners,Northern ethnic minorities,College students,LGBTQ+ community,Environmental activists,Women's rights advocates,E,4,other,ori_mmlu-high_school_government_and_politics,,test
10080,"A beam of parallel rays, parallel to the axis, falls on the objective of a telescope equipped with aRamsdeneyepiece and adjusted so that the final image is at infinity. If the focal length of the objective is 30.00 cm and the common focal length of each of the lenses of the eyepiece is 6.0 cm, find the diameter of the beam of light emerging from the telescope. (Diameter of objective is 3.0 cm.)",35 cm,10 cm,12 cm,20 cm,30 cm,25 cm,24 cm,15 cm,28 cm,18 cm,D,3,physics,stemez-Optics,,test
948,"A buyer contracted to purchase a used car from a seller for $10000. On the date the sale was to take place, the buyer tendered a $10,000 cashier's check to the seller. The seller rejected the tender and refused to deliver the car to the buyer. If the buyer brings an action for breach of contract against the seller, the buyer is entitled to which of the following remedies?",Specific performance.,Recovery of the cost of the cashier's check.,Recovery of the market price of the car.,Recovery of the contract price of the car.,Reimbursement for transportation costs incurred due to the lack of a car.,Damages measured by the difference between the market price and the contract price for the car.,Damages for emotional distress.,Punitive damages against the seller.,An injunction to prevent the seller from selling the car to someone else.,,F,5,law,ori_mmlu-professional_law,,test
11155,Cicero claims that there could be “no more pernicious doctrine” than the idea that:,it is sometimes necessary to act against one's principles.,it is sometimes permissible to lie.,moral rightness is relative to one’s culture.,morality is subjective and can be changed based on personal preferences.,a thing may be expedient without being morally right.,lying is always morally wrong.,one's actions do not have consequences.,the gods do not care what we do.,there is no absolute truth.,the gods are indifferent to human affairs.,E,4,philosophy,ori_mmlu-philosophy,,test
3676,"Chlorine may be prepared by the action of KClO_3 on HCl, and the reaction may be represented by the equation: KClO_3 + 6HCl \rightarrow KCl + 3Cl_2 + 3H_2 O Calculate the weight of KClO_3 which would be required to produce 1.0 liter of Cl_2 gas at STP. R = .082 liter-atm/mole -°K.",2.75 g,1.50 g,3.00 g,0.92 g,2.50 g,1.00 g,1.20 g,2.10 g,3.68 g,1.84 g,J,9,chemistry,stemez-Chemistry,,test
9093,"A steel rod of length L = 20 cm and cross-sectional area A = 3 cm^2 is heated at one end to T_1 = 300°k while the other end rests in ice. Assuming that heat transmission occurs exclusively through the rod (without losses from the walls), calculate the mass m of the ice melting in time ∆t = 10 min. The thermal conductivity of steel is k = 0.16 cal deg^-1 sec^-1cm^-1.",3.0 gr,4.0 gr,3.5 gr,2.4 gr,7.3 gr,5.2 gr,8.1 gr,4.86 gr,5.8 gr,6.0 gr,H,7,physics,stemez-Physics,,test
10106,"A magnetic field is directed perpendicular to the plane of a circular coil of area 0.2 m^2 and 250 turns. If the magnetic field is increased from 0.01 T to 0.06 T during a time interval of 0.25 s, the average induced EMF in the coil is",2.5 V,1.5 V,0.5 V,15 V,0.04 V,0.1 V,10 V,0.2 V,5 V,20 V,G,6,physics,ori_mmlu-college_physics,,test
1538,"The board of a state university has adopted the following rule concerning residency requirements:""A student will be considered a legal resident of the state for the purpose of registering at the university if such person is over the age of 21 and has established a legal residence in the state for at least one year next preceding the last day of registration for credit. ""A student moved to the state and immediately enrolled at the state university. Since he did not fulfill the university residency requirement, the student was required to pay $1,800 tuition each semester, which was $400 more than the tuition of state resident-students. In an action by the student challenging the constitutionality of the provision governing the determination of residency for the purpose of fixing a fee differential for out-of-state students in public college, the court will most likely declare the provision","unconstitutional, because it constitutes a violation of the equal protection clause of the Fourteenth Amendment.","constitutional, because the fee differential promotes a compelling state interest.","unconstitutional, because it constitutes a violation of the privileges and immunities clause of Article IV, Section 2.","constitutional, because it is within the university's rights to set tuition fees.","constitutional, because the provision does not trigger strict scrutiny.","unconstitutional, because it constitutes a violation of the due process clause of the Fourteenth Amendment.","unconstitutional, because it discriminates against out-of-state students.","unconstitutional, because it infringes upon the student's right to education.","constitutional, because it serves a legitimate state interest in encouraging state residency.",,E,4,law,ori_mmlu-professional_law,,test
4585,"The escape velocity, the speed at which molecules can escape the earth's gravitational field, is approximately 1.1 × 10^6 cm sec^-1 (about 7 miles sec^-1). At what temperature, approximately, will the root mean square velocity value for H_2 be equal to the escape velocity? (R = 8.3 × 10^7 erg mole^-1 deg^-1 ; at. wt: H = 1)",1.50 × 10^4 K,1.20 × 10^4 K,9.72 × 10^3 K,3.00 × 10^5 K,6.50 × 10^3 K,1.1 × 10^6 K,5.00 × 10^3 K,7.50 × 10^3 K,2.42 × 10^12 K,2.42 × 10^12 deg,C,2,chemistry,stemez-PhysicalChemistry,,test
3136,"The thymus gland is a two-lobed, glandular-appearing structure located in the upper region of the chest just behind the sternum. What are the two principal functions that have been attributed to this gland?",Synthesizes vitamin D and aids in the digestion of fats,Secretes bile to help in digestion and stores nutrients,Acts as the primary site for the synthesis of blood platelets and filters out old red blood cells,Produces white blood cells and regulates body temperature,Produces antibodies for immune response and generates heat to maintain body temperature,Controls the body's metabolism and regulates calcium levels,Regulates the body's salt and water balance and helps control blood volume,Provides the initial supply of lymphocytes for other lymphoid areas and releases the hormone thymosin which stimulates the differentiation of incipient plasma cells in the lymphoid tissues,"Produces hormones that regulate growth and development, and controls blood pressure",Produces insulin and glucagon to regulate blood sugar levels,H,7,biology,stemez-Biology,,test
8176,"When the least common multiple of two positive integers is divided by their greatest common divisor, the result is 33. If one integer is 45, what is the smallest possible value of the other integer?",225,15,90,165,46,30,9,66,45,135,D,3,math,ori_mmlu-high_school_mathematics,,test
8817,"The first term of a given sequence is 1, and each successive term is the sum of all the previous terms of the sequence. What is the value of the first term which exceeds 5000?",8192,10000,5001,8191,5120,5000,10240,4096,2048,5002,A,0,math,ori_mmlu-high_school_mathematics,,test
8064,For the two linear equations $2 * x + 3 * y = 10$ and $4 * x + 4 * y = 12$ iwth variables x and y. Use cramer's rule to solve these two variables.,"[4, 1]","[-1, 4]","[2, 2]","[3, 2]","[1, 2]","[0, 3]","[-2, 6]","[1, 5]","[2, 3]","[5, -1]",B,1,math,theoremQA-Math,,test
7706,"Self-efficacy (the belief that one has control over one's situation) as it related to job satisfaction was studied. When a group of teachers rated their ability to control their situation and their satisfaction with their job, the two variables had a correlation of 0.30. Which statement follows from this correlation?",Teachers in the study who were more satisfied with their job were less confident in their ability to control their situation.,There is a negative correlation between job satisfaction and self-efficacy.,The correlation implies that job satisfaction causes increased self-efficacy.,The correlation of 0.30 indicates that there is no relationship between self-efficacy and job satisfaction.,"If you want teachers to be happy with their job, give them more control over their situation.",Teachers who were less satisfied with their job had more confidence in their ability to control their situation.,The correlation implies that self-efficacy causes increased job satisfaction.,"If you want teachers to take more control over their situation, make them happier at their jobs.",30% of the variability in job satisfaction can be explained by the linear model with self-efficacy as a predictor.,9% of the variability in job satisfaction can be explained by the linear model with self-efficacy as a predictor.,J,9,math,ori_mmlu-high_school_statistics,,test
4468,What is the pH of 0.500 M NaHSO_3? TheK_eqfor NaHSO_3 is 1.26 × 10^-2.,1.13,1.90,3.20,2.50,0.300,2.70,0.500,2.00,0.734,1.26,A,0,chemistry,stemez-Chemistry,,test
10641,"Let a undirected graph G with edges E = {<0,2>,<2,1>,<2,3>,<3,4>,<4,1>}, which <A,B> represent Node A is connected to Node B. What is the shortest path from node 4 to node 0? Represent the path as a list.","[4, 3, 1, 0]","[4, 2, 1, 0]","[4, 3, 2, 0]","[4, 1, 0]","[4, 3, 2, 1, 0]","[4, 3, 1, 2, 0]","[4, 1, 3, 2, 0]","[4, 3, 0]","[4, 1, 2, 0]","[4, 2, 3, 1, 0]",I,8,computer science,theoremQA-EECS,,test
7313,"Which of the following statements is true concerning variance decomposition analysis of VARs?

i) Variance decompositions measure the impact of a unit shock to each of the variables on the VAR

ii) Variance decompositions can be thought of as measuring the proportion of the forecast error variance that is attributable to each variable

iii) The ordering of the variables is important for calculating impulse responses but not variance decompositions

iv) It is usual that most of the forecast error variance for a given variable is attributable to shocks to that variable","(i), (ii) and (iv) only",(ii) and (iii) only,(i) and (ii) only,"(ii), (iii), and (iv) only",(ii) and (iv) only,(i) and (iii) only,(iii) and (iv) only,(i) and (iv) only,"(i), (ii), and (iii) only","(i), (ii), (iii), and (iv)",E,4,economics,ori_mmlu-econometrics,,test
1334,"A 12-year-old boy decided to play a practical joke. Knowing that his parents were giving a dinner party that evening, the boy filled a bucket with ice-cold water and balanced it on the partially open door of the guest bedroom, thinking that his father would take the guests' coats there to put them on the bed. The boy then went off to play at a friend's house. The boy's father decided to keep all the guests' coats in the hall closet instead of putting them in the guest bedroom. Later that evening, one of the guests mistakenly wandered into the guest bedroom while searching for a bathroom. As the guest opened the door, the bucket fell and hit his head, causing a severe cut that required a dozen stitches. If the guest sues the boy for negligence, the most likely result is","the boy loses, because this ""practical joke"" posed a risk of severe harm and, therefore, the boy had a duty to exercise as much care as a reasonable adult.","the boy wins, because a child's conduct cannot be negligent.","the boy loses, because he did not act with the amount of care that one would expect from a 12-year-old child.","the boy wins, because he could not foresee that a guest would mistakenly enter the guest bedroom.","the boy wins, because he did not expect anyone to enter the guest bedroom.","the boy loses, as he left the house without removing the trap, knowing his parents were having guests over.","the boy wins, because the guest should have been more careful in an unfamiliar house.","the boy wins, because the guest unreasonably assumed the risk of entering an unfamiliar room rather than asking for directions to the bathroom.","the boy loses, because he intentionally set a trap that could potentially cause harm.",,C,2,law,ori_mmlu-professional_law,,test
11214,Nussbaum claims that the specification of particular virtues:,can only be determined by religious institutions.,is strictly based on personal belief systems.,can be universally agreed upon without cultural differences.,can be settled in such a way as to be no longer revisable.,might sometimes turn out to be a disjunction.,will always be consistent across all societies.,is influenced solely by an individual's personal experiences.,is always subject to change and cannot be finalized.,will always consist of a single answer.,is necessarily relative to a culture.,E,4,philosophy,ori_mmlu-philosophy,,test
3461,"How is the mating response in houseflies,Muscadomestica, controlled?",The mating response in houseflies is controlled by the intensity of the male flies' wing vibrations.,"The mating response in houseflies is influenced primarily by the time of day, regardless of other conditions.",The mating response in houseflies is determined by the male flies' prior mating experiences.,"The mating response in houseflies is controlled by the pheromone (Z)-9-tricosene produced by females and the activity of the individual male flies, both of which are under genetic control.",The mating response in houseflies is controlled by the age of the male flies.,The mating response in houseflies is controlled by the temperature and light conditions.,The mating response in houseflies is regulated by the humidity levels in the environment.,The mating response in houseflies is controlled by the nutritional status of the female flies.,The mating response in houseflies is controlled by the dominance hierarchy established among male flies.,The mating response in houseflies is controlled by the physical appearance of the females.,D,3,biology,stemez-Genetics,,test
254,"A typewriter is priced at $80, less series discounts of 20%, 10%, 5%. What is the net price?",$46.08,$56.00,$65.00,$60.00,$54.72,$62.40,$52.00,$58.40,$50.00,$48.00,E,4,business,stemez-Business,,test
