question,тақырып,таңдаулар,жауап,sheet
"Құрылыс салушы ауылдық округте орналасқан 300 акр жер учаскесінің иесі болды. Уақыт өте келе ол жерді тұрғын үй учаскесіне айналдырды. Тұрғын үй учаскесінің солтүстік шекарасы бойымен төрт жолақты қоғамдық тас жол өтті. Тұрғын үй учаскесі алғаш рет жобаланған кезде, құрылыс салушы учаскенің батыс шекарасы бойымен (және оны қоса алғанда) жеке жол салды. Бұл жеке жол тек учаскеде жер учаскелерін сатып алған иелерінің пайдасы үшін пайдаланылды. Үй иесінің тұрғын үй учаскесінің сыртында 20 акр жер учаскесі болды, ол қоғамдық тас жолдың астында және жеке жолдың батыс жағына тікелей жақын орналасқан. Үй иесінің мүлкі екі 10 акр жер учаскесіне бөлінді: 1-жер учаскесі солтүстік жартысы болды және қоғамдық тас жолмен шектесті; 2-жер учаскесі оңтүстік сектор болды және өзенге жақын орналасқан. 1997 жылы үй иесі 1-жер учаскесін кепілдік актісі бойынша ер адамға берді. Актіде ешқандай ауыртпалық туралы айтылмаған. Алты айдан кейін үй иесі кепілдік актісі бойынша 2-жер учаскесін әйелге берді. Ер адам да, әйел де өз құжаттарын дереу округтік тіркеу кеңсесіне тіркеді. 2-ші учаскенің ешбір бөлігі қоғамдық жолға жанаспайды деп есептейік. Нәтижесінде, әйел өз мүлкін жеке жолмен байланыстыратын кіреберіс жол салды. Әйел шамамен екі ай бойы жеке жолды пайдаланғаннан кейін, тұрғын үй учаскесіндегі иесі болып табылатын мұғалім әйелге жеке жолды пайдалануды тоқтатуды бұйырды. Мұғалімнің әйелге жеке жолды пайдалануға тыйым салу туралы тиісті талабы бойынша, әйел...",кәсіби_құқық," ['жеке жолда эстоппель арқылы сервитут болғандықтан ұтыс.' 'жеке жолда сервитуттың жасырын өкілі болғандықтан ұтыс.' 'егер жеке жол әйелдің өз меншігіне кіруі және шығуы үшін жалғыз кіреберіс жолы болмаса, ұтыс.' 'өйтіс, себебі оның жеке жолмен жүруге заңды құқығы жоқ.'",3,Sheet1
" Терри Скиавоның тамақтандыру түтігін алып тастау туралы шешім, осылайша оның сусызданудан өлуіне әкеп соқтырды, келесі жағдайды ескеру қажет:", моральдық_даулар, ['ерікті эвтаназия.' 'дәрігердің көмегімен суицид.' 'пассивті эвтаназия.' 'белсенді эвтаназия.'],2,Sheet1
"2020 жылғы жағдай бойынша АҚШ-тағы қарапайым моральдық стандарттарға сәйкес, осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-сценарий | Автокөлік жарысының қызығы мені қуантты. 2-сценарий | Бағдаршам жасыл түске ауысқанға дейін мен қиылыстан өттім.", моральдық_сценарийлер," ['Қате, қате' 'Қате, қате емес' 'Қате емес, қате' 'Қате емес, қате емес' 'Қате емес, қате емес']",2,Sheet1
 Конгресс округтерінің шекара сызықтары әр 10 жыл сайын қайта сызылып отыруы керек, орта мектеп_үкіметі_және_саясат, ['ұлттық халық санағы көрсеткен халық санының ауысуын көрсету'''конгресстегі орындардың көпшілігінің ауысуына кепілдік беру'''әр штаттың конгресс делегациясы тұрғындардың партиялық байланыстарын дәл көрсететініне көз жеткізу'''қай партияның көшбасшысы Өкілдер палатасының спикері болып тағайындалатынын анықтау'],0,Sheet1
 Лебердің тұқым қуалайтын көру атрофиясы келесі мутациядан туындайды:, медициналық_генетика, ['12-хромосома.' '18-хромосома.' '21-хромосома.' 'митохондриялық ДНҚ.'],3,Sheet1
 Бағалы қағаздарды секьюритилендіру процесі қалай аяқталады?, қауіпсіздікті зерттеу,"[«Құнды қағаздарды секьюритизациялау процесі – саяси салаға кірмейтін мәселе саясиландырылып, саяси жүйе шеңберінде басқарылатын кезде. Құнды қағаздарға айналдырылған мәселе үкіметтік әрекетті талап ететін мемлекеттік саясаттың бөлігі болып табылады; шешім қабылдау, ресурстарды бөлу және тіпті қауымдастықты басқару». «Құнды қағаздарға айналдырушы субъект саяси саладан тыс болған кезде мәселені секьюритизациялауды талап ете алады. Экзистенциалды қауіп қоғамдық талқылауға кірмеген кезде де мемлекеттің назарын аударатын мәселе болуы мүмкін. Құнды қағаздарға айналдыру дегеніміз – қауіпті саяси процесте пайда болғанға дейін тану». «Құнды қағаздарға айналдыру дегеніміз – мәселелердің саясаттандырылған күйден саясаттың жоғары күйіне, шешім қабылдау қызметінің қалыпты саяси саласынан тысқа жылжуын білдіреді. Саяси саладан жоғары қойылғаннан кейін, оны қалыпты іс-шаралардан жоғары мемлекеттік мүддеге айналдырғаннан кейін қоғамдық салаға қайтаруға болмайды». «Мәселе саясаттандырылған саладан секьюритизацияланған салаға ауысқан кезде қауіпсіздік мәселесі ретінде қарастырылатын секьюритизациялануы мүмкін. Бағалы қағаздарды секьюритизациялау процесінде бағалы қағаздарды секьюритизациялаушы актер(лер) аудиторияны қарастырылып отырған мәселенің шұғыл және басымдықты екеніне және оның қандай да бір сілтеме жасайтын объектіге экзистенциалды қауіп төндіретініне сендіру үшін дискурсты пайдаланады.",3,Sheet1
 Парацетамол қабылдаған кезде пациенттер төмендегілердің қайсысын есте сақтауы керек?, клиникалық_білім,"[«Бұл Варфарин сияқты басқа дәрілердің тиімділігіне кедергі келтіруі мүмкін». «Оны тек «қажет болған жағдайда» беру керек». «Пациенттер кездейсоқ артық дозалануды болдырмау үшін рецептсіз сатылатын суық тиюге қарсы дәрілердің құрамын мұқият тексеруі керек, себебі мұндай препараттардың құрамында көбінесе қосымша парацетамол болады». «Бұл қызбамен ауыратын науқастарға қарсы көрсетілімде.»",2,Sheet1
" Жаңа өнімнің күтілетін сату бағасы - $19.00. Басшылықтың мақсаты - барлық сатылымдардан 20% үлес маржасын алу. Егер жаңа өнімнің айнымалы сату және тарату шығындары бір данасына $3.00 болса, өнімнің мақсатты айнымалы өндірістік құны қандай?", кәсіби_бухгалтерлік_есеп, ['$12.20' '$12.80' '$15.80' '18.2'],0,Sheet1
" Джулия табысын көтергеннен кейін, ол балмұздақ конустарын көбірек және балмұздақтарды азырақ сатып ала бастады. Джулия үшін балмұздақ", орта мектеп_микроэкономикасы, ['сұраныс заңына бағынбау' 'бірлескен өнім' 'балмұздақпен толықтырылатын тауар' 'төмен сапалы тауар'],3,Sheet1
MMPI нәтижелері қандай тұлға теоретигін көбірек қызықтырады?, орта мектеп психологиясы, ['психоаналитикалық' 'гуманистік' 'бихевиористік' 'қасиет'],3,Sheet1
 ХІХ ғасырдағы өнеркәсіптік өндіріс келесі белгілермен сипатталды:, әлеуметтану," ['жоғары мәртебелі лауазымдардағы әйелдер санының артуы'', 'үй шаруашылығында жұмыс істейтін үй шаруасындағы әйелдер мен үй шаруасындағы жұмысшылар'', 'меншік пен бақылаудың бөлінуіне себеп болған 'басқарушылық революция'', 'билікпен басқарылатын машиналар және жұмысшылардың ірі жұмыс орындарына шоғырлануы']",3,Sheet1
 Номиналды ЖІӨ өскен кезде ақшаға сұраныстың артуын күтеміз, орта мектеп_макроэкономикасы," ['пайыздық мөлшерлемені арттыратын қаржы активі ретінде тұтынушылар көбірек ақша талап еткен сайын өсу.' 'пайыздық мөлшерлемені арттыратын тұтынушылар транзакциялар үшін көбірек ақша талап еткен сайын өсу.' 'доллардың сатып алу қабілеті төмендеген сайын пайыздық мөлшерлемені төмендету.' 'тұтынушылар транзакциялар үшін көбірек ақша талап еткен сайын төмендеу, пайыздық мөлшерлемені арттыру.'",1,Sheet1
 Шығыс Азияның индустриалды аймақтары туралы келесі тұжырымдардың қайсысы дұрыс?, орта мектеп географиясы," ['Жапонияда бай табиғи ресурстар базасы бар.' 'Қытайда табиғи ресурстар жетіспейді, бірақ жұмыс күші көп.' 'Қытай тез индустрияланып жатыр.' 'Тайваньда өнеркәсіптік кәсіпорындар мен білімді жұмыс күші жетіспейді.']",2,Sheet1
 Фортепиано нотасы соғылған кезде 1134 Гц камертон соғылады. Сіз секундына үш соққы естисіз. Фортепиано ішегінің жиілігі, тұжырымдамалық_физика,['1131 Гц' '1134 Гц' '1137 Гц' 'Қосымша ақпарат қажет'],3,Sheet1
 2017 жылы жан басына шаққанда келесі елдердің қайсысы ең көп CO2 шығарды?, жаһандық_фактілер, ['Жапония' 'Канада' 'Ресей' 'Иран'],1,Sheet1
" Келесі аргумент үшін толық ақиқат кестесін құрыңыз. Содан кейін, ақиқат кестесін пайдаланып, аргументтің жарамды немесе жарамсыз екенін анықтаңыз. Егер аргумент жарамсыз болса, қарсы мысалды ұсынатын нұсқаны таңдаңыз. (Басқа қарсы мысалдар да болуы мүмкін.) ~(M ≡ ~N) M / N", формальды_логика,['Жарамды' 'Жарамсыз. M және N шын болған кездегі қарсы мысал' 'Жарамсыз. M шын және N жалған болған кездегі қарсы мысал' 'Жарамсыз. N шын және M жалған болған кездегі қарсы мысал'],0,Sheet1
" Көмек агенттіктеріне қайырымдылық жасау бойынша қосалқы міндеттеріміз бар екенін мойындай отырып, Эшфорд біз мұны істей аламыз деп тұжырымдайды", моральдық_даулар,"[«тиімді альтруизм ең жақсы жағдайда жабысқақ тәсіл болып табылады деген сынның күшін мойындау, сонымен бірге осы сынды тарату». «тиімді альтруизмнің жаһандық кедейлікке дұрыс жауап бола алмайтынын мойындау». «қосымша міндеттер моральдық тұрғыдан шұғыл емес болғандықтан, жаһандық кедейлерге қатысты міндеттерімізге жеңілдік сезіну». «Жоғарыда айтылғандардың ешқайсысы емес».]",0,Sheet1
"Отладчик P процесінде 0x77E81234 виртуалды мекенжайындағы (он алтылық белгі) жүктеу нұсқауына үзіліс нүктесін орнатады деп есептейік. Егер P мәтіндік сегменті P-нің виртуалды мекенжай кеңістігінде 0x77E80000-ден басталса және егер отладчик осы мәтіндік сегментті өзінің виртуалды мекенжай кеңістігінде 0x01000000-да бейнелесе, келесілердің қайсысы отладчиктің WRITE операциясында пайдаланатын виртуалды мекенжайы және отладчиктің осы мекенжайды қамтитын виртуалды жад бетін қалай бейнелегені туралы сипаттама болып табылады?", колледж_компьютер_ғылымы, ['0x01001234; бет READ/WRITE қатынасымен бейнеленген' '0x01001234; бет COPY-ON-WRITE қатынасымен бейнеленген' '0x76E81234; бет READ/WRITE қатынасымен бейнеленген' '0x76E81234; бет COPY-ON-WRITE қатынасымен бейнеленген'],0,Sheet1
 Персоналды іріктеуде іріктеу коэффициенті келесідей анықталады, кәсіби_психология, ['табысты бірлескен сәтсіз жұмысшылардың қатынасы' 'табысты таңдалған жұмысшылар санының жұмыстың қиындық деңгейіне қатынасы' 'жұмысты орындау үшін жалданған топқа дұрыс орналастырылған жұмысшылардың пайызы' 'қажетті жұмысшылар санының қолжетімді үміткерлер санына қатынасы'],3,Sheet1
" Ретикулярлық формация және ретикулярлық белсендіру жүйесі келесі функциялардың барлығымен байланысты, БІРЕУІНЕН БАСҚАСЫ:", кәсіби_психология, ['Есту тітіркендіргіштерін декуссациялау' 'Сергектік' 'Сана' 'Ауырсыну''],0,Sheet1
"Белгілі бір штатта медицинамен айналысуға лицензиясы бар дәрігер штат сотында жалған адамдарға рецепт жазу арқылы белгілі бір дәрі-дәрмектерді дұрыс таратпағаны үшін сотталды. Штат заңы бойынша, рецепт жазу құқығын мұндай теріс пайдалану дәрігер лицензиясын қайтарып алуды талап етеді. Дәрігердің сотталғандығы туралы ресми хабарлама алғаннан кейін, штаттық медициналық кеңес дәрігерге тыңдау мүмкіндігін бермей, дәрігер лицензиясын қайтарып алды. Дәрігер лицензияны қайтарып алу алдында сот отырысы өткізу мүмкіндігін бермегендіктен, заңмен белгіленген тәртіпте мүліктен айыру туралы шағым түсіріп, лицензияны қайтарып алуды тоқтатуды талап етті. Дәрігер сотталғандығын немесе оның нақты негізін жоққа шығармайды. Штаттық медициналық кеңесті қолдау үшін келесілердің қайсысы ең күшті дәлел болып табылады?", кәсіби_құқық,"[«Дәрігердің практика жүргізуге лицензиясы құқық емес, артықшылық болып табылады және сондықтан Он төртінші түзетудің тиісті процессуалдық бабының мағынасында меншік болып табылмайды». «Тиісті процесс мүдделердің тепе-теңдігін талап етеді, ал мемлекеттің есірткіні теріс пайдаланудың алдын алуға мүддесі тәртіптік іс жүргізуде қолданылатын нақты процедурадағы дәрігердің мүддесінен басым болады». «Дәрігер лицензиясын қайтарып алу үшін қажетті сот ісін жүргізу фактілері қылмыстық сот ісінде анықталды, сондықтан тиісті процесс сот отырысының кез келген басқа түрдегі тыңдауын қажет етпейді». «Лицензиялық кеңес дәрігер лицензиясын қысқаша қайтарып алуы керек болды, себебі Конституцияның IV бабының 1-бөлімі лицензиялық кеңестен дәрігердің қылмыстық сотталуына толық сенім мен құрмет көрсетуді талап етеді».]",2,Sheet1
 Клондау туралы талқылауда SCNT нені білдіреді?, моральдық_даулар, ['тері жасушаларының ядролық тасымалы' 'бағаналы жасушалардың ядролық тасымалы' 'соматикалық жасушалардың ядролық тасымалы' 'жоғарыда аталғандардың ешқайсысы емес'],2,Sheet1
" Күйеуі әйелінің опасыздығына байланысты ажырасуды сұрап жүрген адвокатқа барады. Клиентпен кеңесу кезінде адвокаттың хатшысы жазбалар жазып алды. Күйеуінің рұқсатымен адвокаттың заңгері де кеңеске қатысып, адвокаттың бұл кездесулерді қалай өткізетінін көрді. Адвокатпен алғашқы кеңесуден кейін көп ұзамай хатшы жұмыстан кетті. Ажырасу ісі бойынша сот процесі кезінде әйелдің адвокаты хатшыға қоңырау шалып, күйеуінің клиентпен алғашқы кеңесу кезінде адвокатқа айтқандары туралы куәлік беруге тырысады. Қарсылық білдірілген жағдайда, хатшының ұсынған куәлігі...", кәсіби_құқық,"['жаралады, себебі оның кездесу кезінде қатысуы адвокат-клиент құқығын жойды.' ""жаралады, себебі кездесу кезінде заң қызметкерінің қатысуы адвокат-клиент құқығын жойды."" 'жарамайды, себебі адвокат-клиент құқығы хатшыны мұндай құпия хабарламаларға куәлік беруден бас тартады.' 'жарамайды, себебі бұл қауесет, ешқандай танылған ерекшелік шеңберінде емес.']",2,Sheet1
"Бұл сұрақ келесі ақпаратқа қатысты. «Бұрынғы күндері Тенктериден кейін Бруктерилер; бірақ қазіргі жалпы есеп бойынша, Хамави мен Ангриварии өз қоныстарына кіріп, оларды қуып шығып, көршілес тайпалардың ортақ көмегімен оларды толығымен жойып жіберді, олардың озбырлығына деген жеккөрушіліктен немесе тонаудың тартымдылығынан немесе көктің бізге деген [мейірімді] құрметінен. Бұл бізге қақтығыстың көрінісіне де ренжіген жоқ. Алпыс мыңнан астам адам Рим қаруы мен қаруының астында емес, одан да үлкен, біздің қуанышты көз алдымызда қаза тапты. Тайпалар, егер бізге деген сүйіспеншілікті сақтамаса, кем дегенде бір-бірімізге деген жеккөрушілікті сақтап қалсын деп тілеймін; өйткені империяның тағдыры бізді асықтырса да, тағдыр жауларымыз арасындағы келіспеушіліктен артық жақсылық бере алмайды». Germania, Publius Cornelius Tacitus, шамамен 98 б.з.д. Төмендегілердің қайсысы Рим империясының құлауына ЕН АЗ үлес қосты?", орта мектептің_әлем_тарихы,['Тақ үшін бәсекелестер арасындағы азаматтық соғыстар' 'Вавар халықтарының империяға басып кіруі' 'Сенаттың империяда үкімет органы ретінде сақталуы' 'Аурулар мен эпидемияларға байланысты демографиялық әлсіздік'],2,Sheet1
Предикат логикасына ең жақсы аударманы таңдаңыз: Барлық бірінші курс студенттері жүзу емтиханын тапсырады., формальды_логика, ['(∀x)(Sx ⊃ Fx)' '(∀x)(Fx ⊃ Sx)' '(∀x)(Fx ∨ Sx)' '(∀x)(Fx ≡ Sx)'],1,Sheet1
"Сотталушы Алғыс айту күнінен кейінгі жеңілдіктер алу үшін кезекте тұрды. Есік таңғы сағат 6-да ашылып, жүздеген адам мерекелік сыйлыққа ие болу үшін кіреберіске жүгірді. Сотталушы анасының сүйікті авторының қолтаңбасы бар кітабының бар екенін көргенде, оған қарай секірді, бірақ бейсбол таяқшасы бар кішкентай кемпір оны бөгеді. Ол таяқшаны бөгеу құралы ретінде пайдаланды, бірақ ол кітапты алуға бел буды, сондықтан ол әдейі аяғын оның алдына шығарып, сүрінді. Ол қатты құлап, аяғында қан ұйығыш пайда болды, ол бірнеше апта бойы жүрегіне жетіп, ақырында оның өліміне себеп болды. Сотталушы қандай қылмыс үшін сотталуы мүмкін?", кәсіби_құқық, ['Бірінші дәрежелі кісі өлтіру' 'Екінші дәрежелі кісі өлтіру' 'Абайсызда кісі өлтіру' 'ерікті түрде кісі өлтіру'],2,Sheet1
" Дершовицтің ойынша, қандай экстремалды теория белгілі бір төтенше жағдайларда терроризмді ақтай алады?", моральдық_даулар, ['әрекетке негізделген деонтология' 'ережеге негізделген гедонизм' 'ереже утилитаризмі' 'әрекет утилитаризмі'],3,Sheet1
"Егде жастағы әйел 12-қабаттағы пәтерінен вестибюльге лифтпен келе жатқан. Лифт бесінші қабатта тоқтаған кезде, бір ер адам лифтке темекі шегіп кірді. Ер адам лифттегі егде жастағы әйелдің алдында тұрғанда, әйел оның иығынан түртті. Ер адам бұрылған кезде, әйел «Темекі шегуге болмайды» деген белгіні нұсқап: «Кешіріңіз, мырза, темекі шегуге рұқсат етесіз бе?» - деді. Ер адам ашуланып, темекісін қатты жұтып, содан кейін әйелдің бетіне түтін шығарды. Лифт келесі қабатта тоқтаған кезде, ер адам кетіп қалды. Егер әйел ер адамға зорлық-зомбылық жасағаны үшін азаматтық талап қойса, кім жеңеді?", кәсіби_құқық,"['Әйел, себебі түтін оның бетіне тиді.' 'Әйел, себебі оның ер адамның оған шабуыл жасауынан қорқуға негізді себебі болды.' 'Ер адам, себебі ол әйелге тиіспеді.' 'Ер адам, себебі оның мінез-құлқы тітіркендіргіш болды, бірақ әйелге ешқандай дене жарақатын салмады.']",0,Sheet1
 Эпиктет адамның өзінікі деп атай алатын жалғыз нәрсесі мынау деп тұжырымдайды:, философия, ['адамның өз әсерлерімен қалай әрекет ететіні.' 'отбасы.' 'достары.' 'дене.'],0,Sheet1
"Файнбергтің айтуынша, жақсы адамгершілік тәрбиесі:", философия, ['рахат пен ауырсынуды санкция ретінде пайдаланбайды.' 'толығымен ләззат пен ауырсынуды санкция ретінде пайдалануға негізделеді.' 'билікке құрметпен дұрыс іс жасайтын адамды шығарады.' 'тек дұрыс болғандықтан дұрыс іс жасайтын адамды шығарады.',3,Sheet1
" Неліктен C, C++ сияқты тілдерде жасалған қолданбалар буферлік толып кетуге бейім?", компьютер_қауіпсіздігі, ['Алдын ала анықталған функцияларда жол шекараларын тексеру жоқ' 'Сыртқы жадта сақтау орнын тексеру жоқ' 'Өңдеу қуатын тексеру жоқ' 'Дерекқорды тексеру жоқ'],0,Sheet1
 Mappo термині төмендегілердің қайсысымен байланысты?, әлемдік_діндер,['Дхарма' 'Құлдырау дәуірі' 'Алтын ғасыр' 'Самурай'],1,Sheet1
 Липидтер туралы келесі тұжырымдардың қайсысы дұрыс емес?, орта мектеп_биологиясы," ['Липидтер май қышқылдары мен глицериннен тұрады.' 'Стероидтар липидтердің мысалдары болып табылады.' 'Қаныққан май қышқылының молекулалары бір-біріне соншалықты жақын орналасқандықтан, бөлме температурасында қатты зат түзеді.' 'Фосфолипидтің басы гидрофобты, ал құйрықтары гидрофильді.']",3,Sheet1
Төменде келтірілген Байес желісін қарастырайық. H -> U <- P <- W Байес желісі үшін қанша тәуелсіз параметр қажет?, машиналық оқыту, ['2' '4' '8' '16'],2,Sheet1
 Предикат логикасына ең жақсы аударманы таңдаңыз: Ешқандай артефактілер адамдар емес., формальды_логика, ['~Pa' '(∀x)(Ax ⊃ ~Px)' '~Ap' '(∀x)(Ax • ~Px)'],1,Sheet1
 Дәстүрлі ағылшын қуыршақ театрларында Панч кейіпкеріне кім үйленген?, әртүрлі, ['Дебби' 'Виктория' 'Джуди' 'Барбара'],2,Sheet1
"Грант беруші — грант алушы индекстерін пайдаланатын юрисдикцияда төменде көрсетілген ретпен келесі оқиғалар орын алды:(1) 1962 жылы грант беруші бір адамға дереу тіркелген акт бойынша жер учаскесін берді. (2) 1982 жылы ер адам жесір қалып қайтыс болып, мұрагерлікке рұқсат етілген өсиет бойынша жер учаскесін көмекшісіне берді. (3) 1993 жылы көмекші жер учаскесін ипотекалық компанияға 1993 жылдың 31 желтоқсанында төленуге тиіс 25 000 долларға, жылына 9,5 пайыздық мөлшерлемемен вексель алу үшін кепілге қойды. (4) 1996 жылы ипотекалық компания ипотеканы тіркеді. (5) 2003 жылы көмекші қызына берген қол қойылған жазбаша құжатта көмекші жер учаскесін қызына талап арыздан бас тарту актісімен беруге және ипотекалық қарызды мерзімі келгенде төлеуге уәде берді. Егер көмекші жер учаскесін қызына беруден бас тартса және қызы мүлікті беруге мәжбүрлеу үшін көмекшіге қарсы сотқа шағымданса, қызы... ең ықтимал", кәсіби_құқық,"['басым, себебі тиімді сыйлық болды.' 'басым, себебі тиімді тапсырма болды.' ""басым емес, себебі көмекшінің мүлікті беру туралы уәдесін қолдау үшін ешқандай қарастыру болған жоқ."" 'басым емес, себебі заң бойынша тиісті құқықтық қорғау болған жағдайда нақты орындау берілмейді.'",2,Sheet1
"24 жастағы әйел дәрігерге қайта тексеруден өту үшін келеді. Бір апта бұрын ол фаст-фуд мейрамханасында жұмыс істеп жүргенде кездейсоқ сол аяғына ыстық май төгіп алғаннан кейін жедел жәрдем бөлімінде емделді. Сол жақ аяқ-қолдың төменгі бөлігін тексеру кезінде 7 см, қызғылт, жұмсақ, түйіршікті, ісінген жара анықталды. Бұл тіннің пайда болуы, ең алдымен, төмендегілердің қайсысының белсенділігінің жоғарылауынан туындаған?", кәсіби_медицина, ['Гликозилденуге тәуелді жасуша адгезия молекуласы-1' 'P-селектин' 'Стромелизин' 'Тамыр эндотелийінің өсу факторы'],3,Sheet1
" «Сіздің бір досыңыз: «Мен демалыс жоспарлаған сайын үйде немесе жұмыста әрқашан дағдарыс болады, сондықтан бара алмаймын», - дейді». Егер бұл шынымен шындыққа жанаспайтын болса, досыңыздың сөзі келесілердің қайсысын ең жақсы көрсетеді?»", кәсіби_психология,['психологиялық реактивтілік' 'базалық мөлшерлеме қателігі' 'иллюзиялық корреляция' 'фундаменталды атрибуцияға бейімділік'],2,Sheet1
"24 жастағы жақында колледж бітірген қыз 3 жыл бойы зәр шығару жиілігінің жоғарылауы және саяхаттаған сайын зәр ұстай алмау тарихымен кеңсеге келеді. Оның айтуынша, зәр шығару белгілері әдетте ұшудан бірнеше күн бұрын басталып, баратын жеріне жеткеннен кейінгі күні тоқтайды. Ол ұшуға алаңдайтынын және тіпті аздап «үрейленетінін» айтады. Ол бітіру алдындағы тексерулерге дейін ұқсас, бірақ жеңілірек белгілер болғанын айтады. Ауру тарихы басқаша ерекше емес. Оның жалғыз дәрісі - ішуге арналған контрацептив. Өмірлік маңызды белгілер қалыпты. Физикалық тексеруде ауытқулар анықталмаған. Зәр анализі және зәр шығару дақылдары қалыпты. Келесі қадамдардың қайсысы ең қолайлы?", кәсіби_медицина," ['Мінез-құлық терапиясын ұсыну' 'Психоаналитикалық психотерапияны ұсыну' 'Пациентке мәселені тудыратын кез келген стресстік әрекеттерден аулақ болуды ұсыну' ""Пациенттің жыныстық тарихын қарау""]",0,Sheet1
"Бұл сұрақ келесі ақпаратқа қатысты. «Содан кейін Патшалар Патшасы Шапур қайтыс болды. Содан кейін оның ұлы, Патшалар Патшасы Хормизд империяны басқарды. Патшалар Патшасы Хормизд маған бас киім мен белдік кигізіп, маған жоғары дәреже мен абырой сыйлады, сарайда және патшалықтан кейін патшалықта, жерден кейін бүкіл империя бойынша маған құдайлық қызмет мәселелерінде көбірек билік пен күш берді және маған Ахура Мазданың, Құдайдың атымен «Кердир, Ахура Мазданың [Бас діни қызметкері]» атағын берді. Содан кейін патшалықтан кейін патшалықта, жерден кейін көптеген құдайлық қызмет салтанатты түрде орындалды, көптеген Уорхам оттары жағылды, көптеген магтар бақытты және гүлденді, көптеген оттар мен магтар императорлық түрде орнатылды... Содан кейін Патшалар Патшасы Хормизд қайтыс болды. Содан кейін Патшалар Патшасы Шапурдың ұлы және Патшалар Патшасы Хормиздтің ағасы Бахрам империяны басқарды. Патшалар Патшасы Бахрам да мені жоғары құрмет пен абыроймен, сарайда және патшалықтан кейін патшалықта, жерден кейін маған билік берді. және әр түрлі құдайлық қызметтерге арналған күш. Содан кейін патшалықтан патшалыққа, жерден кейін көптеген құдайлық қызметтер салтанатты түрде орындалды, көптеген Уархаран оттары жағылды, көптеген магтар бақытты және гүлденді, көптеген оттар мен магтар патшалыққа орнатылды... Ал бүкіл империя бойынша патшалықтан патшалыққа және жерден кейін Ахура Мазда мен құдайлардың қызметтері басым болды, империядағы Маздаян діні мен магтарға үлкен құрмет көрсетілді, империядағы құдайлар, су, от және ұсақ мал үлкен қанағаттануға қол жеткізді, ал Ахриман [Ахура Мазданың зұлым аналогы] және жындар жазаланып, сөгіс алды, ал Ахриман мен жындардың ілімдері империядан кетіп, тасталды. Империядағы еврейлер, буддистер, индустар, насоряндар [православиелік христиандар], христиандар, мактақтар [баптистер] және манихейлер жойылды, пұттар жойылды және жындардың қоймалары, құдайлардың орындары мен ұялары шашыраңқы болды». Парсыдағы Накш-е-Рустамдағы Кердир жазбасынан үзінді, б.з. III ғасырдың аяғы. Сасанидтік Парсыда будда қауымдастықтарының болуын келесілердің қайсысы жақсы түсіндіреді?",орта мектептің_әлем_тарихы," ['Парсылардың адамдарды буддизмнен бас тартуға бағытталған әрекеттері басқа да ізбасарларға шабыт берді.' ""Буддизмнің апокалиптикалық хабары Парсыдағы дінге келгендерді таң қалдырды."" ""Парсы елінің орналасқан жері Үндістанмен халықаралық сауда жолдарының бойында орналасқан."" ""Буддистер зороастризммен шектелген түрде төзімділік танытты.""]",0,Sheet1
 Байер моральдық ережелерді былай деп тұжырымдайды:, философия, ['әрқашан барлығына бірдей қолданылуы керек.' 'моральдық тұрғыдан маңызды айырмашылықтар болмаған жағдайда барлығына бірдей қолданылуы керек.' 'тек топтың кейбір мүшелеріне ғана қолданылады.' 'әр қоғамда бірдей.'],1,Sheet1
" Мен санмын. Біреуінің орнында 7 бар. Мен 80-нен кішімін, бірақ 70-тен үлкенмін. Менің саным қандай?", бастауыш_математика, ['71' '73' '77' '79'],2,Sheet1
