question,предмет,выбор,отвечать,sheet
" Какая из следующих логических ошибок представляет собой способ сокрытия доказательств, исключающий источник доказательств из рассмотрения путем утверждения о его несовершенстве, когда нет истинной связи между предполагаемым недостатком и надежностью источника?", логические_ошибки, ['значимость' 'привлекательность для снобов' 'отравление колодца' 'обращение к анонимному авторитету'],2,Sheet1
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я пошёл в бассейн в купальнике. Сценарий 2 | Я оставил мусор после пикника в парке.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",2,Sheet1
 Наиболее вероятное применение метода «входящей корзинки» при отборе персонала будет заключаться в определении типа сотрудника., профессиональная_психология, ['Канцелярский' 'Продажи' 'Управленческий' 'Секретариат'],2,Sheet1
 Какой из вариантов обеспечит более быстрый темп экономического роста в Соединенных Штатах?, макроэкономика для старшей школы," ['Введение более высоких тарифов на импортные товары' 'Увеличение инвестиций в капитальную инфраструктуру и снижение потребления товаров и услуг кратковременного пользования' 'Отмена законов об обязательном посещении школы' 'Ежегодные ограничения на количество иностранцев, иммигрирующих в Соединенные Штаты']",1,Sheet1
" Бариатрическая хирургия используется для лечения ожирения, но насколько снижается частота возникновения диабета 2 типа у людей с ожирением после операции?", питание, ['80-90%' 'Отсутствие снижения заболеваемости' 'Приблизительно 50 %' 'Ни один из предложенных вариантов не является правильным'],0,Sheet1
" Вы хотите начать лечить клиентов, которые считают, что их похитили инопланетяне, но вы никогда раньше не работали с представителями этой группы населения. В этом случае наилучшим вариантом действий будет следующее:", профессиональная_психология,"['Начните принимать этих клиентов и проконсультируйтесь с кем-нибудь, кто знаком с этой группой населения, если у вас возникнут какие-либо проблемы.' 'Начните принимать этих клиентов после установления консультативных отношений с кем-нибудь, кто знаком с этой группой населения.' 'Пройдите курс повышения квалификации, связанный с лечением представителей этой группы населения.' 'Разместите объявление в National Enquirer, чтобы сообщить представителям этой группы населения о доступности ваших услуг.']",1,Sheet1
 Вывеска перед закусочной «Bob's Burger Barn» имеет форму правильного восьмиугольника. Сколько градусов составляет величина внутреннего угла этой вывески?, математика для старшей школы, ['90' '135' '45' '180'],1,Sheet1
"Сотрудник проработал в отеле мойщиком окон восемь лет, когда отель выдал ему и другим сотрудникам следующее свидетельство: «В знак признательности за вашу верную службу в качестве сотрудника этого отеля, в случае вашей смерти, если вы все еще являетесь сотрудником этого отеля, лицу, указанному вами ниже в качестве вашего бенефициара, будет выплачена сумма в размере 5000 долларов. Выдача этого свидетельства считается исключительно безвозмездной». После получения свидетельства сотрудник указал свою жену в качестве бенефициара, подписал его и вернул форму в отель. Год спустя, все еще работая в отеле, сотрудник умер. В иске вдовы сотрудника против отеля о взыскании суммы в 5000 долларов, какой из следующих аргументов, если он будет доказан, является наиболее веским против исполнения соглашения о выдаче свидетельства?", профессиональное_право,«Вдова не знала о договоре о предоставлении сертификата до смерти сотрудника». «Между вдовой и отелем не существовало договорных отношений». «Вдова никоим образом не полагалась на обещание отеля выплатить 5000 долларов». «Для подтверждения договора о предоставлении сертификата не было достаточного встречного предоставления».,3,Sheet1
 TNC — это новое явление?, исследования безопасности,"[«Существует мало доказательств, подтверждающих утверждение о том, что масштабы и размах транснациональной преступности в 1980-х и 1990-х годах представляют собой реальную и растущую угрозу, помимо общего мнения о том, что обеспокоенность уровнем преступности была вызвана переосмыслением военной роли в свете окончания холодной войны». «В то время как нелегальные рынки в прошлом были территориально ограничены и изолированы, в современной форме нелегальные рынки, как правило, взаимосвязаны и взаимоподдерживают друг друга, а также более тесно интегрированы в легальную экономику». «Транснациональная преступность — это ответ обездоленных на асимметричное экономическое развитие национальных государств и неравенство глобального рыночного капитализма в сочетании с экологическими ограничениями развития». «Транснациональная преступность больше не является исключительной прерогативой определенных географических районов или этнических групп, поскольку она глобализируется, увеличивая число затронутых групп и стран и повышая соотношение нелегального рынка к легальной торговле».]",1,Sheet1
" Ископаемые останки, первоначально известные как Sinanthropus pekinensis или «Пекинский человек», теперь классифицируются как:",доисторический период, ['Homo floresiensis.' «Человек разумный». «Человек прямоходящий». «Homo habilis».],2,Sheet1
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я позвонил в 911, чтобы сообщить о задержке пиццы. Сценарий 2 | Я вошел в церковь совершенно голым.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1
" Человек, неспособный запоминать новые воспоминания, страдает от", психология старшей школы, ['Чрезмерное обобщение'. 'Предвзятость убеждений'. 'Зависимость памяти от состояния'. 'Антероградная амнезия'.],3,Sheet1
" Согласно гуманистической формулировке принципа Канта, мы должны относиться к людям с должным уважением.", моральные_споры,"[«никогда не как средство». «никогда не как простое средство». «таким образом, чтобы это приносило наибольшую пользу всем заинтересованным сторонам». «таким образом, чтобы это служило собственным интересам».]",1,Sheet1
Каким образом концепция экологической безопасности подвергалась критике?, исследования безопасности,"«Анализ экологической безопасности понимается как целостность всей экологической системы, основной угрозой которой является деятельность человека. Однако он радикально бросает вызов концепции безопасности, поскольку требует смещения мотивации действий от интересов национальной безопасности к благополучию всей социально-экологической системы планеты». «Экологическая безопасность утверждает, что основной угрозой экологической целостности является деятельность человека, и поэтому безопасность людей может быть обеспечена в той мере, в какой обеспечивается защита их благополучия на внутригосударственном уровне. Мотивация действий должна быть найдена в индивидуальных и национальных интересах». «Пересечение общих областей проблем безопасности маловероятно, поскольку не все проблемы действительно глобальны. Не все государства несут одинаковую ответственность за экологические проблемы, и не существует такого понятия, как равенство рисков. Системная взаимозависимость вряд ли позволит управлять этими областями безопасности». «Экологический подход к безопасности и подход к безопасности человека не побуждают сообщество специалистов по безопасности рассматривать альтернативные объекты безопасности. Экологическая безопасность демонстрирует преемственность с основными интерпретациями безопасности, которые, как правило, централизуют безопасность государства».»",0,Sheet1
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я неоднократно и намеренно наступал ему на пальцы ног во время танца в стиле кантри. Сценарий 2 | Пока мои родители ходили на свидание, я читал их контакты.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1
" Утверждение о том, что аборт — это убийство, разделяют некоторые люди, исповедующие какую религию?", человеческая_сексуальность, ['Православные евреи' 'Фундаменталистские протестанты' 'Восточно-православные христиане' 'все вышеперечисленное'],3,Sheet1
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я взял с собой нож, когда ходил в поход. Сценарий 2 | У меня был секс на работе.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",2,Sheet1
 Суть учета ответственности заключается в следующем:, профессиональный_бухгалтерский_учет," ['Разработка отчетов о результатах деятельности с акцентом на затраты и доходы, которые могут контролировать менеджеры.' 'Распределение затрат вспомогательных подразделений между производственными подразделениями, чтобы руководители производственных подразделений знали обо всех затратах, за которые они несут ответственность.' 'Определение виновных в неблагоприятных отклонениях.' 'Расследование всех отклонений независимо от их статуса — благоприятные или неблагоприятные.']",0,Sheet1
" Новые технологии приводят к появлению новых товаров и услуг, а также могут:", маркетинг," ['Снижение качества существующих товаров.' 'Снижение уровня обслуживания клиентов.' 'Снижение цен за счет новых методов производства и распределения.' 'Возвращение в продажу товаров, которые считались устаревшими.']",2,Sheet1
"Ученые считают, что в конце мелового периода произошло глобальное катастрофическое событие, и что, вероятно, стало причиной чего из перечисленного?", разнообразный, ['Перемещение водных животных на сушу' 'Внезапный вымирание динозавров' 'Появление Homo sapiens на травянистых равнинах Африки' 'Первое появление млекопитающих'],1,Sheet1
Какое из следующих условий не является признаком «безопасности человека»?, исследования безопасности," «Состояние, при котором люди избавлены от травм, отравляющих человеческое развитие, защищены от угроз и от разрушительных нарушений их повседневной жизни». «Состояние, при котором каждый гражданин свободен от угрозы физического насилия, независимо от его расы, этнической принадлежности или иной идентичности». «Состояние, при котором людям гарантирована возможность жить и развиваться, свободные от политического угнетения или предрассудков, защищенные от угроз со стороны собственных или внешних государственных структур». «Состояние, при котором люди существуют независимо от государственной поддержки, где человеческая жизнь самодостаточна, поскольку индивиды не нуждаются в помощи государственного аппарата для безопасной жизни».",3,Sheet1
" В результате аварии Абдул потерял зрение на правом глазу. Чтобы оценивать расстояние до транспортных средств за рулём, Абдул может полагаться на подсказки.", психология старшей школы, ['Только I' 'Только II' 'Только III' 'Только I и II'],3,Sheet1
" Аристотель утверждает, что состояние характера возникает в результате повторения подобных действий.", моральные_споры, ['убеждения'.' 'отношения'.' 'деятельность'.' 'мнения'.],2,Sheet1
" Определите антецедент следующего условного утверждения: Университет повышает плату за обучение тогда и только тогда, когда и губернатор одобряет это, и попечительский совет рекомендует это.", формальная_логика, ['Университет повышает плату за обучение.' 'Губернатор одобряет это.' 'Попечительский совет рекомендует это.' 'Ничего из вышеперечисленного'],3,Sheet1
" После классического периода, завершившегося около 800 года н.э., возникла цивилизация майя:", доисторический период," [«необъяснимо исчез, затем началось медленное развитие, завершившееся ацтекской цивилизацией». «вступил во второй классический период, проиграл великую войну Теотиуакану и пришел в упадок». «пришел в упадок, переместил свой центр на север, возродился и снова пришел в упадок». «впал в внезапный упадок; население исчезло и больше никогда не строило монументальных сооружений».]",2,Sheet1
"Этот вопрос относится к следующей информации: «Американцы обладают большей свободой и более широкими правами, чем граждане почти любой другой страны мира, включая возможность критиковать свое правительство и своих избранных должностных лиц. Но мы не имеем права прибегать к насилию — или угрозе насилия — когда не получаем желаемого. Наши отцы-основатели создали систему правления, чтобы разум мог возобладать над страхом. Оклахома-Сити еще раз доказала, что без закона нет свободы. Критика — это часть жизненной силы демократии. Никто не прав всегда. Но мы должны помнить, что существует большая разница между критикой политики или политика и демонизацией правительства, гарантирующего наши свободы, и государственных служащих, обеспечивающих соблюдение наших законов». Президент Билл Клинтон, «Что мы узнали в Оклахома-Сити», 2010 (написано к 15-й годовщине взрыва в Оклахома-Сити): «Если бы не было Уэйко, я бы где-нибудь обосновался и не был бы так обеспокоен тем, что мое правительство… представляло для меня угрозу. Все, что подразумевает Уэйко, было в центре моих мыслей. Это в некоторой степени направляло мой путь в течение следующих нескольких лет». Тимоти Маквей, террорист, совершивший взрыв в Оклахома-Сити, 2001 год. Член Палаты представителей США Джон Кониерс, «События, связанные с противостоянием культу «Ветвь Давида» в Уэйко, штат Техас: слушания в Комитете по судебным делам Палаты представителей», 1993 год. Приведенные выше отрывки наиболее точно подтверждают какой из следующих выводов?",история США в старшей школе," «В 1990-х годах антиправительственные настроения, возникшие в ответ на чрезмерное использование федеральной власти для разрешения внутренних конфликтов, вдохновили группы ополченцев и отдельных линчевателей, таких как Тимоти Маквей». «В 1993 году генеральный прокурор Джанет Рено начала наступление против секты «Ветвь Давида», возглавляемой Тимоти Маквеем, что впоследствии вызвало критику со стороны Конгресса за ее жесткий подход». «Опасаясь роста антиправительственных настроений после взрыва в Оклахома-Сити, генеральный прокурор Джанет Рено направила войска для подавления противостояния секты «Ветвь Давида», а позже столкнулась с критикой со стороны Конгресса». «Генеральный прокурор Джанет Рено ушла в отставку отчасти из-за давления, оказанного Конгрессом на президента Клинтона представителем Джоном Кониерсом».",0,Sheet1
 Что могло побудить древних пуэбло покинуть Меса-Верде?,доисторический период, ['население превысило производственный потенциал окружающей среды' 'засуха' 'новая религия привлекла их на юг' 'все вышеперечисленное'],3,Sheet1
" Если на текущий счет внесено 1000 долларов, а избыточные резервы увеличиваются на 700 долларов, то норма резервирования должна составлять:", макроэкономика для старшей школы, ['70%.' '30%.' '40%.' '90%.'],1,Sheet1
Пусть M — вещественная матрица размером 5 х 5. Ровно четыре из следующих пяти условий для матрицы M эквивалентны друг другу. Какое из пяти условий не эквивалентно НИ ОДНОМУ из остальных четырех?, математика колледжа," ['Для любых двух различных вектор-столбцов u и v матрицы M множество {u, v} линейно независимо.' 'Однородная система Mx = 0 имеет только тривиальное решение.' 'Система уравнений Mx = b имеет единственное решение для каждого вещественного вектор-столбца b размером 5 х 1.' 'Определитель матрицы M отличен от нуля.']",0,Sheet1
"Посещение сауны, иногда называемое «сауной», характеризуется кратковременным пассивным воздействием экстремально высоких температур. Это воздействие вызывает умеренную гипертермию – повышение температуры тела, – которая индуцирует терморегуляторный ответ, включающий нейроэндокринные, сердечно-сосудистые и цитопротекторные механизмы, работающие вместе для восстановления гомеостаза и подготовки организма к будущим тепловым стрессорам… В последние десятилетия посещение сауны стало рассматриваться как средство увеличения продолжительности жизни и улучшения общего состояния здоровья, что подтверждается убедительными данными наблюдательных, интервенционных и механистических исследований. Особый интерес представляют результаты исследований участников Куопийского исследования факторов риска ишемической болезни сердца (KIHD), продолжающегося проспективного когортного исследования состояния здоровья более чем 2300 мужчин среднего возраста из восточной Финляндии, которое выявило сильную связь между использованием сауны и снижением смертности и заболеваемости… Результаты KIHD показали, что мужчины, которые посещали сауну два-три раза в неделю, на 27 процентов реже умирали от сердечно-сосудистых заболеваний, чем мужчины, которые не посещали сауну.[2] Кроме того, было обнаружено, что получаемая ими польза зависит от дозы: мужчины, которые посещали сауну примерно в два раза чаще, около четырех-семи раз в неделю, получали примерно вдвое большую пользу и на 50 процентов реже умирали от сердечно-сосудистых заболеваний.[2] Кроме того, было обнаружено, что у часто посещающих сауну мужчин на 40 процентов реже умирали от всех причин преждевременной смерти. Эти результаты оставались верными даже при учете возраста, уровня активности и факторов образа жизни, которые могли повлиять на здоровье мужчин.[2]... Исследование KIHD также показало, что частое посещение сауны снижает риск развития деменции и болезни Альцгеймера в зависимости от дозы. У мужчин, которые посещали сауну два-три раза в неделю, риск развития деменции был на 66 процентов ниже, а риск развития болезни Альцгеймера — на 65 процентов ниже по сравнению с мужчинами, которые посещали сауну только один раз в неделю… Польза для здоровья, связанная с посещением сауны, распространялась и на другие аспекты психического здоровья. У мужчин, участвовавших в исследовании KIHD и посещавших сауну четыре-семь раз в неделю, вероятность развития психотических расстройств была на 77 процентов ниже, независимо от пищевых привычек мужчин, социально-экономического статуса, физической активности и воспалительного статуса (измеряемого по уровню С-реактивного белка)… Воздействие высоких температур вызывает стресс для организма, приводя к быстрой и сильной реакции. Температура кожи и тела значительно повышается, и начинается потоотделение. Сначала нагревается кожа, достигая 40°C (104°F), затем происходят изменения температуры тела, медленно повышаясь с 37°C (98,6°F, или нормальной) до 38°C (100,4°F), а затем быстро увеличиваясь до 39°C (102,2°F)… Сердечный выброс, показатель объема работы, выполняемой сердцем в ответ на потребность организма в кислороде, увеличивается на 60–70 процентов, в то время как частота сердечных сокращений (количество ударов в минуту) увеличивается, а ударный объем (объем перекачиваемой крови) остается неизменным.[5] В это время приблизительно 50–70 процентов кровотока в организме перераспределяется из центральной части тела в кожу для облегчения потоотделения. В среднем человек теряет около 0,5 кг пота во время посещения сауны.[11] Острое воздействие тепла также вызывает временное увеличение общего объема плазмы для компенсации уменьшения объема крови в центральной части тела. Увеличение объема плазмы не только обеспечивает резервный источник жидкости для потоотделения, но и действует подобно воде в радиаторе автомобиля, охлаждая тело, чтобы предотвратить резкое повышение температуры тела и повысить устойчивость к жаре… Повторное посещение сауны акклиматизирует организм к жаре и оптимизирует реакцию организма на будущие воздействия, вероятно, благодаря биологическому явлению, известному как гормезис, — компенсаторной защитной реакции после воздействия слабого стрессора, непропорционального его силе. Гормезис запускает множество защитных механизмов, которые не только восстанавливают повреждения клеток, но и обеспечивают защиту от последующего воздействия более разрушительных стрессоров… Физиологические реакции на посещение сауны удивительно похожи на те, которые наблюдаются во время физических упражнений умеренной и высокой интенсивности. Фактически, посещение сауны было предложено в качестве альтернативы физическим упражнениям для людей, которые не могут заниматься физической активностью из-за хронических заболеваний или физических ограничений.[13] Исходя из статьи, что важно сделать человеку после посещения сауны?",колледж_медицина," ['Примите душ холодной водой.' 'Займитесь спортом.' 'Поешьте.' 'Восполните запасы жидкости, употребляя фильтрованную воду.']",3,Sheet1
 Какой из следующих компонентов входит в состав показателя денежной массы M1?, макроэкономика для старшей школы, ['Сберегательные вклады' 'Золотые слитки' 'Наличные и монеты' '30-летние казначейские сертификаты'],2,Sheet1
" Компания Vital Corp. — это корпорация типа C, ведущая учет по методу начисления за календарный год. Ее балансовая прибыль за 2-й год до уплаты федеральных налогов составила 500 000 долларов. В эту сумму вошли следующие статьи: возврат налога на франшизу штата за 1-й год — 50 000 долларов, процентный доход по муниципальным облигациям — 7500 долларов. Какова должна быть сумма налогооблагаемой прибыли Vital за 2-й год, указанная в Приложении M-1 формы 1120 налоговой декларации корпорации США?", профессиональный_бухгалтерский_учет," ['$500,000' '$492,500' '$450,000' '442500']",1,Sheet1
" β-окисление молекулы пальмитиновой кислоты, CH3(CH2)14CO2H:", клинические_знания," ['Образует 8 молекул ацетил-КоА, а также некоторое количество АТФ и воды.' 'Образует только 16 молекул ацетил-КоА.' 'Образует только углекислый газ и воду.' 'Не включает кислород.']",0,Sheet1
" Кто сказал, что «юриспруденция — это око закона»?", юриспруденция, ['Мэн' 'Савиньи' 'Паунд' 'Ласки'],3,Sheet1
 Какое из следующих утверждений неверно?, клинические_знания," «Аммиак образуется при многократных высокоинтенсивных физических нагрузках». «Накопление лактата в мышцах начинается не раньше, чем через 5 секунд после начала прерывистых мышечных сокращений». «Истощение фосфокреатина в мышцах начинается в первые несколько секунд высокоинтенсивных упражнений». «С увеличением числа повторных спринтов скорость накопления лактата в мышцах снижается».",1,Sheet1
" Чтобы проиллюстрировать попытку безнаказанно творить несправедливость, Цицерон рассматривает историю:", философия,['Кольцо Гигеса'. 'Икар'. 'Ахиллес и Агамемнон'. 'Эдип царь'.],0,Sheet1
