id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split
5710,high_school_us_history,История,"Этот вопрос относится к следующей информации.
""Более четверти века мы являемся свидетелями борьбы двух великих политических партий за власть и грабеж, в то время как страдающему народу причиняются тяжкие злодеяния. Мы осуждаем, что контролирующее влияние, господствующее в обеих этих партиях, позволило сложиться ужасным условиям без серьезных усилий по их предотвращению или сдерживанию. Они также не обещают нам никаких существенных реформ. Они договорились вместе игнорировать в предстоящей кампании все вопросы, кроме одного. Они предлагают заглушить вопли ограбленного народа грохотом притворной битвы за тариф, чтобы капиталисты, корпорации, национальные банки, кольца, тресты, обводненные акции, демонизация серебра и притеснения ростовщиков остались незамеченными. Они предлагают принести наши дома, жизни и детей в жертву на алтарь мамоны; уничтожить множество людей, чтобы получить коррупционные средства от миллионеров"".
""Собравшись в годовщину дня рождения нации и проникнувшись духом великого полководца и вождя, утвердившего нашу независимость, мы стремимся вернуть правительство Республики в руки ""простого народа"", от которого оно и берет свое начало. Мы утверждаем, что наши цели идентичны целям Национальной конституции: создать более совершенный союз, установить справедливость, обеспечить внутреннее спокойствие, обеспечить общую оборону, содействовать общему благосостоянию и обеспечить благословения свободы для нас и наших потомков"".
Популистская партия, 1892 год
Что из перечисленного ниже меньше всего ассоциируется с популистским движением?",Поддержка профсоюзов,Тайные выборы,Свободная чеканка серебра,Дерегулирование железных дорог и коммунальных услуг,D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
8727,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я посмотрел очень крутой фильм об убийстве, поэтому повесил постер к фильму об убийстве на стену. Сценарий 2 | Я подрезал оленю рога, чтобы он мог поднять голову.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",D,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
3670,high_school_government_and_politics,Политика,"Статья о происхождении Конституции гласит, что",Билль о правах не должен нарушаться законодательными органами любого штата,Конгресс и президент должны совместно формировать ежегодный федеральный бюджет,Законопроекты о доходах должны инициироваться в Палате представителей,Верховный суд обладает первоначальной юрисдикцией по всем конституционным вопросам,C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
10583,professional_accounting,Бизнес,"Неправительственная некоммерческая организация владела следующими инвестициями:
Стоимость инвестиции, Справедливая стоимость (начало года), Справедливая стоимость (конец года)
Акции А (100 акций), 50 $ за акцию, 45 $, 51 $
Акции В (200 акций), 40 $ за акцию, 41 $, 49 $
Какую сумму инвестиций в акции следует отражать в отчете о финансовом положении на конец года?","12,700 $","13,000 $","13,800 $","14,900 $",D,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
13276,security_studies,Политика,В какой степени и с каким эффектом происходит секьюритизация окружающей среды?,"Секьюритизация проблем экологической безопасности повысила значимость вопросов экологической безопасности как для иностранных, так и для отечественных политиков и ведомств, занимающихся вопросами безопасности. В настоящее время общепризнано, что изменение окружающей среды может рассматриваться как вопрос политики повышенной безопасности.","Экологическая безопасность привела к ""замене"" военной безопасности на экологическую безопасность с выделением ресурсов, направленных на решение экологических проблем. Особое внимание уделяется изменению окружающей среды как причине насильственных конфликтов и устранению экологических угроз, вызванных не внутренними причинами, а другими факторами.","Окружающая среда была ""секьюритизирована"" в том смысле, что экологическая безопасность была использована для того, чтобы сделать ее предметом ""высокой политики"". Это в некоторой степени повысило значимость критических вопросов среди политиков и учреждений, так что окружающая среда может рассматриваться как вопрос безопасности. Однако, несмотря на расширение круга вопросов, в политике и действиях мало что изменилось с точки зрения референтного объекта экологической безопасности.","Рассмотрение экологических проблем с точки зрения национальной безопасности подорвало полезность концепции экологической безопасности. Милитаризация экологических проблем снизила способность политиков ""улавливать"" критический характер экологических проблем и экологические аспекты социальной уязвимости. Согласование экологической безопасности с национальной безопасностью и глобальными уровнями международных изменений не может быть достигнуто без учета интересов безопасности государства.",C,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
10959,professional_law,Право,"Домовладелица живет ниже по склону от завода по производству металла. Она подала в суд как на владельца предприятия, так и на поставщика растворителя, используемого на предприятии. Она утверждает, что загрязняющие вещества, состоящие в основном из растворителя, были выброшены в почву на объекте и мигрировали и продолжают мигрировать на ее участок, загрязняя почву, грунтовые воды и ее колодец. Она утверждает, что различные акты халатности со стороны владельца объекта привели к выбросу загрязняющих веществ в почву. Она также утверждает, что сотрудники поставщика растворителя проявляли небрежность, часто проливая часть растворителя на землю при заполнении резервуара на крыше объекта. Поставщик растворителя ходатайствовал о вынесении решения в упрощенном порядке, утверждая, что, если имело место какое-либо загрязнение, владелец объекта и поставщик независимо внесли неопределенный вклад в загрязнение и что, следовательно, домовладелица не может показать, какой ущерб каждый из них нанес ей. Нет никаких доказательств того, что владелец предприятия и поставщик растворителей действовали согласованно. Должен ли суд удовлетворить ходатайство о вынесении решения в упрощенном порядке?","Нет, потому что виновные в одновременном причинении вреда несут солидарную ответственность за неделимый ущерб.","Нет, потому что поставщик растворителя несет косвенную ответственность за ущерб, причиненный владельцем объекта.","Да, потому что нет никаких оснований для распространения вины на поставщика растворителя.","Да, потому что нет никаких доказательств того, что владелец объекта и поставщик растворителя действовали согласованно.",A,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
1252,college_mathematics,Математика,Три стороны ровного прямоугольного двора должны быть обнесены оградой общей длиной x футов. Какова максимальная возможная площадь двора в терминах x?,x^2/9,x^2/8,x^2/4,x^2,B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
10694,professional_law,Право,"Работодатель и сотрудник заключили трудовой договор, который содержал положение ""по соглашению сторон"", позволяющее любой из сторон прекратить трудовые отношения при условии обоснованно заблаговременного уведомления. Через год работодатель заставил сотрудника подписать соглашение о запрете конкуренции на двухлетний период после прекращения трудовых отношений. Через два года сотрудник уволился и устроился на работу в конкурирующую компанию. Предыдущий работодатель подал иск, требуя вынесения предварительного судебного запрета на исполнение соглашения. Сотрудник утверждал, что соглашение недействительно, поскольку ей не было предоставлено никакое вознаграждение - ее могли уволить в любое время и она не получила ничего за подписание. Работодатель утверждал, что предоставил ей продолжение трудовых отношений, когда не было необходимости в этом. Имеет ли работодатель право законно привести в исполнение соглашение?","Да, потому что предоставление работодателем продолжительного трудоустройства после подписания договора является достаточным вознаграждением.","Да, потому что изменение существующего договора не требует рассмотрения.","Да, потому что суды никогда не оспаривают достаточность вознаграждения в соглашении.","Нет, потому что не было достаточного вознаграждения за соглашение.",A,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
13038,public_relations,Политика,Какой автор выделил стратегию как достижение конкурентного преимущества для организации?,Стейн (2003),Грегори (2006),Катлип и соавт. (2006),Генри (2006),D,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
12307,professional_medicine,Медицина,"10-месячный мальчик доставлен к врачу из-за 4-дневной истории лихорадки и кашля. Его болезнь началась с субфебрильной температуры и обильных прозрачных выделений из носа. Два дня назад у него появился влажный, непродуктивный кашель и учащенное дыхание. Он получил все запланированные детские прививки. Он посещает большой детский сад, и у него трое братьев и сестер школьного возраста. Его температура 38°C (100,4°F), пульс 101/мин, частота дыхания 38/мин, а кровяное давление 85/60 мм рт. ст. Физикальное обследование показывает воспаление носа и ринорею. При осмотре грудной клетки выявляются межреберные втяжения наряду с двусторонними диффузными хрипами и хрипами на выдохе. Инфекционный агент, вызвавший состояние этого пациента, скорее всего, обладает какими из следующих свойств?",ДНК-геном,Двухцепочечный геном нуклеиновой кислоты,"Зрелый вирион, лишенный вирусной полимеразы",Посредничество проникновения в клетку через слитый белок,D,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
11321,professional_law,Право,"В штате принят закон о партийной принадлежности, запрещающий лицу быть независимым кандидатом на всеобщих выборах, если оно либо (1) зарегистрировалось в политической партии в течение года, предшествующего непосредственно предшествующим первичным выборам, либо (2) проголосовало на этих первичных выборах. Штат принял так называемый закон о ""несогласии"", чтобы разрешить внутрипартийные разногласия на первичных выборах, а не на всеобщих. Более того, директор по выборам штата решительно поддержал закон и утверждал, что это необходимо для того, чтобы избежать путаницы среди избирателей и обеспечить, чтобы победитель всеобщих выборов получил большинство голосов. Мужчина, который был зарегистрированным демократом в 2008 году, теперь желает баллотироваться в качестве независимого кандидата на всеобщих выборах в ноябре 2009 года. Однако директор по выборам постановил, что его кандидатура нарушает закон штата о ""несогласии"", и запретил ему участвовать в голосовании. Если мужчина подаст иск в федеральный окружной суд, оспаривая конституционность избирательного закона штата, что из нижеперечисленного лучше всего указывает на бремя убеждения?","Штат должен продемонстрировать, что закон необходим для продвижения важных государственных интересов в рамках анализа равной защиты.","Штат должен продемонстрировать, что закон необходим для продвижения непреодолимых государственных интересов в рамках анализа основных прав.","Мужчина должен продемонстрировать, что закон рационально не связан с каким-либо законным государственным интересом в рамках анализа основных прав.","В рамках анализа основных прав мужчина должен продемонстрировать, что у государства есть менее ограничительные альтернативные средства, доступные независимым кандидатам для получения места в избирательном бюллетене.",B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
6074,human_aging,Медицина,"Одна из причин, по которой пожилые люди демонстрируют высокий уровень оптимизма, заключается в том, что",Многие пессимисты умирают в более молодом возрасте,"Они не знают, что происходит на самом деле",Это может быть тревожным признаком деменции,Наши показатели имеют низкую степень достоверность,A,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
4966,high_school_psychology,Общество,Какая из следующих выборок считалась бы наиболее репрезентативной для студентов мужского пола колледжа?,Группа из тридцати братьев из студенческого братства штата Пенсильвания,"Случайная выборка, взятая между занятиями в деловом крыле различных университетов","Шестьдесят мужчин из каждого класса Принстона, Йеля, Гарварда, Дартмута и Колумбии",Двадцать представителей мужского пола из каждого класса из разных колледжей и университетов,D,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
4470,high_school_mathematics,Математика,"Если $725x + 727y = 1500$ и $729x + 731y = 1508$, то каково значение $x - y$?",725,-2,2,-48,D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
9959,philosophy,Философия,"Милль утверждает, что счастливая жизнь - это та, которая состоит из:",спокойствия.,волнения.,"как a, так и b.","ни a, ни b.",C,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
2287,elementary_mathematics,Математика,"Количество осадков за последние три месяца учебы в школе составило 8,1 дюйма, 4,2 дюйма и 0,33 дюйма. Оцените общее количество осадков за три месяца, округляя до ближайшего целого числа.","11,9 дюйма.",11 дюймов.,"45,0 дюйма.",12 дюймов.,D,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
233,prehistory,История,"Последние исследования видов гоминид, датируемых средним плиоценом, показывают, что было (по состоянию на 2020 год):","большое видовое разнообразие или один вид, который демонстрировал большое разнообразие.",очень небольшое видовое разнообразие в этот период и совсем немного гоминидов.,"сокращение видового разнообразия из-за продолжительного ледникового периода, за которым последовала сильная засуха.","уменьшение видового разнообразия, но увеличение количества отбойников и отщепов, что указывает на изготовление каменных орудий.",A,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",train
13315,security_studies,Политика,Какие внешние стратегии используют элиты?,Все более популярным средством укрепления безопасности режима становится изгнание иностранных рабочих и граждан других национальностей и ограничение границ для беженцев и мигрантов.,"Слабые государства стремятся избегать союзов с сильными государствами, потому что союзы и помощь часто обусловлены демократизацией и рискуют быть наказанными в случае ее невыполнения.","Все более распространенной стратегией среди слабых государств становится привлечение частных военных или охранных компаний, а также иностранных наемников для усиления безопасности слабого государства от внутренних угроз.","Слабые государства могут иногда прибегать к военным действиям, чтобы укрепить свои региональные позиции и мобилизовать внутреннюю поддержку против создания воображаемой внешней угрозы. Это часто совпадает с экономическими или социальными кризисами в качестве политики отвлечения внимания.",C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test
11889,professional_law,Право,"Кендалл и Торнтон договариваются о создании партнерства, но оба соглашаются, что только Кендалл будет управлять бизнесом, принимать все деловые решения и заключать все контракты с третьими лицами. После этого Торнтон заключает долгосрочный контракт на оказание услуг партнерства с Кларком, который не знает о внутреннем соглашении. Договор Торнтона с Кларком","подлежит исполнению, поскольку соглашение партнеров не может лишить общего партнера предусмотренных законом полномочий связывать партнерство обязательствами.","подлежит исполнению, поскольку Кларк не знал об отсутствии у Торнтона полномочий.","неисполним, так как Торнтон не имеет права исполнять договор в соответствии с соглашением партнеров.","неисполним, так как Кларк обязан был подтвердить полномочия Торнтона до заключения договора на оказание услуг.",B,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
8052,miscellaneous,Общие факты,"Что из перечисленного ниже необходимо получить иностранцам, желающим постоянно проживать в США?",визу,посадочный талон,водительские права,карт-бланш,A,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
2525,formal_logic,Логика,"Какая из приведенных формул логики предикатов лучше всего символизирует следующее предложение?
Врачи любезны, если только их пациенты не грубы.",Л ≡ Г,Л • Г,Л ∨ ~Г,Л ∨ Г,D,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test
3575,high_school_geography,География,"Баски, бретонцы, кашмирцы и тамилы - все они являются примерами",регионалистских групп.,сепаратистских групп.,террористических группировок.,интервенционистских групп.,B,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test
6787,logical_fallacies,Логика,"Когда кто-то меняет значение слова или фразы из одной части аргумента в другую, этот человек, возможно, совершил какое из следующих заблуждений?",Предвзятая аргументация,Гипостазирование,"Сомнение, вызванное эпитетами",Двусмысленное утверждение,D,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
9482,nutrition,Медицина,"Образец крови взят у 45-летнего мужчины после того, как он прервал свой ночной пост, съев три ломтика тоста и вареное яйцо. Какая из перечисленных ниже концентраций будет выше, чем если бы образец крови был взят перед завтраком?",Аланин,Глюкоза,Кетоновые тела,Неэтерифицированные (свободные) жирные кислоты,B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
12299,professional_medicine,Медицина,"Врач проводит ретроспективный анализ исследования, в котором использовался препарат X для лечения пациентов с определенным заболеванием. Известно, что препарат X связан с повышенной вероятностью развития рака у пациентов, использующих этот препарат. Всего в исследование было включено 600 человек с определенным заболеванием. Из них 200 человек получали препарат X, а 400 человек не получали его. Сто человек, получавших препарат X, умерли от определенного вида рака, а 100 человек, не получавших препарат, умерли от того же вида рака. Исходя из этих данных, что из нижеперечисленного является относительным риском смерти от этого типа рака у людей, принимающих препарат X, по сравнению с людьми, не принимающими препарат X?","Люди, принимающие препарат X, имеют равный риск смерти от этого типа рака","У людей, принимающих препарат X, риск умереть от этого вида рака в четыре раза выше","У людей, принимающих препарат X, риск умереть от этого вида рака в три раза выше","У людей, принимающих препарат X, риск умереть от этого типа рака в два раза выше",D,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
12268,professional_medicine,Медицина,"У 45-летней женщины двухнедельная история повышенной тревожности, дискомфорта в животе, раздражительности и трудностей с концентрацией внимания; 3 недели назад ее ограбили с применением ножа на парковке. Она принимает левотироксин от гипотиреоза и использует безрецептурный ингалятор по мере необходимости для лечения астмы, вызванной физическими нагрузками. Ее артериальное давление - 140/80 мм рт. ст., пульс - 100/мин. Осмотр показывает сухость кожи и волос. Она готова к сотрудничеству, но выглядит встревоженной, быстро оглядывается по сторонам, когда за пределами кабинета раздается громкий шум. Количество лейкоцитов - 12 000/мм3 , а концентрация тиреостимулирующего гормона в сыворотке - 5,0 мкМЕ/мл. ЭКГ показывает синусовую тахикардию. Какой из следующих диагнозов наиболее вероятен?",Острое стрессовое расстройство,Агорафобия,Общее тревожное расстройство,Гипотиреоз,A,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
12171,professional_medicine,Медицина,"32-летний мужчина доставлен в отделение неотложной помощи через 30 минут после того, как его сбила машина, когда он ехал на мотоцикле. Он сообщает о сильной боли в области таза. При осмотре отмечается кровоподтек в области промежности, боль возникает при движении таза. В уретральном канале обнаружена кровь. Других травм полового члена нет. На обзорной рентгенограмме виден перелом верхней части лобкового отростка, и для оценки нарушения проходимости уретры проводится ретроградная уретрография. Какая из следующих частей уретры подвергается наибольшему риску повреждения у этого пациента?",Интрамуральная (препростатическая),Мембранозная,Простатическая,Губчатая,B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
9292,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Мой брат хотел впервые попробовать хрен на крекере, поэтому я сказала ему использовать меньше чайной ложки. Сценарий 2 | Мне понравились волосы моей сестры, поэтому я подстриг их, пока она спала.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",C,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
8612,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я научил своих детей играть со спичками. Сценарий 2 | Я удалил несколько непристойных фотографий моей сестры с Facebook.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
9447,nutrition,Медицина,Какие из следующих изменений в составе тела связаны со старением у пожилых людей?,Увеличение костной массы,Увеличение мышечной массы,Увеличение жировых отложений в организме,Все вышеперечисленное,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
4073,high_school_macroeconomics,Экономика,"Капуста, которую вы выращиваете на своем летнем огороде,",учитывается в ВВП по текущему курсу.,учитывается в ВВП по программе I.,"учитывается в ВВП, но не в НДП.",не учитывается в ВВП.,D,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
9544,nutrition,Медицина,Какой из следующих витаминов участвует в одноуглеродном метаболизме?,Фолиевая кислота,Рибофлавин,Тиамин,Витамин С,A,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
12129,professional_law,Право,"Женщина была нанята рестораном в качестве кассира по трудовому договору по собственному желанию. В первый рабочий день женщины она заметила на кухне табличку с надписью: ""ВАЖНОЕ УВЕДОМЛЕНИЕ ДЛЯ ВСЕХ сотрудников: сотрудникам не разрешается курить в рабочее время. Любой сотрудник, уличенный в нарушении этого правила, будет оштрафован на 50 долларов за первое нарушение; на 100 долларов за второе нарушение; и уволен за третье нарушение"". Женщина, которая была курильщицей, прочитала уведомление, но не возразила и не сделала никаких комментариев относительно правил ресторана в отношении некурящих. В течение шести месяцев женщина работала в ресторане и никогда не курила в рабочее время. Однажды днем женщина работала, когда в ресторан ворвался вооруженный грабитель. Он направил пистолет на женщину и потребовал все деньги из кассы. Испуганная и охваченная паникой женщина отдала деньги, а затем упала в обморок. Несколько мгновений спустя она пришла в сознание, а затем выкурила сигарету, пока к ней возвращалось самообладание. После этого женщина приступила к своим обязанностям до конца дня. Однако на следующей неделе, когда женщина получила свой платежный чек, она заметила, что ресторан вычел 50 долларов из ее чека. К письму была приложена записка, в которой указывалось, что женщина была оштрафована за курение в рабочее время. Хотя женщина протестовала, ресторан отказался делать какие-либо исключения и остался верен своим правилам. В иске женщины к ресторану о взыскании 50 долларов какой из следующих аргументов является лучшим в пользу женщины?","Правила ресторана в отношении курения коснулись сопутствующего вопроса, который не был включен в условия их трудового договора.","Ресторан косвенно отказался от запрета на курение, разрешив женщине продолжать работать до конца дня.","Положение о запрете курения представляло собой последующее конструктивное условие, которое было отменено из-за временной неосуществимости.","Положение о запрете курения, касающееся дисциплинарных взысканий, не имеет законной силы, поскольку оно пытается наложить штраф вместо разумной компенсации ущерба, если таковой имеется, понесенного рестораном.",D,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
5111,high_school_psychology,Общество,Какой из перечисленных ниже навыков развивается у большинства детей в первую очередь?,письмо карандашом,резьба ножом,произнесение предложения,хлопанье в ладоши,D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
8849,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я держал своего маленького сына за руки на балконе Сценарий 2 | На вечеринке в честь Хэллоуина сегодня вечером я планирую добавить выпивку в пунш, но никто об этом не знает.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",A,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
5185,high_school_psychology,Общество,Иконическая память относится к,визуальным сенсорным регистрам,обонятельным сенсорным регистрам,лобным сенсорным регистрам,Сенсорным регистрам STM,A,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test
166,human_sexuality,Общество,"Женщина знает, что больна герпесом и сифилисом, но продолжает заниматься сексом и не предупреждает партнеров о своем диагнозе. С точки зрения психоанализа, у такой женщины",сильное эго,слабое супер-эго,слабый ид,сильное супер-эго,B,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",train
910,college_biology,Биология,"Раковые клетки, выращенные в культуре, похожи на нормальные клетки, выращенные в культуре, в том смысле, что они",делятся неопределенное количество раз,не проявляют контактного ингибирования,"требуют поверхности для прикрепления, чтобы расти",пролиферируют с одинаковой плотностью клеток,C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
9177,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я хотел, чтобы белые студенты в моем классе колледжа почувствовали вину за рабство, поэтому я заставил их надеть цепи и кандалы и заставил их спеть песню о рабстве. Сценарий 2 | Я утолил голод ребенка.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
