question,предмет,выбор,отвечать,sheet
 Кто написал «Лунную сонату»?, разнообразный,['Моцарт' 'Гендель' 'Бах' 'Бетховен'],3,Sheet1
" Для гауссовского байесовского классификатора, какое из этих структурных предположений оказывает наибольшее влияние на компромисс между недообучением и переобучением?", машинное обучение," ['Обучаем ли мы центры классов методом максимального правдоподобия или градиентного спуска', 'Предполагаем ли мы полные ковариационные матрицы классов или диагональные ковариационные матрицы классов', 'Имеем ли мы равные априорные распределения классов или априорные распределения, оцененные на основе данных', 'Разрешаем ли мы классам иметь разные векторы средних значений или заставляем их иметь один и тот же вектор средних значений']",1,Sheet1
" Разница во времени реакции между молодыми и пожилыми людьми уменьшается, когда пожилые люди", старение человека, ['Регулярно занимайтесь аэробными упражнениями' 'Регулярно поднимайте тяжести' 'Употребляйте большое количество витаминов' 'Занимайтесь тайцзи'],0,Sheet1
"Пациентка, перенесшая операцию по восстановлению разрыва селезенки, прошла МРТ всего тела из-за возникшей сильной боли. Во время МРТ специалисты обнаружили как минимум два идентифицируемых тампона, оставшихся в ее теле. Ей потребовалась госпитализация для проведения дополнительной операции. Пациентка подала в суд на больницу и врача за врачебную халатность. Она не предоставила распечатки МРТ. Вместо этого она попыталась дать показания о том, что она видела на снимке МРТ. Защита возразила и настояла на том, чтобы она предоставила сами распечатки МРТ. Каково наиболее вероятное решение судьи в отношении этого возражения?", профессиональное_право,"[«Ей не нужно предъявлять результаты МРТ, поскольку неспециалист может свидетельствовать о вещах, общеизвестных, например, о том, как выглядит губка». «Ей необходимо предъявить результаты МРТ, поскольку неспециалист не может свидетельствовать о личных наблюдениях». «Ей не нужно предъявлять результаты МРТ, поскольку она может свидетельствовать о содержании своих собственных медицинских записей». «Она обязана предъявить результаты МРТ, поскольку это является наилучшим доказательством в соответствии с правилом наилучших доказательств».]",3,Sheet1
"Данный вопрос относится к следующей информации. «Из стен Иерусалима и Константинополя до нас неоднократно доносилась ужасная история, а именно: что род из персидского царства, проклятый род, род, совершенно отчужденный от Бога, поколение, которое не обратило своего сердца и не доверило свой дух Богу, вторгся в земли этих христиан и опустошил их мечом, грабежом и огнем; он увел часть пленников в свою страну, а часть уничтожил жестокими пытками; он либо полностью разрушил церкви Божии, либо присвоил их для обрядов своей религии… Царство греков теперь расчленено ими и лишено территории такой огромной протяженности, что ее невозможно преодолеть за два месяца. На ком же тогда лежит бремя мести за эти злодеяния и возвращения этой территории, если не на вас? На вас, на которых Бог, превыше других народов, даровал замечательную славу в оружии, великом Мужество, физическая активность и сила, чтобы смирить волосатую голову тех, кто сопротивляется вам. Пусть деяния ваших предков вдохновят вас и побудят к мужественным подвигам; слава и величие короля Карла Великого, и его сына Людовика, и других ваших королей, которые уничтожили царства язычников и расширили на этих землях территорию святой церкви. Пусть святой гроб Господа Спасителя нашего, которым владеют нечистые народы, особенно побудит вас, и святые места, которые ныне подвергаются позору и бесчестно осквернены их нечистотой. О, доблестные воины и потомки непобедимых предков, не деградируйте, но вспомните доблесть ваших прародителей. Иерусалим — пуп мира; эта земля плодороднее других, как другой рай наслаждений. Это Искупитель человеческого рода прославил Своим пришествием, украсил своим жилищем, освятил страданиями, «Искупленный смертью, прославленный погребением. Этот царственный город, расположенный в центре мира, теперь находится в плену у Его врагов и подчинен тем, кто не знает Бога, поклонению язычников. Поэтому он ищет и желает освобождения и не перестает умолять вас прийти ему на помощь. Особенно у вас он просит помощи, потому что, как мы уже говорили, Бог даровал вам, превыше всех народов, великую славу в оружии. Поэтому совершите это путешествие для прощения ваших грехов, с уверенностью в нетленной славе Царства Небесного». Папа Урбан II, речь на Клермонском соборе, записанная Робертом Монахом, 1095 г. н.э. Какое из следующих событий наиболее непосредственно являлось результатом представленной выше речи?",история мира в старшей школе, ['Провал любой христианской кампании по возвращению Леванта' 'Упадок средиземноморских торговых путей' 'Завоевание Константинополя латинскими христианами' 'Решающее поражение сельджуков византийскими войсками'],2,Sheet1
" Пассажирка в вагоне метро положила свою сумочку на сиденье рядом с собой и начала застегивать куртку. Подсудимый стоял перед пассажиркой, держась за поручень. Увидев сумочку без присмотра, он внезапно схватил ее и попытался убежать. В этот момент пассажирка очень испугалась и упала назад. Она ударилась головой о окно и потеряла сознание. В суматохе подсудимый уронил сумочку и поспешно вышел из вагона метро с пустыми руками. Подсудимый должен быть признан виновным в",профессиональное_право, ['кража.' 'попытка кражи.' 'нападение.' 'грабеж.'],0,Sheet1
" Новый член банды, надеясь произвести впечатление на главаря, направил пистолет на пешехода и потребовал отдать ему дорогие часы, что она и сделала. Затем член банды бросил часы главарю, стоявшему неподалеку. Хотя главарь был совершенно ошеломлен этим поступком, он положил часы в карман. Пешеход убежала. Какое преступление совершил главарь банды?", профессиональное_право, ['Соучастие в ограблении после совершения преступления.' 'Соучастник ограбления.' 'Заговор с целью совершения ограбления.' 'Получение краденого имущества.'],2,Sheet1
 Какое из следующих утверждений лучше всего перефразирует закон эффекта Торндайка?, профессиональная_психология," ['Всё поведение имеет причину: всё, что делается, оказывает влияние на поведение', 'Устранение безусловного стимула или вознаграждения приводит к снижению частоты поведения', 'Существует положительная корреляция между реакцией и аверсивной стимуляцией', 'Вознаграждение, как правило, увеличивает вероятность повторения последующей реакции']",3,Sheet1
 С какой традицией изготовления орудий труда наиболее тесно связан Homo erectus?, доисторический период, ['Затылочный' 'Ашельский' 'Олдованский' 'Стадиальный'],1,Sheet1
" Поведение, которое автоматически вызывается внешним раздражителем, называется", психология старшей школы, ['условный рефлекс' 'условие' 'аверсивный стимул' 'рефлекс'],3,Sheet1
"В течение последних 20 лет прибрежный город был популярным местом для серфинга. Недавно жители города пожаловались на то, что серферы создают общественные неудобства, засоряя пляжи мусором, приставая к загорающим и травмируя купающихся своими досками. В результате город принял постановление, запрещающее любой серфинг на своих пляжах. Новое постановление также запретило продажу досок для серфинга в пределах города. Производитель досок для серфинга из другого штата планировал продавать в городе новую линейку стекловолоконных досок в следующем году. Теперь это запрещено недавно принятым постановлением. Если производитель попытается воспрепятствовать применению городского постановления, какая из следующих защит является САМОЙ СЛАБОЙ для города?", профессиональное_право, ['Нет никаких оснований для иска или споров.' 'Иск производителя утратил актуальность.' 'Производитель не имеет права подавать иск.' 'Иск еще не созрел.'],1,Sheet1
"29-летняя испаноязычная женщина, третья беременность, третьи роды, обратилась в клинику из-за рецидивирующих болей в пояснице в течение последнего года. Покой и анальгетики обычно снимают боль в течение 2 недель. Однако боль, по-видимому, возобновляется каждые 2-3 месяца. В анамнезе отмечается гестационный сахарный диабет во время беременностей. Она не принимает никаких лекарств, кроме оральных контрацептивов. Она ежедневно проходит 3 мили пешком для поддержания физической формы и работает торговым представителем в компании по разработке программного обеспечения. Ее рост 165 см (5 футов 5 дюймов), вес 100 кг (220 фунтов); ИМТ составляет 37 кг/м2. Жизненные показатели в норме, и при физическом осмотре не выявлено никаких отклонений. Какой из следующих шагов является наиболее подходящим следующим шагом?", профессиональная_медицина, ['Ввести эпидуральную инъекцию метилпреднизолона' 'Назначить МРТ пояснично-крестцового отдела позвоночника' 'Назначить рентгеновские снимки пояснично-крестцового отдела позвоночника' 'Рекомендовать начать программу снижения веса'],3,Sheet1
" Преступник совершил преступление, связанное с подстрекательством к совершению противоправных действий. Что из перечисленного не относится к подстрекательству к совершению противоправных действий?", профессиональное_право," «Это соглашение между двумя или более лицами о совершении преступления». «Это подстрекательство другого лица к совершению тяжкого преступления». «Никаких действий, кроме подстрекательства, не требуется». «Отказ от участия, как правило, не является оправданием».",0,Sheet1
 Потеря слуха чаще встречается у, старение человека," ['Мужчины чаще, чем женщины' 'Женщины чаще, чем мужчины' 'Люди, уже имеющие некоторую потерю зрения' 'Люди, страдающие ожирением']",0,Sheet1
 Что такое нормативная перспектива?, управление,"['Так обстоят дела.' 'Так обстоят дела в будущем.' 'Так обстоят дела, как должны быть.' 'Так обстояли дела раньше.']",2,Sheet1
 Запишите соотношение 2 чашек к 3 квартам в виде простейшей дроби., элементарная_математика, ['3 над 2' '2 над 3' '2 над 12' '1 над 6'],3,Sheet1
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Пока мои родители спали, я перенял их правила поведения в доме. Сценарий 2 | Я решил выйти из бассейна, не сходив в туалет.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",3,Sheet1
" Пусть f(x,y) = x² - 2xy + y³ для всех действительных x и y. Какое из следующих утверждений верно?", математика колледжа," ['f имеет все свои относительные экстремумы на прямой x = y.' 'f имеет все свои относительные экстремумы на параболе x = y².' 'f имеет относительный минимум в точке (0, 0).' 'f имеет абсолютный минимум в точке (2/3, 2/3).']",0,Sheet1
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я купил компьютерные комплектующие и вернул их после того, как они сломались. Сценарий 2 | Я устроил пир для богатых перед бездомными.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",0,Sheet1
" 33-летняя женщина обратилась в клинику с жалобами на хроническую боль в тазу, которая началась после перенесенной 6 месяцев назад гистерэктомии. После физического осмотра было назначено КТ-сканирование таза. После завершения сканирования рентгенолог сообщил, что в тазу пациентки обнаружена хирургическая губка. В последующем иске о врачебной халатности истец доказал, что губка не могла быть оставлена без халатности. Наиболее подходящим термином для обозначения юридической концепции, на которую ссылается пациентка, является", профессиональная_медицина, ['побочный эстоппель' 'непосредственная причина' 'res ipsa loquitur' 'ответить вышестоящему'],2,Sheet1
" Утверждение 1 | Множество всех прямоугольников в двумерной плоскости (включая прямоугольники, не выровненные по осям координат) может разбить множество из 5 точек. Утверждение 2 | VC-размерность классификатора k-ближайших соседей при k = 1 бесконечна.", машинное обучение," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",0,Sheet1
" Утверждение 1 | Если R является целостной областью, то R[x] является целостной областью. Утверждение 2 | Если R — кольцо, и f(x) и g(x) принадлежат R[x], то deg (f(x)g(x)) = deg f(x) + deg g(x).", абстрактная_алгебра," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",2,Sheet1
 Что такое перелом Коллеса?, клинические_знания, ['Перелом кисти.' 'Перелом локтя.' 'Перелом пальца.' 'Перелом лучевой и локтевой костей в области запястья.'],3,Sheet1
" Если средняя скорость потребления кислорода у спортсмена-мужчины во время тренировки составляет 2 л/мин, то его скорость расхода энергии приблизительно равна:", колледж_медицина,['400 кДж/мин.' «200 кДж/мин». «80 кДж/мин». '40 кДж/мин.'],3,Sheet1
 Программа страхования для малоимущих людей всех возрастов называется, старение человека, ['Хоспис' 'Медикайд' 'Медикэр' 'Временный уход'],1,Sheet1
" Если два современных организма находятся в отдаленном эволюционном родстве, то следует ожидать, что", биология для старшей школы," ['Они обитают в совершенно разных средах.' 'У них должно быть меньше общих гомологичных структур, чем у двух более близкородственных организмов.' 'Их хромосомы должны быть очень похожи.' 'Они относительно недавно имели общего предка.']",1,Sheet1
Юм делит наше восприятие на две категории:, философия, ['Ощущения и эмоции'. 'Впечатления и идеи'. 'Статические и динамичные'. 'Простые и сложные'.],1,Sheet1
"Домовладелица проживает ниже по склону холма от металлообрабатывающего предприятия. Она подала в суд на владельца предприятия и поставщика растворителя, используемого на предприятии. Она утверждает, что загрязняющие вещества, состоящие в основном из растворителя, попали в почву на территории предприятия и распространились, и продолжают распространяться, на ее участок, загрязняя почву, грунтовые воды и ее колодец. Она заявляет о различных актах халатности со стороны владельца предприятия, которые привели к выбросу загрязняющих веществ в почву. Она также утверждает, что сотрудники поставщика растворителя проявили халатность, часто разливая часть растворителя на землю при заполнении резервуара на крыше предприятия. Поставщик растворителя подал ходатайство о вынесении решения в порядке упрощенного производства, утверждая, что если и имело место загрязнение, то владелец предприятия и поставщик независимо друг от друга внесли неопределенный вклад в загрязнение, и поэтому домовладелица не может доказать, какой ущерб был нанесен ей каждым из них. Нет никаких доказательств того, что владелец предприятия и поставщик растворителя действовали согласованно. Следует ли суду удовлетворить ходатайство о вынесении решения в порядке упрощенного производства?",профессиональное_право," ['Нет, потому что лица, одновременно причинившие вред, несут солидарную ответственность за неделимый ущерб.' 'Нет, потому что поставщик растворителя несет субсидиарную ответственность за ущерб, причиненный владельцем объекта.' 'Да, потому что нет оснований для распределения убытков между поставщиком растворителя.' 'Да, потому что нет доказательств того, что владелец объекта и поставщик растворителя действовали согласованно.']",0,Sheet1
" Если спрос на доллары растет, а предложение долларов падает, то", макроэкономика для старшей школы," ['Доллар подорожает'. 'Доллар подешевеет'. 'Обменные курсы изменятся, но стоимость доллара останется неизменной'. 'Обменный курс не изменится'.]",0,Sheet1
" Какой шаг объясняет, как найти значение a в выражении 6a = 72?", элементарная_математика, ['добавьте 6 к обеим сторонам' 'разделите обе стороны на 6' 'умножьте обе стороны на 6' 'вычтите 6 из обеих сторон'],1,Sheet1
" Мур определяет натуралистическую ошибку как точку зрения, согласно которой:", философия," ['Всё, что естественно, хорошо'. 'Всё, что хорошо, естественно'. 'Хорошее тождественно естественному свойству'. 'Всё вышеперечисленное'.]",2,Sheet1
 Что из перечисленного верно относительно увеличения щитовидной железы?, клинические_знания," ['При глотании он всегда приподнимается', 'Увеличение лимфатических узлов — хороший прогностический признак', 'Ультразвуковое исследование припухлости — лучший тест для определения того, активно ли узел выделяет гормоны', 'Функционирующий узел, выявленный при изотопном сканировании, вряд ли является раком']",3,Sheet1
" Ведущий ток-шоу недавно сообщил, что в ответ на его вопрос в прямом эфире 82% из более чем 2500 электронных писем, полученных по его опубликованному адресу, поддержали смертную казнь для любого, кто будет осужден за продажу наркотиков детям. Что это показывает?", статистика для старшей школы,"['Опрос бессмысленен из-за предвзятости, связанной с добровольным участием.' 'Невозможно сделать значимый вывод, не зная больше о характеристиках его слушателей.' 'Опрос был бы более значимым, если бы он выбрал случайную выборку из 2500 респондентов.' 'Опрос был бы более значимым, если бы он использовал контрольную группу.']",0,Sheet1
"Какое из следующих значений ниже для аргона, чем для неона?", колледж_химия, ['Температура плавления' 'Температура кипения' 'Поляризуемость' 'Первая энергия ионизации'],3,Sheet1
"Мужчина заказал установку деревянных ставней на окна своего дома. Подрядчик, устанавливавший ставни, сделал это, вкрутив шурупы и прикрепив кронштейны к наружным оконным рамам и самим ставням. Позже мужчина согласился продать дом покупателю. В договоре купли-продажи ставни не упоминались, покупатель не интересовался ими и не проводил осмотр дома перед закрытием сделки. Мужчина передал дом покупателю по гарантийному акту. После закрытия сделки покупатель заметил, что ставни и кронштейны были сняты с дома, а оконные рамы отремонтированы и перекрашены. Покупатель потребовал, чтобы мужчина вернул ставни и оплатил стоимость их повторной установки, утверждая, что ставни были переданы ему вместе с продажей дома. Когда мужчина отказался, покупатель подал в суд. Есть ли у покупателя шансы на победу?", профессиональное_право,"['Нет, потому что в договоре купли-продажи не упоминались ставни.' 'Нет, потому что оконные рамы были отремонтированы и перекрашены после демонтажа ставней.' 'Да, потому что ставни стали неотъемлемой частью дома.' 'Да, потому что мужчина предоставил покупателю гарантийный акт, и отсутствие ставней нарушало одно из условий договора.']",2,Sheet1
 Какая из следующих окружностей имеет наибольшее количество точек пересечения с параболой x² = y + 4?, математика колледжа, ['x^2 + y^2 = 1' 'x^2 + y^2 = 2' 'x^2 + y^2 = 9' 'x^2 + y^2 = 16'],2,Sheet1
" У Антонии есть кошка. Когда она впервые видит кролика, она называет его кошкой. Ее ошибка связана с процессом...", психология старшей школы, ['дискриминация.' 'обобщение.' 'приспособление.' 'ассимиляция.'],3,Sheet1
" Какая из следующих задач, касающихся заданного неориентированного графа G, в настоящее время считается разрешимой за полиномиальное время?", колледж_информатики,['Нахождение самого длинного простого цикла в G' 'Нахождение самого короткого цикла в G' 'Нахождение ВСЕХ остовных деревьев G' 'Нахождение самой большой клики в G'],1,Sheet1
 Гештальт-терапия направлена на достижение интеграции, профессиональная_психология," ['Мотивационные модели и модели привычек' 'Мышление, чувства и действия' 'Прошлое, настоящее и будущее' 'Внешние и внутренние процессы']",1,Sheet1
 Какое из следующих утверждений о клеточном дыхании является правильным?, биология для старшей школы,"«Большая часть CO2, образующегося в процессе клеточного дыхания, высвобождается в результате гликолиза». «Протоны перекачиваются через АТФ-синтазу посредством активного транспорта». «Конечным акцептором электронов в цепи переноса электронов является NAD+». «АТФ образуется потому, что эндотермическая реакция сопряжена с экзотермической реакцией».",3,Sheet1
 В какой отрасли Джон Рокфеллер сколотил своё состояние?, разнообразный, ['автомобиль' 'нефть' 'сталь' 'железная дорога'],1,Sheet1
" Длинный провод, состоящий из гладкого круглого проводника, проходит над землей и параллельно ей (предполагается, что это большая проводящая плоскость). Между проводником и землей существует высокое напряжение. Максимальное электрическое напряжение возникает в точке", электротехника, ['нижняя поверхность проводника.' 'верхняя поверхность проводника.' 'поверхность заземления.' 'посередине между проводником и землей.'],0,Sheet1
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я потратил деньги, предназначенные на аренду, в казино. Сценарий 2 | Я превысил скорость, чтобы добраться до бомбы и обезвредить её.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",1,Sheet1
"Фермер, разводящий кур для производства яиц, хочет, чтобы средняя масса его яиц составляла 56 граммов. Он рассматривает возможность приобретения другой породы кур, поэтому взял случайную выборку из 18 яиц, снесенных этой породой. Распределение масс симметричное и имеет форму холмика со средним значением 54,1 грамма и без выбросов. Фермер провел t-тест, чтобы проверить, есть ли доказательства того, что средняя масса яиц от этих кур отличается от 56 г, и получил статистику теста t = -1,973. Если он использует уровень значимости 5%, какой вывод и обоснование будут правильными?", статистика для старшей школы,"['Поскольку значение t более экстремально, чем ±1,96, он должен отклонить нулевую гипотезу. У него есть убедительные доказательства на уровне значимости 5%, что средняя масса яиц от этих кур отличается от 56 граммов.' 'Поскольку значение t менее экстремально, чем критическое значение t для 17 степеней свободы, он не должен отклонять нулевую гипотезу. У него нет убедительных доказательств на уровне значимости 5%, что средняя масса яиц от этих кур отличается от 56 граммов.' 'Поскольку значение t менее экстремально, чем критическое значение t для 18 степеней свободы, он не должен отклонять нулевую гипотезу. У него нет убедительных доказательств на уровне значимости 5%, что средняя масса яиц от этих кур отличается от 56 граммов.' 'Поскольку значение t более экстремально, чем критическое значение t для 18 степеней свободы, он должен отклонить нулевую гипотезу. У него есть убедительные доказательства на уровне значимости 5%, что средняя масса яиц от этих кур отличается от 56 граммов.']",1,Sheet1
"Компания заинтересована в сравнении среднего объема продаж на одного продавца в двух разных местах. Менеджер берет случайную выборку из 10 продавцов из каждого места независимо друг от друга и записывает объем продаж, полученный каждым человеком за последние четыре недели. Он решает использовать t-критерий для сравнения среднего объема продаж в двух местах. Какое из следующих предположений необходимо для достоверности t-критерия?", статистика для старшей школы, ['Стандартные отклонения генеральной совокупности в обоих местах равны.' 'Стандартные отклонения генеральной совокупности в обоих местах не равны.' 'Стандартные отклонения генеральной совокупности в обоих местах известны.' 'Генеральная совокупность данных о продажах в каждом месте имеет нормальное распределение.'],3,Sheet1
Является ли дилемма слабой государственной безопасности неизбежным условием?, исследования безопасности,"«Глобальная война с терроризмом оказала положительное влияние на проект государственного строительства. Борьба с терроризмом перенаправила международное внимание и ресурсы на искоренение нестабильности в рамках признания многоуровневых факторов, способствующих возникновению терроризма. В частности, это включает в себя контроль за распространением оружия». «Проблемы нестабильности слабых государств занимают низкое место в международной повестке дня, и решения не выходят за рамки контекста либеральной многопартийной демократии и капитализма свободного рынка. Проблема до сих пор заключается в том, что ни один случай принудительного неолиберализма, будь то посредством условий, смены режима или миростроительства, не смог превратить слабое государство в сильное». «Провал либеральных реформ подчеркнул растущую жизнеспособность альтернативных форм политической организации за пределами государства. Субгосударственные организации являются практическим решением для решения проблем регионов с эндемическими проблемами оружия и бедности, в то время как региональная организация является устойчивой структурной формой в Африке и Латинской Америке». «Слабые государства вступили в длительный и сложный процесс достижения эффективного статуса». Долгосрочные стратегии безопасности привели к принятию мер по противодействию наихудшим последствиям, включая создание многопартийных систем, экономическую либерализацию и членство в международном сообществе.",1,Sheet1
" В ответ на утверждение о неполноте обоснования, основанного на принятии решений:", философия," ['Готье расширяет определение делиберативного обоснования.' 'Готье утверждает, что делиберативное обоснование по определению учитывает все соответствующие соображения.' 'Готье утверждает, что делиберативное обоснование работает.' 'Готье утверждает, что все теории обоснования одинаково неполны.']",2,Sheet1
 Какие существуют свидетельства торговли между городами долины Инда и городами-государствами древней Месопотамии?, доисторический период," ['Обсидиановые орудия были найдены на стоянках в обоих регионах.' 'Стеклянные бусины, медь и золото из Месопотамии были найдены на хараппских стоянках в долине Инда.' 'Хараппские печати были найдены в Месопотамии, а месопотамские цилиндрические печати — в долине Инда.' 'Все вышеперечисленное.']",2,Sheet1
 Если ФРС покупает облигации на вторичном рынке, макроэкономика для старшей школы,['Денежная масса увеличится'. 'Денежная масса уменьшится'. 'Денежная масса не изменится'. 'Учетная ставка изменится'.],0,Sheet1
