subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split
professional_law,"A university fired its head basketball coach after a series of losing seasons. The university contacted a coach who had a strong reputation as a person who cottld ""turn around"" a program and produce winning teams. The university offered the coach an annual salary of $250,000 to coach its basketball team, but the coach declined the offer, hoping to find another institution that would pay him a higher salary. Thereafter, a wealthy booster, who was interested in enhancing the university's basketball program, contacted the coach and told him that if he would sign a coaching contract with the university, the booster would pay him $50,000 a year as an unpublished supplement to his salary. Furthermore, the booster promised to contribute $5,000 to the university athletic fund every time the basketball team won a game under the coach's tutelage. The coach thereupon signed a three-year contract as the head basketball coach at the university at an annual salary of $250,000. During the coach's first year as coach, the university basketball team compiled a record of 18 wins and 12 losses. The booster, however, refused to pay anything to either the coach or the university athletic fund. Assume that the agreement between the coach and the booster does not violate any rule of the university or of any intercollegiate athletic association. The university brought suit against the booster to recover $90,000 for breach of his promise to pay $5,000 into the athletic fund for each game won by the basketball team. Is it likely that the university will prevail in this contract action?","Yes, because the university is an intended third-party beneficiary of the contract between the coach and the booster.","Yes, because the university detrimentally relied on the booster's promise by hiring the coach.","No, because the booster's promise was, in essence, an illegal form of procurement and void as against public policy.","No, because the booster's promise was made to the coach rather than to the university and, therefore, was not a charitable subscription.",0,A,test
security_studies,"In the contemporary context, how can peace studies best be defined?","Following the expansion of peace studies in the decline of the Cold War, the field has emerged as an independent and autonomous area of study that addresses issues surrounding conflict resolution, economic security and the cessation of violence at both an international and sub-national level. As a field of research, peace studies are best defined by their distinction from development studies and international relations.","Peace studies are best defined by its research agenda that focuses on the search for non-violent measures by which to end conflict. Peace researchers adopt a 'top-down' approach to conflict resolution that prioritises the issues surrounding violence and the use of force, focusing on instigating agents in an attempt to secure that actor as the referent object to security.","Peace studies cannot be defined as a specific academic approach due to the shifting nature of its research agenda and the diversity of interests addressed by peace researchers. However, following the Cold War the success of the field has been such that it boasts a number of research institutes and attracts global and interdisciplinary attention.","Peace studies is defined by a concern with the underlying causes of phenomena in IR, a global outlook, an interdisciplinary approach, the search for non-violent transformations, an analytical and normative approach, and the adoption of multi-level analysis that links theory and practice within research.",3,D,test
moral_disputes," To say that the consequentialist account of right action is a maximizing conception is to say that, according to the account,",we are obligated to convince as many people as possible to accept consequentialism.,we ought to perform that action the consequences of which will have at least as much overall value as any of the alternative actions.,we are to perform that action the consequences of which will have the least overall value compared to any of the alternative actions.,none of the above,1,B,validation
anatomy,Loss of somatic sensation over the anterior two-thirds of the tongue indicates damage to the,lingual branch of the mandibular trigeminal nerve.,chorda tympani branch of the facial nerve.,lingual branch of the glossopharyngeal nerve.,hypoglossal nerve.,0,A,test
professional_psychology,Which of the following is most likely to produce symptoms similar to those resulting from anxiety,A deficiency of ACTH,An excess of testosterone,Addison's disease,Hyperthyroidism,3,D,test
elementary_mathematics,"At a bus station, buses begin their routes at 6:00 a.m. The schedule for two of the buses is based on the time intervals listed below.
* Bus A has a long route and leavesthe station every 75 minutes.
* Bus has a short route and leaves the station every 15 minutes.
What is the next time Bus A and BusB will leave the bus station at the same time?",7:00 a.m.,7:15 a.m.,7:30 a.m.,8:30 a.m.,1,B,test
high_school_physics,"A circuit consists of a battery and a light bulb. At first, the circuit is disconnected. Then, the circuit is connected, and the light bulb lights. After the light bulb has been lit for a few moments, how has the net charge residing on the circuit elements changed?",The net charge has become more positive.,The net charge has become more negative.,The net charge has not changed.,Whether the net charge becomes more positive or more negative depends on the initial net charge residing on the circuit elements before the bulb was lit.,2,C,test
nutrition,"Since the 1996 World Food Summit, how has the number of food insecure people in the world changed?
",The Summit's goal of cutting the number of hungry people in half by 2015 was achieved.,"The number decreased, but not by nearly enough to meet the Summit's goal.",The number increased slightly.,"Because of rising food prices, the number increased dramatically.",1,B,test
marketing, The action of presenting persuasive communication and the action of audiences in interpreting that communication to assimilate it into their existing understanding is referred to as:,Needs identifying.,Innovating.,Advertising.,Framing.,3,D,test
high_school_government_and_politics,What is the primary reason that the committees in the House of Representatives are more influential than they are in the Senate?,The difference in size between the two chambers means that more work is done on the floor in the Senate and more work is done in committees in the House.,The Senate as a whole has confirmation powers that the House does not have.,Members are appointed to the committee in the House but are elected to committees in the Senate.,"A member of any party can serve a committee in the House, but only major party members can serve on committees in the Senate.",0,A,test
professional_medicine,A male stillborn is delivered at 32 weeks' gestation to a 30-year-old woman. The pregnancy was complicated by oligohydramnios. Examination of the stillborn shows the absence of a urethral opening. Which of the following additional findings is most likely in this stillborn?,Congenital diaphragmatic hernia,Intralobar sequestration,Pulmonary hypoplasia,Situs inversus,2,C,test
human_sexuality,People who cannot reach orgasm without touching a woman's shoe would certainly be considered sexually abnormal or deviant by which of the following definitions?,psychological,sociological,statistical,b and c,3,D,test
professional_law,"Homeowner owns a property in its natural condition with a house on it. There was no fill of any kind on the property. Neighbor, who owns the adjacent property to the East, built a driveway whose western boundary is along the border of homeowner's property. The excavator dug the driveway five feet deep. The land began to subside along the line of excavation and about three feet of homeowner's land fell off into the driveway, making that part of her property useless. Homeowner demanded that neighbor fill in the property to buttress the erosion created. That was not done and the erosion continued to occur. Homeowner sued and asked for an injunction compelling the neighbor to build and maintain a retaining wall. Will the court rule for the plaintiff/homeowner?","Yes, because excavation is an abnormally dangerous activity and neighbor is absolutely liable for any damages caused by the violation.","Yes, because every landowner has a right to the lateral support of the soil in its natural state.","No, because the neighbor did not go onto the adjacent land and confined all excavation to his own land.","No, the right to lateral support is a common law right that has been abrogated by statute in virtually all states so that the right no longer exists.",1,B,test
professional_law,"Two men agreed to burglarize a home. While they were planning the burglary, the two men learned that the home had a sophisticated alarm system that needed to be disarmed. One of the men told the other that he knew an alarm specialist who could help disarm the security system. One of the men then approached the alarm specialist and asked if he would assist them in disarming the home's alarm system. The alarm specialist said that he didn't want to participate in the crime but told the man how he could disarm the system himself. The two men thereafter went to the home to commit the burglary. When they arrived at the home, they saw a vicious guard dog patrolling the fenced-in area of the home. Deciding it would be too risky to confront the dog, the two men abandoned their planned burglary. Which of the following is the most accurate statement regarding the criminal liability of the two men and the alarm specialist?",The two men are guilty of conspiracy.,The two men and the alarm specialist are guilty of conspiracy.,The two men are guilty of conspiracy and the two men and the alarm specialist are guilty of attempted burglary.,The two men and the alarm specialist are guilty of both conspiracy and attempted burglary.,1,B,test
professional_law,"Berg offered to sell a parcel of land to Jones for $75,000 cash. The offer was in writing on March 1 and made by sending an e-mail to Jones' web site. Jones responded by mailing a letter on March 10 which stated ""I accept but would like to request that I can pay $25,000 in three equal installments over the next three years."" Berg received the letter on March 15. A contract was",Formed on March 10.,Formed on Match 15.,Not formed because Jones' addition of the three year payment request was a condition that Berg had to agree should be included.,"Not formed because the addition of the three year request was, in effect, a rejection.",1,B,test
high_school_european_history,"This question refers to the following information.
The assumption by a government of the office of Reliever-general to the poor is necessarily forbidden by the principle that a government cannot rightly do anything more than protect. In demanding from a citizen contributions for the mitigation of distress … the state is … reversing its function. … To enforce the fundamental law—to take care that every man has freedom to do all that he wills, provided he infringes not the equal freedom of any other man. … [But that] is quite a separate thing from insuring him satisfaction. …
The poverty of the incapable, the distresses that come upon the imprudent, the starvation of the idle, and those shoulderings aside of the weak by the strong … are the decrees of a large, farseeing benevolence. … When regarded not separately, but in connection with the interests of universal humanity, these harsh fatalities are seen to be full of the highest beneficence.
Herbert Spencer, Social Statistics: Survival of the Fittest Applied to Humankind, 1851
From the passage, one may infer that Spencer was an advocate of which nineteenth-century political philosophy?",Conservatism,Anarchism,Liberalism,Socialism,2,C,test
college_computer_science,Which of the following statements is FALSE about memory reclamation based on reference counting?,Reference counting is well suited for reclaiming cyclic structures.,Reference counting incurs additional space overhead for each memory cell.,Reference counting is an alternative to mark-and-sweep garbage collection.,Reference counting need not keep track of which cells point to other cells.,0,A,validation
high_school_psychology,Which of the following is not a basic somatosensation?,pain,touch,cold,itch,3,D,test
electrical_engineering,The main advantage of dielectric heating is that,heating occurs in the material itself.,heating occurs due to high frequency.,it can be used for drying the explosives.,None of the above.,0,A,test
electrical_engineering,1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,2,C,test
miscellaneous,What is a shaddock?,a fish the offspring of a male shad and a female haddock,"a crystal such as quartz, that sticks out from a mineral vein",a plant that is a member of the nightshade family,a grapefruit,3,D,test
medical_genetics,Tracing of a cell lineage during development means that,the cells giving rise to and derived from a specific cell are known,the sequence of the enhancers for developmental genes is known,the regulatory genes for the organism have been genetically mapped,cell components in the membrane involved in signaling have been isolated,0,A,validation
management,What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,1,B,test
