subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source
professional_law,"The local jurisdiction has a modified comparative negligence statutein effect that provides:""Contributory negligence shall not bar recovery in any action by any person or his legal representative to recover damages for negligence resulting in death or injury to person or property, if such negligence was not as great as the negligence of the person against whom recovery is sought, but any damages allowed shall be diminished in proportion to the amount of negligence attributable to the person for whose injury, damage, or death recovery is made. ""In addition, this jurisdiction follows joint and several liability for joint tortfeasors. A buyer recently purchased an undeveloped beachfront lot in the jurisdiction. He hired a building contractor to construct a new house on the property. Thereafter, the contractor employed a subcontractor to provide on-site maintenance. The contractor contracted with a cement company to supply concrete for the foundation of the structure. After excavation started, an employee of the cement company delivered a load of concrete to the construction site. To facilitate delivery, the contractor and the subcontractor had built an access ramp extending from the street to the lot. As the employee was driving over the ramp, it suddenly collapsed and caused the truck to overturn, seriously injuring the employee. A subsequent investigation determined that the contractor and the subcontractor negligently used substandard materials in constructing the ramp. In addition, the employee was partially at fault for driving while intoxicated. The employee brought suit against the contractor and the subcontractor to recover damages for his injuries. A special trial was held on the issue of negligence, and it was adjudged that each party was contributorily negligent as follows:PARTY DEGREE OF NEGLIGENCEPlaintiff: (the EE) 40%Defendant: (the contractor) 35%Defendant: (the subcontractor) 25%The employee, who suffered damages in the amount of $100,000, brings a personal injury action against the contractor individually. He will most likely","recover nothing, because he was more at fault than the contractor.","recover $100,000.","recover $55,000.","recover $35,000.",0,A,ok,,,
high_school_geography,"Ankara, Turkey and Islamabad, Pakistan are both examples of",desert cities.,forward-thrust capitals.,old colonial capitals.,rival cities.,1,B,ok,,,www.crackap.com - AP Human Geography Question 64
high_school_statistics,"A test for heartworm in dogs shows a positive result in 96% of dogs that actually have heartworm, and shows a negative result in 98% of dogs with no heartworm. If heartworm actually occurs in 10% of dogs, what is the probability that a randomly selected dog that tested positive for heartworm actually has heartworm?",11%,18%,84%,88%,2,C,ok,,,
college_biology,Which of the following active pools of carbon is the largest on Earth and contributes the most to carbon cycling?,The atmosphere,Rain-forest vegetation,Recoverable fossil fuels,The oceans,3,D,ok,,,https://maktabkhooneh.org/mag/wp-content/uploads/2020/12/practice_book_biology.pdf
electrical_engineering,A latch is ________ sensitive,both level and edge,edge,level,,2,C,ok,,,
security_studies,Which of the following statements best describes the characteristics of a weak state?,"The most important characteristics of weak states are their frequent inability to establish and maintain a monopoly of control over the instruments of violence. Even within states with well developed coercive power they do not always retain absolute loyalty and are faced with a real possibility of military intervention. Whilst armed forces are ill-equipped, poorly managed and prone to factional divisions, social actors are powerful enough to resist governance. Therefore, monopoly over the instruments of violence is infrequent.","Weak states possess high levels of social-political cohesion which is correlated to the hegemonic enforcement idea of the regime, which in turn becomes accepted to the point of being legitimized as the social norm.","Weak states have a monopoly on the instruments of violence and have the coercive capability to force compliance even when social actors attempt to resist. The regimes lack popular legitimacy, the integrity of the regime's survival is consolidated by power resulting in the naturalization of violence within society.","Weak states do not utilize coercive capabilities in normal policy. State institutions typically have a developed bureaucracy which legitimizes the regime's ability to rule. Paradoxically, however, the more a weak state exercises its coercive power the more it reinforces its infrastructural power but reduces its ability to rule.",0,A,ok,,,https://www.academia.edu/25358029/Contemporary_Security_Studies
econometrics,"How many parameters will be required to be estimated in total for all equations of a standard form, unrestricted, tri-variate VAR(4), ignoring the intercepts?",12,4,3,36,3,D,ok,,,Introductory Econometrics for Finance - Chapter 6 (cambridge.org)
college_biology,"Cell motility, as viewed in a cultured fibroblast, encompasses all of the following EXCEPT",adhesion plaques,vinculin,clathrin,lamellipodia,2,C,ok,,,https://en.wikipedia.org/wiki/Clathrin
high_school_biology,A child with type A B blood inherits an IA allele from one parent and an IB allele from the other. The child will carry both A and B glycoproteins on the surface of all red blood cells. This pattern of expression is referred to as,codominance,epistasis,polygenic,linkage,2,C,wrong_groundtruth,0,,https://quizlet.com/686107366/biology-praxis-exam-flash-cards/
college_mathematics,A discrete graph is complete if there is an edge connecting any pair of vertices. How many edges does a complete graph with 10 vertices have?,10,20,25,45,3,D,ok,,,Expert
high_school_geography,A chief factor that contributed to the Second Agricultural Revolution was,the Industrial Revolution.,World War I.,World War II.,the discovery of the plow.,0,A,ok,,,www.crackap.com - AP Human Geography Question 135
