subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
college_chemistry,Predict the hyperfine value for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.,0.375 mT,3.75 G,2.35 mT,0.58 G,3,D,test,question: Predict the hyperfine value for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.,"A)
question: Estimate the hyperfine coupling constant for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.

B)
question: Predict the hyperfine coupling constant for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.

C)
question: Estimate the hyperfine value for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.

D)
question: Predict the hyperfine constant for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.",question: Estimate the hyperfine coupling constant for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.,question: Predict the hyperfine coupling constant for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.,question: Estimate the hyperfine value for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.,question: Predict the hyperfine constant for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.,A,A,A,A
moral_disputes," Carens accepts that it is possible for the sudden opening of one country's borders to do more harm than good from a liberal egalitarian perspective. However, he argues that","in practice, feasible policy options will not entail major costs to current citizens.","liberal egalitarianism is false, and so this possibility is irrelevant.",sometimes you have to do more harm than good in the short term to do more good in the long term.,all of the above,0,A,test,"question:  Carens accepts that it is possible for the sudden opening of one country's borders to do more harm than good from a liberal egalitarian perspective. However, he argues that","A)
question:  Carens concedes that it is possible for the abrupt opening of a single country's borders to do more harm than good from a liberal egalitarian perspective. However, he argues that the moral case for regulated openness still outweighs those concerns.

B)
question:  Carens acknowledges that it is possible for the sudden removal of one nation's frontiers to cause more harm than benefit from a liberal egalitarian perspective. However, he argues that the ethical case for controlled openness still outweighs those concerns.

C)
question:  Carens admits that it is possible for the rapid lifting of a particular state's borders to inflict more harm than good from a liberal egalitarian perspective. However, he argues that the normative reasons for managed openness nonetheless outweigh those worries.

D)
question:  Carens accepts that it is possible for the immediate opening of one country's frontiers to produce more harm than benefit from a liberal egalitarian perspective. However, he argues that the justificatory case for supervised openness still outweighs those drawbacks.","question:  Carens concedes that it is possible for the abrupt opening of a single country's borders to do more harm than good from a liberal egalitarian perspective. However, he argues that the moral case for regulated openness still outweighs those concerns.","question:  Carens acknowledges that it is possible for the sudden removal of one nation's frontiers to cause more harm than benefit from a liberal egalitarian perspective. However, he argues that the ethical case for controlled openness still outweighs those concerns.","question:  Carens admits that it is possible for the rapid lifting of a particular state's borders to inflict more harm than good from a liberal egalitarian perspective. However, he argues that the normative reasons for managed openness nonetheless outweigh those worries.","question:  Carens accepts that it is possible for the immediate opening of one country's frontiers to produce more harm than benefit from a liberal egalitarian perspective. However, he argues that the justificatory case for supervised openness still outweighs those drawbacks.",A,A,A,A
sociology,Which of these changes did not occur during the 'sexual revolution' of the 1960s?,"a growing fear of HIV and AIDS, fuelled by the New Right",divorce law reforms,the availability of oral contraception,the recognition of women's sexual pleasure,0,A,validation,question: Which of these changes did not occur during the 'sexual revolution' of the 1960s?,"A)
question: Which of these changes did not take place during the 'sexual revolution' of the 1960s?

B)
question: Which of these alterations did not occur during the 'sexual revolution' of the 1960s?

C)
question: Which of these shifts did not happen during the 'sexual revolution' of the 1960s?

D)
question: Which of these transformations did not transpire during the 'sexual revolution' of the 1960s?",question: Which of these changes did not take place during the 'sexual revolution' of the 1960s?,question: Which of these alterations did not occur during the 'sexual revolution' of the 1960s?,question: Which of these shifts did not happen during the 'sexual revolution' of the 1960s?,question: Which of these transformations did not transpire during the 'sexual revolution' of the 1960s?,A,A,A,D
professional_law,"A resident of a state owned a large tract of virgin forest. The resident conveyed this tract ""to the people of the state in fee simple so long as said tract shall remain in its natural state (with exception for recreational, scientific, or educational purposes). ""Under state law, conveyances of real property to ""the people"" of the state are deemed to vest title in the state regarded as a legal entity, and custody over such property resides in an appointed official known as the director of environmental resources. The director granted a logging company the privilege to cut timber on a remote portion of the tract, together with incidental easements of way. The right of the logging company to cut and sell the timber that was to be cleared from the tract would be an example of a (an)",license.,easement appurtenant.,easement in gross.,profit-a-prendre.,3,D,test,"question: A resident of a state owned a large tract of virgin forest. The resident conveyed this tract ""to the people of the state in fee simple so long as said tract shall remain in its natural state (with exception for recreational, scientific, or educational purposes). ""Under state law, conveyances of real property to ""the people"" of the state are deemed to vest title in the state regarded as a legal entity, and custody over such property resides in an appointed official known as the director of environmental resources. The director granted a logging company the privilege to cut timber on a remote portion of the tract, together with incidental easements of way. The right of the logging company to cut and sell the timber that was to be cleared from the tract would be an example of a (an)","A)
question: A citizen of a state possessed a substantial parcel of unspoiled forest. The citizen transferred this parcel ""to the people of the state in fee simple so long as said parcel shall remain in its natural condition (with exception for recreational, scientific, or educational purposes). ""Under state law, conveyances of real property to ""the people"" of the state are deemed to vest title in the state regarded as a legal entity, and custody over such property resides in an appointed official known as the director of environmental resources. The director granted a logging company the privilege to cut timber on a remote portion of the parcel, together with incidental easements of way. The right of the logging company to cut and sell the timber that was to be cleared from the parcel would be an example of a (an)

B)
question: A tenant of a state held a sizable tract of primeval woodland. The tenant conveyed this tract ""to the people of the state in fee simple so long as said tract shall remain in its natural state (with exception for recreational, scientific, or educational purposes). ""Under state law, conveyances of real property to ""the people"" of the state are considered to vest title in the state regarded as a legal entity, and custody over such property is lodged in an appointed official known as the director of environmental resources. The director authorized a logging company the right to cut timber on a remote portion of the tract, together with incidental easements of way. The right of the logging company to cut and sell the timber that was to be cleared from the tract would be an example of a (an)

C)
question: A landowner of a state possessed an extensive tract of untouched forest. The landowner conveyed this tract ""to the people of the state in fee simple so long as said tract shall remain in its natural state (with exception for recreational, scientific, or educational purposes). ""Under state law, conveyances of real property to ""the people"" of the state are held to vest title in the state regarded as a legal entity, and custody over such property lies in an appointed official known as the director of environmental resources. The director gave a logging company the permission to cut timber on a remote portion of the tract, together with incidental easements of way. The right of the logging company to cut and sell the timber that was to be cleared from the tract would be an example of a (an)

D)
question: A person of a state possessed a large parcel of pristine timberland. The person conveyed this parcel ""to the people of the state in fee simple so long as said parcel shall remain in its natural state (with exception for recreational, scientific, or educational purposes). ""Under state law, conveyances of real property to ""the people"" of the state are adjudged to vest title in the state regarded as a legal entity, and custody over such property remains in an appointed official known as the director of environmental resources. The director granted a logging company the privilege to cut timber on a remote portion of the parcel, together with incidental easements of way. The right of the logging company to cut and sell the timber that was to be cleared from the parcel would be an example of a (an)","question: A citizen of a state possessed a substantial parcel of unspoiled forest. The citizen transferred this parcel ""to the people of the state in fee simple so long as said parcel shall remain in its natural condition (with exception for recreational, scientific, or educational purposes). ""Under state law, conveyances of real property to ""the people"" of the state are deemed to vest title in the state regarded as a legal entity, and custody over such property resides in an appointed official known as the director of environmental resources. The director granted a logging company the privilege to cut timber on a remote portion of the parcel, together with incidental easements of way. The right of the logging company to cut and sell the timber that was to be cleared from the parcel would be an example of a (an)","question: A tenant of a state held a sizable tract of primeval woodland. The tenant conveyed this tract ""to the people of the state in fee simple so long as said tract shall remain in its natural state (with exception for recreational, scientific, or educational purposes). ""Under state law, conveyances of real property to ""the people"" of the state are considered to vest title in the state regarded as a legal entity, and custody over such property is lodged in an appointed official known as the director of environmental resources. The director authorized a logging company the right to cut timber on a remote portion of the tract, together with incidental easements of way. The right of the logging company to cut and sell the timber that was to be cleared from the tract would be an example of a (an)","question: A landowner of a state possessed an extensive tract of untouched forest. The landowner conveyed this tract ""to the people of the state in fee simple so long as said tract shall remain in its natural state (with exception for recreational, scientific, or educational purposes). ""Under state law, conveyances of real property to ""the people"" of the state are held to vest title in the state regarded as a legal entity, and custody over such property lies in an appointed official known as the director of environmental resources. The director gave a logging company the permission to cut timber on a remote portion of the tract, together with incidental easements of way. The right of the logging company to cut and sell the timber that was to be cleared from the tract would be an example of a (an)","question: A person of a state possessed a large parcel of pristine timberland. The person conveyed this parcel ""to the people of the state in fee simple so long as said parcel shall remain in its natural state (with exception for recreational, scientific, or educational purposes). ""Under state law, conveyances of real property to ""the people"" of the state are adjudged to vest title in the state regarded as a legal entity, and custody over such property remains in an appointed official known as the director of environmental resources. The director granted a logging company the privilege to cut timber on a remote portion of the parcel, together with incidental easements of way. The right of the logging company to cut and sell the timber that was to be cleared from the parcel would be an example of a (an)",A,A,A,A
philosophy,Hume argues that the criteria for judging aesthetic value are _____.,entirely subjective,unchangeable,entirely objective,unknown,0,A,test,question: Hume argues that the criteria for judging aesthetic value are _____.,"A)
question: Hume contends that the standards for evaluating aesthetic value are _____.

B)
question: Hume asserts that the criteria for appraising aesthetic worth are _____.

C)
question: Hume maintains that the benchmarks for judging artistic value are _____.

D)
question: Hume claims that the yardsticks for assessing esthetic worth are _____.",question: Hume contends that the standards for evaluating aesthetic value are _____.,question: Hume asserts that the criteria for appraising aesthetic worth are _____.,question: Hume maintains that the benchmarks for judging artistic value are _____.,question: Hume claims that the yardsticks for assessing esthetic worth are _____.,A,A,C,D
clinical_knowledge,What type of covalent bonds link the amino acids in a protein?,Peptide bonds,Hydrogen bonds,Ionic bonds,Glycosidic bonds,0,A,test,question: What type of covalent bonds link the amino acids in a protein?,"A)
question: What kind of covalent bonds connect the amino acids in a protein?

B)
question: What type of covalent linkages join the amino acids in a protein?

C)
question: What sort of covalent bonds bind the amino acids in a protein?

D)
question: What category of covalent bonds tether the amino acids in a protein?",question: What kind of covalent bonds connect the amino acids in a protein?,question: What type of covalent linkages join the amino acids in a protein?,question: What sort of covalent bonds bind the amino acids in a protein?,question: What category of covalent bonds tether the amino acids in a protein?,A,A,C,A
high_school_macroeconomics,If the economy is suffering from extremely high rates of inflation which of the following fiscal policies would be an appropriate strategy for the economy?,Increase government spending and decrease taxes.,Decrease government spending and increase taxes.,Increase government spending with no change in taxes.,The Federal Reserve increases the discount rate.,1,B,validation,question: If the economy is suffering from extremely high rates of inflation which of the following fiscal policies would be an appropriate strategy for the economy?,"A)
question: If the economy is experiencing exceedingly high inflation rates which of the following fiscal policies would be a suitable strategy for the economy?

B)
question: If the economy is enduring exceptionally elevated rates of inflation which of the following fiscal policies would be an appropriate approach for the economy?

C)
question: If the economy is plagued by very high rates of inflation which of the following fiscal policies would be a fitting strategy for the economy?

D)
question: If the economy is afflicted with remarkably high rates of inflation which of the following fiscal policies would be an advisable strategy for the economy?",question: If the economy is experiencing exceedingly high inflation rates which of the following fiscal policies would be a suitable strategy for the economy?,question: If the economy is enduring exceptionally elevated rates of inflation which of the following fiscal policies would be an appropriate approach for the economy?,question: If the economy is plagued by very high rates of inflation which of the following fiscal policies would be a fitting strategy for the economy?,question: If the economy is afflicted with remarkably high rates of inflation which of the following fiscal policies would be an advisable strategy for the economy?,A,A,A,A
high_school_psychology,Faye believes that victims of natural disasters are foolish because they should have developed better advance detection and warning systems. Faye is manifesting the,false consensus effect.,self-fulfilling prophecy effect.,self-serving bias.,just-world bias.,3,D,validation,question: Faye believes that victims of natural disasters are foolish because they should have developed better advance detection and warning systems. Faye is manifesting the,"A)
question: Faye thinks that victims of natural catastrophes are foolish because they should have developed better advance detection and warning systems. Faye is manifesting the

B)
question: Faye believes that sufferers of natural disasters are foolish because they should have developed better advance detection and warning systems. Faye is manifesting the

C)
question: Faye believes that victims of natural calamities are foolish because they should have developed better advance detection and warning systems. Faye is manifesting the

D)
question: Faye believes that victims of natural disasters are naive because they should have developed better advance detection and warning systems. Faye is manifesting the",question: Faye thinks that victims of natural catastrophes are foolish because they should have developed better advance detection and warning systems. Faye is manifesting the,question: Faye believes that sufferers of natural disasters are foolish because they should have developed better advance detection and warning systems. Faye is manifesting the,question: Faye believes that victims of natural calamities are foolish because they should have developed better advance detection and warning systems. Faye is manifesting the,question: Faye believes that victims of natural disasters are naive because they should have developed better advance detection and warning systems. Faye is manifesting the,D,B,C,D
philosophy,"According to Anscombe, “moral obligation” currently signifies:",the norms of a society.,the feelings of an individual.,the commands of God.,no real concept at all.,3,D,test,"question: According to Anscombe, “moral obligation” currently signifies:","A)
According to Anscombe, “moral obligation” presently denotes:

B)
According to Anscombe, “moral obligation” at present denotes:

C)
According to Anscombe, “moral obligation” now denotes:

D)
According to Anscombe, “moral obligation” presently signifies:","According to Anscombe, “moral obligation” presently denotes:","According to Anscombe, “moral obligation” at present denotes:","According to Anscombe, “moral obligation” now denotes:","According to Anscombe, “moral obligation” presently signifies:",A,A,A,A
marketing," This is a form of targeted advertising, on websites, with advertisements selected and served by automated systems based on the content displayed to the user.",Contextual advertising.,Interactive marketing.,Internet advertising.,Direct marketing.,0,A,test,"question:  This is a form of targeted advertising, on websites, with advertisements selected and served by automated systems based on the content displayed to the user.","A)
question:  This is a form of targeted advertising, on websites, with advertisements chosen and delivered by automated systems based on the content displayed to the user.

B)
question:  This is a form of targeted ads, on websites, with advertisements selected and served by automated systems based on the content displayed to the user.

C)
question:  This is a form of targeted advertising, on web sites, with adverts chosen and delivered by automated systems based on the content displayed to the user.

D)
question:  This is a form of targeted promotion, on websites, with advertisements selected and served by automated systems according to the content displayed to the user.","question:  This is a form of targeted advertising, on websites, with advertisements chosen and delivered by automated systems based on the content displayed to the user.","question:  This is a form of targeted ads, on websites, with advertisements selected and served by automated systems based on the content displayed to the user.","question:  This is a form of targeted advertising, on web sites, with adverts chosen and delivered by automated systems based on the content displayed to the user.","question:  This is a form of targeted promotion, on websites, with advertisements selected and served by automated systems according to the content displayed to the user.",A,A,A,A
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,"question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.","A)
question: For which of these two situations does the protagonist (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.

B)
question: For which of these two scenarios does the lead character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.

C)
question: For which of these two cases does the protagonist (who uses I/me/my) do something manifestly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.

D)
question: For which of these two situations does the main character (who uses I/me/my) do something manifestly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.","question: For which of these two situations does the protagonist (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.","question: For which of these two scenarios does the lead character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.","question: For which of these two cases does the protagonist (who uses I/me/my) do something manifestly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.","question: For which of these two situations does the main character (who uses I/me/my) do something manifestly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.",A,A,C,A
sociology,Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?,A primary group,A secondary group,An aggregate,A social category,2,C,test,question: Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?,"A)
question: Seven persons standing quietly while awaiting a coach at a transit stop is an example of which of the following?

B)
question: Seven individuals standing noiselessly while waiting for a shuttle at a bus shelter is an example of which of the following?

C)
question: Seven people standing mute while expecting a bus at a bus stop is an example of which of the following?

D)
question: Seven commuters standing silently while awaiting a bus at a bus stop is an example of which of the following?",question: Seven persons standing quietly while awaiting a coach at a transit stop is an example of which of the following?,question: Seven individuals standing noiselessly while waiting for a shuttle at a bus shelter is an example of which of the following?,question: Seven people standing mute while expecting a bus at a bus stop is an example of which of the following?,question: Seven commuters standing silently while awaiting a bus at a bus stop is an example of which of the following?,D,B,C,D
astronomy,Which of the following is not true?,The Earth and Venus are in a 1:1 orbital resonance (for every 1 Earth orbit there is exactly 1 Venus orbit),Neptune and Pluto are in a 3:2 orbital resonance (for every 3 Neptune orbits there are exactly 2 Pluto orbits),The Kirkwood Gaps in the asteroid belt are due to resonances with Jupiter,Neptune and Pluto won't collide because of their orbital resonance,0,A,test,question: Which of the following is not true?,"A)
question: Which of the following is not accurate?

B)
question: Which of the following is not correct?

C)
question: Which of the following is not factual?

D)
question: Which of the following is not genuine?",question: Which of the following is not accurate?,question: Which of the following is not correct?,question: Which of the following is not factual?,question: Which of the following is not genuine?,A,B,C,D
college_mathematics,A discrete graph is complete if there is an edge connecting any pair of vertices. How many edges does a complete graph with 10 vertices have?,10,20,25,45,3,D,test,question: A discrete graph is complete if there is an edge connecting any pair of vertices. How many edges does a complete graph with 10 vertices have?,"A)
question: A simple graph is complete if an edge joins every pair of vertices. How many edges does a complete graph with 10 vertices have?

B)
question: A finite graph is complete if an edge exists between each pair of vertices. How many edges does a complete graph with 10 vertices have?

C)
question: A discrete graph is complete if an edge links any two vertices. How many edges does a complete graph with 10 vertices have?

D)
question: A graph is complete if an edge connects every pair of vertices. How many edges does a complete graph with 10 vertices have?",question: A simple graph is complete if an edge joins every pair of vertices. How many edges does a complete graph with 10 vertices have?,question: A finite graph is complete if an edge exists between each pair of vertices. How many edges does a complete graph with 10 vertices have?,question: A discrete graph is complete if an edge links any two vertices. How many edges does a complete graph with 10 vertices have?,question: A graph is complete if an edge connects every pair of vertices. How many edges does a complete graph with 10 vertices have?,D,D,A,A
high_school_government_and_politics,Legislative oversight occurs when,congressional committees investigate and evaluate the performance of executive agencies and departments,a court is unwilling to break with precedent to overturn legislative acts,the Supreme Court declares laws or executive actions unconstitutional,an amendment to a bill is proposed that softens more objectionable elements of the bill,0,A,validation,question: Legislative oversight occurs when,"A)
question: Parliamentary supervision happens when

B)
question: Congressional review occurs when

C)
question: Statutory monitoring transpires when

D)
question: Lawmaking scrutiny arises when",question: Parliamentary supervision happens when,question: Congressional review occurs when,question: Statutory monitoring transpires when,question: Lawmaking scrutiny arises when,A,B,C,D
high_school_european_history,"This question refers to the following information.
""The substitution of Plato for the scholastic Aristotle was hastened by contact with Byzantine scholarship. Already at the Council of Ferrera (1438), which nominally reunited the Eastern and Western churches, there was a debate in which the Byzantines maintained the superiority of Plato to Aristotle. Cosimo and Lorenzo de Medici were both addicted to Plato; Cosimo founded and Lorenzo continued the Florentine Academy, which was largely devoted to the study of Plato&…The humanists of the time, however, were too busy acquiring knowledge of antiquity to be able to produce anything of value.""
Bertrand Russell, British philosopher, History of Western Philosophy, 1946
It can be inferred from the passage that the Council of Ferrera",laid the foundation for the Florentine Academy,permanently reconciled the differences between the Eastern and Western churches,accelerated the rediscovery of classical philosophy in Western Europe,allowed the Byzantines to learn from Florentine scholarship,2,C,test,"question: This question refers to the following information.
""The substitution of Plato for the scholastic Aristotle was hastened by contact with Byzantine scholarship. Already at the Council of Ferrera (1438), which nominally reunited the Eastern and Western churches, there was a debate in which the Byzantines maintained the superiority of Plato to Aristotle. Cosimo and Lorenzo de Medici were both addicted to Plato; Cosimo founded and Lorenzo continued the Florentine Academy, which was largely devoted to the study of Plato&…The humanists of the time, however, were too busy acquiring knowledge of antiquity to be able to produce anything of value.""
Bertrand Russell, British philosopher, History of Western Philosophy, 1946
It can be inferred from the passage that the Council of Ferrera","A)
It can be inferred from the passage that the Council of Ferrera was the scene of a debate in which the Byzantines asserted the superiority of Plato over Aristotle.

B)
It can be inferred from the passage that the Council of Ferrera served as a forum in which the Byzantines maintained that Plato was superior to Aristotle.

C)
It can be inferred from the passage that the Council of Ferrera acted as a venue where the Byzantines contended that Plato was superior to Aristotle.

D)
It can be inferred from the passage that the Council of Ferrera functioned as the site of a dispute in which the Byzantines argued that Plato was superior to Aristotle.",It can be inferred from the passage that the Council of Ferrera was the scene of a debate in which the Byzantines asserted the superiority of Plato over Aristotle.,It can be inferred from the passage that the Council of Ferrera served as a forum in which the Byzantines maintained that Plato was superior to Aristotle.,It can be inferred from the passage that the Council of Ferrera acted as a venue where the Byzantines contended that Plato was superior to Aristotle.,It can be inferred from the passage that the Council of Ferrera functioned as the site of a dispute in which the Byzantines argued that Plato was superior to Aristotle.,A,A,A,D
philosophy,"In the Inquiry, Hume claims that our final verdicts on moral matters are derived from:",reason.,a moral sense that is unique to each person.,a moral sense that is universal in our species.,emotion.,2,C,test,"question: In the Inquiry, Hume claims that our final verdicts on moral matters are derived from:","A)
question: Within the Inquiry, Hume asserts that our ultimate judgments concerning moral matters are derived from:

B)
question: In the Inquiry, Hume maintains that our ultimate verdicts on ethical matters stem from:

C)
question: In the Investigation, Hume contends that our final judgments on moral issues are derived from:

D)
question: Within the Enquiry, Hume argues that our conclusive verdicts regarding moral matters originate from:","question: Within the Inquiry, Hume asserts that our ultimate judgments concerning moral matters are derived from:","question: In the Inquiry, Hume maintains that our ultimate verdicts on ethical matters stem from:","question: In the Investigation, Hume contends that our final judgments on moral issues are derived from:","question: Within the Enquiry, Hume argues that our conclusive verdicts regarding moral matters originate from:",A,A,A,D
high_school_chemistry,"If 1.0 g of rubidium and 1.0 g of bromine are reacted, what will be left in measurable amounts (more than 0.10 mg) in the reaction vessel?",RbBr only,RbBr and Rb only,RbBr and Br2 only,"RbBr, Rb, and Br2",2,C,test,"question: If 1.0 g of rubidium and 1.0 g of bromine are reacted, what will be left in measurable amounts (more than 0.10 mg) in the reaction vessel?","A)
question: Suppose 1.0 g of rubidium and 1.0 g of bromine are combined, what will be remaining in detectable quantities (more than 0.10 mg) in the chemical container?

B)
question: Provided 1.0 g of rubidium and 1.0 g of bromine are reacted, what will be left in measurable amounts (more than 0.10 mg) in the reaction vessel?

C)
question: If 1.0 g of rubidium and 1.0 g of bromine are reacted, what will remain in detectable amounts (more than 0.10 mg) in the reaction vessel?

D)
question: If 1.0 g of rubidium and 1.0 g of bromine are reacted, what will be left in measurable quantities (more than 0.10 mg) in the reaction vessel?","question: Suppose 1.0 g of rubidium and 1.0 g of bromine are combined, what will be remaining in detectable quantities (more than 0.10 mg) in the chemical container?","question: Provided 1.0 g of rubidium and 1.0 g of bromine are reacted, what will be left in measurable amounts (more than 0.10 mg) in the reaction vessel?","question: If 1.0 g of rubidium and 1.0 g of bromine are reacted, what will remain in detectable amounts (more than 0.10 mg) in the reaction vessel?","question: If 1.0 g of rubidium and 1.0 g of bromine are reacted, what will be left in measurable quantities (more than 0.10 mg) in the reaction vessel?",D,B,C,C
logical_fallacies,"At the end of the course, Professor Jones told us that we were the best class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as good a class as Professor Jones said we were, none of us deserved to fail.",Fallacy of Composition,Fallacy of Division,Questionable Cause,Appeal to Gallery (Provicialism),1,B,test,"question: At the end of the course, Professor Jones told us that we were the best class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as good a class as Professor Jones said we were, none of us deserved to fail.","A)
question: At the conclusion of the course, Professor Jones informed us that we were the finest class he had ever had. That's why I'm certain that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as excellent a class as Professor Jones said we were, none of us deserved to fail.

B)
question: At the end of the course, Professor Jones told us that we were the finest class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is an error. Surely, if we were as good a class as Professor Jones said we were, none of us deserved to fail.

C)
question: At the conclusion of the course, Professor Jones told us that we were the best class he had ever had. That's why I'm certain that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as excellent a class as Professor Jones claimed we were, none of us deserved to fail.

D)
question: At the end of the course, Professor Jones informed us that we were the best class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is an error. Surely, if we were as excellent a class as Professor Jones claimed we were, none of us deserved to fail.","question: At the conclusion of the course, Professor Jones informed us that we were the finest class he had ever had. That's why I'm certain that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as excellent a class as Professor Jones said we were, none of us deserved to fail.","question: At the end of the course, Professor Jones told us that we were the finest class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is an error. Surely, if we were as good a class as Professor Jones said we were, none of us deserved to fail.","question: At the conclusion of the course, Professor Jones told us that we were the best class he had ever had. That's why I'm certain that the 0.0 the appeared on my grade report is a mistake. Surely, if we were as excellent a class as Professor Jones claimed we were, none of us deserved to fail.","question: At the end of the course, Professor Jones informed us that we were the best class he had ever had. That's why I'm sure that the 0.0 the appeared on my grade report is an error. Surely, if we were as excellent a class as Professor Jones claimed we were, none of us deserved to fail.",A,A,C,A
prehistory,Subsistence practices of people can be determined by recovering and studying:,the faunal assemblage from a site.,an osteological comparative collection from a site.,pumice and evidence of pyroclastic surges.,all of the above.,0,A,test,question: Subsistence practices of people can be determined by recovering and studying:,"A)
Livelihood practices of people can be determined by recovering and studying:

B)
Subsistence behaviors of people can be determined by retrieving and analyzing:

C)
Subsistence practices of populations can be ascertained by recovering and examining:

D)
Livelihood behaviors of populations may be inferred by retrieving and examining:",Livelihood practices of people can be determined by recovering and studying:,Subsistence behaviors of people can be determined by retrieving and analyzing:,Subsistence practices of populations can be ascertained by recovering and examining:,Livelihood behaviors of populations may be inferred by retrieving and examining:,A,A,A,D
college_biology,Which is a characteristic unique to angiosperms?,Wind-borne pollen,A dominant sporophyte life cycle,Alteration of generations,Double fertilization,3,D,test,question: Which is a characteristic unique to angiosperms?,"A)
question: Which is a trait exclusive to angiosperms?

B)
question: Which is a feature unique to angiosperms?

C)
question: Which is a property particular to angiosperms?

D)
question: Which is a characteristic distinctive to angiosperms?",question: Which is a trait exclusive to angiosperms?,question: Which is a feature unique to angiosperms?,question: Which is a property particular to angiosperms?,question: Which is a characteristic distinctive to angiosperms?,A,A,A,A
prehistory,What is the name of the largest structure at Teotihuacán and around how many platform monuments and pyramids were built there?,Pyramid of the Moon; 250,Temple of the Feathered Serpent; 400,Pyramid of the Sun; 600,Temple of the Inscriptions; 700,2,C,test,question: What is the name of the largest structure at Teotihuacán and around how many platform monuments and pyramids were built there?,"A)
question: What is the name of the biggest structure at Teotihuacán and about how many platform monuments and pyramids were built there?

B)
question: What is the designation of the largest structure at Teotihuacán and approximately how many platform monuments and pyramids were built there?

C)
question: What is the title of the greatest structure at Teotihuacán and roughly how many platform monuments and pyramids were built there?

D)
question: What is the name of the largest structure at Teotihuacán and circa how many platform monuments and pyramids were built there?",question: What is the name of the biggest structure at Teotihuacán and about how many platform monuments and pyramids were built there?,question: What is the designation of the largest structure at Teotihuacán and approximately how many platform monuments and pyramids were built there?,question: What is the title of the greatest structure at Teotihuacán and roughly how many platform monuments and pyramids were built there?,question: What is the name of the largest structure at Teotihuacán and circa how many platform monuments and pyramids were built there?,A,B,B,A
