id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
4016,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),Для получения 4 молей тринитроглицерина необходима азотная кислота массой,689 г,346 г,189 г,756 г,,D,test,Для получения 4 молей тринитроглицерина необходима азотная кислота массой,"A)
Чтобы синтезировать 4 моля тринитроглицерина требуется азотная кислота весом

B)
Для изготовления 4 молей тринитроглицерина нужна азотная кислота количеством

C)
Ради выработки 4 молей тринитроглицерина важна азотная кислота весом

D)
С целью создания 4 молей тринитроглицерина обязательна азотная кислота массой",Чтобы синтезировать 4 моля тринитроглицерина требуется азотная кислота весом,Для изготовления 4 молей тринитроглицерина нужна азотная кислота количеством,Ради выработки 4 молей тринитроглицерина важна азотная кислота весом,С целью создания 4 молей тринитроглицерина обязательна азотная кислота массой,A,B,C,D
733,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),"Алғашқы тау түзілу әрекеті жүріп, теңіздер мен құрлықтар пайда болған заман.",Палеозой,Протерозой,Мезазой,Архей,,B,test,"Алғашқы тау түзілу әрекеті жүріп, теңіздер мен құрлықтар пайда болған заман.","A)
Бастапқы тау қалыптасу үдерісі өтіп, мұхиттар мен материктер пайда болған дәуір.

B)
Ең алғашқы тау жасалу процесі болып, су айдындары мен құрлықтар түзілген кезең.

C)
Алғашқы тау орнау қозғалысы жүзеге асып, теңіздер мен континенттер туындаған уақыт.

D)
Тұңғыш тау құрылу барысы орын алып, айдындар мен жазықтар қалыптасқан заман.","Бастапқы тау қалыптасу үдерісі өтіп, мұхиттар мен материктер пайда болған дәуір.","Ең алғашқы тау жасалу процесі болып, су айдындары мен құрлықтар түзілген кезең.","Алғашқы тау орнау қозғалысы жүзеге асып, теңіздер мен континенттер туындаған уақыт.","Тұңғыш тау құрылу барысы орын алып, айдындар мен жазықтар қалыптасқан заман.",A,A,A,A
3419,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),Студенттер бақаға тәжірибе жасау үшін физиологиялық ертінді дайындады. Ол үшін олар 100 г суға 9 г тұз қосты. Физиологиялық ерітіндідегі тұздың массалық үлесі (%),"12,76","8,26","9,17","6,45",,B,test,Студенттер бақаға тәжірибе жасау үшін физиологиялық ертінді дайындады. Ол үшін олар 100 г суға 9 г тұз қосты. Физиологиялық ерітіндідегі тұздың массалық үлесі (%),"A)
Білім алушылар бақаға сынақ өткізу мақсатында физиологиялық сұйықтық әзірледі. Бұл үшін олар 100 г суға 9 г тұз араластырды. Физиологиялық ерітіндідегі тұздың массалық мөлшері (%)

B)
Шәкірттер құрбақаға зерттеу жүргізу үшін физиологиялық қоспа жасап шығарды. Сол үшін олар 100 г суға 9 г тұз салды. Физиологиялық ерітіндідегі тұздың салмақтық үлесі (%)

C)
Курсанттар бақаға эксперимент жасау үшін физиологиялық еріткіш даярлады. Ол мақсатта олар 100 г суға 9 г тұз қосты. Физиологиялық ерітіндідегі тұздың массалық пайызы (%)

D)
Тәрбиеленушілер бақаға бақылау жасау үшін физиологиялық ертінді құрастырды. Осы орайда олар 100 г суға 9 г тұз біріктірді. Физиологиялық ерітіндідегі тұздың заттық үлесі (%)",Білім алушылар бақаға сынақ өткізу мақсатында физиологиялық сұйықтық әзірледі. Бұл үшін олар 100 г суға 9 г тұз араластырды. Физиологиялық ерітіндідегі тұздың массалық мөлшері (%),Шәкірттер құрбақаға зерттеу жүргізу үшін физиологиялық қоспа жасап шығарды. Сол үшін олар 100 г суға 9 г тұз салды. Физиологиялық ерітіндідегі тұздың салмақтық үлесі (%),Курсанттар бақаға эксперимент жасау үшін физиологиялық еріткіш даярлады. Ол мақсатта олар 100 г суға 9 г тұз қосты. Физиологиялық ерітіндідегі тұздың массалық пайызы (%),Тәрбиеленушілер бақаға бақылау жасау үшін физиологиялық ертінді құрастырды. Осы орайда олар 100 г суға 9 г тұз біріктірді. Физиологиялық ерітіндідегі тұздың заттық үлесі (%),A,B,C,D
6544,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Республикамыздың әр тұрғынына тиетін ауылшаруашылық жерінің мөлшері.,15 га,"0,55 га","1,5 га","0,87 га",,A,test,Республикамыздың әр тұрғынына тиетін ауылшаруашылық жерінің мөлшері.,"A)
Мемлекетіміздің әр азаматына тиесілі аграрлық алқаптың көлемі.

B)
Еліміздің әрбір тұрғынына берілетін егістік жердің аумағы.

C)
Отанымыздың әрбір адамына тиетін егіншілік жерінің шамасы.

D)
Жеріміздің әрбір тұрғынына қатысты ауылшаруашылығы жерінің үлесі.",Мемлекетіміздің әр азаматына тиесілі аграрлық алқаптың көлемі.,Еліміздің әрбір тұрғынына берілетін егістік жердің аумағы.,Отанымыздың әрбір адамына тиетін егіншілік жерінің шамасы.,Жеріміздің әрбір тұрғынына қатысты ауылшаруашылығы жерінің үлесі.,A,B,C,D
6241,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Жер шарындағы ауданы жөнінен ең кіші мемлекетті табыңыз.,Андорра,Непал,Сан-Марино,Ватикан,,D,test,Жер шарындағы ауданы жөнінен ең кіші мемлекетті табыңыз.,"A)
Дүние жүзіндегі аумағы бойынша ең кішкентай елді анықтаңыз.

B)
Әлем бетіндегі жері жағынан ең шағын мемлекетті көрсетіңіз.

C)
Планетадағы көлемі тұрғысынан ең аз аумақты мемлекетті іріктеңіз.

D)
Жер бетіндегі кеңістігі негізінде ең еріксіз елді белгілеңіз.",Дүние жүзіндегі аумағы бойынша ең кішкентай елді анықтаңыз.,Әлем бетіндегі жері жағынан ең шағын мемлекетті көрсетіңіз.,Планетадағы көлемі тұрғысынан ең аз аумақты мемлекетті іріктеңіз.,Жер бетіндегі кеңістігі негізінде ең еріксіз елді белгілеңіз.,A,A,C,D
19537,https://itest.kz/ru/endless,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),Стилевыми чертами научного стиля являются,"Призывность, собирательность","Точность, логичность","Непринужденность, непоследовательность",Стандартизированность,,B,test,Стилевыми чертами научного стиля являются,"A)
Жанровыми признаками академического слога выступают

B)
Характерными свойствами исследовательского письма являются

C)
Специфическими особенностями интеллектуальной манеры считаются

D)
Типичными характеристиками теоретического дискурса представляются",Жанровыми признаками академического слога выступают,Характерными свойствами исследовательского письма являются,Специфическими особенностями интеллектуальной манеры считаются,Типичными характеристиками теоретического дискурса представляются,A,A,C,D
143,https://oltest.kz/tests/buhgalterskiy_uchet_i_audit/,"Social Science





",Accounting and auditing,University,Russian,Accounting and Auditing (Professional & University in rus),В каком разделе баланса отражается информация об амортизации основных средств:,"
краткосрочные активы",долгосрочные обязательства,долгосрочные активы,"
капитал","
краткосрочные обязательства",C,test,В каком разделе баланса отражается информация об амортизации основных средств:,"A)
В какой части отчета фиксируются сведения об износе материальных активов:

B)
В каком блоке ведомости показываются данные о начислении износа имущества:

C)
В какой главе отчетности указываются показатели по амортизации внеоборотных фондов:

D)
В каком сегменте реестра раскрываются сведения об износе капитальных ресурсов:",В какой части отчета фиксируются сведения об износе материальных активов:,В каком блоке ведомости показываются данные о начислении износа имущества:,В какой главе отчетности указываются показатели по амортизации внеоборотных фондов:,В каком сегменте реестра раскрываются сведения об износе капитальных ресурсов:,C,B,C,D
381,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),"Бір үш, бес және көп ұялы, көп тұқымды жеміс:",Бұршаққын,Бұршаққап,Қауашақ,Дәнек,,C,test,"Бір үш, бес және көп ұялы, көп тұқымды жеміс:","A)
Бір үш, бес және көп қуысты, көп дәнекті өнім:

B)
Бір үш, бес және көп камералы, көп дәнді дақыл:

C)
Бір үш, бес және көп бөлімді, көп ұрықты нысан:

D)
Бір үш, бес және көп орынды, көп пістелі жидек:","Бір үш, бес және көп қуысты, көп дәнекті өнім:","Бір үш, бес және көп камералы, көп дәнді дақыл:","Бір үш, бес және көп бөлімді, көп ұрықты нысан:","Бір үш, бес және көп орынды, көп пістелі жидек:",A,B,B,B
20161,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Чувство объявили доминантой «человеческой природы» писатели, придерживающиеся в своём творчестве",сентиментализма,натурализма,неоромантизма,классицизма,,A,test,"Чувство объявили доминантой «человеческой природы» писатели, придерживающиеся в своём творчестве","A)
Эмоцию провозгласили основой «людской сущности» литераторы, следующие в своём искусстве

B)
Переживание признали стержнем «индивидуальной натуры» авторы, ориентирующиеся в своём созидании

C)
Ощущение провозгласили приоритетом «человеческого естества» прозаики, придерживающиеся в своём труде

D)
Восприятие объявили константой «человеческой личности» творцы, пребывающие в своём вдохновении","Эмоцию провозгласили основой «людской сущности» литераторы, следующие в своём искусстве","Переживание признали стержнем «индивидуальной натуры» авторы, ориентирующиеся в своём созидании","Ощущение провозгласили приоритетом «человеческого естества» прозаики, придерживающиеся в своём труде","Восприятие объявили константой «человеческой личности» творцы, пребывающие в своём вдохновении",A,B,C,D
14046,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Өспелі геометриялық прогрессия берілген. Егер \(\begin{cases} b_1+b_2+b_3&=39\\b_1\cdot b_2\cdot b_3&=729\end{cases}\) болса, алғашқы бес мүшесінің қосындысын табыңыз.",354,456,276,363,,D,test,"Өспелі геометриялық прогрессия берілген. Егер \(\begin{cases} b_1+b_2+b_3&=39\\b_1\cdot b_2\cdot b_3&=729\end{cases}\) болса, алғашқы бес мүшесінің қосындысын табыңыз.","A)
Артпалы геометриялық прогрессия берілген. Егер \(\begin{cases} b_1+b_2+b_3&=39\\b_1\cdot b_2\cdot b_3&=729\end{cases}\) болса, бастапқы бес мүшесінің жиынтығын есептеңіз.

B)
Монотонды өсетін геометриялық прогрессия берілген. Егер \(\begin{cases} b_1+b_2+b_3&=39\\b_1\cdot b_2\cdot b_3&=729\end{cases}\) болса, алдыңғы бес мүшесінің қосындысын анықтаңыз.

C)
Ұлғаймалы геометриялық прогрессия берілген. Егер \(\begin{cases} b_1+b_2+b_3&=39\\b_1\cdot b_2\cdot b_3&=729\end{cases}\) болса, алғашқы бес элементінің қосындысын шығарыңыз.

D)
Өсетін геометриялық прогрессия берілген. Егер \(\begin{cases} b_1+b_2+b_3&=39\\b_1\cdot b_2\cdot b_3&=729\end{cases}\) болса, алғашқы бес мүшесінің мәндерін қосыңыз.","Артпалы геометриялық прогрессия берілген. Егер \(\begin{cases} b_1+b_2+b_3&=39\\b_1\cdot b_2\cdot b_3&=729\end{cases}\) болса, бастапқы бес мүшесінің жиынтығын есептеңіз.","Монотонды өсетін геометриялық прогрессия берілген. Егер \(\begin{cases} b_1+b_2+b_3&=39\\b_1\cdot b_2\cdot b_3&=729\end{cases}\) болса, алдыңғы бес мүшесінің қосындысын анықтаңыз.","Ұлғаймалы геометриялық прогрессия берілген. Егер \(\begin{cases} b_1+b_2+b_3&=39\\b_1\cdot b_2\cdot b_3&=729\end{cases}\) болса, алғашқы бес элементінің қосындысын шығарыңыз.","Өсетін геометриялық прогрессия берілген. Егер \(\begin{cases} b_1+b_2+b_3&=39\\b_1\cdot b_2\cdot b_3&=729\end{cases}\) болса, алғашқы бес мүшесінің мәндерін қосыңыз.",C,B,C,D
22532,https://itest.kz/ru/endless,Humanities,World_History,High School,Russian,World History (High School in rus),Какой план был разработан Германией для начала Первой мировой войны?,«План Германии»,«План Союзников»,«План Шлиффена»,«План Антанты»,,C,test,Какой план был разработан Германией для начала Первой мировой войны?,"A)
Какая стратегия была подготовлена Берлином для открытия Первого мирового конфликта?

B)
Какое намерение было сформировано Германией для старта Первого мирового противостояния?

C)
Какой проект был составлен немцами для запуска Первой мировой битвы?

D)
Какая программа была создана Германией для детонации Первой мировой войны?",Какая стратегия была подготовлена Берлином для открытия Первого мирового конфликта?,Какое намерение было сформировано Германией для старта Первого мирового противостояния?,Какой проект был составлен немцами для запуска Первой мировой битвы?,Какая программа была создана Германией для детонации Первой мировой войны?,A,A,C,D
20106,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Героиня, которая требовала от жениха «достать два камня желтых, как глаза у кошки»",Эрна (А.И. Куприн «Синяя звезда»),Катерина (П.П. Бажов «Каменный цветок»),Девушка (П.Н. Васильев «Песня о Серке»),Девка-царевна (А.П. Платонов «Волшебное кольцо»),,C,test,"Героиня, которая требовала от жениха «достать два камня желтых, как глаза у кошки»","A)
Персонаж, которая просила от суженого «добыть два самоцвета янтарных, словно очи у рыси»

B)
Дама, которая ожидала от кавалера «принести два минерала золотистых, будто зрачки у леопарда»

C)
Личность, которая наказывала от избранника «раздобыть две драгоценности лимонных, точно взоры у хищника»

D)
Девушка, которая хотела от возлюбленного «сыскать два кристалла песочных, как гляделки у кота»","Персонаж, которая просила от суженого «добыть два самоцвета янтарных, словно очи у рыси»","Дама, которая ожидала от кавалера «принести два минерала золотистых, будто зрачки у леопарда»","Личность, которая наказывала от избранника «раздобыть две драгоценности лимонных, точно взоры у хищника»","Девушка, которая хотела от возлюбленного «сыскать два кристалла песочных, как гляделки у кота»",A,A,A,A
3628,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),Берілген реакция теңдеуі бойынша   \(K_2Cr_2O_7+HCl\rightarrow CrCl_3+Cl_2+KCl+H_2O\)  тотықтырғыштың алдындағы коэффициент.,1,7,2,14,,A,test,Берілген реакция теңдеуі бойынша   \(K_2Cr_2O_7+HCl\rightarrow CrCl_3+Cl_2+KCl+H_2O\)  тотықтырғыштың алдындағы коэффициент.,"A)
Ұсынылған реакция теңдеуіне сәйкес \(K_2Cr_2O_7+HCl\rightarrow CrCl_3+Cl_2+KCl+H_2O\) тотықтырғыш алдында тұратын сан.

B)
Көрсетілген реакция теңдеуі негізінде \(K_2Cr_2O_7+HCl\rightarrow CrCl_3+Cl_2+KCl+H_2O\) тотықтырғыш затының алдындағы коэффициент.

C)
Жазылған реакция теңдеуі бойынша \(K_2Cr_2O_7+HCl\rightarrow CrCl_3+Cl_2+KCl+H_2O\) тотықтырғыш молекуласының алдындағы сан.

D)
Берілген химиялық теңдеу бойынша \(K_2Cr_2O_7+HCl\rightarrow CrCl_3+Cl_2+KCl+H_2O\) тотықтырғыш алдына қойылатын коэффициент.",Ұсынылған реакция теңдеуіне сәйкес \(K_2Cr_2O_7+HCl\rightarrow CrCl_3+Cl_2+KCl+H_2O\) тотықтырғыш алдында тұратын сан.,Көрсетілген реакция теңдеуі негізінде \(K_2Cr_2O_7+HCl\rightarrow CrCl_3+Cl_2+KCl+H_2O\) тотықтырғыш затының алдындағы коэффициент.,Жазылған реакция теңдеуі бойынша \(K_2Cr_2O_7+HCl\rightarrow CrCl_3+Cl_2+KCl+H_2O\) тотықтырғыш молекуласының алдындағы сан.,Берілген химиялық теңдеу бойынша \(K_2Cr_2O_7+HCl\rightarrow CrCl_3+Cl_2+KCl+H_2O\) тотықтырғыш алдына қойылатын коэффициент.,D,D,C,D
5060,https://oltest.kz/tests/ekonomika_i_predprinimatelstvo/,"Social Science





",Economics and Entrepreneurship ,University,Russian,Economics and Entrepreneurship (Professional in rus),"Какие системы заработной платы существуют при повременной форме оплаты труда?
","Простая, премиальная, аккордная, прогрессивная, косвенная
","Простая и премиальная
","Прямая, премиальная, коллективная
","Простая, премиальная и аккордная
","Прямая и коллективная
",B,test,"Какие системы заработной платы существуют при повременной форме оплаты труда?
","A)
Какие структуры денежного вознаграждения действуют при почасовой модели компенсации работы?

B)
Какие форматы материального поощрения функционируют при временной схеме вознаграждения персонала?

C)
Какие комплексы должностных окладов предусмотрены при хронометражном типе начисления средств?

D)
Какие разновидности трудовых выплат применяются при тарифной системе оценки деятельности?",Какие структуры денежного вознаграждения действуют при почасовой модели компенсации работы?,Какие форматы материального поощрения функционируют при временной схеме вознаграждения персонала?,Какие комплексы должностных окладов предусмотрены при хронометражном типе начисления средств?,Какие разновидности трудовых выплат применяются при тарифной системе оценки деятельности?,D,B,C,D
13638,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),"Высший представительный орган, осуществляющий законодательные функции в РК",Правительство,Маслихат,Парламент,Конституционный совет,,C,test,"Высший представительный орган, осуществляющий законодательные функции в РК","A)
Верховный выборный орган, выполняющий законотворческие задачи в РК

B)
Главный парламентский орган, реализующий нормотворческие полномочия в РК

C)
Крупнейший делегированный орган, исполняющий правотворческие миссии в РК

D)
Ведущий коллегиальный орган, производящий законодательные действия в РК","Верховный выборный орган, выполняющий законотворческие задачи в РК","Главный парламентский орган, реализующий нормотворческие полномочия в РК","Крупнейший делегированный орган, исполняющий правотворческие миссии в РК","Ведущий коллегиальный орган, производящий законодательные действия в РК",A,B,C,D
13882,https://oltest.kz/tests/menedzhment_i_marketing/,"Social Science





",Management and Marketing ,University,Russian,Management and Marketing (Professional & University in rus),"Частная функция управления, которая предполагает разработку новых товаров и услуг:
",Мотивация,"Планирование
","Организация
","Инновация
",Маркетинг,D,test,"Частная функция управления, которая предполагает разработку новых товаров и услуг:
","A)
Обособленная роль менеджмента, подразумевающая создание свежих изделий и сервисов:

B)
Специфическая задача руководства, предусматривающая проектирование инновационной продукции и работ:

C)
Отдельная процедура администрирования, означающая конструирование оригинальных продуктов и предложений:

D)
Индивидуальная компетенция управления, включающая подготовку современных товаров и обслуживания:","Обособленная роль менеджмента, подразумевающая создание свежих изделий и сервисов:","Специфическая задача руководства, предусматривающая проектирование инновационной продукции и работ:","Отдельная процедура администрирования, означающая конструирование оригинальных продуктов и предложений:","Индивидуальная компетенция управления, включающая подготовку современных товаров и обслуживания:",B,B,C,D
7642,https://ymnik.kz/tests_old/geography/?v=84,Social Science,Geography,High School,Russian,Geography (High School in rus),Какие климатические пояса не проходят в Тихом океане?,Экваториальные.,Тропические.,Тихий океан лежит во всех климатических поясах.,Полярные.,Умеренные.,D,test,Какие климатические пояса не проходят в Тихом океане?,"A)
Каких климатических зон нет в Тихом океане?

B)
Какие погодные области отсутствуют в Тихом океане?

C)
Каких метеорологических поясов не существует в Тихом океане?

D)
Каких атмосферных регионов нет в пределах Тихого океана?",Каких климатических зон нет в Тихом океане?,Какие погодные области отсутствуют в Тихом океане?,Каких метеорологических поясов не существует в Тихом океане?,Каких атмосферных регионов нет в пределах Тихого океана?,A,A,A,A
161,https://oltest.kz/tests/buhgalterskiy_uchet_i_audit/,"Social Science





",Accounting and auditing,University,Russian,Accounting and Auditing (Professional & University in rus),"Предметы труда, обеспечивающие вместе со средствами труда и рабочей силой производственный процесс организации, в котором они используются однократно — это— ..","
материальные запасы",товарные запасы,основные средства,денежные средства,нематериальные активы,A,test,"Предметы труда, обеспечивающие вместе со средствами труда и рабочей силой производственный процесс организации, в котором они используются однократно — это— ..","A)
Объекты труда, гарантирующие наряду с инструментами труда и трудовым персоналом производственный цикл предприятия, в котором они применяются единожды — это— ..

B)
Вещи труда, поддерживающие вкупе с орудиями труда и кадровым составом производственный ход фирмы, в котором они задействуются разово — это— ..

C)
Материалы труда, обуславливающие совместно с механизмами труда и людским ресурсом производственный акт учреждения, в котором они эксплуатируются однократно — это— ..

D)
Элементы труда, создающие в совокупности со снарядами труда и рабочим коллективом производственный ритм компании, в котором они потребляются однократно — это— ..","Объекты труда, гарантирующие наряду с инструментами труда и трудовым персоналом производственный цикл предприятия, в котором они применяются единожды — это— ..","Вещи труда, поддерживающие вкупе с орудиями труда и кадровым составом производственный ход фирмы, в котором они задействуются разово — это— ..","Материалы труда, обуславливающие совместно с механизмами труда и людским ресурсом производственный акт учреждения, в котором они эксплуатируются однократно — это— ..","Элементы труда, создающие в совокупности со снарядами труда и рабочим коллективом производственный ритм компании, в котором они потребляются однократно — это— ..",A,A,C,D
17880,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),Газға изобаралық жолмен Q жылу мөлшері берілгенде ол А жұмыс атқарады. Жүйенің ішкі энергиясының өзгерісі,\(\Delta U = Q – A\),\(\Delta U = –A\),\(\Delta U = Q\),\(\Delta U=0\),,A,test,Газға изобаралық жолмен Q жылу мөлшері берілгенде ол А жұмыс атқарады. Жүйенің ішкі энергиясының өзгерісі,"A)
Отынға изобаралық тәсілмен Q жылу көлемі ұсынылғанда ол А қызметін атқарады. Кешеннің ішкі қуатының ауысуы

B)
Затқа изобаралық әдіспен Q жылу мөлшері жеткізілгенде ол А әрекетін жасайды. Құрылымның ішкі энергиясының түрленуі

C)
Буға изобаралық нұсқамен Q жылу сыбағасы берілгенде ол А еңбегін орындайды. Агрегаттың ішкі қуаттылығының жаңаруы

D)
Денеге изобаралық режиммен Q жылу үлесі тигенде ол А қимылын жүзеге асырады. Нысанның ішкі потенциалының құбылуы",Отынға изобаралық тәсілмен Q жылу көлемі ұсынылғанда ол А қызметін атқарады. Кешеннің ішкі қуатының ауысуы,Затқа изобаралық әдіспен Q жылу мөлшері жеткізілгенде ол А әрекетін жасайды. Құрылымның ішкі энергиясының түрленуі,Буға изобаралық нұсқамен Q жылу сыбағасы берілгенде ол А еңбегін орындайды. Агрегаттың ішкі қуаттылығының жаңаруы,Денеге изобаралық режиммен Q жылу үлесі тигенде ол А қимылын жүзеге асырады. Нысанның ішкі потенциалының құбылуы,A,B,C,D
3390,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),C → CO\(_2\) \(^{\underrightarrow{H_2O}}\)X өзгерістер сызбанұсқасындағы “Х” затының формуласы.,H\(_2\)CO\(_3\),H\(_2\)C\(_2\)O\(_4\),CH\(_4\),CO,,A,test,C → CO\(_2\) \(^{\underrightarrow{H_2O}}\)X өзгерістер сызбанұсқасындағы “Х” затының формуласы.,"A)
C → CO\(_2\) \(^{\underrightarrow{H_2O}}\)X түрленулер тізбегіндегі “Х” қосылысының формуласы.

B)
C → CO\(_2\) \(^{\underrightarrow{H_2O}}\)X айналымдар схемасындағы “Х” затының химиялық формуласы.

C)
C → CO\(_2\) \(^{\underrightarrow{H_2O}}\)X өзгерулер қатарындағы “Х” затының шартты белгісі.

D)
C → CO\(_2\) \(^{\underrightarrow{H_2O}}\)X реакциялар жүйесіндегі “Х” элементінің формуласы.",C → CO\(_2\) \(^{\underrightarrow{H_2O}}\)X түрленулер тізбегіндегі “Х” қосылысының формуласы.,C → CO\(_2\) \(^{\underrightarrow{H_2O}}\)X айналымдар схемасындағы “Х” затының химиялық формуласы.,C → CO\(_2\) \(^{\underrightarrow{H_2O}}\)X өзгерулер қатарындағы “Х” затының шартты белгісі.,C → CO\(_2\) \(^{\underrightarrow{H_2O}}\)X реакциялар жүйесіндегі “Х” элементінің формуласы.,B,A,B,D
2638,https://oltest.kz/tests/biologiya/,STEM,Biology,University,Russian,Biology (Professional & University in rus),Какая часть озера Балхаш представляет собой бессточный солоноватый водоем?,"
Восточная","
Северная","
Нет ответа","
Западно-Восточная","
Западная",A,test,Какая часть озера Балхаш представляет собой бессточный солоноватый водоем?,"A)
Какая область озера Балхаш является бессточным солоноватым бассейном?

B)
Какая доля озера Балхаш выступает бессточным солоноватым резервуаром?

C)
Какая секция озера Балхаш считается бессточным солоноватым источником?

D)
Какая сторона озера Балхаш числится бессточным солоноватым акваторием?",Какая область озера Балхаш является бессточным солоноватым бассейном?,Какая доля озера Балхаш выступает бессточным солоноватым резервуаром?,Какая секция озера Балхаш считается бессточным солоноватым источником?,Какая сторона озера Балхаш числится бессточным солоноватым акваторием?,A,A,A,A
21980,https://ymnik.kz/tests_old/worldhistory/?v=67,Humanities,World_History,High School,Russian,World History (High School in rus),Почему в конце 70-х гг. 20-го века арабские страны порвали отношения с Египтом?,Противоречия по поводу спорных территорий,Противоречия по вопросу использования Суэцкого канала,Проблема лидерства в арабском мире,Просоциалистический курс правительства Г.А.Насера,Из-за подписания сепаратного соглашения между Египтом и Израилем в 1975 г,E,test,Почему в конце 70-х гг. 20-го века арабские страны порвали отношения с Египтом?,"A)
Отчего в завершении 70-х годов двадцатого столетия арабские державы разорвали связи с Египтом?

B)
По какой причине на исходе 70-х гг. 20-го века арабские государства прекратили контакты с Египтом?

C)
Вследствие чего в финале 70-х годов двадцатого века арабские нации прервали взаимодействие с Египтом?

D)
Из-за чего в конце семидесятых гг. 20-го столетия арабские правительства аннулировали отношения с Египтом?",Отчего в завершении 70-х годов двадцатого столетия арабские державы разорвали связи с Египтом?,По какой причине на исходе 70-х гг. 20-го века арабские государства прекратили контакты с Египтом?,Вследствие чего в финале 70-х годов двадцатого века арабские нации прервали взаимодействие с Египтом?,Из-за чего в конце семидесятых гг. 20-го столетия арабские правительства аннулировали отношения с Египтом?,A,B,C,D
13008,https://itest.kz/kz/endless,Humanities,Law,High School,Kazakh,Law (High School in kaz),Әрекет қабілеттілігі жоқ деп танылатын жас мөлшері:,14 жасқа дейін,15 жасқа дейін,18 жасқа дейін,17 жасқа дейін,,A,test,Әрекет қабілеттілігі жоқ деп танылатын жас мөлшері:,"A)
Іс-әрекетке қабілетсіз деп есептелетін жас шамасы:

B)
Құқықтық қабілеті жоқ деп белгіленетін жас деңгейі:

C)
Әрекет етуге қауқарсыз деп саналатын жас кезеңі:

D)
Құқыққабілеттілігі жоқ деп айқындалатын жас мөлшері:",Іс-әрекетке қабілетсіз деп есептелетін жас шамасы:,Құқықтық қабілеті жоқ деп белгіленетін жас деңгейі:,Әрекет етуге қауқарсыз деп саналатын жас кезеңі:,Құқыққабілеттілігі жоқ деп айқындалатын жас мөлшері:,A,A,A,A
9830,https://ymnik.kz/tests_old/history/?v=85,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Сколько двадцатипятитысячников прибыло в Казахстан для проведения коллективизации?,1204,986.,2742,1673,815,A,test,Сколько двадцатипятитысячников прибыло в Казахстан для проведения коллективизации?,"A)
Какое количество двадцатипятитысячников приехало в Казахстан для осуществления коллективизации?

B)
Какое число двадцатипятитысячников направилось в Казахстан для реализации коллективизации?

C)
Сколько именно двадцатипятитысячников прибыло в Казахстан для выполнения коллективизации?

D)
Сколько конкретно двадцатипятитысячников прикомандировали в Казахстан для проведения коллективизации?",Какое количество двадцатипятитысячников приехало в Казахстан для осуществления коллективизации?,Какое число двадцатипятитысячников направилось в Казахстан для реализации коллективизации?,Сколько именно двадцатипятитысячников прибыло в Казахстан для выполнения коллективизации?,Сколько конкретно двадцатипятитысячников прикомандировали в Казахстан для проведения коллективизации?,A,B,C,D
