"мәтін1","мәтін2","жапсырма","idx","белгі_мәтіні"
" 2010 жылғы Райдер Кубогын Уэльске өткізуге сәтті өтінім берілгеннен кейін, Уэльс Туристік Кеңесі іс-шарадан алынатын пайданың бүкіл ел бойынша сезілуін қамтамасыз ету үшін тапсырыс беру жұмыстарына аз уақыт жұмсады.","Уэльс 2010 жылғы Райдер Кубогын қабылдайды.","0","7","тарту"
" 27 желтоқсанда болған апатты жер сілкінісі Жерді шарпыған радиацияның жарылуына себеп болды деп есептеледі, ол жер серіктеріндегі аспаптарды зақымдап, атмосфераны жарықтандырды.","27 желтоқсанда Жер атмосферасын сәулелендірген радиация жарқылы пайда болды.","0","141","тарту"
" Біз осы екі истеблишмент отбасы арасындағы керемет қарым-қатынасты және партияның ұлы, Техас губернаторы Джордж Буш пен оның әйелі Элизабет Доулдың 2000 жылғы сайлау науқанында қалай табысқа жететінін қарастырамыз.","Джордж Буштың әйелінің аты - Лаура.","1","121","міндеттеме емес"
"Колумбия Әкімшілік Қауіпсіздік Департаментінің (DAS) бастығы генерал Мигель Маза Маркес бүгін 18 тамызда Боготада сенатор және Либералдық партиядан президенттікке кандидат Луис Карлос Галанның өлтірілуіне шетелдіктердің қатысқанын растады.","Луис Карлос Галанды өлтіруге генерал Мигель Маза Маркес қатысты.","1","166","міндеттеме емес"
"Браун дүйсенбіде әріптесі, сыртқы сауда министрі У Идің Қытайдың жыл соңына дейін Тарифтер мен сауда жөніндегі бас келісімге (ГАТТ) қосылу әрекеті сәтсіз аяқталса, Бейжің бұрынғы сауда-экономикалық міндеттемелерімен байланысты болмайды деген қорқытуын жоққа шығарды.","У И - Қытайдың сыртқы сауда министрі.","0","229","тарту"
"Мысырдың көрнекті археологы Захи Хавас Клеопатра мен Марк Антонийдің жерленген жерін ашуға әкелуі мүмкін алғашқы ежелгі артефактілерді ашты. Экспедиция тұмарларды, Клеопатраның бейнесі мен аты жазылған 22 қола тиынды, патша мүсінін, Марк Антонийге ұқсайтын алебастр маскасын және Клеопатра мүсінінің бюстін тапты. «Марк Антонийдің бетіне қарасаңыз, көпшілік оның иегінде осындай жырық бар деп сенді, сондықтан мен бұл Марк Антоний болуы мүмкін деп ойладым», - деді Хавас. «Менің ойымша, егер бұл қабір табылса, бұл Клеопатра мен Марк Антонийдің арасындағы махаббатқа және олардың өлімінің қайғылы оқиғасына байланысты 21 ғасырдың ең маңызды жаңалықтарының бірі болады. Бұл оларды жасыруға тамаша орын», - деді Хавас.","Клеопатра мен Марк Антоний Мысырда өмір сүрген.","1","213","міндеттеме емес"
"Орыс текті американдық журналист Хлебников сол кеште Мәскеудегі кеңсесінің сыртына шыққан кезде өтіп бара жатқан көлікте кем дегенде бір кісі өлтірушіден төрт рет оқ атқан.","Владислав Листьев Мәскеуде өлтірілді.","1","133","міндеттеме емес"
" Amazon акциялары нәтижелерден кейін шамамен 4 пайызға төмендеді, себебі компания екінші тоқсанда операциялық кіріс 42 пайызға дейін төмендейді деп мәлімдеді.","Amazon акциялары 4 пайызға төмендеді.","1","38","міндеттеме емес"
"Ла-Пас, 30 мамыр 1989 жыл - Ла-Пас департаментінің полиция қызметкерлері екі жас АҚШ азаматының өліміне қатысты тергеуді осы қылмысты анықтау үшін арнайы шақырылған мамандандырылған топ жүргізіп жатқанын мәлімдеді.","1989 жылдың 30 мамырында екі жас АҚШ азаматы қаза тапты.","1","94","міндеттеме емес"
"Шенеуніктердің айтуынша, Гвинея-Бисау президенті Жоау Бернарду Виейра дүйсенбі күні өз сарайында басқыншы сарбаздардан атып өлтірілген. «Президент Виейра бүгін таңертең штаб бастығы Тагме На Вайеге жақын сарбаздар тобының шабуылына ұшыраған үйінен қашуға тырысқан кезде армия тарапынан өлтірілді», - деді әскери өкіл Замора Индута Agence France-Presse агенттігіне «бұл мемлекеттік төңкеріс емес» деп мәлімдеп.","Бернардо Виейра Гвинея-Бисау президенті болды.","0","63","тарту"
"Гарвард қоғамдық денсаулық сақтау мектебінің зерттеушілері кофе ішетін адамдар өздерін сергек ұстаудан әлдеқайда көп нәрсе істеуі мүмкін екенін айтады - мұндай тұтыну аурулардың қаупін азайтуға да көмектеседі.","Кофе ішудің денсаулыққа пайдасы бар.","0","88","тарту"
"Craigslist сайтында кездескен эротикалық массажистті өлтірді деп айыпталған медицина студенті 100 000 доллардан астам студенттік несие қарызына батып кеткен және сот құжаттарына сәйкес, соншалықты кедей болғандықтан, адвокатқа ақы төлеуге шамасы келмейді. Бостон университетінің медициналық мектебінің 23 жастағы студенті Филип Маркофф 130 000 доллар студенттік несие қарыз және ата-анасынан ақша алмайды, бұл оны қорғау үшін салық төлеушілер қаржыландыратын адвокатқа жүгінуге мәжбүр етеді, деп хабарлайды Бостон муниципалды сотының оны кедей деп таныған сот құжаты. Маркофф Нью-Йорк-Олбани мемлекеттік университетін бітірген және BU медициналық факультетінің екінші курс студенті болған.","Медицина студенті Филип Маркофф құда түсіпті.","1","78","міндеттеме емес"
"Meadows қаңтар айындағы ""Law & Order"" эпизодында шағын рөл сомдады."," Meadows қаңтар айында эфирге шыққан ""Law & Order"" эпизодында пайда болды.","0","116","тарту"
" Порт-о-Пренс қаласының Аристидті жақтайтын мэрі Эванс Пол оған ақшаның Гаитидің демократиялық жолмен сайланған алғашқы президенті Аристидтің оралуына қарсы науқан жүргізу үшін американдық лоббистерге, саясаткерлерге және журналистерге жұмсалатыны айтылғанын айтты.","Эванс Пол - Порт-о-Пренс қаласының мэрі.","0","231","тарту"
" АҚШ күштері көтерілісшілер Ирактың бірнеше қалаларында, соның ішінде Фаллуджа мен Бакубада бір уақытта шабуылдар жасағаннан кейін қарқынды шайқастарға араласты.","Фаллуджа мен Бакуба - Ирак қалалары.","0","27","тарту"
" Хепберннің платина, гауһар және сапфирмен безендірілген брошы небәрі 20 000 долларға бағаланған, бірақ ол болжамды бағасынан алты есе көп, яғни 120 000 долларға сатылған.","Хепберннің гауһар мен сапфирден жасалған брошы 120 000 долларға сатылды.","0","20","тарту"
"Итальяндық кинорежиссер Феллини өмір бойы сіңірген еңбегі үшін құрметті «Оскар» сыйлығымен марапатталды. Ол 1993 жылы 31 қазанда қайтыс болды.","Итальяндық режиссерге құрметті «Оскар» сыйлығы берілді.","0","201","тарту"
" Отаго университетінің Крайстчерч медицина мектебінің зерттеушілері жүргізген жаңа зерттеу крестгүлді көкөністерде кездесетін кейбір химиялық қосылыстардың химиотерапияға төзімді қатерлі ісік жасушаларын жоюға көмектесетінін анықтады. Зерттеу Cancer Research журналында жарияланды. Зерттеу тобы изотиоцианаттар деп аталатын химиялық заттардың қатерлі ісік жасушаларының суицидіне себеп болатынын анықтады. Бұған Bcl-2 ақуызының жоғары деңгейі бар жасушалар кіреді, бұл оларды химиотерапияға төзімді етеді. Изотиоцианаттар крестгүлді көкөністерде табиғи түрде кездеседі. Оларға қырыққабат, қырыққабат, брокколи, гүлді қырыққабат, бок чой, шалғам және су кресі және басқалары жатады.","Брокколидің құрамында изотиоцианаттар бар.","0","153","тарту"
"Мемлекеттік департаменттің Куба істері жөніндегі кеңсесінің басшысы Кевин Уитакер Лазомен ұлдарына виза беру туралы екі рет сөйлесті.","Кевин Уитакер - Мемлекеттік департаменттің менеджері.","0","240","тарту"
" Аляскадағы Редут жанартауы сенбі күні атқылады, нәтижесінде мыңдаған фут биіктікке күл бұлттары көтерілді. Федералды авиация әкімшілігінің мәліметі бойынша, күл әуежайға жеткеннен кейін Тед Стивенс атындағы Анкоридж халықаралық әуежайы жабылды. Әуежай өкілі Джереми Линдсет әуежайға аз ғана күл жеткенін, бірақ күл ұшақтардың қозғалтқышында ақаулар тудыруы мүмкін болғандықтан, жұмысты бұзуға жеткілікті мөлшерде болғанын айтты. Ол атқылау салдарынан қанша рейске әсер еткенін нақты білмейтінін айтты.","Тед Стивенс Анкоридж халықаралық әуежайы Джереми Линдсеттің жұмыс берушісі болып табылады.","0","51","тарту"
"Джулиана Сгрена бүгін Ирактағы тұтқыннан босатылды. Итальяндық журналист дәл бір ай бұрын Бағдадта Il Manifesto газетіне репортаж жасап жүрген жерінен ұрланған. Ислам джихады ұйымы оны 4 ақпанда Италиядан барлық әскерлерін Ирактан шығаруды талап етіп кепілге алған. 16 ақпанда Сгрена ханымның Италияның Ирактан шығуын жалбарынып тұрғаны анық бейнеленген бейнежазба жарияланды. Алайда, бейнежазбаға қарамастан, Италия Сенаты Ирактағы әскери күштерінің болу мерзімін ұзартуға дауыс берді.","Иракта әйел журналист ұрланды.","0","69","тарту"
