"жапсырма","мәтін"
"2","Әдетте мен Planet Hollywood лейблінің барлық заттарына жиіркенемін, бірақ бұрынғы Aladdin өзінің жартылай жаңа сәнді көрінісіне керемет өзгеріс енгізген сияқты. Лос-Анджелестің сәнді және жарқыраған тақырыбы мінсіз орындалған, қонақ үй түнде ең жақсы және ең жарқын көрінеді. Aladdin-ді жақсы білетін адамдардың көпшілігі бөлмелерден казиноға дейінгі айтарлықтай жаңартуларға таң қалатыны сөзсіз.\n\nЕң үлкен өзгерістер олардың әдемі казиносында, керемет барларында/лаунждарында және қазіргі Miracle Mile (ресми түрде Desert Passage) деп аталатын жаңартылған сауда орталығында болды. Күлкілі, бірақ ең бастысы, ""LA"" - бұл Extra Bar & Lounge, онда Extra шоуы аптасына кемінде бір рет түсіріледі. Мен соңғы бірнеше сапарымда Марио Лопестің өз ісін істеп жатқанын көрдім, оның қаншалықты аласа екенін әрдайым ұмытып кететін сияқтымын.\n\nӘрине, ең әсерлі интерьер өзгерістері оның казиносында жасалды. Сәнді дилерлермен жабдықталған көптеген үстелдер клиенттерге қоршаған ортадан ләззат алуға мүмкіндік береді. Покер ойыншыларына жақсы өлшемді покер бөлмесі ұнайтыны сөзсіз, дегенмен, PH басқа үй рейтингі бар ойындар сияқты покер іс-шараларын жиі өткізбейді. Мен бұл жерде қателесуім мүмкін, бірақ олардың крапс үстелдері коэффициенттер бойынша бағаланбайтын сияқты, бұл үлкен ойыншылар үшін жақсы бәсекелестікке әкеледі. Олардың A+ бағдарламасы өте жақсы сияқты және бұрынғы Aladdin ойыншылары өткен ойыннан қалған мәртебелерін қалпына келтіре алады. Мен олардың жақсартқанын қалайтын бір нәрсе - казино алаңындағы желдету, демалыс күндері тым түтін болады.\n\nСонымен, бөлмелермен не болып жатыр? Үлкен люкс бөлмелер мен кейбір стандартты бөлмелер әлі де Aladdin декорымен безендірілген, олардың барлығы биыл аяқталады. Кәдімгі бөлмелер (Голливуд, Делюкс және т.б.) кішкентай және ең жақсы жағдайда 400 шаршы фут. Бұл Манхэттен студиясы үшін жақсы, бірақ Лас-Вегаста керемет емес. Екінші жағынан, үлкен люкс нөмірлер (Panarama, Fountain Views, Boulevard және т.б.) кеңістігімен (1500 шаршы футтан астам) керемет және әдетте керемет көрініске ие.\n\nҚызмет көрсету барлық жерде өте жақсы. Қабылдаудағы қызметкерлерден бастап, мейрамхананы басқаратын басшыларға дейін, тіпті демалыс бөлмелеріндегі бармендерге дейін барлығы күлімсіреп, Лос-Анджелеске деген көзқарастарын жасырады (құдайға шүкір, бұл тақырыптық аспект ешқашан сақталмаған).\n\nPH сатып алғаннан бері, бұл казиноның демографиялық құрамы егде жастағы азаматтар деңгейінен өте жас деңгейге дейін өсті. Лос-Анджелес тақырыбының сәнді жарқырауы және олардың үнемі жарнамалануына байланысты (концерттер, концерттер, қосымша эфирлер, шоулар және т.б.) танымал тұлғалардың көрінуі мүмкін екендігі бұл мейрамханаға бұрынғыдан да көп жастарды тартады. Жас ұрпақ жақсырақ түнгі өмірді пайдалана алады, Prive көңілсіздік тудырады және олардың демалыс бөлмелері көздің жауын алатындай етіп жасалғаннан кейін скучно болуы мүмкін."
"4","Торттар мен басқа да дәмді мексикалық тағамдардың алуан түрлілігі. Торттарды үйде жеп көріңіз, ең кереметі. Кеше кешке біз алып кетуге тапсырыс бердік. Төрт ересек адам, сондықтан біз төрт түрлі тортқа тапсырыс бердік, әрқайсысын төртке бөліп, бөлістік. Торттар соншалықты үлкен, мен таңғы асқа қалғанын жеймін. Қызмет көрсету әрқашан жылдам және достық. Жаңа сығылған шырынды дәм татуды ұмытпаңыз - әрқашан алуан түрлі."
"4","22.Қыркүйек 2012 жылы Hochzeitstag верденді сұраңыз! Eigentlich hatten wir schon eine Location\nf\u00fcr unsere Hochzeit gefunden aber als wir selber G\u00e4ste bei einer Hochzeit im Pflug waren, haben\nwir uns nochmal umentschieden. Es war eine gute Entscheidung im Pflug unsere Hochzeit zu feiern!\nUnseren ca. 60 G\u00e4sten hat es allen sehr gut gefallen im Pflug. Das Essen war sehr lecker, es\ngibt eine gute Bierauswahl (das war wichtig weil viele Бавария zur Hochzeit geladen waren) және дер\nҚызмет соғысы auch einfach nur super. (Und das alles f\u00fcr einen guten Preis!)\nDas tolle bei privaten Feiern im Pflug ist, dass alles so unkompliziert ist. Egal welche W\u00fcnsche\nwir hatten, man konnte uns alles erf\u00fcllen. Im Pflug gibt es eine Musikanlage und einen Beamer\ndie genutz werden d\u00fcrfen, was wir auch gemacht haben. \nEs hat uns und unseren G\u00e4sten sehr gut gefallen und wir wollen uns alle beim Pflug-Team f\u00fcr\nunsere gelungene Hochzeit bedanken! \nSolle mal wieder eine Feier anfallen, wissen wir wo wir hingehen werden ;-)\nLiebe Gr\u00fc\u00dfe Anna & Christian"
"2"," Орны жақсы, бірақ оңтүстік жағының қалған бөлігіндегідей емес екені анық. Мен мұндағы Хофбраухаус пен Кладдалардың жанкүйерімін. Сауда жасау шаршатады, ал кинотеатр өте жақсы."
"3","Дэниел Булудтан бастап, мммм, ""Лейксидке"" дейін бе? Міне, бұл атау АҚШ-тың ""кез келген жеріндегі"" жасанды көлдің шетінде орналасқан мейрамхананы елестетеді. Ойпырмай! Біз ""үлкен баспалдақпен"" түсе алмадық. Бірақ түстік. Мейрамхананың атауына қарап, тағамның сапасын екінші рет болжауға болады. Тағам керемет болды! Бізде: жартылай қабығы бар өте жаңа, тұзды, тәтті устрицалар - ДӘМДІ!, рукколамен берілетін жұқа кесілген Иберико ветчинасы (бірақ қағаз жұқа емес), манчего ірімшігінің кішкене тілімдері, зәйтүн майындағы жасыл зәйтүндер және грильде пісірілген чиабатта нүктелері, дәмді ақ бұршақ салатында шерри сірке суы мен қуырылған сарымсақ айолиі қосылған өте жұмсақ грильде пісірілген сегізаяқ, нёкки, пармезан ірімшігі, қуырылған қызанақ, ағылшын бұршағы және хош иісті ағаш отында пісірілген лимон-сарымсақ король асшаяндары қосылған бұқтырылған вагю қабырғалары болды. Тағам жаңа болды, дәмі қанық және ашық айттым. Тамаққа ешқандай шағым жоқ. Тамақ керемет болды! «Сиқырлы тоғандағы» (яғни армандар тоғаны) «шоу» көңілді және керемет фотосессия болды. Даяшымыз Дуглас бізді үйге көшіруді сұраған кезде сыпайы, сыпайы және өте қонақжай болды (сыртқы үстелдер біз үшін тым суық болды). Сонымен, бұл мейрамхананың кемшіліктері қандай?... Ашық веранда - ең жақсы орын, дегенмен, сыртқы «жылытқыштар» ашық верандадағы тамақтанушыларды жылы және жайлы ұстау үшін жеткілікті жылу шығармайды. Біз үйге көшіруді сұрауға мәжбүр болдық. Өкінішке орай, үй ішіндегі үстелдерде сыртқы үстелдердің «атмосферасы» жоқ. Үй ішіндегі асхана аймағындағы жарық жарқын және заманауи асхана үстелдерімен және жалпы заманауи декормен үйлескенде, бұл өте қатал сезіледі. Жарқын жарық пен заманауи жиһаздың үйлесімі асхана аймағына «кафетерия» сезімін береді. Сонымен, қорытындылай келе, керемет тағам, мейрамхананың ескі атауы - келіңіздер - Wynn-дегі сіздер одан да шығармашылық атау ойлап таба аласыздар. «Көл жағасында» ма? және жабық асханадағы жағымсыз атмосфера (тым жарық және жайлы емес)."
"4","FIB ретінде мен Висконсин тұрғындарының бұл «бақытты сағаты» туралы ештеңе білмеймін. Шамасы, түстен кейін Old Fashioned сияқты барларға бару сізді бір емес, үш сағат бойы қуантады. Барлық пинталар екеуі бір пинтаға және таңдауға болатын үлкен таңдау бар. Висконсин штатында қайнатылған барлық сыралар кранмен берілетін сияқты. \n\nАтмосфера керемет, қызметкерлер мейірімді және алкогольді сіңіру үшін маринадталған тағамдардың тамаша таңдауы бар."
"1"," Қайырымдылық пен ізгі ниетпен көп жұмыс істейтін ұйымға ""жоқ"" деген пікір қалдыруды жек көремін, бірақ Goodwill жинақ дүкендері менің назарымнан тыс. Олардың бағалары тым қымбат және тауарлары нашар ұйымдастырылған сияқты. Мен Goodwill-ге заттарымды сыйға тартамын, себебі олардың бір жерде жақсылық жасап жатқанын білемін, бірақ ол жерден сауда жасамаймын. Оның орнына Savers, Opportunity Village және Charleston Outlet жинақ дүкендерін ұсынамын."
"1","Вегасқа бармас бұрын апта бойы мұздатылған ыстық шоколад жегім келіп жүрді, сондықтан Forum дүкендерінде аздап сауда жасағаннан кейін осында келдім. Мұздатылған ыстық шоколадты ғана алғым келетінін көріп, сырттағы кезекке барып, алдымда тек 4 адам болғандықтан, бұл тез жылжиды деп ойладым. \n\nКүтіп тұрмын\n\nКүтіп тұрмын\n\nКүтіп тұрмын\n\n20 минуттан кейін кезектің алдына келдім. ЕҢ БАЯУ ҚОЗҒАЛЫСТАҒЫ КЕЗЕК! Кезек сірне жылдамдығымен жылжығанда, неге мұнда көп адам жұмыс істемейді? Әжем арбамен тезірек айналыса алады. \n\nҚалай болғанда да, 10 доллар төлеп, 20 минуттан астам күткеннен кейін, ақыры мұздатылған ыстық шоколадымды жедім. Алғашқы рет жегендей дәмді болмады. Артымда кезекте тұрған адамдарға жаным ашыды."
"4","Керемет тамақ!!!! Теңіз өнімдерінен басталып, филемен аяқталды. Олар керемет жасады!"
"3","Мен Sienna Mercato-да отырып тамақтанбағаныммен, лифтпен көтеріліп, олар жасаған керемет әлемге ендім, ол керемет коктейльдерге толы сияқты. Мүмкіндігіңіз болса, менен бас тартыңыз - кетуіңіз керек!\n\nКөпшілік шындыққа жанаспауы мүмкін - иық тіресе араласып, қол созып, күліп, әңгімелесіп - және бұл, әрине, барға да қатысты. Егер сіз өз орныңызды көрсеңіз, оны алыңыз және қалағаныңызды алғанша бас тартпаңыз. Ақылдыларға айтарым: сыпайы болыңыз. Бұл «нәзік тағамдармен» ешкім араласпайды және олар қаласа, сізді елемейді.\n\nҰзын үстелдер мен бірнеше биік шыңдар болғанымен, нағыз көңіл көтеру балконда, қала көшелерін, бардағы түнгі өмірді және үстіндегі әдемі шамдарды тамашалауға болады. Тек сусындарыңызды қоршауға қоймаңыз - жалғыз мақсаты сізге олай істемеу екенін айту болып табылатын бір жігіт бар!"
"1"," Мен жақында Аризонадан кетемін және өзіме керемет ковбой етігін алмай барғым келмеді. Сабаның сапасы мен қызмет көрсетуі үшін баратын жер екенін естідім, сондықтан оны көруге қуанышты болдым. \nТәжірибем бойынша айта алатыным, бұл адамдар дөрекі, дөрекі!!! \n Мен алғаш кірген кезде ешкім мені қарсы алмады, тіпті айналада 3-4 сатушы тұрды. Әдетте бұл мені мазаламайды, бірақ басқа нәрселермен бірге бұл мені қатты ашуландырады. Содан кейін сатушылардың бірі менің соңымнан ерді."
"1"," #лас - бұл өте жағымсыз тәжірибе болды. Мен лотерея мен жанармай алып, мүмкіндігінше тезірек кетіп қалдым lol."
"1","Monkeyshines - жаман шешімдерге толы түнді аяқтаудың жолы."
"3","Көшіп келгеннен бері Firefly-ге алғаш рет оралуым еді. Басқа ғимараттағы танымал орын екенін білемін, бірақ ол жерге баруды жек көрдім, себебі ол өте тар еді. Ал тұрақ өте қиын болды.\n\nЖаңа ғимарат маған қатты ұнады, ол кең және өте әдемі безендірілген.\n\nАлдыңғы орынның лас емес болғандықтан жабылғаны туралы кейбір нәрселерді естідім, бірақ мұнда тамақтануға сенімді болдым, бәрі «жарқыраған таза» болды. Даяшылар жағымды және өте жылдам қызмет көрсетті. Ал мен үшін (әрқашанғыдай) тамақ керемет болды.\nДостарымның ұсынысы бойынша біз қанды апельсин мохитосының құмырасын алдық, бірақ ол менің талғамыма сай өте дәмді және бағасы қымбат болды. Болашақта біз жақсы нәрселерді таңдаймыз (Firefly сангриясының үлкен жанкүйерлері осында).\nБіздің осы жерден тапсырыс беруге болатын сүйікті заттарымыз - беконға оралған құрма (дәмді), макарон мен ірімшік, слайдерлер және фаршталған саңырауқұлақтар. Менің сүйіктім де фаршталған бұрыштарға құмар. Мен кілегейлі ірімшіктің жанкүйері емеспін, бірақ оның сөзіне сенемін, олар дәмді. Кеше кешке алғаш рет сынап көрдім Tres Leche\n Жұлдызды жоғалтудың себебі, ол дәмді болғанымен, бағасы сәл қымбаттау сияқты. Соған қарамастан, бұл менің қайта оралуыма кедергі келтірмейді ;) (тек жиі емес)"
"1"," Қуырылған нан дәмді, бірақ бағасы тым қымбат, ал қызмет көрсетуі өте нашар! Олардың «Gian Tip» банкасын бергені күлкілі, себебі олар сіздің ақшаңызды алып, дайын болған кезде атыңызды атап айтады. Сіз шекарадағы дөрекі және жағымсыз қызмет үшін чайпұл беріп жатырсыз деп ойлаймын. Қайта бармаймын."
"3","Португал омлеті дәмді. Алға!"
"0","Таңғы ас мәзірінде Cafe Jacques-тің ашулы, немқұрайлы адамдары ұсыныстарға ашық екенін айтады. Міне, біреуі: қазір адамдардың көзінше ұрып-соғып жатқан ламинатталған, «ұнтақтан жасалған», дәмсіз тағамның орнына нағыз тағамды ұсынуға қалай қарайсыз?\n\nТамақ бұдан жаман болмайды және кофе кофе ретінде танылмайды. Айтқаныңыздай болды.\n\nТуризмге арналған, ойластырылмаған, қымбат, қорлайтын қоқыс ұсынатын аймақта Cafe Jacques жағдайды жаңа деңгейге көтереді. ӨТПЕҢІЗ ДЕ! Шын мәнінде, ойланып қарасам, Grassmarket-тен мүлдем аулақ болыңыз. Эдинбургте керемет тағамдар бар, бірақ бұл жерге жақын емес."
"2","Мен Джулия С-тің пікірін қайталаймын және бұл жерді *ұнатқым* келгенін бірден айтамын. Ұнайды. Өйткені, шынымды айтсам, олардың ашық қызғылт сары тамақ фургонын ЖАҚСЫ КӨРЕМІН. Мейрамхананың өзі керемет түскі асқа сәл ғана жетпей қалды. \n\nМейрамхананың іші аздап ванильді. Мен жергілікті тұрғындардан сәл көбірек керемет тағам күттім. Қабырғалары қарапайым, жергілікті өнімдер мен фермалардың фотосуреттерінен басқа (мұнда деп есептесек). Дастархандар, күміс ыдыстар және т.б. стандартты және қонақ үй мейрамханасының қорабына сәйкес келеді. Қызмет көрсету жылдам және тиімді болды, мен мұнда ешқандай шағымданбаймын. Барлығы уақтылы жеткізілді және ол менің тұрағымды да растады! \n\nЕнді тамаққа келетін болсақ. Мен прошутто мен рикотта панинині тапсырыс бердім. Ммм. Бұл керемет болды. Ал егер сіздің жұбайыңыз болса және ол бірдеңе керемет десе, бұл әдетте керемет. Немесе ол сізге ашуланса, не болса да. Сэндвич дәл сипатталғандай болды, бірақ ол скучно болды. Дәмдеуіштер жоқ, өмірлік қуаныш жоқ, дәм жоқ. Ал картоп фриі өте дәмді болды. Ащы, балғын және қытырлақ - олар оларды үйде кескені анық. Тіпті Тоня П-дан - қуыру патшайымынан сұрасаңыз да, ол оларды ұнатты. \n\nМен қайтып келетінімді білемін, себебі мен олардың тамақ арбасын шынымен жақсы көремін және бұл жерді жақсы көргім келеді. Жергілікті, фермадан шанышқыға дейінгі тұжырымдама мұнда шындыққа жанасады және бұл сөзсіз бір нәрсені білдіреді. Мен Harvest Moon Grille-ге қайта ораламын және келесі тамағым дәмді болады деп үміттенемін."
"2","Қатал екенсіңдер! \n\nВегаста бізге 1 түнге (жоқ, 1 түнге тұруға емес) қажетті Westin қонақ үйі өте қолайлы. \n\n110 долларға сізге жоғарғы қабаттағы бөлме, 2 жайлы Queen класты төсек, сағат 12-де тіркелу, таза қонақ үй (темекі шегу өте аз), мейірімді қызметкерлер, тегін және тиімді қызмет көрсету, вестибюльде тәулік бойы жұмыс істейтін Starbucks, жақсы гигиеналық заттар және мен көрген ең төмен ""курорттық төлем"" (12 доллар) беріледі. \n\nЕгер сіз шынымен талғампаз болсаңыз, міне, ескеруіңіз мүмкін кейбір мәселелер (шынымды айтсам, бұл біздің демалысымызға онша әсер еткен жоқ, себебі ол өте қысқа болды): \n* Бассейн шағын \n* Стрип 2 блок төмен \n* Керемет көрініс жоқ \n* Керемет клуб жоқ \n* Бөлмеде iPod док жоқ \n* Сымсыз байланыс үшін күнделікті төлем \n* Тәулік бойы қоңырау шалғанда массажист жоқ....... \n\nШынымен."
"1","Бұл пікірді жазуға қиналамын, бірақ фактілерге сүйенемін! Кеше кешке ауа райы керемет болды, сондықтан Темпеге жеңіл рельсті пойызбен барып, аулада сусындар мен тамақтанамыз деп ойладым. Мені әрқашан Depot Cantina қызықтырды, сондықтан сол жерге баруды шештік. Аулада жақсы үстел таптық және жақсы бастадық. Бірақ содан кейін бәрі нашарлады... қызмет көрсету өте баяу болды және ол бұл үшін кешірім сұрамады. Сусындарымызды алу үшін 15 минут, содан кейін тамақ тапсырысымызды алу үшін тағы 10 минут кетті... тек басқа даяшыдан көмектесуін сұрағаным үшін. Олар музыканы тым қатты қосты, бұл оның үзіліп-үзіліп кетуіне әкелді. Біз бірнеше даяшыға музыканы бәсеңдетсе, ол қалыпты жағдайға оралатынын бірнеше рет айттық... оны түзету үшін 30 минут кетті. Тағам жай ғана жақсы болды, ал презентация әсерлі болмады. Сорпа оның астындағы тәрелкеге төгіліп кетті, ал олар досымның кеудесіне бірнеше тортилья лақтырып жіберді... бұл жерде ешқандай ұсақ-түйекке мән берілмеді. Кеше түнде менеджер кезекшілікте болды деп елестете алмаймын, себебі мейрамхананың осылай жұмыс істеуіне рұқсат етіледі деп елестете алмаймын. Бұл жер үлкен ауласы бар керемет жерде орналасқандықтан, олар өздерін қолға алады деп үміттенемін."
"0","Шоу бір сағаттан сәл астам уақытқа созылды. Сол сағаттың жартысы олардың Twinkies жеп жатқанын көрумен өтті... жоқ, ШЫНЫМЕН... ал екінші жартысында олар сахнада ҮЛКЕН шатасулар жасады, мен олардың не істемек болғанын да білмеймін. \n\nМузыка нашар еді, иә, басында біз TP'-ге ие болдық. Сіз қалай білесіз, бірақ мен TP' алу үшін 100 доллар жұмсауға онша құлықсызбын\n\nШын мәнінде, мен бұл шоуды көруімнің жалғыз себебі - билет сатып алу үшін Мадам Тюссо мұражайына тегін баруым болды. Мен 1 шоу бағасына 2 шоу деп ойладым... өте керемет! .... ҚАТЕ!! Ал Мадам Тюссо керемет болды. Сіз бұл шоудан мүмкіндігінше алыс болуыңыз керек. Қос бөлімді бос сөзді айтпай, мен сияқты арзан ақымақ болудың орнына 35 доллар төлеп, ТЕК Мадам Тюссо мұражайына баруыңыз керек."
"1","Жарайды, сіз ағылшын маффиндерін пісіресіз... түсіндік, бірақ олардың 6-сы шынымен 10 долларға тұрарлық па? Бұл осы Arcadia мейрамханасының тақырыбы. Кешкі асқа арналған тағамдардың бағасы ақылға қонымсыз. Сағат 17:00-ден кейін өте шектеулі мәзірде бургер кем дегенде 14 доллар тұрады. Түскі асқа арналған сэндвичтер дәмдірек және бағасы арзанырақ, сондықтан неге оларды күні бойы бермеске, сонымен қатар күндіз тұрақ таба алмайсыз. Олар сондай-ақ сәнді пицца сататын орын мен көшенің арғы жағындағы кейбір мейрамханалардың иелері. Мен 3,25 доллар тұратын глютенсіз шоколадты чипсы бар печенье алдым, ол үлкен және жабысқақ болды және бірнеше жаңғақ болды. Бұл санаттағы печенье үшін жаман емес. Кешкі асқа ақшаңызды бөліп, барлық сүйкімді Arcadia түрлерінің осы отбасылық аймақта қалай серуендейтінін көріңіз."
"4","Рок-н-ролл марафонының демалыс күндері осында болдық. \n\nӘйелім екеуміз таңғы сағат 9 шамасында келдік, себебі таңғы рейс қосымша болды. Біз қоңырау шалу арқылы сөмкелерімізді тексеруіміз керек деп күтіп, қабылдау бөліміне бардық, бірақ таңқаларлығы, бізді тіркеуден өткізіп, бөлме кілттерін бірден алдық.\n\nҚонақ үйдегі менің ең ұнататын нәрселерімнің бірі - лифтілердің орналасуы. Біз 26-қабатта болдық деп ойлаймын және бізде барлығы 5 немесе 6 қабатқа қызмет көрсететін 4 лифт болды, сондықтан біз ешқашан лифт күтудің қажеті болмады және өз қабатымызға жеткенше бес қабатта тоқтауға тура келді.\n\nҚонақ үй мұнарасы жақсы жобаланған және таңқаларлықтай кішкентай болып көрінді. Біз дәліздің соңында болдық, бірақ лифтке дейін жаяу жүру қашықтығы жоқ еді.\n\nБізде өте кең корольдік бөлме болды. Онда демалыс орны, жұмыс үстелі және үлкен кіреберіс болды. Жуынатын бөлме де кең, жабық дәретхана және үлкен душ пен ванна болды. Төсек менің қалауым бойынша тым жұмсақ болды, бірақ ыңғайлы болды. \n\nМаған автоматты перделер және барлығын төсектің жанында басқаруға болатыны ұнады. Қараңғылықты өшіру функциясы өте керемет және ол бүкіл бөлмені қараңғылықтан ажыратады. Кешегі түннен кейін қалпына келу үшін ұйықтауға өте ыңғайлы."
"3","Мен сушиге құмар емеспін - шын мәнінде, соңғы төрт жылда өте қатал вегетариандық болғандықтан, Калифорния мен авокадо орамаларынан басқа сушиді ешқашан жеп көрмеппін. Нағыз суши мүлдем басқаша тәжірибе. \n\nАтмосфера өте қарапайым болды - маған төбеден ілінген түрлі-түсті шыны шар шамдары ұнады. Даяшылар мейірімді болды, бірақ (және?) мен қателесіп модельдік агенттікке кіріп кеткендей сезіндім. \n\nБіз жұма немесе сенбі күні кешке, ертерек жағындағы Ra-ға бардық, онда алтыдан аз үстел болды. Біз суши-барда отырып, келесі тағамдарды жедік:\n- сары қанатты тунец\n-асшаян\n-Калифорния роллы\n-Жаңа Зеландия роллы\n-саке Сангрия\n\nЖалпы алғанда, бұл көңілді және дәмді тәжірибе болды. Саке Сангрия тамақпен өте жақсы үйлеседі. Сары қанатты тунец жақсы болды, асшаяндар дәмді болды, бірақ Жаңа Зеландия орамасы тортты ерекшелендірді - ішінде ысталған албырт пен кілегейлі ірімшік (суши жанкүйерлерін тітіркендіретінін білемін), қарағай жаңғақтары, жаңа киви тілімдері (!) және үстіне жыланбалық-манго себілген. УАУ! Керемет. Мен мұны шынайы суши деп айтпаймын (шынымды айтсам, білмеймін), бірақ ол шынымен де дәмді (және жаңа) болды.\n\nМен қайта барар едім, бірақ алдымен басқа суши сататын орындарды қарап шығар едім."
"3","Грассмаркет маңында тамақтану орнын іздеп жүргенде кездейсоқ осы жерге тап болдым. Бұл өте кішкентай дүкен, онда қызықты ескі кітаптар бар. Айналаны шолып шығуға асықпаңыз. Кассадағы мырза да өте мейірімді. Мен 1900 жылғы Диккенстің бірнеше ескі кітабын әрқайсысын 7 фунт стерлингке сатып алдым."
"3","Итіме тырнақ қию керек болды, бағасы 8 доллар болды, бірақ олар екі қызметкерді жұмысқа тартты, тіпті біреуі бетін итімнің аузына өте жақын қойды, өте батыл. Маған бастама көтеретін адамдар ұнайды. Міндетті түрде қайта ораламын.\n\nИтті шомылдыру - өте жақсы тәжірибе\n\nЖуудан кейін дүкенде үлкен сауда бөлімі бар, өте көңілді және сүйкімді орын."
"4","Бұл жерге бірнеше жылдан бері келіп жүрмін. Қызметкерлері әрқашан мейірімді, дүкен әрдайым тәртіпте және заттарды табу оңай. Мұнда ешқашан ешқандай мәселе болған жоқ. Оларды жақсы көремін."
"3","3,5 жұлдыз, бәлкім, 4-тен сәл төмен. Өте жақсы, керемет қимылдайтын ит және менің ойымша, Coney Style керемет. Конейдің дәстүрлі түрін ешқашан көрмеппін, бірақ мен оның жанкүйерімін және қайта барамын. Картоп фриі өте дәмді болды, ал Faygo газдалған сусыны да жақсы болды. Орын аздап лас болды, бірақ олар асығыс тамақтанғаннан кейін шығар. Кетчуп таусылды, бірақ бізге кассаның артынан бірнеше пакет берді. Кассир өнімді білмеді, бұл жақсы, бірақ біз мұнда ешқашан болмағандықтан және Мичиганнан емеспіз, бізге көмек керек. Аспазшы, менің ойымша, иесі, бізге бағыт-бағдар берді. Мен қайта барып, олардың қосымша жұлдыз алуын қалаймын.\n\nЕкеуі де жақсы көрінетін бургерлер жеді, олар жақсы екенін айтты, бірақ мен күні бойы Конейге баратын едім."
"4"," Тамаша тағам және қолжетімді баға. Суши керемет, мен мұнда ешқашан балық немесе ескі суши жеп көрген емеспін! Балаларға тамаша, тек балаларға арналған таяқшалар болғанын қалар едім. Жақсы атмосфера және көл көрінісі бар ашық ауада тамақтану орны."
"0","О, Құдайым-ау.\n\nБұл жердегі тәжірибе өте нашар болды. Біз көп нәрсе күттік, себебі бұл әдемі ел клубы. Кешіміз негізінен бос мейрамханаға кіріп, бос қонақ үй иесінің үстелінде 5 минут тұрудан басталды. Содан кейін қонақ үй иесі бізге 10 минуттан кейін бізді отырғызатынын айтты.\n\nБіз барға барып, бірнеше сусын мен тәбет ашатын тағамға (ірімшік тәрелкесіне) тапсырыс бердік. Сусындар тез келді, бірақ тәбет ашатын тағам келмеді. 15 минуттан кейін біз асханаға отырдық (тек басқа екі үстелде ғана адамдар болды). Айта кету керек, қонақ үй иесі бізді орындарымыздан тұрғызып жатқанда, кем дегенде бір-екі минут бойы адамдармен сөйлесу үшін тоқтады, екеуміз де оның әңгімесін аяқтап, қайда отыру керектігін көрсетуін күтіп, ыңғайсыздықпен тұрдық. Таңқаларлықтай кәсіби емес.\n\nДаисымыз тез келді де, біздің әлі де ірімшік тәрелкесін күтіп отырғанымызды білмеді. Ол біздің тапсырыстарымызды алды (ол салат жегісі келді, мен жаңа ғана бургер алдым) және жоғалып кетті. Бізге нан ұсынылмады. Ірімшік тәрелке ақыры үстелімізге 3 тілім нан және шамамен 19 миллиард ет пен ірімшікпен келді. Басқа үстелдерде нан немесе печенье болғанымен, бізге әлі де нан немесе печенье ұсынылмады.\n\nОның салаты менің бургеріммен бірге тұздықсыз келді. Даяшы бізді тексеруге қайтып келмеді. Мен біреуін белгілеп, тұздық алып беруін сұрағанша шамамен 15 минут өтті; осы уақытта мен кешкі асымды жеп болдым. Осы кезде олар бізден нан алғымыз келетінін сұрады. Тағы 10 минуттан кейін нан мен оның салат тұздығы шықты.\n\nСусындарымыз да осы уақыт ішінде бос болды. Қандай керемет. Тәжірибеге нұқсан келтіру үшін, шотқа автоматты түрде 18% сыйақы қосылды. Біз менеджерге тәжірибе туралы айттық, ол біздің тәжірибеміз үшін кешірім сұрады және бос мейрамхана ас үйде қосалқы қызметкер бар екенін және бізді отырғызғысы келмейтінін және неге бізге тамақ тез берілмейтінін ойлайтынын айтқанына қарамастан, бізді отырғызу үшін ұзақ күтуді ақтады. Иә, біз бәрібір ойландық.\n\nМейрамхана бос тұрғанда, барда екінші сортты азаматтар сияқты күтіп тұрғанның орнына, бізді отырғызып, кем дегенде нан мен сусындар жеуге болар еді.\n\nТағам аз болды. Бургер күрделі аспаздық емес, бірақ жаппай дайындалған мұздатылған котлеттің дәмі жақсы болды. Картоп фриі өте жаман болды. Оның салаты жақсы болды, бірақ шын мәнінде, тамақ мінсіз болуы мүмкін еді және қызмет көрсету нашар болғандықтан, біз әлі де ренжитін едік.\n\nМенеджер бізден екінші мүмкіндік алуымызды сұрады. Біз мұны істей аламыз, егер тәжірибеміз жақсарса, біз мұны жаңартамыз. Екінші жағынан, екеуміз де қайта баруға аса қуанышты емеспіз. Қазіргі уақытта ұсынылмайды."
"1"," Кеше кешке тағы да бургер жеуге бардым. Қуырылған тоқаш жейін деп едім, олай болмады. Орташа, орташа сирек кездесетін. Даяшы мені тағы да елемеді, сондықтан чекімді алу үшін 10 минуттай күтуге тура келді, бірақ біз дайын болғанымыз анық. Ал шу, соншалықты шулы болғандықтан, әңгімені жалғастыра алмадым. Мен қайтып оралмаймын."
"2","Маған бұл жер қатты ұнайтын. Мен ол жерге 10 жылдан астам уақыт бойы барып жүрмін. Соңғы кездері тамақтары онша дәмді емес. Фода басқалармен салыстырғанда ет аз, ал фрикаделькалар болған кезде қосымша ақы алады. Оларда ешқашан жалбыз болмайды, және мен қабырғада тарақанды бірнеше рет көрдім. Айтқым келмейді, бірақ олар азайған кезде баруды тоқтаттым."
