мәтін1,мәтін2,жапсырма,idx,белгі_мәтіні,instance,generated_options,option_a,option_b,option_c,option_d
" Егер алаяқ Сэмді алдап кетсе, ол көп ақша алар еді.",Сэм көп ақша табатын еді.,0,15,міндеттеме емес,"мәтін1:  Егер алаяқ Сэмді алдап кетсе, ол көп ақша алар еді.
мәтін2: Сэм көп ақша табатын еді.
жапсырма: 0","A) Егер алаяқ Сэмді алдамаса, ол көп ақша алатын еді.  
B) Егер алаяқ Сэмді алдаған болса, ол көп ақша табатын еді.  
C) Егер алаяқ Сэмді алдап кеткенде, ол көп ақша алатын еді.  
D) Егер алаяқ Сэмді алдап алса, ол көп ақша табар еді.  ","Егер алаяқ Сэмді алдамаса, ол көп ақша алатын еді.","Егер алаяқ Сэмді алдаған болса, ол көп ақша табатын еді.","Егер алаяқ Сэмді алдап кеткенде, ол көп ақша алатын еді.","Егер алаяқ Сэмді алдап алса, ол көп ақша табар еді."
Мен ол ағашты балтамен шауып тастай алмаймын; ол тым жуан.,Ағаш тым қалың.,1,11,тарту,"мәтін1: Мен ол ағашты балтамен шауып тастай алмаймын; ол тым жуан.
мәтін2: Ағаш тым қалың.
жапсырма: 1","A) Мен ол кесені балтамен шауып тастай алмаймын; ол тым қалың.  
B) Мен сол ағашты балтамен жоюға шамам жетпейді; ол тым жуан.  
C) Мен осы ағашты балтамен кесіп тастай алмаймын; ол тым толы.  
D) Мен ол ағашты балтамен жойып тастай алмаймын; ол тым кең.  ",Мен ол кесені балтамен шауып тастай алмаймын; ол тым қалың.,Мен сол ағашты балтамен жоюға шамам жетпейді; ол тым жуан.,Мен осы ағашты балтамен кесіп тастай алмаймын; ол тым толы.,Мен ол ағашты балтамен жойып тастай алмаймын; ол тым кең.
" Сэмнің суреті Тинаның суретінің дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда әдемі көрінді.",Тинаның суреті астына тағы бір сурет салған кезде әлдеқайда жақсы көрінді.,0,53,міндеттеме емес,"мәтін1:  Сэмнің суреті Тинаның суретінің дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда әдемі көрінді.
мәтін2: Тинаның суреті астына тағы бір сурет салған кезде әлдеқайда жақсы көрінді.
жапсырма: 0","A) Сэмнің бейнесі Тинаның бейнесінің дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда сұлу көрінді.  
B) Сэмнің кескіні Тинаның кескініның дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда көңілді көрінді.  
C) Сэмнің картинасы Тинаның картинасынан дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда байқалды.  
D) Сэмнің суреті Тинаның суретінен дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда тартымды көрінді.  ","Сэмнің бейнесі Тинаның бейнесінің дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда сұлу көрінді.","Сэмнің кескіні Тинаның кескініның дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда көңілді көрінді.","Сэмнің картинасы Тинаның картинасынан дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда байқалды.","Сэмнің суреті Тинаның суретінен дәл үстіне ілінген еді, ал тағы біреуі оның астында болса, әлдеқайда тартымды көрінді."
" Джордж қойылымға тегін билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге аса құлықсыз болды.",Эрик оны көруге аса құлықсыз болды.,0,70,міндеттеме емес,"мәтін1:  Джордж қойылымға тегін билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге аса құлықсыз болды.
мәтін2: Эрик оны көруге аса құлықсыз болды.
жапсырма: 0","A) Джордж спектакльге тегін билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге өте құлықсыз болды.

B) Джордж қойылымға ақысыз билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге тым құлықсыз болды.

C) Джордж көрсетілімге бепұл билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге өте ниетсіз болды.

D) Джордж ұйымдастыруға тегін билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге аса ниетсіз болды.","Джордж спектакльге тегін билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге өте құлықсыз болды.","Джордж қойылымға ақысыз билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге тым құлықсыз болды.","Джордж көрсетілімге бепұл билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге өте ниетсіз болды.","Джордж ұйымдастыруға тегін билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге аса ниетсіз болды."
"Татьяна әжесінің қонақтарына мол тамақ ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, арық құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, құрметті орынға отырғызып, жай ғана: «Жеткілікті» деп айтқанын бақылап отырды."," Әже Татьянаның кішкентай анасын кең, арық құшағына алып, үстелге қарай итеріп жіберді.",0,20,міндеттеме емес,"мәтін1: Татьяна әжесінің қонақтарына мол тамақ ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, арық құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, құрметті орынға отырғызып, жай ғана: «Жеткілікті» деп айтқанын бақылап отырды.
мәтін2:  Әже Татьянаның кішкентай анасын кең, арық құшағына алып, үстелге қарай итеріп жіберді.
жапсырма: 0","A) Татьяна әжесінің қонақтарына мол тағам ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, жұқа құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, құрметті орынға отырғызып, жай ғана: «Жеткілікті» деп айтты деп бақылап отырды.  
B) Татьяна әжесінің қонақтарына бай тамақ ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, арық құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, қадірлі орынға отырғызып, жай ғана: «Жеткілікті» деп баяндап отырды.  
C) Татьяна әжесінің қонақтарына мол ас ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, жұқа құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, құрметті орынға отырғызып, жай ғана: «Көп» деп айтты деп бақылап отырды.  
D) Татьяна әжесінің қонақтарына қуатты тамақ ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, арық құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, құрметті орынға отырғызып, жай ғана: «Жеткілікті» деп жеткізіп отырды.  ","Татьяна әжесінің қонақтарына мол тағам ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, жұқа құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, құрметті орынға отырғызып, жай ғана: «Жеткілікті» деп айтты деп бақылап отырды.","Татьяна әжесінің қонақтарына бай тамақ ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, арық құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, қадірлі орынға отырғызып, жай ғана: «Жеткілікті» деп баяндап отырды.","Татьяна әжесінің қонақтарына мол ас ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, жұқа құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, құрметті орынға отырғызып, жай ғана: «Көп» деп айтты деп бақылап отырды.","Татьяна әжесінің қонақтарына қуатты тамақ ұсынғанды ұнататынын білетін. Енді Татьяна әжесінің Татьянаның кішкентай анасын кең, арық құшақтап, оны дастарханға итеріп, орамалын иығынан көтеріп, құрметті орынға отырғызып, жай ғана: «Жеткілікті» деп жеткізіп отырды."
" Ер адам баласының салмағы ауыр болғандықтан, оны көтере алмады.",Ұлының салмағы өте ауыр еді.,1,4,тарту,"мәтін1:  Ер адам баласының салмағы ауыр болғандықтан, оны көтере алмады.
мәтін2: Ұлының салмағы өте ауыр еді.
жапсырма: 1","A) Ер адам баласының массасы ауыр болғандықтан, оны көтере алмады.  
B) Ер адам баласының салмағы өте ауыр еді.  
C) Ер адам баласының салмағы ауыр болғандықтан, оны көтере алмады.  
D) Ер адам баласының салмағы тым ауыр еді.  ","Ер адам баласының массасы ауыр болғандықтан, оны көтере алмады.",Ер адам баласының салмағы өте ауыр еді.,"Ер адам баласының салмағы ауыр болғандықтан, оны көтере алмады.",Ер адам баласының салмағы тым ауыр еді.
" Мен лимон ағаштарында лимондар өсіп тұрған бақшаның суретін салуға тырыстым, бірақ олар шамдарға көбірек ұқсап шықты.",Лимон ағаштары шамдарға көбірек ұқсап шықты.,0,13,міндеттеме емес,"мәтін1:  Мен лимон ағаштарында лимондар өсіп тұрған бақшаның суретін салуға тырыстым, бірақ олар шамдарға көбірек ұқсап шықты.
мәтін2: Лимон ағаштары шамдарға көбірек ұқсап шықты.
жапсырма: 0","A)  Мен лимон шалқаларында лимондар өскен бақшаның суретін салуға тырыстым, бірақ олар шамдарға көбірек ұқсап шықты.  
B)  Мен лимон ағаштарында лимондар өскен бақтың суретін салуға тырыстым, бірақ олар шамдарға көбірек ұқсап шықты.  
C)  Мен лимон ағаштарында лимондар өсіп тұрған бақтың суретін салуға тырыстым, бірақ олар шамдарға көбірек ұқсас шықты.  
D)  Мен лимон ағаштарында лимондар өсіп тұрған бақшаның суретін сызуға тырыстым, бірақ олар шамдарға көбірек ұқсап шықты.  ","Мен лимон шалқаларында лимондар өскен бақшаның суретін салуға тырыстым, бірақ олар шамдарға көбірек ұқсап шықты.","Мен лимон ағаштарында лимондар өскен бақтың суретін салуға тырыстым, бірақ олар шамдарға көбірек ұқсап шықты.","Мен лимон ағаштарында лимондар өсіп тұрған бақтың суретін салуға тырыстым, бірақ олар шамдарға көбірек ұқсас шықты.","Мен лимон ағаштарында лимондар өсіп тұрған бақшаның суретін сызуға тырыстым, бірақ олар шамдарға көбірек ұқсап шықты."
" Ларри бұрын әкесіне жұмысына көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.",Ол енді Ларриге көмектесе алмады.,0,37,міндеттеме емес,"мәтін1:  Ларри бұрын әкесіне жұмысына көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.
мәтін2: Ол енді Ларриге көмектесе алмады.
жапсырма: 0","A) Ларри бұрын әкесіне жұмысына қол ұшын берген. Бірақ қазір ол оған қолдау көрсете алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты. 

B) Ларри бұрын әкесіне қызметіне көмектескен. Бірақ қазір ол оған көмек көрсете алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты. 

C) Ларри бұрын әкесіне істеуге көмектескен. Бірақ қазір ол оған қолдау көрсетуге мүмкіндік алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты. 

D) Ларри бұрын әкесіне міндетіне көмектескен. Бірақ қазір ол оған көмек көрсетуге қабілетсіз болды, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.","Ларри бұрын әкесіне жұмысына қол ұшын берген. Бірақ қазір ол оған қолдау көрсете алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.","Ларри бұрын әкесіне қызметіне көмектескен. Бірақ қазір ол оған көмек көрсете алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.","Ларри бұрын әкесіне істеуге көмектескен. Бірақ қазір ол оған қолдау көрсетуге мүмкіндік алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.","Ларри бұрын әкесіне міндетіне көмектескен. Бірақ қазір ол оған көмек көрсетуге қабілетсіз болды, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты."
" Ларри бұрын әкесіне жұмысына көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.",Ларри енді оған көмектесе алмады.,1,28,тарту,"мәтін1:  Ларри бұрын әкесіне жұмысына көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.
мәтін2: Ларри енді оған көмектесе алмады.
жапсырма: 1","A) Ларри бұрын әкесіне жұмысында көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы жетекші кеңседе өзінен басқа ешкімнің еңбек атқарғанын қаламайтынын айтты.

B) Ларри бұрын әкесіне қызметіне көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы басшы кеңседе өзінен басқа ешкімнің жұмыс жасағанын қаламайтынын айтты.

C) Ларри бұрын әкесіне жұмысына көмектескен. Бірақ қазір ол оған көмек көрсете алмады, өйткені әкесі теміржол компаниясындағы жетекші кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.

D) Ларри бұрын әкесіне кәсіпіне көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің қызмет атқарғанын қаламайтынын айтты.","Ларри бұрын әкесіне жұмысында көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы жетекші кеңседе өзінен басқа ешкімнің еңбек атқарғанын қаламайтынын айтты.","Ларри бұрын әкесіне қызметіне көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы басшы кеңседе өзінен басқа ешкімнің жұмыс жасағанын қаламайтынын айтты.","Ларри бұрын әкесіне жұмысына көмектескен. Бірақ қазір ол оған көмек көрсете алмады, өйткені әкесі теміржол компаниясындағы жетекші кеңседе өзінен басқа ешкімнің жұмыс істегенін қаламайтынын айтты.","Ларри бұрын әкесіне кәсіпіне көмектескен. Бірақ қазір ол оған көмектесе алмады, өйткені әкесі теміржол компаниясындағы бастығы кеңседе өзінен басқа ешкімнің қызмет атқарғанын қаламайтынын айтты."
Джейн аш болғандықтан Джоанға кәмпит берді.,Джейн аш болды.,0,24,міндеттеме емес,"мәтін1: Джейн аш болғандықтан Джоанға кәмпит берді.
мәтін2: Джейн аш болды.
жапсырма: 0","A)
Джейн ашар болғандықтан Джоанға тәтті берді.

B)
Джейн ашық болғандықтан Джоанға кәмпит берді.

C)
Джейн қарны аш болғандықтан Джоанға кондитерлік берді.

D)
Джейн тамақсыз болғандықтан Джоанға қант қалдык берді.",Джейн ашар болғандықтан Джоанға тәтті берді.,Джейн ашық болғандықтан Джоанға кәмпит берді.,Джейн қарны аш болғандықтан Джоанға кондитерлік берді.,Джейн тамақсыз болғандықтан Джоанға қант қалдык берді.
Полиция банда мүшелерінің барлығын тұтқындады. Олар көршілес ауданда есірткі саудасын жүргізуге тырысты.,Полиция ауданда есірткі саудасын басқаруға тырысты.,0,45,міндеттеме емес,"мәтін1: Полиция банда мүшелерінің барлығын тұтқындады. Олар көршілес ауданда есірткі саудасын жүргізуге тырысты.
мәтін2: Полиция ауданда есірткі саудасын басқаруға тырысты.
жапсырма: 0","A) Полицейлер банда мүшелерінің барлығын тұтқындады. Олар көршілес ауданында есірткі сатумен айналысуға тырысты.  
B) Полиция қылмыстық топ мүшелерінің барлығын ұстап алды. Олар көршілес ауданда наркотиктердің саудасын жүргізуге талпынды.  
C) Полиция банда мүшелерінің барлықтарын қолға түсірді. Олар көршілес мекенде есірткі саудасымен айналысуға әрекет жасады.  
D) Полицейлер қылмыстық топтың мүшелерінің барлығын қамап алды. Олар көршілес аймақта есірткі бизнесімен шұғылдануға ұмтылды.  ",Полицейлер банда мүшелерінің барлығын тұтқындады. Олар көршілес ауданында есірткі сатумен айналысуға тырысты.,Полиция қылмыстық топ мүшелерінің барлығын ұстап алды. Олар көршілес ауданда наркотиктердің саудасын жүргізуге талпынды.,Полиция банда мүшелерінің барлықтарын қолға түсірді. Олар көршілес мекенде есірткі саудасымен айналысуға әрекет жасады.,Полицейлер қылмыстық топтың мүшелерінің барлығын қамап алды. Олар көршілес аймақта есірткі бизнесімен шұғылдануға ұмтылды.
Боб тротуарда құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын көрді. Ол қатты ауырып жатқан еді.,Карл қатты ауырып қалды.,0,18,міндеттеме емес,"мәтін1: Боб тротуарда құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын көрді. Ол қатты ауырып жатқан еді.
мәтін2: Карл қатты ауырып қалды.
жапсырма: 0","A)  
Боб көшеде құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын көрді. Ол қатты ауырып жатқан болатын.

B)  
Боб жолда құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын көрді. Ол қатты ауырып жатқан еді.

C)  
Боб тротуарында құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын байқады. Ол қатты ауырып жатқан болатын.

D)  
Боб тротуарда құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын байқады. Ол ауыр ауырып жатқан еді.",Боб көшеде құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын көрді. Ол қатты ауырып жатқан болатын.,Боб жолда құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын көрді. Ол қатты ауырып жатқан еді.,Боб тротуарында құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын байқады. Ол қатты ауырып жатқан болатын.,Боб тротуарда құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын байқады. Ол ауыр ауырып жатқан еді.
" Сэм қойшылардың қойларымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты.",Қой ақырында гольф ойыншыларына көбірек ұқсайтын болып шықты.,0,47,міндеттеме емес,"мәтін1:  Сэм қойшылардың қойларымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты.
мәтін2: Қой ақырында гольф ойыншыларына көбірек ұқсайтын болып шықты.
жапсырма: 0","A) Сэм малшылардың малдарымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты.  
B) Сэм қойшылардың қозыларымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты.  
C) Сэм фермерлердің қойларымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты.  
D) Сэм қойшылардың жануарларымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты.  ","Сэм малшылардың малдарымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты.","Сэм қойшылардың қозыларымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты.","Сэм фермерлердің қойларымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты.","Сэм қойшылардың жануарларымен суретін салуға тырысты, бірақ олар гольф ойыншыларына көбірек ұқсайтын болып шықты."
" Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше құмар болса да, оларды Эрикке берді.",Эрик оны көруге ерекше құмар болды.,0,22,міндеттеме емес,"мәтін1:  Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше құмар болса да, оларды Эрикке берді.
мәтін2: Эрик оны көруге ерекше құмар болды.
жапсырма: 0","A) Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше ынтық болса да, оларды Эрикке берді.  
B) Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше қызық болса да, оларды Эрикке берді.  
C) Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше құмарлықпен болса да, оларды Эрикке берді.  
D) Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше жақын болса да, оларды Эрикке берді.  ","Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше ынтық болса да, оларды Эрикке берді.","Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше қызық болса да, оларды Эрикке берді.","Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше құмарлықпен болса да, оларды Эрикке берді.","Джордж қойылымға тегін билеттер алды, бірақ оны көруге ерекше жақын болса да, оларды Эрикке берді."
Марк Стивтің баспалдақтан түсіп келе жатқан аяғының дыбысын естіді. Дүкеннің есігі оның артынан жабылды. Ол терезеден қарау үшін жүгірді.,Марк терезеден қарау үшін жүгіріп кетті.,1,25,тарту,"мәтін1: Марк Стивтің баспалдақтан түсіп келе жатқан аяғының дыбысын естіді. Дүкеннің есігі оның артынан жабылды. Ол терезеден қарау үшін жүгірді.
мәтін2: Марк терезеден қарау үшін жүгіріп кетті.
жапсырма: 1","A) Марк Стивтің баспалдақтан түсіп келе жатқан аяқтарының дыбысын естіді. Дүкеннің есігі оның артынан жабылып қалды. Ол терезеден қарап шығу үшін жүгірді.

B) Марк Стивтің баспалдақтан төмен түсіп келе жатқан аяғының дыбысын естіді. Дүкеннің есігі оның артынан жабылып кетті. Ол терезеден қарау үшін жүгіріп шықты.

C) Марк Стивтің баспалдақтан түсіп келе жатқан аяқтарының даусын естіді. Дүкеннің есігі оның артынан жабылды. Ол терезеден қарау үшін жүгіре шықты.

D) Марк Стивтің баспалдақтан түсіп келе жатқан аяғының үнін естіді. Дүкеннің есігі оның артынан жабыла кетті. Ол терезеден қарап шығу үшін жүгіріп кетті.",Марк Стивтің баспалдақтан түсіп келе жатқан аяқтарының дыбысын естіді. Дүкеннің есігі оның артынан жабылып қалды. Ол терезеден қарап шығу үшін жүгірді.,Марк Стивтің баспалдақтан төмен түсіп келе жатқан аяғының дыбысын естіді. Дүкеннің есігі оның артынан жабылып кетті. Ол терезеден қарау үшін жүгіріп шықты.,Марк Стивтің баспалдақтан түсіп келе жатқан аяқтарының даусын естіді. Дүкеннің есігі оның артынан жабылды. Ол терезеден қарау үшін жүгіре шықты.,Марк Стивтің баспалдақтан түсіп келе жатқан аяғының үнін естіді. Дүкеннің есігі оның артынан жабыла кетті. Ол терезеден қарап шығу үшін жүгіріп кетті.
" Фред көзін қолымен жауып алды, себебі жел құмды ұшырып тұрды. Жел тоқтаған кезде ол көзін ашты.",Жел тоқтаған кезде ол көзін ашты.,1,48,тарту,"мәтін1:  Фред көзін қолымен жауып алды, себебі жел құмды ұшырып тұрды. Жел тоқтаған кезде ол көзін ашты.
мәтін2: Жел тоқтаған кезде ол көзін ашты.
жапсырма: 1","A) Фред көзін қолымен жауып алды, себебі жел құмды ұшырып жатты. Жел тоқтаған кезде ол көзін ашты.  
B) Фред көзін қолымен жауып алды, себебі жел құмды ұшырып тұрды. Жел тоқтаған сәтте ол көзін ашты.  
C) Фред көзін қолымен жауып алды, себебі жел құмды ұшырып тұрды. Жел тоқтаған уақытында ол көзін ашты.  
D) Фред көзін қолымен жауып алды, себебі жел құмды ұшырып тұрды. Жел тоқтаған шақта ол көзін ашты.  ","Фред көзін қолымен жауып алды, себебі жел құмды ұшырып жатты. Жел тоқтаған кезде ол көзін ашты.","Фред көзін қолымен жауып алды, себебі жел құмды ұшырып тұрды. Жел тоқтаған сәтте ол көзін ашты.","Фред көзін қолымен жауып алды, себебі жел құмды ұшырып тұрды. Жел тоқтаған уақытында ол көзін ашты.","Фред көзін қолымен жауып алды, себебі жел құмды ұшырып тұрды. Жел тоқтаған шақта ол көзін ашты."
" Грант сол қыста отбасымен бірге жеткілікті тамақтанатындай етіп бұршақтарын жинау үшін көп еңбек етті. Досы Генри оған оларды кептіретін қорасына үйіп қоюға рұқсат берді. Кейінірек ол және Татьяна оларды жексенбілік кешкі асқа қабығынан тазартып, пісіретін."," Кейінірек ол және Татьяна оларды қабығын аршып, жексенбілік кешкі асқа пісіретін.",0,31,міндеттеме емес,"мәтін1:  Грант сол қыста отбасымен бірге жеткілікті тамақтанатындай етіп бұршақтарын жинау үшін көп еңбек етті. Досы Генри оған оларды кептіретін қорасына үйіп қоюға рұқсат берді. Кейінірек ол және Татьяна оларды жексенбілік кешкі асқа қабығынан тазартып, пісіретін.
мәтін2:  Кейінірек ол және Татьяна оларды қабығын аршып, жексенбілік кешкі асқа пісіретін.
жапсырма: 0","A)  Кейінірек ол және Татьяна оларды қабығын шешіп, жексенбілік кешкі асқа пісіретін.  
B)  Кейінірек ол және Татьяна оларды қабығын тазалап, жексенбілік кешкі асқа пісіретін.  
C)  Кейінірек ол және Татьяна оларды қабығын сыпырып, жексенбілік кешкі асқа пісіретін.  
D)  Кейінірек ол және Татьяна оларды қабығын жұлып, жексенбілік кешкі асқа пісіретін.  ","Кейінірек ол және Татьяна оларды қабығын шешіп, жексенбілік кешкі асқа пісіретін.","Кейінірек ол және Татьяна оларды қабығын тазалап, жексенбілік кешкі асқа пісіретін.","Кейінірек ол және Татьяна оларды қабығын сыпырып, жексенбілік кешкі асқа пісіретін.","Кейінірек ол және Татьяна оларды қабығын жұлып, жексенбілік кешкі асқа пісіретін."
" Қазанды сөреге қоя алмадым, себебі ол тым биік болды.",Қазан тым биік болды.,0,44,міндеттеме емес,"мәтін1:  Қазанды сөреге қоя алмадым, себебі ол тым биік болды.
мәтін2: Қазан тым биік болды.
жапсырма: 0","A) Қазанды сөреге орналастыра алмадым, себебі ол тым ұзын болды.  
B) Қазан тым жоғары болды.  
C) Қазанды шкафқа қоя алмадым, себебі ол тым көтеріңкі болды.  
D) Қазан тым биік болды.","Қазанды сөреге орналастыра алмадым, себебі ол тым ұзын болды.",Қазан тым жоғары болды.,"Қазанды шкафқа қоя алмадым, себебі ол тым көтеріңкі болды.",Қазан тым биік болды.
" Адвокат куәгерге сұрақ қойды, бірақ ол оны қайталаудан бас тартты.",Адвокат оны қайталаудан бас тартты.,1,16,тарту,"мәтін1:  Адвокат куәгерге сұрақ қойды, бірақ ол оны қайталаудан бас тартты.
мәтін2: Адвокат оны қайталаудан бас тартты.
жапсырма: 1","A)   
Адвокат куәгерге сауал қойды, бірақ ол оны қайталаудан бас тартты.  
 
B)  
Адвокат куәгерге сұрақ қойды, бірақ ол оны қайталаудан біраз бас тартты.  

C)  
Адвокат куәгерге сұрау қойды, бірақ ол оны қайталаудан бас тартқан еді.  

D)  
Адвокат куәгерге сұрақ қойды, бірақ ол оны қайта айтудан бас тартты.  ","Адвокат куәгерге сауал қойды, бірақ ол оны қайталаудан бас тартты.","Адвокат куәгерге сұрақ қойды, бірақ ол оны қайталаудан біраз бас тартты.","Адвокат куәгерге сұрау қойды, бірақ ол оны қайталаудан бас тартқан еді.","Адвокат куәгерге сұрақ қойды, бірақ ол оны қайта айтудан бас тартты."
