id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
11468,https://ymnik.kz/tests_old/kazakh_kz/?v=22,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Одағай сөз қатысып тұрған сөйлемді табыңыз.,"Меніңше, жаңағы оты көрінген завод.","Өзі осында келіп пе, сірә?","Ой, әттеген - ай, айырылып қалдым - ау!","Балам, амансың ба?","Ұялма, қалқам, бір сайра, біз де алалық үлгіні.",C,test,Одағай сөз қатысып тұрған сөйлемді табыңыз.,"A)
Көңіл-күй одағайы қатысқан сөйлемді анықтаңыз.

B)
Одағай сөздер кездесетін сөйлемді көрсетіңіз.

C)
Одағайы бар сөйлемді тауып белгілеңіз.

D)
Одағай сөзі қолданылған сөйлемді іріктеңіз.",Көңіл-күй одағайы қатысқан сөйлемді анықтаңыз.,Одағай сөздер кездесетін сөйлемді көрсетіңіз.,Одағайы бар сөйлемді тауып белгілеңіз.,Одағай сөзі қолданылған сөйлемді іріктеңіз.,E,E,E,E,E
13404,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),"Немецкий социолог, основоположник понимающей социологии и теории социального действия",Г. Зиммель,Э. Дюркгейм,О. Конт,М. Вебер,,D,test,"Немецкий социолог, основоположник понимающей социологии и теории социального действия","A)
Германский обществовед, создатель интерпретативной социологии и концепции общественного деяния

B)
Прусский обществовед, зачинатель интерпретирующей социологии и доктрины общественного поведения

C)
Европейский социолог, родоначальник истолковывающей социологии и парадигмы коллективного поступка

D)
Западный социолог, первооткрыватель осмысляющей социологии и гипотезы социального акта","Германский обществовед, создатель интерпретативной социологии и концепции общественного деяния","Прусский обществовед, зачинатель интерпретирующей социологии и доктрины общественного поведения","Европейский социолог, родоначальник истолковывающей социологии и парадигмы коллективного поступка","Западный социолог, первооткрыватель осмысляющей социологии и гипотезы социального акта",E,E,E,E,E
5047,https://oltest.kz/tests/ekonomika_i_predprinimatelstvo/,"Social Science





",Economics and Entrepreneurship ,University,Russian,Economics and Entrepreneurship (Professional in rus),"Что из перечисленного не входит в классификацию цен по сферам применения?
",региональные,мировые,сметные,"государственные
","поясные
",C,test,"Что из перечисленного не входит в классификацию цен по сферам применения?
","A)
Что из указанного не включено в типологию цен по областям использования?

B)
Что из названного не содержится в систематике цен по секторам употребления?

C)
Что из обозначенного не числится в распределении цен по направлениям эксплуатации?

D)
Что из приведенного не относится к категориям цен по сегментам внедрения?",Что из указанного не включено в типологию цен по областям использования?,Что из названного не содержится в систематике цен по секторам употребления?,Что из обозначенного не числится в распределении цен по направлениям эксплуатации?,Что из приведенного не относится к категориям цен по сегментам внедрения?,E,E,E,E,E
1935,https://ymnik.kz/tests_old/biology/?v=64,STEM,Biology,High School,Russian,Biology (High School in rus),Концентрация соли в Аральском море,45 г/л,60 г/л,30 г/л,20 г/л,10 г/л,B,test,Концентрация соли в Аральском море,"A)
Уровень солености в Аральском водоеме

B)
Содержание хлоридов в Аральской акватории

C)
Плотность рассола в Аральском бассейне

D)
Насыщенность минералами в Аральском объекте",Уровень солености в Аральском водоеме,Содержание хлоридов в Аральской акватории,Плотность рассола в Аральском бассейне,Насыщенность минералами в Аральском объекте,E,E,A,A,E
13202,https://itest.kz/kz/endless,Humanities,Law,High School,Kazakh,Law (High School in kaz),2012 жылы Парламент Мәжілісінде сайлауда өткен партия:,«Аcap»,«Нұр Отан»,«Әділет»,«Ауыл»,,B,test,2012 жылы Парламент Мәжілісінде сайлауда өткен партия:,"A)
2012 жылы Парламент Мәжілісіне сайлауға қатысқан ұйым:

B)
2012 жылы Парламент Мәжілісінің дауыс беруіне түскен бірлестік:

C)
2012 жылы Парламент Мәжілісіндегі науқаннан өткен саяси топ:

D)
2012 жылы Парламент Мәжілісіне сайлау арқылы келген қозғалыс:",2012 жылы Парламент Мәжілісіне сайлауға қатысқан ұйым:,2012 жылы Парламент Мәжілісінің дауыс беруіне түскен бірлестік:,2012 жылы Парламент Мәжілісіндегі науқаннан өткен саяси топ:,2012 жылы Парламент Мәжілісіне сайлау арқылы келген қозғалыс:,E,E,E,E,E
1960,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),Наименьшая единица эволюции,Идивидум,Популяция,Вид,Особь,,B,test,Наименьшая единица эволюции,"A)
Минимальная составляющая развития

B)
Крошечный элемент трансформации

C)
Базисный компонент филогенеза

D)
Мельчайшее звено преобразования",Минимальная составляющая развития,Крошечный элемент трансформации,Базисный компонент филогенеза,Мельчайшее звено преобразования,E,E,E,E,E
6567,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),"""Рахман бұлағы"" қорықшасы орналасқан жерді табыңыз.",Жоңғар Алатауы,Алтайдың орталық бөлігі,Тянь-Шань,Көкшетау,,B,test,"""Рахман бұлағы"" қорықшасы орналасқан жерді табыңыз.","A)
""Рахман қайнары"" резерваты жайғасқан аймақты анықтаңыз.

B)
""Рахман бастауы"" заказнигі орныққан өңірді көрсетіңіз.

C)
""Рахман суы"" қорығы орналасқан мекенді белгілеңіз.

D)
""Рахман қайнарлары"" аумағы жатқан жерді тауып беріңіз.","""Рахман қайнары"" резерваты жайғасқан аймақты анықтаңыз.","""Рахман бастауы"" заказнигі орныққан өңірді көрсетіңіз.","""Рахман суы"" қорығы орналасқан мекенді белгілеңіз.","""Рахман қайнарлары"" аумағы жатқан жерді тауып беріңіз.",E,E,E,E,A
21150,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),XIII ғасырда Солтүстік Үндістанда арабтардың құрған мемлекеті:,Гупта мемлекеті,Дели сұлтандығы,Бомбей сұлтандығы,Харши мемлекеті,,B,test,XIII ғасырда Солтүстік Үндістанда арабтардың құрған мемлекеті:,"A)
XIII жүзжылдықта Солтүстік Үндістанда арабтардың орнатқан державасы:

B)
13-ғасырда Үндістанның солтүстігінде арабтардың негізін қалаған елі:

C)
XIII ғасыр барысында Солтүстік Үндістанда арабтардың тұрғызған патшалығы:

D)
XIII жүзжылдық ішінде Солтүстік Үндістанда арабтардың ұйымдастырған билігі:",XIII жүзжылдықта Солтүстік Үндістанда арабтардың орнатқан державасы:,13-ғасырда Үндістанның солтүстігінде арабтардың негізін қалаған елі:,XIII ғасыр барысында Солтүстік Үндістанда арабтардың тұрғызған патшалығы:,XIII жүзжылдық ішінде Солтүстік Үндістанда арабтардың ұйымдастырған билігі:,E,A,E,A,A
4796,https://oltest.kz/tests/kultura_i_iskusstvo/,Humanities,Culture and art,University,Russian,Culture and Art (Professional & University in rus),"Какие методы содержат описание явления в вербальной форме?
","репродуктивные
",сравнения,"объяснительно-иллюстративные
","наглядные
",словестные,E,test,"Какие методы содержат описание явления в вербальной форме?
","A)
Каким способам свойственно изложение процесса в словесном виде?

B)
Какие подходы включают характеристику события в устном формате?

C)
Которые техники подразумевают повествование факта в текстовом выражении?

D)
Каким практикам присуще представление инцидента в речевой структуре?",Каким способам свойственно изложение процесса в словесном виде?,Какие подходы включают характеристику события в устном формате?,Которые техники подразумевают повествование факта в текстовом выражении?,Каким практикам присуще представление инцидента в речевой структуре?,E,E,E,E,E
10649,https://itest.kz/ru/endless,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Мавзолей Ходжи Ахмеда Йасауи находится в городе,Туркестан,Мангистау,Тараз,Кызылорда,,A,test,Мавзолей Ходжи Ахмеда Йасауи находится в городе,"A)
Усыпальница Ходжи Ахмеда Ясави располагается в поселении

B)
Гробница Ходжи Ахмеда Ясави размещается в пункте

C)
Склеп Ходжи Ахмеда Ясави обретается в полисе

D)
Пантеон Ходжи Ахмеда Ясави пребывает в граде",Усыпальница Ходжи Ахмеда Ясави располагается в поселении,Гробница Ходжи Ахмеда Ясави размещается в пункте,Склеп Ходжи Ахмеда Ясави обретается в полисе,Пантеон Ходжи Ахмеда Ясави пребывает в граде,E,E,E,E,E
12348,https://ymnik.kz/tests_old/literature_kz/?v=6,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),"Ыбырай Алтынсариннің қай жылы,  қай жерде қыздар мектебін ұйымдастырғанын анықтаңыз.","1883 жылы,  Троицкіде.","1887 жылы,  Ырғызда.","1881 жылы,  Орск қаласында.","1879 жылы,  Торғайда.","1881 жылы,  Ақтөбеде.",B,test,"Ыбырай Алтынсариннің қай жылы,  қай жерде қыздар мектебін ұйымдастырғанын анықтаңыз.","A)
Ыбырай Алтынсариннің қай мезгілде, қай өңірде арулар мектебін ашқанын белгілеңіз.

B)
Ыбырай Алтынсариннің қай кезеңде, қай аймақта қыздар училищесін құрғанын көрсетіңіз.

C)
Ыбырай Алтынсариннің қай уақытта, қай мекенде бикештер мектебін негіздегенін табыңыз.

D)
Ыбырай Алтынсариннің қай датада, қай тұста қыздар білім ордасын ашқанын анықтаңыз.","Ыбырай Алтынсариннің қай мезгілде, қай өңірде арулар мектебін ашқанын белгілеңіз.","Ыбырай Алтынсариннің қай кезеңде, қай аймақта қыздар училищесін құрғанын көрсетіңіз.","Ыбырай Алтынсариннің қай уақытта, қай мекенде бикештер мектебін негіздегенін табыңыз.","Ыбырай Алтынсариннің қай датада, қай тұста қыздар білім ордасын ашқанын анықтаңыз.",E,E,E,E,E
755,https://ymnik.kz/tests_old/biology_kz/?v=15,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Тұқымдары жел арқылы таралатын өсімдік :,Долана.,Бөрібұршақ.,Шоңайна.,Терек.,Тұңғиық.,D,test,Тұқымдары жел арқылы таралатын өсімдік :,"A)
Дәндері ауа ағынымен жайылатын өсімдік :

B)
Ұрықтары самал көмегімен шашылатын өсімдік :

C)
Тұқымшалары ауамен тасымалданатын флора өкілі :

D)
Дәнектері жел күшімен таралатын өсімдік түрі :",Дәндері ауа ағынымен жайылатын өсімдік :,Ұрықтары самал көмегімен шашылатын өсімдік :,Тұқымшалары ауамен тасымалданатын флора өкілі :,Дәнектері жел күшімен таралатын өсімдік түрі :,E,E,E,E,A
21473,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),Дүние жүзін айналып өткен тұңғыш саяхатшы:,А. Никитин,В. да Гама,Ф. Магеллан,А. Веспуччи,,C,test,Дүние жүзін айналып өткен тұңғыш саяхатшы:,"A)
Жер шарын шарлап шыққан алғашқы жиһанкез:

B)
Жер жүзін айнала шарлаған бастапқы жолаушы:

C)
Бүкіл әлемді шарлап өткен ең алғашқы зерттеуші:

D)
Жер бетін айналып шыққан ең бірінші сапарпаз:",Жер шарын шарлап шыққан алғашқы жиһанкез:,Жер жүзін айнала шарлаған бастапқы жолаушы:,Бүкіл әлемді шарлап өткен ең алғашқы зерттеуші:,Жер бетін айналып шыққан ең бірінші сапарпаз:,E,A,E,A,E
11724,https://ymnik.kz/tests_old/literature_kz/?v=53,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),"Біржан - Сара айтысындағы:Сараны Жиенқұлға бере көрме,Қыз түгіл ер құнына келер шамаң.Бар болса сүйегіңде ойларсыңдар,Өлі тілін тірі алмас деген заман... - деген жолдар кімдікі екенін белгілеңіз.",Есімбек.,Жұрты.,Біржан.,Тұрысбек.,Тастанбек.,C,test,"Біржан - Сара айтысындағы:Сараны Жиенқұлға бере көрме,Қыз түгіл ер құнына келер шамаң.Бар болса сүйегіңде ойларсыңдар,Өлі тілін тірі алмас деген заман... - деген жолдар кімдікі екенін белгілеңіз.","A)
Біржан - Сара сөзіндегі:Сараны Жиенқұлға бере көрме,Қыз түгіл ер құнына келер шамаң.Бар болса сүйегіңде ойларсыңдар,Өлі тілін тірі алмас деген заман... - деген тармақтар кімдікі екенін анықтаңыз.

B)
Біржан мен Сара айтысындағы:Сараны Жиенқұлға қия көрме,Қыз емес ер құнына жетер шамаң.Бар болса тегіңізде ойланарсыңдар,Өлі тілін тірі алмас деген заман... - деген сөздер кімдікі екенін көрсетіңіз.

C)
Біржан - Сара дебатындағы:Сараны Жиенқұлға ұзата көрме,Қыз былай ер құнына толар шамаң.Бар болса қаныңызда толғанарсыңдар,Өлі тілін тірі алмас деген заман... - деген үзінді кімдікі екенін белгілеңіз.

D)
Біржан - Сара тартысындағы:Сараны Жиенқұлға бере көрме,Қыз қойып ер құнына жетер шамаң.Бар болса нәсіліңде ойларсыңдар,Өлі тілін тірі алмас деген заман... - деген шумақтар кімдікі екенін таңдаңыз.","Біржан - Сара сөзіндегі:Сараны Жиенқұлға бере көрме,Қыз түгіл ер құнына келер шамаң.Бар болса сүйегіңде ойларсыңдар,Өлі тілін тірі алмас деген заман... - деген тармақтар кімдікі екенін анықтаңыз.","Біржан мен Сара айтысындағы:Сараны Жиенқұлға қия көрме,Қыз емес ер құнына жетер шамаң.Бар болса тегіңізде ойланарсыңдар,Өлі тілін тірі алмас деген заман... - деген сөздер кімдікі екенін көрсетіңіз.","Біржан - Сара дебатындағы:Сараны Жиенқұлға ұзата көрме,Қыз былай ер құнына толар шамаң.Бар болса қаныңызда толғанарсыңдар,Өлі тілін тірі алмас деген заман... - деген үзінді кімдікі екенін белгілеңіз.","Біржан - Сара тартысындағы:Сараны Жиенқұлға бере көрме,Қыз қойып ер құнына жетер шамаң.Бар болса нәсіліңде ойларсыңдар,Өлі тілін тірі алмас деген заман... - деген шумақтар кімдікі екенін таңдаңыз.",E,A,E,A,A
17176,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),"Ара қашықтығын өзгертпей бірдей екі зарядты суға батырғанда, олардың әсерлесу күші ауадағыдай болу үшін зарядтың мәндерін (\(\varepsilon_{су}=81;k=9\cdot10^9\) Н∙м²/Кл²)",6 есе арттыру керек,9 есе кеміту керек,9 есе арттыру керек,6 есе кеміту керек,,C,test,"Ара қашықтығын өзгертпей бірдей екі зарядты суға батырғанда, олардың әсерлесу күші ауадағыдай болу үшін зарядтың мәндерін (\(\varepsilon_{су}=81;k=9\cdot10^9\) Н∙м²/Кл²)","A)
Аралықты сақтаған күйде екі ұқсас зарядты суға салғанда, олардың өзара әрекеттесу қуаты ауадағыдай қалуы үшін заряд мөлшерлерін (\(\varepsilon_{су}=81;k=9\cdot10^9\) Н∙м²/Кл²)

B)
Қашықтықты тұрақты ұстап бірдей екі зарядты суға батырғанда, олардың әсерлесу қарқындылығы ауадағыдай сақталуы үшін заряд шамаларын (\(\varepsilon_{су}=81;k=9\cdot10^9\) Н∙м²/Кл²)

C)
Арақашықтықты ауыстырмай екі бірдей зарядты суға енгізгенде, олардың әсерлесуінің күші ауадағыдай болуы мақсатында зарядтардың мәндерін (\(\varepsilon_{су}=81;k=9\cdot10^9\) Н∙м²/Кл²)

D)
Аралықты өзгертпестен екі тең зарядты суға түсіргенде, олардың өзара күші ауадағы деңгейде қалуы үшін зарядтардың шамасын (\(\varepsilon_{су}=81;k=9\cdot10^9\) Н∙м²/Кл²)","Аралықты сақтаған күйде екі ұқсас зарядты суға салғанда, олардың өзара әрекеттесу қуаты ауадағыдай қалуы үшін заряд мөлшерлерін (\(\varepsilon_{су}=81;k=9\cdot10^9\) Н∙м²/Кл²)","Қашықтықты тұрақты ұстап бірдей екі зарядты суға батырғанда, олардың әсерлесу қарқындылығы ауадағыдай сақталуы үшін заряд шамаларын (\(\varepsilon_{су}=81;k=9\cdot10^9\) Н∙м²/Кл²)","Арақашықтықты ауыстырмай екі бірдей зарядты суға енгізгенде, олардың әсерлесуінің күші ауадағыдай болуы мақсатында зарядтардың мәндерін (\(\varepsilon_{су}=81;k=9\cdot10^9\) Н∙м²/Кл²)","Аралықты өзгертпестен екі тең зарядты суға түсіргенде, олардың өзара күші ауадағы деңгейде қалуы үшін зарядтардың шамасын (\(\varepsilon_{су}=81;k=9\cdot10^9\) Н∙м²/Кл²)",E,E,E,E,E
15345,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Сколько граммов воды нужно выпарить из 680 г раствора, содержащего 20% сахара, чтобы получить раствор с концентрацией 34%?",280 г,476 г,400 г,204 г,,A,test,"Сколько граммов воды нужно выпарить из 680 г раствора, содержащего 20% сахара, чтобы получить раствор с концентрацией 34%?","A)
Какое количество граммов влаги следует удалить из 680 г смеси, имеющей 20% сахарозы, дабы изготовить состав с долей 34%?

B)
Какое число граммов жидкости необходимо испарить из 680 г субстанции, вмещающей 20% глюкозы, ради получения раствора с насыщенностью 34%?

C)
Сколько именно граммов водицы требуется выкипятить из 680 г состава, заключающего 20% подсластителя, чтобы приготовить жидкость с содержанием 34%?

D)
Какой объем граммов влаги надобно изъять из 680 г массы, включающей 20% сахарида, дабы создать концентрат с показателем 34%?","Какое количество граммов влаги следует удалить из 680 г смеси, имеющей 20% сахарозы, дабы изготовить состав с долей 34%?","Какое число граммов жидкости необходимо испарить из 680 г субстанции, вмещающей 20% глюкозы, ради получения раствора с насыщенностью 34%?","Сколько именно граммов водицы требуется выкипятить из 680 г состава, заключающего 20% подсластителя, чтобы приготовить жидкость с содержанием 34%?","Какой объем граммов влаги надобно изъять из 680 г массы, включающей 20% сахарида, дабы создать концентрат с показателем 34%?",E,E,E,E,E
5414,https://oltest.kz/tests/vospitanie_i_obuchenie/,Humanities,Education and training ,University,Russian,Education and Training (Professional & University in rus),"Основные педагогические понятия
","Прогулка, занятие, деятельность, труд
","Беседа, консультация, собрание, семинар
","Знания, умения, навыки, способности
","Программа, ГОСО, учебный план
","Развитие, воспитание, обучение, педагогический процесс
",E,test,"Основные педагогические понятия
","A)
Главные образовательные термины

B)
Ведущие воспитательные категории

C)
Ключевые учебные дефиниции

D)
Фундаментальные дидактические идеи",Главные образовательные термины,Ведущие воспитательные категории,Ключевые учебные дефиниции,Фундаментальные дидактические идеи,E,E,A,E,E
2920,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),Хлорсутек молекуласындағы химиялық байланыс.,ковалентті полюсті,ковалентті полюссіз,сутектік,иондық,,A,test,Хлорсутек молекуласындағы химиялық байланыс.,"A)
Сутегі хлориді бөлшегіндегі атомдық ілінісу.

B)
Хлорлы сутек түзілісіндегі электрондық байланысу.

C)
Хлорсутектік микробөлшектегі химиялық бірігу.

D)
Газтәрізді хлорсутектегі молекулааралық байланыс.",Сутегі хлориді бөлшегіндегі атомдық ілінісу.,Хлорлы сутек түзілісіндегі электрондық байланысу.,Хлорсутектік микробөлшектегі химиялық бірігу.,Газтәрізді хлорсутектегі молекулааралық байланыс.,E,E,A,A,E
4869,https://oltest.kz/tests/kultura_i_iskusstvo/,Humanities,Culture and art,University,Russian,Culture and Art (Professional & University in rus),"К какой группе методов можно отнести метод выявления сходства и различия?
","репродуктивный
","словестный
",наглядный,"сравнения
","объяснительно-иллюстративный
",D,test,"К какой группе методов можно отнести метод выявления сходства и различия?
","A)
К какому разряду приемов реально причислить способ обнаружения подобия и расхождения?

B)
К какой категории подходов возможно причислить технологию установления аналогии и отличия?

C)
К какому классу инструментов допускается отнести процедуру определения тождества и дифференциации?

D)
К какому типу техник разрешается приписать механизм фиксации единообразия и несоответствия?",К какому разряду приемов реально причислить способ обнаружения подобия и расхождения?,К какой категории подходов возможно причислить технологию установления аналогии и отличия?,К какому классу инструментов допускается отнести процедуру определения тождества и дифференциации?,К какому типу техник разрешается приписать механизм фиксации единообразия и несоответствия?,E,E,A,E,E
6551,https://ymnik.kz/tests_old/geography_kz/?v=16,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Жер бетіндегі кез келген нүктенің басқа бір нүктеден биіктік айырмасы:,Жазықтықтар,Горизонтальдар,Салыстырмалы биіктік,Абсолюттік биіктік,Жер бедері,C,test,Жер бетіндегі кез келген нүктенің басқа бір нүктеден биіктік айырмасы:,"A)
Дүние жүзіндегі кез келген орынның өзге бір нүктеден биіктік алшақтығы:

B)
Ғалам бетіндегі әрбір нүктенің басқа бір жерден биіктік айырмашылығы:

C)
Планета бетіндегі қайсыбір нүктенің бөлек бір нүктеден биіктік өзгешелігі:

D)
Жер жүзіндегі қандай да бір нүктенің келесі бір орыннан биіктік қашықтығы:",Дүние жүзіндегі кез келген орынның өзге бір нүктеден биіктік алшақтығы:,Ғалам бетіндегі әрбір нүктенің басқа бір жерден биіктік айырмашылығы:,Планета бетіндегі қайсыбір нүктенің бөлек бір нүктеден биіктік өзгешелігі:,Жер жүзіндегі қандай да бір нүктенің келесі бір орыннан биіктік қашықтығы:,A,E,E,A,A
17990,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),Динамик подключен к выходу генератора электрических колебаний с частотой \(170\) Гц. При скорости звука в воздухе \(340\) м/с длина звуковой волны равна,\(1\) м,"\(0,5\) м",\(28900\) м,\(2\) м,,D,test,Динамик подключен к выходу генератора электрических колебаний с частотой \(170\) Гц. При скорости звука в воздухе \(340\) м/с длина звуковой волны равна,"A)
Громкоговоритель присоединен к выходу источника электрических пульсаций с частотой \(170\) Гц. При темпе звука в атмосфере \(340\) м/с протяженность акустической волны составляет

B)
Излучатель подсоединен к гнезду прибора электрических вибраций с частотой \(170\) Гц. При быстроте звука в среде \(340\) м/с дистанция звуковой волны является

C)
Воспроизводитель включен в выход устройства электрических синусоид с частотой \(170\) Гц. При показателе звука в газу \(340\) м/с габарит акустической волны равняется

D)
Акустическая система задействована от выхода формирователя электрических сигналов с частотой \(170\) Гц. При величине звука в пространстве \(340\) м/с мера звуковой волны эквивалентна",Громкоговоритель присоединен к выходу источника электрических пульсаций с частотой \(170\) Гц. При темпе звука в атмосфере \(340\) м/с протяженность акустической волны составляет,Излучатель подсоединен к гнезду прибора электрических вибраций с частотой \(170\) Гц. При быстроте звука в среде \(340\) м/с дистанция звуковой волны является,Воспроизводитель включен в выход устройства электрических синусоид с частотой \(170\) Гц. При показателе звука в газу \(340\) м/с габарит акустической волны равняется,Акустическая система задействована от выхода формирователя электрических сигналов с частотой \(170\) Гц. При величине звука в пространстве \(340\) м/с мера звуковой волны эквивалентна,E,E,E,E,E
1513,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),"Глобулярная форма белка, образующаяся в результате взаимодействия различных остатков аминокислот и возникновения дисульфидных связей между ними, – это структура",Пятеричная,Четвертичная,Третичная,Вторичная,,C,test,"Глобулярная форма белка, образующаяся в результате взаимодействия различных остатков аминокислот и возникновения дисульфидных связей между ними, – это структура","A)
Сферическая конфигурация протеина, возникающая вследствие контакта разнообразных радикалов аминокислот и появления дисульфидных мостиков в их среде, – это структура

B)
Шаровидная форма полипептида, формирующаяся в итоге взаимодействия многообразных звеньев аминокислот и создания ковалентных связей серы между ними, – это структура

C)
Округлая организация макромолекулы, выстраивающаяся путём сочетания всевозможных боковых групп аминокислот и формирования серных перемычек внутри них, – это структура

D)
Компактная структура белкового тела, создаваемая посредством контакта вариативных остатков аминокислот и образования двойных связей серы друг с другом, – это структура","Сферическая конфигурация протеина, возникающая вследствие контакта разнообразных радикалов аминокислот и появления дисульфидных мостиков в их среде, – это структура","Шаровидная форма полипептида, формирующаяся в итоге взаимодействия многообразных звеньев аминокислот и создания ковалентных связей серы между ними, – это структура","Округлая организация макромолекулы, выстраивающаяся путём сочетания всевозможных боковых групп аминокислот и формирования серных перемычек внутри них, – это структура","Компактная структура белкового тела, создаваемая посредством контакта вариативных остатков аминокислот и образования двойных связей серы друг с другом, – это структура",E,E,E,E,E
17555,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),"Ашық тербелмелі контурда ток күшінің уақытқа байланыстылығының заңдылығы. Толқын ұзындығы
\((с=3\cdot10^8\) м/с\()\)",\(550\) м,\(750\) м,\(600\) м,\(650\) м,,B,test,"Ашық тербелмелі контурда ток күшінің уақытқа байланыстылығының заңдылығы. Толқын ұзындығы
\((с=3\cdot10^8\) м/с\()\)","A)
Ашық тербеліс контурындағы ток қуатының уақытқа тәуелділік заңы. Толқын ұзындығы
\((с=3\cdot10^8\) м/с\()\)

B)
Ашық тербелмелі жүйедегі ток күшінің мерзімге бағыныштылығының қағидасы. Толқын арақашықтығы
\((с=3\cdot10^8\) м/с\()\)

C)
Ашық тербеліс тізбегінде ток шамасының уақытқа қатысты өзгеру заңдылығы. Сәуле ұзындығы
\((с=3\cdot10^8\) м/с\()\)

D)
Ашық тербелмелі контур ішіндегі ток күшінің уақытқа байланысты болу ережесі. Толқын мөлшері
\((с=3\cdot10^8\) м/с\()\)","Ашық тербеліс контурындағы ток қуатының уақытқа тәуелділік заңы. Толқын ұзындығы
\((с=3\cdot10^8\) м/с\()\)","Ашық тербелмелі жүйедегі ток күшінің мерзімге бағыныштылығының қағидасы. Толқын арақашықтығы
\((с=3\cdot10^8\) м/с\()\)","Ашық тербеліс тізбегінде ток шамасының уақытқа қатысты өзгеру заңдылығы. Сәуле ұзындығы
\((с=3\cdot10^8\) м/с\()\)","Ашық тербелмелі контур ішіндегі ток күшінің уақытқа байланысты болу ережесі. Толқын мөлшері
\((с=3\cdot10^8\) м/с\()\)",E,E,E,E,E
235,https://oltest.kz/tests/buhgalterskiy_uchet_i_audit/,"Social Science





",Accounting and auditing,University,Russian,Accounting and Auditing (Professional & University in rus),"Созданный в соответствии с законодательством этот капитал используется для покрытия убытков, а также выплат дивидендов акционерам и доходов участникам товарищества при недостаточности чистого дохода отчетного периода, и отражается в отчетности отдельно:","
эмиссионный доход","
выкупленные собственные долевые инструменты","
резервный капитал",выпущенный капитал,"
нераспределенный доход",C,test,"Созданный в соответствии с законодательством этот капитал используется для покрытия убытков, а также выплат дивидендов акционерам и доходов участникам товарищества при недостаточности чистого дохода отчетного периода, и отражается в отчетности отдельно:","A)
Сформированный согласно нормативным актам данный капитал применяется для компенсации потерь, а также выдачи дивидендов акционерам и прибыли членам общества при нехватке чистой прибыли текущего периода, и фиксируется в документах обособленно:

B)
Учрежденный в рамках правовых норм этот фонд задействуется для возмещения издержек, а также начисления выплат владельцам акций и заработка партнерам организации при дефиците итогового дохода данного этапа, и показывается в балансе самостоятельно:

C)
Организованный сообразно действующим законам указанный актив употребляется для перекрытия убыли, а также перечисления дивидендов инвесторам и средств представителям объединения при скудности чистого профита отчетного цикла, и представляется в реестрах отдельно:

D)
Выстроенный на основании юридических требований этот резерв расходуется для погашения ущерба, а также выдачи вознаграждений акционерам и дивидендов участникам фирмы при недостаточности чистого заработка финансового периода, и отображается в учете индивидуально:","Сформированный согласно нормативным актам данный капитал применяется для компенсации потерь, а также выдачи дивидендов акционерам и прибыли членам общества при нехватке чистой прибыли текущего периода, и фиксируется в документах обособленно:","Учрежденный в рамках правовых норм этот фонд задействуется для возмещения издержек, а также начисления выплат владельцам акций и заработка партнерам организации при дефиците итогового дохода данного этапа, и показывается в балансе самостоятельно:","Организованный сообразно действующим законам указанный актив употребляется для перекрытия убыли, а также перечисления дивидендов инвесторам и средств представителям объединения при скудности чистого профита отчетного цикла, и представляется в реестрах отдельно:","Выстроенный на основании юридических требований этот резерв расходуется для погашения ущерба, а также выдачи вознаграждений акционерам и дивидендов участникам фирмы при недостаточности чистого заработка финансового периода, и отображается в учете индивидуально:",E,E,E,E,E
