question,тақырып,таңдаулар,жауап,sheet,instance,generated_options,option_a,option_b,option_c,option_d
" Дершовицтің ойынша, қандай экстремалды теория белгілі бір төтенше жағдайларда терроризмді ақтай алады?", моральдық_даулар, ['әрекетке негізделген деонтология' 'ережеге негізделген гедонизм' 'ереже утилитаризмі' 'әрекет утилитаризмі'],3,Sheet1," Дершовицтің ойынша, қандай экстремалды теория белгілі бір төтенше жағдайларда терроризмді ақтай алады?","A)
Дершовицтің пайымдауынша, қандай шектен шыққан тұжырымдама нақты бір қауіпті жағдаяттарда лаңкестікті ақтап шыға алады?

B)
Дершовицтің пікірінше, қандай радикалды концепция айрықша бір қиын сәттерде содырлықты негіздей алуы мүмкін?

C)
Дершовицтің көзқарасы бойынша, қандай төтенше ілім айтарлықтай бір алмағайып кезеңдерде қарулы қақтығысты заңды деп таниды?

D)
Дершовицтің тұжырымына сәйкес, қандай шетін қағида ерекше бір кризистік мезеттерде қатыгездікті қорғап қалуға қауқарлы?","Дершовицтің пайымдауынша, қандай шектен шыққан тұжырымдама нақты бір қауіпті жағдаяттарда лаңкестікті ақтап шыға алады?","Дершовицтің пікірінше, қандай радикалды концепция айрықша бір қиын сәттерде содырлықты негіздей алуы мүмкін?","Дершовицтің көзқарасы бойынша, қандай төтенше ілім айтарлықтай бір алмағайып кезеңдерде қарулы қақтығысты заңды деп таниды?","Дершовицтің тұжырымына сәйкес, қандай шетін қағида ерекше бір кризистік мезеттерде қатыгездікті қорғап қалуға қауқарлы?"
"Егде жастағы әйел 12-қабаттағы пәтерінен вестибюльге лифтпен келе жатқан. Лифт бесінші қабатта тоқтаған кезде, бір ер адам лифтке темекі шегіп кірді. Ер адам лифттегі егде жастағы әйелдің алдында тұрғанда, әйел оның иығынан түртті. Ер адам бұрылған кезде, әйел «Темекі шегуге болмайды» деген белгіні нұсқап: «Кешіріңіз, мырза, темекі шегуге рұқсат етесіз бе?» - деді. Ер адам ашуланып, темекісін қатты жұтып, содан кейін әйелдің бетіне түтін шығарды. Лифт келесі қабатта тоқтаған кезде, ер адам кетіп қалды. Егер әйел ер адамға зорлық-зомбылық жасағаны үшін азаматтық талап қойса, кім жеңеді?", кәсіби_құқық,"['Әйел, себебі түтін оның бетіне тиді.' 'Әйел, себебі оның ер адамның оған шабуыл жасауынан қорқуға негізді себебі болды.' 'Ер адам, себебі ол әйелге тиіспеді.' 'Ер адам, себебі оның мінез-құлқы тітіркендіргіш болды, бірақ әйелге ешқандай дене жарақатын салмады.']",0,Sheet1,"Егде жастағы әйел 12-қабаттағы пәтерінен вестибюльге лифтпен келе жатқан. Лифт бесінші қабатта тоқтаған кезде, бір ер адам лифтке темекі шегіп кірді. Ер адам лифттегі егде жастағы әйелдің алдында тұрғанда, әйел оның иығынан түртті. Ер адам бұрылған кезде, әйел «Темекі шегуге болмайды» деген белгіні нұсқап: «Кешіріңіз, мырза, темекі шегуге рұқсат етесіз бе?» - деді. Ер адам ашуланып, темекісін қатты жұтып, содан кейін әйелдің бетіне түтін шығарды. Лифт келесі қабатта тоқтаған кезде, ер адам кетіп қалды. Егер әйел ер адамға зорлық-зомбылық жасағаны үшін азаматтық талап қойса, кім жеңеді?","A)
Қарт жастағы ханым 12-қабаттағы үйінен вестибюльге жеделсатымен келе жатқан. Жеделсаты бесінші қабатта кідірген сәтте, бір ер кісі жеделсатыға шылым тартып енді. Ер кісі жеделсатыдағы қарт жастағы ханымның алдында тұрғанда, ханым оның иығынан қақты. Ер кісі бұрылған сәтте, ханым «Шылым шегуге тыйым салынады» деген нышанды көрсетіп: «Ғафу етіңіз, мырза, шылым шегуге рұқсат бересіз бе?» - деді. Ер кісі кейіп, шылымын қатты сорып, содан соң ханымның жүзіне түтін үрледі. Жеделсаты келесі қабатта кідірген сәтте, ер кісі кетіп қалды. Егер ханым ер кісіге соққы жасағаны үшін азаматтық шағым түсірсе, кім ұтады?

B)
Егде жастағы әйел 12-қабаттағы баспанасынан вестибюльге лифтпен төмендеп жатқан. Лифт бесінші қабатта тоқтаған уақытта, бір ер адам лифтке темекі тұтатып кірді. Ер адам лифттегі егде жастағы әйелдің алдында тұрғанда, әйел оның иығынан түртті. Ер адам бұрылған уақытта, әйел «Темекі шегуге болмайды» деген тақтайшаны нұсқап: «Кешіріңіз, мырза, темекі тартуға рұқсат етесіз бе?» - деді. Ер адам ашуланып, темекісін қатты жұтып, содан кейін әйелдің бетіне түтін шығарды. Лифт келесі қабатта тоқтаған уақытта, ер адам кетіп қалды. Егер әйел ер адамға зорлық-зомбылық жасағаны үшін азаматтық талап қойса, кім жеңеді?

C)
Кесек жастағы әйел 12-қабаттағы пәтерінен вестибюльге лифтпен келе жатқан. Лифт бесінші қабатта тоқтаған кезде, бір ер адам лифтке темекі шегіп кірді. Ер адам лифттегі кесек жастағы әйелдің алдында тұрғанда, әйел оның иығынан түртті. Ер адам бұрылған кезде, әйел «Темекі шегуге болмайды» деген белгіні нұсқап: «Кешіріңіз, мырза, темекі шегуге рұқсат етесіз бе?» - деді. Ер адам ашуланып, темекісін қатты жұтып, содан кейін әйелдің бетіне түтін шығарды. Лифт келесі қабатта тоқтаған кезде, ер адам кетіп қалды. Егер әйел ер адамға зорлық-зомбылық жасағаны үшін азаматтық талап қойса, кім жеңеді?

D)
Егде жастағы әйел 12-қабаттағы пәтерінен вестибюльге лифтпен келе жатқан. Лифт бесінші қабатта тоқтаған кезде, бір ер адам лифтке темекі шегіп кірді. Ер адам лифттегі егде жастағы әйелдің алдында тұрғанда, әйел оның иығынан түртті. Ер адам бұрылған кезде, әйел «Темекі шегуге болмайды» деген белгіні нұсқап: «Кешіріңіз, мырза, темекі шегуге рұқсат етесіз бе?» - деді. Ер адам ашуланып, темекісін қатты жұтып, содан кейін әйелдің бетіне түтін шығарды. Лифт келесі қабатта тоқтаған кезде, ер адам кетіп қалды. Егер әйел ер адамға зорлық-зомбылық жасағаны үшін азаматтық талап қойса, кім жеңеді?","Қарт жастағы ханым 12-қабаттағы үйінен вестибюльге жеделсатымен келе жатқан. Жеделсаты бесінші қабатта кідірген сәтте, бір ер кісі жеделсатыға шылым тартып енді. Ер кісі жеделсатыдағы қарт жастағы ханымның алдында тұрғанда, ханым оның иығынан қақты. Ер кісі бұрылған сәтте, ханым «Шылым шегуге тыйым салынады» деген нышанды көрсетіп: «Ғафу етіңіз, мырза, шылым шегуге рұқсат бересіз бе?» - деді. Ер кісі кейіп, шылымын қатты сорып, содан соң ханымның жүзіне түтін үрледі. Жеделсаты келесі қабатта кідірген сәтте, ер кісі кетіп қалды. Егер ханым ер кісіге соққы жасағаны үшін азаматтық шағым түсірсе, кім ұтады?","Егде жастағы әйел 12-қабаттағы баспанасынан вестибюльге лифтпен төмендеп жатқан. Лифт бесінші қабатта тоқтаған уақытта, бір ер адам лифтке темекі тұтатып кірді. Ер адам лифттегі егде жастағы әйелдің алдында тұрғанда, әйел оның иығынан түртті. Ер адам бұрылған уақытта, әйел «Темекі шегуге болмайды» деген тақтайшаны нұсқап: «Кешіріңіз, мырза, темекі тартуға рұқсат етесіз бе?» - деді. Ер адам ашуланып, темекісін қатты жұтып, содан кейін әйелдің бетіне түтін шығарды. Лифт келесі қабатта тоқтаған уақытта, ер адам кетіп қалды. Егер әйел ер адамға зорлық-зомбылық жасағаны үшін азаматтық талап қойса, кім жеңеді?","Кесек жастағы әйел 12-қабаттағы пәтерінен вестибюльге лифтпен келе жатқан. Лифт бесінші қабатта тоқтаған кезде, бір ер адам лифтке темекі шегіп кірді. Ер адам лифттегі кесек жастағы әйелдің алдында тұрғанда, әйел оның иығынан түртті. Ер адам бұрылған кезде, әйел «Темекі шегуге болмайды» деген белгіні нұсқап: «Кешіріңіз, мырза, темекі шегуге рұқсат етесіз бе?» - деді. Ер адам ашуланып, темекісін қатты жұтып, содан кейін әйелдің бетіне түтін шығарды. Лифт келесі қабатта тоқтаған кезде, ер адам кетіп қалды. Егер әйел ер адамға зорлық-зомбылық жасағаны үшін азаматтық талап қойса, кім жеңеді?","Егде жастағы әйел 12-қабаттағы пәтерінен вестибюльге лифтпен келе жатқан. Лифт бесінші қабатта тоқтаған кезде, бір ер адам лифтке темекі шегіп кірді. Ер адам лифттегі егде жастағы әйелдің алдында тұрғанда, әйел оның иығынан түртті. Ер адам бұрылған кезде, әйел «Темекі шегуге болмайды» деген белгіні нұсқап: «Кешіріңіз, мырза, темекі шегуге рұқсат етесіз бе?» - деді. Ер адам ашуланып, темекісін қатты жұтып, содан кейін әйелдің бетіне түтін шығарды. Лифт келесі қабатта тоқтаған кезде, ер адам кетіп қалды. Егер әйел ер адамға зорлық-зомбылық жасағаны үшін азаматтық талап қойса, кім жеңеді?"
 Эпиктет адамның өзінікі деп атай алатын жалғыз нәрсесі мынау деп тұжырымдайды:, философия, ['адамның өз әсерлерімен қалай әрекет ететіні.' 'отбасы.' 'достары.' 'дене.'],0,Sheet1, Эпиктет адамның өзінікі деп атай алатын жалғыз нәрсесі мынау деп тұжырымдайды:,"A)
Эпиктет пенденің меншікті деп санай алатын жалғыз заты осы деп қорытындылайды:

B)
Эпиктет тұлғаның өздікі деп белгілей алатын жалғыз дүниесі мынау деп пайымдайды:

C)
Эпиктет кісінің өзінікі деп иелене алатын бірегей бұйымы осы деп түйіндейді:

D)
Эпиктет адамзаттың менікі деп атай алатын жалғыз нысаны мынау деп тұжырым жасайды:",Эпиктет пенденің меншікті деп санай алатын жалғыз заты осы деп қорытындылайды:,Эпиктет тұлғаның өздікі деп белгілей алатын жалғыз дүниесі мынау деп пайымдайды:,Эпиктет кісінің өзінікі деп иелене алатын бірегей бұйымы осы деп түйіндейді:,Эпиктет адамзаттың менікі деп атай алатын жалғыз нысаны мынау деп тұжырым жасайды:
"Файнбергтің айтуынша, жақсы адамгершілік тәрбиесі:", философия, ['рахат пен ауырсынуды санкция ретінде пайдаланбайды.' 'толығымен ләззат пен ауырсынуды санкция ретінде пайдалануға негізделеді.' 'билікке құрметпен дұрыс іс жасайтын адамды шығарады.' 'тек дұрыс болғандықтан дұрыс іс жасайтын адамды шығарады.',3,Sheet1,"Файнбергтің айтуынша, жақсы адамгершілік тәрбиесі:","A)
Файнбергтің тұжырымдауынша, оңтайлы этикалық тәлім-тәрбие:

B)
Файнбергтің пікірінше, лайықты ізгілік тағылымы:

C)
Файнбергтің мәлімдеуінше, сапалы рухани баулу:

D)
Файнбергтің пайымдауынша, дұрыс имандылық үйрету:","Файнбергтің тұжырымдауынша, оңтайлы этикалық тәлім-тәрбие:","Файнбергтің пікірінше, лайықты ізгілік тағылымы:","Файнбергтің мәлімдеуінше, сапалы рухани баулу:","Файнбергтің пайымдауынша, дұрыс имандылық үйрету:"
" Неліктен C, C++ сияқты тілдерде жасалған қолданбалар буферлік толып кетуге бейім?", компьютер_қауіпсіздігі, ['Алдын ала анықталған функцияларда жол шекараларын тексеру жоқ' 'Сыртқы жадта сақтау орнын тексеру жоқ' 'Өңдеу қуатын тексеру жоқ' 'Дерекқорды тексеру жоқ'],0,Sheet1," Неліктен C, C++ сияқты тілдерде жасалған қолданбалар буферлік толып кетуге бейім?","A)
Не себепті C, C++ тәрізді тілдерде құрылған бағдарламалар буфердің асып кетуіне бейім?

B)
Неліктен C, C++ секілді тілдерде әзірленген қосымшалар буфердің толып кетуіне бейім келеді?

C)
Қандай себеппен C, C++ сияқты тілдерде жазылған қолданбалар буферлік толып кетуге осал болады?

D)
Неге C, C++ іспетті тілдерде жасақталған бағдарламалық өнімдер буфердің толып кетуіне икемді?","Не себепті C, C++ тәрізді тілдерде құрылған бағдарламалар буфердің асып кетуіне бейім?","Неліктен C, C++ секілді тілдерде әзірленген қосымшалар буфердің толып кетуіне бейім келеді?","Қандай себеппен C, C++ сияқты тілдерде жазылған қолданбалар буферлік толып кетуге осал болады?","Неге C, C++ іспетті тілдерде жасақталған бағдарламалық өнімдер буфердің толып кетуіне икемді?"
 Mappo термині төмендегілердің қайсысымен байланысты?, әлемдік_діндер,['Дхарма' 'Құлдырау дәуірі' 'Алтын ғасыр' 'Самурай'],1,Sheet1, Mappo термині төмендегілердің қайсысымен байланысты?,"A)
Mappo атауы төмендегілердің қайсысына қатысты?

B)
Mappo ұғымы төмендегілердің қайсысына негізделген?

C)
Mappo түсінігі төмендегілердің қайсысына сәйкес келеді?

D)
Mappo сөзі төмендегілердің қайсысымен ұштасады?",Mappo атауы төмендегілердің қайсысына қатысты?,Mappo ұғымы төмендегілердің қайсысына негізделген?,Mappo түсінігі төмендегілердің қайсысына сәйкес келеді?,Mappo сөзі төмендегілердің қайсысымен ұштасады?
 Липидтер туралы келесі тұжырымдардың қайсысы дұрыс емес?, орта мектеп_биологиясы," ['Липидтер май қышқылдары мен глицериннен тұрады.' 'Стероидтар липидтердің мысалдары болып табылады.' 'Қаныққан май қышқылының молекулалары бір-біріне соншалықты жақын орналасқандықтан, бөлме температурасында қатты зат түзеді.' 'Фосфолипидтің басы гидрофобты, ал құйрықтары гидрофильді.']",3,Sheet1, Липидтер туралы келесі тұжырымдардың қайсысы дұрыс емес?,"A)
Майлар жайлы төмендегі пікірлердің қайсысы қате болып табылады?

B)
Липидтер жайындағы келесі пайымдаулардың қайсысы ақиқатқа жатпайды?

C)
Май тектес заттар туралы берілген тұжырымдардың қайсысы бұрыс?

D)
Липидтерге қатысты келесі мәлімдемелердің қайсысы шындыққа сәйкес келмейді?",Майлар жайлы төмендегі пікірлердің қайсысы қате болып табылады?,Липидтер жайындағы келесі пайымдаулардың қайсысы ақиқатқа жатпайды?,Май тектес заттар туралы берілген тұжырымдардың қайсысы бұрыс?,Липидтерге қатысты келесі мәлімдемелердің қайсысы шындыққа сәйкес келмейді?
Төменде келтірілген Байес желісін қарастырайық. H -> U <- P <- W Байес желісі үшін қанша тәуелсіз параметр қажет?, машиналық оқыту, ['2' '4' '8' '16'],2,Sheet1,Төменде келтірілген Байес желісін қарастырайық. H -> U <- P <- W Байес желісі үшін қанша тәуелсіз параметр қажет?,"A)
Төменде көрсетілген Байес торын зерттейік. H -> U <- P <- W Байес торы үшін қанша дербес параметр керек?

B)
Төменде берілген Байес жүйесін талдайық. H -> U <- P <- W Байес жүйесі үшін қанша еркін параметр талап етіледі?

C)
Төменде ұсынылған Байес графигін қарап шығайық. H -> U <- P <- W Байес графигі үшін қанша жеке параметр қажет болады?

D)
Төменде бейнеленген Байес моделін қарастырайық. H -> U <- P <- W Байес моделі үшін қанша автономды параметр сұралады?",Төменде көрсетілген Байес торын зерттейік. H -> U <- P <- W Байес торы үшін қанша дербес параметр керек?,Төменде берілген Байес жүйесін талдайық. H -> U <- P <- W Байес жүйесі үшін қанша еркін параметр талап етіледі?,Төменде ұсынылған Байес графигін қарап шығайық. H -> U <- P <- W Байес графигі үшін қанша жеке параметр қажет болады?,Төменде бейнеленген Байес моделін қарастырайық. H -> U <- P <- W Байес моделі үшін қанша автономды параметр сұралады?
 Предикат логикасына ең жақсы аударманы таңдаңыз: Ешқандай артефактілер адамдар емес., формальды_логика, ['~Pa' '(∀x)(Ax ⊃ ~Px)' '~Ap' '(∀x)(Ax • ~Px)'],1,Sheet1, Предикат логикасына ең жақсы аударманы таңдаңыз: Ешқандай артефактілер адамдар емес.,"A)
Предикат логикасына ең оңтайлы аударманы белгілеңіз: Ешбір артефактілер адамдар емес.

B)
Предикат логикасына ең дұрыс тәржіманы көрсетіңіз: Ешқандай артефактілер пенделер емес.

C)
Предикат логикасына ең лайықты аударманы таңдаңыз: Бірде-бір артефактілер адамдар емес.

D)
Предикат логикасына ең сәйкес нұсқаны таңдаңыз: Ешбір артефактілер кісілер болып табылмайды.",Предикат логикасына ең оңтайлы аударманы белгілеңіз: Ешбір артефактілер адамдар емес.,Предикат логикасына ең дұрыс тәржіманы көрсетіңіз: Ешқандай артефактілер пенделер емес.,Предикат логикасына ең лайықты аударманы таңдаңыз: Бірде-бір артефактілер адамдар емес.,Предикат логикасына ең сәйкес нұсқаны таңдаңыз: Ешбір артефактілер кісілер болып табылмайды.
 Дәстүрлі ағылшын қуыршақ театрларында Панч кейіпкеріне кім үйленген?, әртүрлі, ['Дебби' 'Виктория' 'Джуди' 'Барбара'],2,Sheet1, Дәстүрлі ағылшын қуыршақ театрларында Панч кейіпкеріне кім үйленген?,"A)
Кәдімгі британдық қуыршақ қойылымдарында Панч бейнесіне кім үйленген?

B)
Әдеттегі ағылшын марионетка театрларында Панч тұлғасына кім үйленген?

C)
Классикалық ағылшын қуыршақ сахналарында Панч кейіпкеріне кім үйленген?

D)
Ескі ағылшын қуыршақ шоуларында Панч образына кім үйленген?",Кәдімгі британдық қуыршақ қойылымдарында Панч бейнесіне кім үйленген?,Әдеттегі ағылшын марионетка театрларында Панч тұлғасына кім үйленген?,Классикалық ағылшын қуыршақ сахналарында Панч кейіпкеріне кім үйленген?,Ескі ағылшын қуыршақ шоуларында Панч образына кім үйленген?
"Грант беруші — грант алушы индекстерін пайдаланатын юрисдикцияда төменде көрсетілген ретпен келесі оқиғалар орын алды:(1) 1962 жылы грант беруші бір адамға дереу тіркелген акт бойынша жер учаскесін берді. (2) 1982 жылы ер адам жесір қалып қайтыс болып, мұрагерлікке рұқсат етілген өсиет бойынша жер учаскесін көмекшісіне берді. (3) 1993 жылы көмекші жер учаскесін ипотекалық компанияға 1993 жылдың 31 желтоқсанында төленуге тиіс 25 000 долларға, жылына 9,5 пайыздық мөлшерлемемен вексель алу үшін кепілге қойды. (4) 1996 жылы ипотекалық компания ипотеканы тіркеді. (5) 2003 жылы көмекші қызына берген қол қойылған жазбаша құжатта көмекші жер учаскесін қызына талап арыздан бас тарту актісімен беруге және ипотекалық қарызды мерзімі келгенде төлеуге уәде берді. Егер көмекші жер учаскесін қызына беруден бас тартса және қызы мүлікті беруге мәжбүрлеу үшін көмекшіге қарсы сотқа шағымданса, қызы... ең ықтимал", кәсіби_құқық,"['басым, себебі тиімді сыйлық болды.' 'басым, себебі тиімді тапсырма болды.' ""басым емес, себебі көмекшінің мүлікті беру туралы уәдесін қолдау үшін ешқандай қарастыру болған жоқ."" 'басым емес, себебі заң бойынша тиісті құқықтық қорғау болған жағдайда нақты орындау берілмейді.'",2,Sheet1,"Грант беруші — грант алушы индекстерін пайдаланатын юрисдикцияда төменде көрсетілген ретпен келесі оқиғалар орын алды:(1) 1962 жылы грант беруші бір адамға дереу тіркелген акт бойынша жер учаскесін берді. (2) 1982 жылы ер адам жесір қалып қайтыс болып, мұрагерлікке рұқсат етілген өсиет бойынша жер учаскесін көмекшісіне берді. (3) 1993 жылы көмекші жер учаскесін ипотекалық компанияға 1993 жылдың 31 желтоқсанында төленуге тиіс 25 000 долларға, жылына 9,5 пайыздық мөлшерлемемен вексель алу үшін кепілге қойды. (4) 1996 жылы ипотекалық компания ипотеканы тіркеді. (5) 2003 жылы көмекші қызына берген қол қойылған жазбаша құжатта көмекші жер учаскесін қызына талап арыздан бас тарту актісімен беруге және ипотекалық қарызды мерзімі келгенде төлеуге уәде берді. Егер көмекші жер учаскесін қызына беруден бас тартса және қызы мүлікті беруге мәжбүрлеу үшін көмекшіге қарсы сотқа шағымданса, қызы... ең ықтимал","A)
Сыйға тартушы — сый алушы тізілімдерін қолданатын құқықтық аймақта төмендегідей кезекпен келесі жағдайлар орын алды:(1) 1962 жылы сыйға тартушы бір тұлғаға жедел тіркелген құжат бойынша жер телімін табыстады. (2) 1982 жылы тұлға бойдақ қалып дүниеден өтіп, мұрагерлікке негізделген өсиетхана бойынша жер телімін қызметкеріне қалдырды. (3) 1993 жылы қызметкер жер телімін қарыз беруші мекемеге 1993 жылдың 31 желтоқсанында өтелуі тиіс 25 000 долларға, жылдық 9,5 пайыздық өсіммен несие алу үшін кепілдікке берді. (4) 1996 жылы қарыз беруші мекеме кепілдікті тіркеді. (5) 2003 жылы қызметкер перзентіне берген қол қойылған ресми қағазда қызметкер жер телімін перзентіне құқықтан бас тарту құжатымен өткізуге және кепілдік берешекті уақыты жеткенде өтеуге сөз берді. Егер қызметкер жер телімін перзентіне өткізуден бас тартса және перзенті активті өткізуге мәжбүрлеу үшін қызметкерге қарсы талап арыз жолдаса, перзенті... ең ықтимал

B)
Донор — реципиент көрсеткіштерін қолданатын заңды өрісте төмендегідей реттілікпен келесі істер орын алды:(1) 1962 жылы донор бір азаматқа шұғыл есепке алынған куәлік бойынша жер бөлігін ұсынды. (2) 1982 жылы азамат жалғыз қалып бақилық болып, мұра ретінде бекітілген өсиетнама бойынша жер бөлігін жәрдемшісіне мұралады. (3) 1993 жылы жәрдемші жер бөлігін несиелік ұйымға 1993 жылдың 31 желтоқсанында қайтарылуы тиіс 25 000 долларға, жылдық 9,5 пайыздық мөлшермен қарыз қағазын алу үшін аманатқа қойды. (4) 1996 жылы несиелік ұйым кепілзатты есепке алды. (5) 2003 жылы жәрдемші ұрпағына берген куәландырылған жазбаша мәтінде жәрдемші жер бөлігін ұрпағына шағымнан бас тарту куәлігімен табыстауға және несиелік борышты мерзімі толғанда жабуға міндеттелді. Егер жәрдемші жер бөлігін ұрпағына табыстаудан бас тартса және ұрпағы иелікті табыстауға мәжбүрлеу үшін жәрдемшіге қарсы арыз берсе, ұрпағы... ең ықтимал

C)
Бөлуші — иеленуші каталогтарын пайдаланатын заңнамалық кеңістікте төмендегідей тізбекпен келесі құбылыстар орын алды:(1) 1962 жылы бөлуші бір жеке тұлғаға дереу рәсімделген келісімшарт бойынша жер учаскесін аударды. (2) 1982 жылы жеке тұлға соқпа басты болып өмірден өтіп, мұрагерлікке рұқсат берілген өсиет бойынша жер учаскесін көмекшісіне аманаттады. (3) 1993 жылы көмекші жер учаскесін қаржылық корпорацияға 1993 жылдың 31 желтоқсанында қайтарылуы қажет 25 000 долларға, жылдық 9,5 пайыздық үстемемен вексель иелену үшін кепілдікке бекітті. (4) 1996 жылы қаржылық корпорация ипотеканы рәсімдеді. (5) 2003 жылы көмекші қызына тапсырған мөрленген жазбаша актіде көмекші жер учаскесін қызына талаптан бас тарту шартымен сыйлауға және несиелік міндеттемені уақыты келгенде қайтаруға уәде етті. Егер көмекші жер учаскесін қызына сыйлаудан бас тартса және қызы нысанды сыйлауға мәжбүрлеу үшін көмекшіге қарсы сотқа жүгінсе, қызы... ең ықтимал

D)
Табыстаушы — қабылдаушы тізімдерін жүргізетін құқықтық ортада төмендегідей мазмұнда келесі оқиғалар орын алды:(1) 1962 жылы табыстаушы бір еркекке тез арада тіркелген акт негізінде жер телімін сыйлады. (2) 1982 жылы еркек жалғызбасты болып қайтыс болып, мұрагерлікке құқық беретін өсиетпен жер телімін жәрдемшісіне аударды. (3) 1993 жылы жәрдемші жер телімін заемдық компанияға 1993 жылдың 31 желтоқсанында төленуі міндетті 25 000 долларға, жылдық 9,5 пайыздық тарифпен вексель алу үшін кепілдікке қалдырды. (4) 1996 жылы заемдық компания кепілдікті есепке қойды. (5) 2003 жылы жәрдемші қызына ұсынған қол қойылған хат түріндегі құжатта жәрдемші жер телімін қызына меншіктен бас тарту актісімен беруге және заемдық қарызды уақыты жеткенде жабуға уәде берді. Егер жәрдемші жер телімін қызына беруден бас тартса және қызы мүлікті тапсыруға мәжбүрлеу үшін жәрдемшіге қарсы сотқа арызданса, қызы... ең ықтимал","Сыйға тартушы — сый алушы тізілімдерін қолданатын құқықтық аймақта төмендегідей кезекпен келесі жағдайлар орын алды:(1) 1962 жылы сыйға тартушы бір тұлғаға жедел тіркелген құжат бойынша жер телімін табыстады. (2) 1982 жылы тұлға бойдақ қалып дүниеден өтіп, мұрагерлікке негізделген өсиетхана бойынша жер телімін қызметкеріне қалдырды. (3) 1993 жылы қызметкер жер телімін қарыз беруші мекемеге 1993 жылдың 31 желтоқсанында өтелуі тиіс 25 000 долларға, жылдық 9,5 пайыздық өсіммен несие алу үшін кепілдікке берді. (4) 1996 жылы қарыз беруші мекеме кепілдікті тіркеді. (5) 2003 жылы қызметкер перзентіне берген қол қойылған ресми қағазда қызметкер жер телімін перзентіне құқықтан бас тарту құжатымен өткізуге және кепілдік берешекті уақыты жеткенде өтеуге сөз берді. Егер қызметкер жер телімін перзентіне өткізуден бас тартса және перзенті активті өткізуге мәжбүрлеу үшін қызметкерге қарсы талап арыз жолдаса, перзенті... ең ықтимал","Донор — реципиент көрсеткіштерін қолданатын заңды өрісте төмендегідей реттілікпен келесі істер орын алды:(1) 1962 жылы донор бір азаматқа шұғыл есепке алынған куәлік бойынша жер бөлігін ұсынды. (2) 1982 жылы азамат жалғыз қалып бақилық болып, мұра ретінде бекітілген өсиетнама бойынша жер бөлігін жәрдемшісіне мұралады. (3) 1993 жылы жәрдемші жер бөлігін несиелік ұйымға 1993 жылдың 31 желтоқсанында қайтарылуы тиіс 25 000 долларға, жылдық 9,5 пайыздық мөлшермен қарыз қағазын алу үшін аманатқа қойды. (4) 1996 жылы несиелік ұйым кепілзатты есепке алды. (5) 2003 жылы жәрдемші ұрпағына берген куәландырылған жазбаша мәтінде жәрдемші жер бөлігін ұрпағына шағымнан бас тарту куәлігімен табыстауға және несиелік борышты мерзімі толғанда жабуға міндеттелді. Егер жәрдемші жер бөлігін ұрпағына табыстаудан бас тартса және ұрпағы иелікті табыстауға мәжбүрлеу үшін жәрдемшіге қарсы арыз берсе, ұрпағы... ең ықтимал","Бөлуші — иеленуші каталогтарын пайдаланатын заңнамалық кеңістікте төмендегідей тізбекпен келесі құбылыстар орын алды:(1) 1962 жылы бөлуші бір жеке тұлғаға дереу рәсімделген келісімшарт бойынша жер учаскесін аударды. (2) 1982 жылы жеке тұлға соқпа басты болып өмірден өтіп, мұрагерлікке рұқсат берілген өсиет бойынша жер учаскесін көмекшісіне аманаттады. (3) 1993 жылы көмекші жер учаскесін қаржылық корпорацияға 1993 жылдың 31 желтоқсанында қайтарылуы қажет 25 000 долларға, жылдық 9,5 пайыздық үстемемен вексель иелену үшін кепілдікке бекітті. (4) 1996 жылы қаржылық корпорация ипотеканы рәсімдеді. (5) 2003 жылы көмекші қызына тапсырған мөрленген жазбаша актіде көмекші жер учаскесін қызына талаптан бас тарту шартымен сыйлауға және несиелік міндеттемені уақыты келгенде қайтаруға уәде етті. Егер көмекші жер учаскесін қызына сыйлаудан бас тартса және қызы нысанды сыйлауға мәжбүрлеу үшін көмекшіге қарсы сотқа жүгінсе, қызы... ең ықтимал","Табыстаушы — қабылдаушы тізімдерін жүргізетін құқықтық ортада төмендегідей мазмұнда келесі оқиғалар орын алды:(1) 1962 жылы табыстаушы бір еркекке тез арада тіркелген акт негізінде жер телімін сыйлады. (2) 1982 жылы еркек жалғызбасты болып қайтыс болып, мұрагерлікке құқық беретін өсиетпен жер телімін жәрдемшісіне аударды. (3) 1993 жылы жәрдемші жер телімін заемдық компанияға 1993 жылдың 31 желтоқсанында төленуі міндетті 25 000 долларға, жылдық 9,5 пайыздық тарифпен вексель алу үшін кепілдікке қалдырды. (4) 1996 жылы заемдық компания кепілдікті есепке қойды. (5) 2003 жылы жәрдемші қызына ұсынған қол қойылған хат түріндегі құжатта жәрдемші жер телімін қызына меншіктен бас тарту актісімен беруге және заемдық қарызды уақыты жеткенде жабуға уәде берді. Егер жәрдемші жер телімін қызына беруден бас тартса және қызы мүлікті тапсыруға мәжбүрлеу үшін жәрдемшіге қарсы сотқа арызданса, қызы... ең ықтимал"
